"Day","Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe"
11,"2017-12-18","Abyss","Essence",18.22351,3.70088,25.90632,4.99088,9.25526,13.93807,14.29947,22.17789,12.84825,10.36596,13.94404,16.78439,20.83088,6.62018,41.87097,6.73895,16.82456,13.30684,12.92807,14.72281,14.70789,21.08632,9.11298,18.31,0.32,0.32,0.32,0.32,0.32,0.29158,0.32,0.32,3.78509,2.70754,0.32211,1.9986,0.32,0.42158,0.91158,0.87702,2.35912,0.78088,0.66281,0.52404,0.55579,1.05561,0.54211,0.62053,0.32298,0.80579,0.68246,0.97,1.25333,5.92737,1,6.52895,1.94158,2,2.09175,2.99035,7.00491,2,3.36579,2.28719,3.68912,3.99368,1.99316,3,1.08667,2.98035,2.91158,4.02825,5,0.96246,0.32,0.62263,0.32,0.32,0.82772,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.72719,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
12,"2017-12-19","Abyss","Essence",17.60158,3.3293,24.67211,5.23596,8.2893,11.04561,11.32123,21.38579,12.08596,11.1507,17.5693,14.84368,18.57439,7.02439,24.49825,5.64351,14.9393,11.56912,12.34719,14.02211,14.83018,23.74088,9.95035,18.4693,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,3.89088,2.65281,0.33123,1.98351,0.32105,0.46053,0.78175,0.78842,2.57649,0.79877,0.79491,0.54947,0.65667,1.4907,0.55544,0.51123,0.32105,0.7693,0.56719,0.89368,1.29421,5.79386,1,6.82333,1.92368,1.99281,2.12123,2.9686,7.29088,2,3.14,2.36421,3.28333,3.97684,2,2.98772,0.99702,2.63421,2.87947,3.99105,5,0.93316,0.32105,0.66684,0.32105,0.32105,0.82158,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.56421,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32105,0.32088,0.32105,0.32105
13,"2017-12-20","Abyss","Essence",18.04579,4.12561,25.25281,6.05596,7.98632,15.69246,8.91246,22.5586,11.78561,13.15368,12.57982,12.43053,19.63526,6.70544,17.53018,4.96246,13.35667,9.81737,15.62702,13.60614,14.7414,23.09965,9.4914,18.3093,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,3.9207,2.32088,0.32702,2.07,0.32702,0.43351,0.90509,0.73439,2.3907,0.5786,0.78772,0.73649,0.7093,1.50649,0.43544,0.53298,0.32702,0.59386,0.62193,0.89193,1.50772,5.79544,1,6.96018,1.97018,2,2.73316,2.2693,7.34509,2.22947,3.25018,2,3.75456,4.45842,1.79561,2.96404,0.99807,3.01175,2.91895,4.25842,5.90825,0.67421,0.32702,0.69053,0.32702,0.32702,0.75474,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.44421,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32702,0.32684,0.32702,0.32702
14,"2017-12-21","Abyss","Essence",17.76517,6.85759,23.06741,6,8,16.16293,8.49293,23.30897,10.46052,15.40328,11.78017,10.78534,19.96948,4.73431,15.53069,4.82897,12.27776,7.93052,15.09103,15.35379,15.13362,23.50897,9.94155,19.88397,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,3.87276,2.205,0.33931,1.96103,0.33931,0.34397,0.87776,0.75707,2.45414,0.56845,0.67586,0.66155,0.68103,1.63362,0.33931,0.61776,0.33931,0.57569,0.6531,0.92586,1.38017,6,1,6.46086,2,1.99845,2.75638,2,7.16603,2.04845,3.845,2.07328,3.49707,4.235,1.86707,3,0.99897,3.51483,2.60155,4.85534,5.82483,0.41259,0.33931,0.66776,0.33931,0.33931,0.71293,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33931,0.33621,0.33931,0.33931,0.33931
15,"2017-12-22","Abyss","Essence",17.49586,5.56431,22.33431,5.83552,8,14.58983,8.76086,22.02828,9.2469,14.80517,11.31793,10.31759,17.24603,4.89741,13.74672,4.73052,10.94259,7.08793,14.69638,18.32724,15.8931,24.57172,9.43603,19.45328,0.35172,0.35172,0.35172,0.35172,0.34759,0.35172,0.35172,0.35172,3.91879,2.06569,0.35172,1.95552,0.35172,0.39672,0.79569,0.59414,2.43931,0.61483,0.74293,0.60569,0.66017,1.15897,0.35172,0.58655,0.35172,0.76707,0.5019,0.92707,1.42103,6.00862,1,6.18552,1.99948,1.935,2.22741,2.36448,6.81,2,2.98966,1.96828,3.16741,4.32776,1.73707,3,1,3.37431,2.53414,4.82,5.58931,0.73845,0.35172,0.4181,0.35172,0.35172,0.8031,0.35172,0.35172,0.35172,0.35172,0.35172,0.35172,0.35069,0.35172,0.35172,0.61328,0.35103,0.35172,0.35172,0.35172,0.35172,0.34431,0.35172,0.34966,0.35172,0.35172,0.35138,0.35086,0.35172,0.35172,0.34655,0.34914
16,"2017-12-23","Abyss","Essence",17.12193,4.96982,22.78035,6,7.90368,13.34526,7.44281,21.13754,7.83825,14.45982,9.69175,10,16.23895,4.64316,11.27105,3.96807,9.70404,7.12018,15.60982,18.00105,16.67263,26.90193,10.06667,18.96649,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,3.96053,2.64982,0.36,1.97298,0.36,0.36,0.83175,0.59579,1.99965,0.72018,0.71807,0.67088,0.49035,1.12193,0.36,0.5886,0.36,0.85649,0.44754,0.99333,1.43491,5.37439,1,5.84351,1.9107,1.87579,2.20895,2.00632,6.83842,2,3,2,2.97737,4.01228,1,3,1,2.9614,1.99982,4.49368,4.92456,0.98193,0.36,0.51474,0.36,0.36,0.7407,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.65228,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.3593,0.36,0.36,0.36,0.36,0.36
17,"2017-12-24","Abyss","Essence",17.98035,5.08281,22.55474,5.86018,6.93842,12.55,6.99684,20.39807,7.00895,13.98912,8.90632,9.31702,16.54491,4.01351,11.12035,3.9393,8.97386,7.22175,16,17.92316,17.72456,28.90491,10.8386,19.13561,0.35123,0.35123,0.3507,0.26211,0.31825,0.33561,0.32842,0.34912,3.94579,2.47737,0.35123,1.96333,0.35123,0.35123,0.69211,0.59439,1.97877,0.67474,0.55702,0.54912,0.50333,1.03544,0.35123,0.52,0.35123,0.65474,0.53035,1,1.20561,5.71316,1.34368,6,1.42105,2,2.75825,2,6.73158,1.99368,2.99895,1.98123,2.94667,3.9993,0.99965,2.93667,1,2.96912,1.96772,4.44737,4.90281,0.74,0.35123,0.55158,0.35123,0.35123,0.49789,0.35123,0.35123,0.35123,0.35123,0.35123,0.35123,0.35123,0.35123,0.35123,0.56263,0.34368,0.35105,0.35123,0.35123,0.3493,0.35123,0.35123,0.34386,0.35,0.35123,0.34561,0.35123,0.32456,0.33667,0.35105,0.28544
18,"2017-12-25","Abyss","Essence",18.01914,4.69517,22.83172,5.265,6.19759,11.93397,7.61379,19.95828,6.92948,13.11914,8.20879,8,16.00862,3.9969,11.63638,3.45397,9,6.47552,15.91224,17.95569,18.69293,30.59,10.94914,19.31776,0.34983,0.34983,0.33293,0.26103,0.33759,0.34397,0.34017,0.34983,4.01328,2.46086,0.34983,1.97483,0.34983,0.34983,0.95224,0.51862,2.00552,0.64293,0.64414,0.60862,0.53759,0.99914,0.34983,0.64914,0.34983,0.69776,0.50845,0.98897,1.77345,6.26259,1.59172,6.10948,1.99534,1.99707,2.92793,2,6.85534,1.99776,2.96948,1.87069,3.155,4,1,3,1,2.92345,1.99414,4.88707,5,0.68707,0.34983,0.51172,0.34983,0.34983,0.425,0.34983,0.34983,0.34983,0.34983,0.34983,0.37448,0.34983,0.34983,0.34983,0.36672,0.34759,0.34983,0.34983,0.34983,0.34741,0.34983,0.34517,0.34914,0.34983,0.34983,0.34983,0.34983,0.29724,0.34586,0.34879,0.32621
19,"2017-12-26","Abyss","Essence",18.79053,4.31088,22.14649,5.05667,5.96035,9.90754,7.68421,19.6714,6.60035,13.99895,7.99561,8.14018,15.14965,3.87982,12.08474,3.78719,8.88982,6.38579,15.41351,17.09807,18.44982,34.79947,11.52035,19.74596,0.35649,0.35649,0.3107,0.33632,0.35596,0.34158,0.35649,0.35649,4.16228,2.70404,0.35649,2.12737,0.35649,0.35649,0.81211,0.40421,1.97491,0.71298,0.70386,0.42368,0.43368,1.16789,0.35649,0.70526,0.35649,0.81982,0.3986,0.99684,1.21333,6.9993,1.00351,6.40877,1.62596,2,2.04246,2,6.63368,2,3,1.9986,3.08684,3.98614,1,2.94561,1,3,1.99421,5.74632,5.02632,0.5107,0.35649,0.40684,0.35649,0.35649,0.36,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.4014,0.35649,0.35649,0.35649,0.35649,0.35614,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.34351,0.35281,0.3507,0.35333
20,"2017-12-27","Abyss","Essence",19.14211,4.24807,23.06263,5,5.42333,7.96316,6.99298,18.46421,5.75596,13.14825,7.54368,7.99193,15.83895,3,12.81228,3.97246,7.64895,6.27263,14.64982,16.02158,23.57544,35.37474,12.37491,20.56719,0.37211,0.37211,0.37211,0.37,0.37211,0.37211,0.37211,0.37211,4.03702,2.6593,0.37211,1.97035,0.37211,0.37211,0.73649,0.59246,1.99509,0.67474,0.63754,0.50123,0.40526,0.99596,0.37211,0.61947,0.37211,0.87772,0.46491,1.0007,1.09211,7.29509,1,6.66035,1.06474,2,2.02544,2,5.99298,2,2.98912,1.71018,2.83614,3.91105,1,2.95632,1,3,2,5.10421,5.5714,0.64596,0.37211,0.38772,0.37211,0.37211,0.37561,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.44544,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37211,0.37053
21,"2017-12-28","Abyss","Essence",18.56842,3.04035,24.32825,5.83193,5.15474,8.33947,7.58754,19.06263,5.42105,11.76105,6.97509,7.52544,14.5507,3.39895,12.96772,3.65105,7.23456,6.87877,13.00632,15.01895,22.58386,35.09544,14.64281,23.94737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,4.47544,2.61088,0.39737,1.67754,0.39737,0.39737,0.85053,0.67754,1.97719,0.71912,0.60509,0.39895,0.40263,0.99737,0.39737,0.65754,0.39737,0.93719,0.47421,0.98842,1.18316,7.47965,1,6.87825,1.77912,1.95737,2.13789,1.99509,5.84579,2,3,1,2.92877,3.37965,1,2.89456,0.99877,3,2,4.82404,5.37368,0.71228,0.39737,0.41632,0.39737,0.39737,0.39895,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39737,0.39632,0.39737,0.39737
