"Day","Date","League","Type","Apprentice.Cartographer.s.Sextant","Armourer.s.Scrap","Blacksmith.s.Whetstone","Blessed.Orb","Blessing.of.Chayula","Blessing.of.Esh","Blessing.of.Tul","Blessing.of.Uul.Netol","Blessing.of.Xoph","Cartographer.s.Chisel","Chromatic.Orb","Divine.Orb","Exalted.Orb","Gemcutter.s.Prism","Glassblower.s.Bauble","Jeweller.s.Orb","Journeyman.Cartographer.s.Sextant","Master.Cartographer.s.Sextant","Mirror.of.Kalandra","Offering.to.the.Goddess","Orb.of.Alchemy","Orb.of.Alteration","Orb.of.Annulment","Orb.of.Augmentation","Orb.of.Chance","Orb.of.Fusing","Orb.of.Regret","Orb.of.Scouring","Orb.of.Transmutation","Portal.Scroll","Regal.Orb","Scroll.of.Wisdom","Silver.Coin","Vaal.Orb","Ancient.Orb","Annulment.Shard","Engineer.s.Orb","Exalted.Shard","Harbinger.s.Orb","Mirror.Shard","Orb.of.Binding","Orb.of.Horizons","Perandus.Coin","Stacked.Deck","Timeless.Karui.Emblem","Timeworn.Reliquary.Key","Apprentice.Cartographer.s.Seal","Journeyman.Cartographer.s.Seal","Master.Cartographer.s.Seal","Ancient.Reliquary.Key","Eternal.Orb","Abrasive.Catalyst","Awakened.Sextant","Awakener.s.Orb","Crusader.s.Exalted.Orb","Fertile.Catalyst","Hunter.s.Exalted.Orb","Imbued.Catalyst","Intrinsic.Catalyst","Prime.Sextant","Prismatic.Catalyst","Redeemer.s.Exalted.Orb","Simple.Sextant","Tempering.Catalyst","Turbulent.Catalyst","Warlord.s.Exalted.Orb"
12,"2017-12-19","Abyss HC","Currency",0.86186,0.02869,0.04443,0.52085,598.9851,40.65966,48.55217,100,8.14511,0.22285,0.06945,6.85465,23.99857,0.62159,0.33266,0.08333,2.48335,4.50441,2184.05311,4,0.23942,0.05184,5.02535,0.0313,0.11083,0.33736,0.4566,0.46606,0.04031,0.02032,1.37588,0.01028,0.24498,0.32056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss HC","Currency",0.97193,0.02862,0.04111,0.50644,599.66842,48.49886,48.35097,121.23058,7.9935,0.22143,0.06794,6.51569,24.85377,0.61512,0.31156,0.08626,2.92991,4.42619,2131.58273,4,0.2397,0.05239,5.95171,0.02919,0.1108,0.35187,0.46165,0.46448,0.03748,0.02178,1.22433,0.01116,0.24471,0.30182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss HC","Currency",1,0.02846,0.04015,0.51212,595.52889,38.15216,42.86632,98.33996,8,0.22222,0.06681,6.99058,25.99057,0.59488,0.33333,0.09082,2.90977,4.4596,1865.7969,4.00472,0.24264,0.05323,6.23979,0.02957,0.11111,0.37792,0.47029,0.46481,0.03391,0.02208,1.15792,0.0105,0.24158,0.28691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss HC","Currency",1,0.02621,0.03997,0.5,665.56346,36.29364,41.02586,90.73903,7.71805,0.22222,0.0664,7,30.18152,0.59976,0.33242,0.09167,2.89023,4.62737,1971.02658,4.00279,0.24349,0.05426,7.97931,0.03045,0.11111,0.39756,0.49703,0.46495,0.03383,0.02146,1.09826,0.01004,0.2329,0.28365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss HC","Currency",1,0.025,0.03976,0.5,671.07464,35.86204,38.80627,108.68679,7,0.22453,0.06531,7,32.28459,0.62349,0.31807,0.09982,3.17389,4.94116,2167.83217,4,0.24422,0.05562,7.88104,0.03296,0.11102,0.41219,0.49973,0.45455,0.03567,0.02379,1.09765,0.01035,0.23106,0.26829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss HC","Currency",1,0.025,0.03993,0.49431,658.75852,36.64524,26.93044,66.97131,6.11965,0.23429,0.06515,7,33.33939,0.65209,0.28911,0.1007,3.87653,4.99994,2313.10714,4,0.2459,0.05826,7,0.03333,0.1102,0.41667,0.49597,0.45746,0.03569,0.02229,1.06893,0.01,0.23736,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss HC","Currency",1.02656,0.024,0.03645,0.47837,634.06947,32.08236,29.33027,42.81144,6,0.23682,0.06327,6.98453,32.85804,0.62588,0.25579,0.1,3.89491,4.92904,2056.25832,4,0.24874,0.05884,7,0.03146,0.1111,0.4056,0.47094,0.45524,0.03448,0.02102,1.00542,0.00967,0.22811,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss HC","Currency",1.10626,0.02226,0.03389,0.42838,638.59154,25.08705,22.70045,37.81771,5.48339,0.2425,0.06156,7.22242,32.7597,0.63698,0.24744,0.10067,4,5,2054.37046,4,0.24854,0.05938,7,0.03174,0.11111,0.40875,0.48209,0.45445,0.03142,0.02102,1.06856,0.00944,0.22896,0.24936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss HC","Currency",1.18469,0.02175,0.03313,0.40545,612.35348,24.24275,19.98138,34.19466,4.82583,0.24394,0.06166,7.57586,31.98707,0.66359,0.23257,0.10014,4,4.99995,2177.5341,4,0.2479,0.06059,6.97286,0.03282,0.11081,0.40984,0.5,0.456,0.02973,0.02009,1.10753,0.00851,0.22774,0.24846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss HC","Currency",1.33333,0.02186,0.03286,0.40635,599.47153,23.75463,19.77146,29.79482,4,0.24428,0.06157,7.61941,31.45266,0.66678,0.22199,0.1,4,4.99991,2309.54534,4,0.24759,0.06248,7,0.03322,0.11037,0.40847,0.51227,0.4573,0.02788,0.02029,1.13858,0.00884,0.22294,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss HC","Currency",1.328,0.02119,0.03263,0.39913,586.40667,21.85707,19.82477,27.92422,3.89128,0.24684,0.06128,7.58361,30.84834,0.68795,0.20025,0.1,4,5,2283.05625,4,0.24678,0.06587,7,0.03324,0.11111,0.4026,0.5,0.45457,0.02823,0.02031,1.1571,0.00951,0.22222,0.24998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss HC","Currency",1.49696,0.02068,0.03188,0.4,560.55791,20.50435,17.90793,32.15779,3.10535,0.24754,0.06183,7.39032,29.42667,0.70088,0.18422,0.09996,3.99954,5,2237.85351,4,0.24658,0.06767,7,0.03278,0.11083,0.4,0.5,0.45315,0.02633,0.02008,1.2,0.00887,0.22728,0.24978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss HC","Currency",1.49513,0.02192,0.03203,0.4,576.55844,20.41809,16.68917,35.69363,3,0.24674,0.06229,7.68799,28.61158,0.69234,0.18244,0.1,4,4.91942,2189.5415,4,0.25,0.07225,7,0.03268,0.11074,0.4,0.5,0.45624,0.0262,0.02067,1.16167,0.00809,0.23097,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss HC","Currency",1.49436,0.0218,0.03215,0.4,574.87752,21.0106,17.80929,42.1542,3,0.24875,0.06452,7.67743,27.9477,0.68944,0.17574,0.1,4,4.74197,2247.94605,4,0.2491,0.0728,7.06947,0.03138,0.11008,0.4,0.49981,0.46132,0.02653,0.02039,1.16977,0.00824,0.23057,0.24894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss HC","Currency",1.48288,0.02109,0.02932,0.40008,568.30573,19.402,14.04253,34.60138,3,0.24707,0.06488,7.66682,27.99169,0.70697,0.14513,0.0996,4,4.98883,2625.52382,4,0.24497,0.07131,7.4091,0.02866,0.1102,0.39967,0.49623,0.45445,0.02573,0.0203,1.10386,0.00809,0.2334,0.24907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss HC","Currency",1.5,0.02007,0.02824,0.4,553.37802,17.54573,9.84283,32.71002,3,0.24669,0.06242,7.01398,27.05705,0.68517,0.14286,0.09986,4,4.73738,2470.81205,4,0.24405,0.07157,7.66987,0.0297,0.1111,0.39771,0.5,0.45455,0.02491,0.01949,1.1,0.00814,0.22989,0.24352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss HC","Currency",1.65545,0.01992,0.0256,0.4,574.46275,14.21953,8.76902,27.49366,3,0.24375,0.06229,7,26.48114,0.60226,0.14286,0.0976,4,4.58816,2669.35782,4,0.24416,0.07189,7,0.02903,0.11102,0.39513,0.5,0.45455,0.02703,0.01999,1.11927,0.008,0.23158,0.24677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss HC","Currency",1.96425,0.01948,0.02504,0.42516,571.15556,11.10943,8.76474,26.12474,3,0.24389,0.06322,7.12469,25.00893,0.61028,0.14377,0.09715,4.00185,4.49572,2541.86883,4,0.2443,0.07151,7,0.02857,0.11111,0.39219,0.5,0.45455,0.02508,0.01922,1.14069,0.00821,0.22479,0.24845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss HC","Currency",2,0.01942,0.02579,0.45642,556.43057,9.72339,7.28286,27.22533,2.97239,0.24812,0.06306,7.19679,25.14247,0.62272,0.14315,0.09625,4.29927,4.49012,2522.47239,4.01118,0.24391,0.07427,6.99301,0.03079,0.11033,0.38694,0.5,0.45839,0.02459,0.02041,1.10045,0.00819,0.22132,0.25018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss HC","Currency",2,0.01928,0.02787,0.44225,535.3112,8.01873,6.80139,21.64335,2.05778,0.25,0.06233,7.35519,25.04491,0.64778,0.14286,0.09536,4.4895,4.75075,2499.82228,4.07372,0.24255,0.0765,6.99556,0.03085,0.10942,0.38459,0.5,0.4746,0.0245,0.02197,1.07099,0.00821,0.21959,0.25137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss HC","Currency",2,0.01963,0.02667,0.42093,518.66908,7.67652,5.63983,19.57112,2,0.26104,0.06126,7.39205,24.99051,0.60403,0.14286,0.09305,4.5923,5,2600.19947,4.19116,0.2408,0.07692,7.00187,0.03049,0.106,0.38082,0.5,0.46062,0.02423,0.024,1.03012,0.0082,0.21738,0.26967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss HC","Currency",2,0.02,0.02622,0.43302,506.38459,7.96265,5.00821,20.19971,2,0.2748,0.05845,7.28792,25.01637,0.58688,0.14271,0.08951,4.72978,5,2669.4325,4.0731,0.24021,0.07692,6.99571,0.03117,0.10592,0.36267,0.5,0.45031,0.0235,0.02161,1.06095,0.00825,0.21739,0.26687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss HC","Currency",2,0.01991,0.02394,0.40184,535.36197,7.75292,5,22.58271,2,0.28723,0.05601,7.22388,28.41541,0.56227,0.14286,0.08905,5,5,3103.29085,4.32808,0.23796,0.07701,6.4527,0.03111,0.10701,0.35591,0.5,0.43075,0.02075,0.0226,1.10097,0.00832,0.21739,0.26417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss HC","Currency",2,0.01967,0.02373,0.38791,505.16129,7.47699,4.77243,22.0874,2,0.29645,0.05497,7.79975,30,0.53806,0.14399,0.09009,4.94147,5,3804.57081,4.28607,0.2384,0.0769,7.02145,0.03095,0.10765,0.35693,0.5,0.4314,0.02009,0.0226,1.13708,0.00765,0.21694,0.26075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss HC","Currency",2.25875,0.01981,0.02499,0.4,478.7499,6.9773,4,21.16728,2,0.29698,0.05574,7.90436,30,0.56983,0.14485,0.08963,5,5,3806.79309,4.97903,0.2381,0.07693,7.71993,0.03156,0.10777,0.35738,0.50004,0.44961,0.02224,0.02436,1.10938,0.00735,0.21726,0.28792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss HC","Currency",2.43214,0.02,0.0255,0.40117,491.1187,6.29732,4,19.7011,2,0.30427,0.05943,7.90599,29.76218,0.56164,0.143,0.09015,5,5,3874.55383,4.99834,0.23952,0.07695,7.94945,0.03175,0.10632,0.36686,0.50624,0.45455,0.02317,0.02403,1.19972,0.00792,0.22144,0.3204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss HC","Currency",2.27919,0.01994,0.02529,0.4,497.89804,5.93412,4,19,2,0.30926,0.06252,7.82566,29.44205,0.56712,0.14286,0.09086,4.99845,5,4117.14036,4.87479,0.24248,0.07913,8.26348,0.03128,0.10639,0.37948,0.50931,0.45578,0.02441,0.02223,1.19435,0.00794,0.22222,0.33055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss HC","Currency",2.31533,0.0197,0.02623,0.39969,499.9361,5.94866,4,18.47035,2,0.31192,0.06677,7.89512,28.87448,0.5856,0.1536,0.09092,5,5.1399,4123.27533,4.63096,0.24675,0.08094,8.47553,0.03219,0.10874,0.38348,0.51419,0.46605,0.02499,0.02454,1.27903,0.00822,0.22215,0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss HC","Currency",2.45264,0.01883,0.025,0.4,494.28153,6.11995,3.91228,15.41935,2,0.31255,0.06797,8.05105,29,0.59315,0.16557,0.09477,5,5.27322,4544.41373,4.74207,0.25154,0.08297,8.10362,0.03333,0.11024,0.38459,0.53728,0.47488,0.025,0.02484,1.27674,0.00815,0.22298,0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss HC","Currency",2.36187,0.01963,0.02473,0.39976,490.02791,5.13467,3.75,14.73764,2,0.3125,0.06791,8.03763,29.53517,0.59812,0.16667,0.09441,5,5.60452,4731.88044,4.99191,0.26264,0.08326,8.83608,0.03277,0.11096,0.3824,0.5218,0.46545,0.025,0.02445,1.3093,0.00811,0.22082,0.33191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss HC","Currency",2.35183,0.01937,0.0237,0.39915,474.4221,5,3,13.912,2,0.31189,0.06874,8.51206,29.96306,0.6549,0.16611,0.092,5,5.39536,4195.71118,4.28816,0.26862,0.0837,9.63013,0.029,0.11111,0.3832,0.50868,0.45455,0.02498,0.02398,1.42998,0.00813,0.22184,0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss HC","Currency",2.35662,0.01891,0.0241,0.39022,447.14005,5,3,14.38658,2,0.30028,0.07075,9,29.98932,0.64098,0.16661,0.09127,5,5.49026,4242.44233,4.56755,0.26756,0.08598,9.90037,0.03163,0.11111,0.38309,0.52151,0.45469,0.02436,0.02334,1.40876,0.00828,0.21845,0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss HC","Currency",2.25248,0.01905,0.02465,0.39273,422.46511,5,3,13.77139,2,0.29188,0.06997,8.9971,30,0.62578,0.14981,0.09457,4.77209,5.38401,4167.08794,4.70026,0.26413,0.08983,9.85309,0.03183,0.11217,0.38607,0.53933,0.46739,0.02407,0.02408,1.34095,0.00819,0.21899,0.33592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss HC","Currency",2.21446,0.01812,0.02443,0.39162,444.53976,5.01988,3,14.16165,2,0.2991,0.06956,9,30,0.62736,0.1418,0.09564,4.48499,5.04767,4174.67995,4.696,0.26144,0.08962,9.5821,0.03176,0.11612,0.39786,0.50406,0.47613,0.02283,0.02339,1.39267,0.00795,0.22183,0.35093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
