"Day","Date","League","Type","A.Call.into.the.Void","A.Firm.Foothold","A.Forest.of.False.Idols","A.Gracious.Master","A.Master.Seeks.Help","A.Prodigious.Hand","A.Regal.Death","A.Valuable.Combination","A.Whispered.Prayer","Abnormal.Effulgence","Against.the.Tide","An.Unseen.Peril","Anarchy.s.End.I","Anarchy.s.End.II","Anarchy.s.End.III","Anarchy.s.End.IV","Ancient.Doom","Baptism.by.Death","Beyond.Sight.I","Beyond.Sight.II","Beyond.Sight.III","Beyond.Sight.IV","Blood.in.the.Eyes","Blood.of.the.Betrayed","Bountiful.Traps","Cleanser.of.Sins","Crushing.Squall","Custodians.of.Silence","Day.of.Sacrifice.I","Day.of.Sacrifice.II","Day.of.Sacrifice.III","Day.of.Sacrifice.IV","Deadly.Rivalry.I","Deadly.Rivalry.II","Deadly.Rivalry.III","Deadly.Rivalry.IV","Deadly.Rivalry.V","Deadly.Twins","Defiled.in.the.Sceptre","Dying.Cry","Echoes.of.Witchcraft","Ending.the.Torment","Erased.from.Memory","Erasmus..Gift","Fallow.At.Last","Fated.Connections","Fear.s.Wide.Reach","Fire.and.Brimstone","Fire.and.Ice","Fire.from.the.Sky","Fire..Wood.and.Stone","Flesh.of.the.Beast","Forceful.Exorcism","From.Death.Springs.Life","From.The.Void","Gilded.Within","Golden.Touch","Graceful.Flames","Heart.of.the.Fire","Heavy.Blows","Hidden.Reinforcements","Hidden.Vaal.Pathways","Holding.the.Bridge","Hunter.s.Lesson","Ice.from.Above","In.the.Grasp.of.Corruption","Kalandra.s.Craft","Lasting.Impressions","Lightning.Falls","Living.Fires","Lost.in.the.Pages","Monstrous.Treasure","Mouth.of.Horrors","Mysterious.Invaders","Nature.s.Resilience","Nemesis.of.Greed","Notched.Flesh","Overflowing.Riches","Path.of.Betrayal","Plague.of.Frogs","Plague.of.Rats","Pleasure.and.Pain","Pools.of.Wealth","Possessed.Foe","Power.Magnified","Rebirth","Reforged.Bonds","Resistant.to.Change","Risen.Blood","Roth.s.Legacy","Severed.Limbs","Smothering.Tendrils","Soil..Worms.and.Blood","Storm.on.the.Horizon","Storm.on.the.Reef","Strong.as.a.Bull","Thaumaturgical.History.I","Thaumaturgical.History.II","Thaumaturgical.History.III","Thaumaturgical.History.IV","The.Alchemist","The.Ambitious.Bandit.I","The.Ambitious.Bandit.II","The.Ambitious.Bandit.III","The.Apex.Predator","The.Beautiful.Guide","The.Beginning.and.the.End","The.Bloody.Flowers.Redux","The.Bowstring.s.Music","The.Brothers.of.Necromancy","The.Brutal.Enforcer","The.Child.of.Lunaris","The.Corrupt","The.Cursed.Choir","The.Dream.Trial","The.Dreamer.s.Dream","The.Eagle.s.Cry","The.Feral.Lord.I","The.Feral.Lord.II","The.Feral.Lord.III","The.Feral.Lord.IV","The.Feral.Lord.V","The.Flayed.Man","The.Flow.of.Energy","The.Forgotten.Garrison","The.Forgotten.Soldiers","The.Fortune.Teller.s.Collection","The.Four.Feral.Exiles","The.God.of.Misfortune","The.Hardened.Armour","The.Hollow.Pledge","The.Hungering.Swarm","The.Invader","The.Jeweller.s.Touch","The.Karui.Rebellion","The.King.s.Path","The.King.and.the.Brambles","The.Lady.in.Black","The.Last.Watch","The.Lost.Maps","The.Lost.Undying","The.Misunderstood.Queen","The.Mysterious.Gift","The.Nest","The.Petrified","The.Plaguemaw.I","The.Plaguemaw.II","The.Plaguemaw.III","The.Plaguemaw.IV","The.Plaguemaw.V","The.Prison.Guard","The.Prison.Key","The.Queen.s.Vaults","The.Scout","The.Servant.s.Heart","The.Sharpened.Blade","The.Silverwood","The.Singular.Spirit","The.Sinner.s.Stone","The.Snuffed.Flame","The.Soulless.Beast","The.Stockkeeper","The.Sword.King.s.Passion","The.Trembling.Earth","The.Twins","The.Unbreathing.Queen.I","The.Unbreathing.Queen.II","The.Unbreathing.Queen.III","The.Unbreathing.Queen.IV","The.Unbreathing.Queen.V","The.Undead.Brutes","The.Undead.Storm","The.Vanguard","The.Walking.Mountain","The.Ward.s.Ward","The.Warmongers.I","The.Warmongers.II","The.Warmongers.III","The.Warmongers.IV","The.Watcher.s.Watcher","The.Wealthy.Exile","Touched.by.the.Wind","Trash.to.Treasure","Twice.Enchanted","Unbearable.Whispers.I","Unbearable.Whispers.II","Unbearable.Whispers.III","Unbearable.Whispers.IV","Unbearable.Whispers.V","Undead.Uprising","Unnatural.Energy","Vaal.Invasion","Vaal.Winds","Visions.of.the.Drowned","Vital.Transformation","Waiting.in.Ambush","Weeping.Death","Wind.and.Thunder","Winter.s.Mournful.Melodies","A.Dishonourable.Death","A.Rift.in.Time","A.Vision.of.Ice.and.Fire","Agony.at.Dusk","Black.Devotion","Blind.Faith","Blinding.Light","Burning.Dread","Cold.Blooded.Fury","Cold.Greed","Crimson.Hues","Dance.of.Steel","Dark.Instincts","Darktongue.s.Shriek","End.of.the.Light","Greed.s.Folly","Last.of.the.Wildmen","Song.of.the.Sekhema","Sun.s.Punishment","The.Dreaded.Rhoa","The.Fall.of.an.Empire","The.Great.Leader.of.the.North","The.Great.Mind.of.the.North","The.Malevolent.Witch","The.Nightmare.Awakens","The.Queen.s.Sacrifice","The.Storm.Spire","Trapped.in.the.Tower","Battle.Hardened","Faith.Exhumed","The.Bishop.s.Legacy","The.Mentor","Ancient.Rivalries.I","Ancient.Rivalries.II","Ancient.Rivalries.III","Ancient.Rivalries.IV","Brothers.in.Arms","Echoes.of.Lost.Love","Echoes.of.Mutation","Storm.on.the.Shore","The.Aesthete.s.Spirit","The.Blacksmith"
55,"2018-04-25","Bestiary","Prophecy",0.47,0.42543,0.91435,5.08,0.86022,0.43217,0.46935,0.61435,0.47,0.4687,0.4313,0.47,0.47,1,4,4.31609,1.58457,0.42326,0.43196,0.44674,2.42522,0,0.47,0.4113,3.0063,8.91152,1.00435,0.45304,0.41304,0.46826,1,2,0.47804,0.60196,1.13109,3.43174,3,0.82957,0.52674,0.42304,NA,0.47,0.18435,0.98239,1.55761,865.14804,0.44804,7.95826,1,1,0.47,2.99913,0.46935,0.43935,0.46891,0.45239,0.47,0.47,0.47,0.42848,0.46109,1.04217,1.89043,0.47,1.83565,0.44,0.4887,0.45826,1.00043,1,3.64283,49.26913,0.45891,0.45022,0.86109,0.44413,0.46935,0.92957,0.71,1.23848,1.01457,0.38543,0.525,0.72761,0.43174,0.47,1.00239,0.78478,0.47,0.44174,0.84022,0.46217,0.63348,0.4613,0.46435,0.43935,0.44043,0.97,2.22326,2.1,0.41413,0.46957,0.99,0,1.25065,2.65652,0.44217,0.43304,2.95022,0.4687,0.46913,2.34261,0.46522,0.97304,0.88978,4.62304,0.44065,0.46435,2,14.71978,5.10326,19.01457,0.45283,0.42783,0.91978,0.47,0.98739,0.50978,0.4687,0.47,0.45174,1,0.47,19.52978,1,225.54783,0.46848,0.47,0.46587,0.46978,0.43304,0.63478,0.94261,0.7687,0.43239,0.46217,0.46761,1,2.77652,10.5413,0.43891,0.35696,3.07043,0.96848,8,0.47,0.4587,0.47,0.42239,0.42978,0.43109,0.47,0.43565,0.47478,0.82348,0.45587,0.59652,4.74522,14.59283,23.34348,0.41043,1,0.46848,0.43217,0.4463,0.4787,1,1.80804,6,0.43022,0.47022,0.67978,955.3513,11.39391,0.42326,0.39717,2,7.4237,15.98435,0.67283,1,2.86609,23.54391,0.41326,0.43261,0.995,0.46587,117.55,0.41935,40.27587,0.47,0.46652,0.44609,0.40304,1,0.47,0.44217,0.38261,0.47,0.42543,1,0.42978,8.33913,0.4187,0.45174,0.45217,1,0.4287,0.52283,0.35891,5,3.23935,0.42804,0.46543,28321.58152,0.47,0.41065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2018-04-26","Bestiary","Prophecy",0.47,0.43267,0.96911,4.93956,0.89578,0.42978,0.44978,0.53822,0.47,0.47,0.44978,0.70467,0.47,1.01733,4,4.428,1.72444,0.40511,0.50578,0.44267,1.68133,6.06857,0.46889,0.32267,2.90511,9.97822,0.93689,0.47,0.38978,0.46911,1,2,0.76067,0.51222,1.34178,3,2.88889,0.772,0.52778,0.44444,NA,0.47,0.30956,0.98489,2.35,870.04311,0.47,8.35356,1,1.92044,0.47,3,0.33133,0.46578,0.47,0.70533,0.47,0.47,0.47,0.43,0.44778,1.31667,2.30044,0.46267,1.84133,0.47,0.57711,0.46378,1.09733,1,4,47.84489,0.47,0.45689,0.938,0.46911,0.45867,0.98933,0.74867,1.38644,1.03667,0.39244,0.74667,0.49711,0.45356,0.47,1,0.47,0.47,0.44844,0.99778,0.47,0.46911,0.47,0.47,0.46733,0.45556,0.99156,1.862,2.18267,0.48133,0.47,0.94467,0,1.06244,2.39844,0.38667,0.46844,3.92778,0.46022,0.45533,3.75333,0.48156,0.90778,0.93267,3.87444,0.45111,0.44178,1.98622,15.09844,3.56111,19.88267,0.47,0.46,1,0.47,0.932,0.47,0.47,0.47,0.49511,0.83844,0.43933,19.39244,1.33756,226.566,0.46978,0.47,0.466,0.42044,0.46067,0.54622,0.938,0.88444,0.43222,0.43644,0.47,1,2.80244,10.03156,0.448,0.38422,3.66289,0.99667,8,0.47,0.464,0.47,0.418,0.43889,0.43689,0.47,0.44178,0.46267,0.69378,0.46533,0.80089,5.40089,13.41222,26.47533,0.42222,1,0.46911,0.46956,0.45511,0.48733,1,1.742,5.786,0.44933,0.46622,0.59489,971.85289,10.23333,0.45467,0.45356,2,7.93711,15.98578,0.70489,1,3.32267,23.10378,0.44422,0.43,0.99889,0.47,129.31,0.45356,44.902,0.46978,0.44378,0.42667,0.46867,0.98889,0.47,0.46978,0.43444,0.47,0.46333,1,0.42822,8.984,0.42267,0.468,0.47,1,0.45267,0.44556,0.42556,4.91667,4.37311,0.46956,0.46778,29209.57667,0.47,0.43156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2018-04-27","Bestiary","Prophecy",0.474,0.42356,0.97244,5.01,0.78978,0.41911,0.45089,0.48756,0.47156,0.46422,0.42622,0.55533,0.46956,1.48178,4.14267,4.442,1.82556,0.36422,0.52178,0.43533,1.33867,5.37689,0.43311,0.37756,2.71578,11.16889,1.22133,0.474,0.40578,0.474,1,2,0.80133,0.56667,1.03733,3,2.21378,0.48022,0.78956,0.42822,NA,0.46289,0.33911,0.98867,2.37,874.59378,0.47044,7.24311,1,1.84733,0.474,3,0.22822,0.47333,0.474,0.37956,0.474,0.46378,0.45333,0.422,0.41956,1.64,2.06022,0.40556,1.56622,2,0.486,0.43489,1.05267,1,4,48.51,0.43933,0.36467,0.98933,0.474,0.42356,0.68,1,1.24711,1.04489,0.34644,0.65244,0.56578,0.45756,0.458,1,0.474,0.45511,0.42533,1,0.47133,0.452,0.47378,0.468,0.43133,0.44022,1.13044,2.04733,2.22,0.31422,0.474,0.66933,10,1.60911,2.53711,0.392,0.42889,3.99422,0.43111,0.41956,1.75067,0.474,0.83578,1,4.18867,0.44822,0.46422,2,17.02489,9.138,19.81778,0.45911,0.45311,1,0.474,1,0.47089,0.454,0.474,0.65244,0.88533,0.264,19.38111,1.95111,214.63956,0.474,0.45533,0.45222,0.48622,0.46356,0.93156,0.71956,0.69778,0.43222,0.41556,0.474,1.46933,3.40356,10.64756,0.42644,0.39422,3.14311,0.91089,8.02133,0.45756,0.42489,0.46156,0.43578,0.42156,0.45178,0.474,0.41956,0.428,0.51733,0.46578,0.95244,6.24756,14.95622,29.78778,0.42133,1.02533,0.446,0.47178,0.44644,0.47867,1,1.69556,4.96933,0.43333,0.418,0.50956,919.48978,9.97156,0.436,0.474,2,8.458,15.99467,0.84,1,3.498,23.09267,0.60933,0.42956,0.95378,0.46822,137.476,0.424,45.93756,0.45956,0.426,0.44978,0.474,1,0.474,0.46733,0.44111,0.474,0.44133,1,0.42978,8.13556,0.41711,0.44867,0.432,1,0.46,0.47578,0.43356,4.90244,5.02933,0.47111,0.46156,32674.83333,0.45689,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2018-04-28","Bestiary","Prophecy",0.47,0.47,1,5,0.7301,0.42,0.42,0.48,0.47,0.45,0.4201,1,0.46,1.70063,4.35,4,1.0402,0.39,0.43,0.47,1.54,4.26375,0.41,0.4,4,13.67322,1.32,0.47,0.42,0.47,1,2,0.92368,0.65,1,2.99045,2,0.72,0.55,0.42,NA,0.47,0.5,1,2.35,857.04,0.47,7.19204,1,1.7701,0.47,3,0.2501,0.47,0.47,0.45,0.47,0.42,0.43,0.4,0.44,1,1,0.42,1.5801,2,0.67,0.4502,1.6,1,4,47.43051,0.41,0.3502,1,0.47,0.42,0.8602,1,1.31031,1,0.29,1,0.72,0.44,0.47,1,0.47,0.47,0.41,1,0.47,0.47,0.47,0.46,0.43,0.43,1.14,1.21,2.22,0.42,0.47,0.47,10,1.68031,2,0.3501,0.41,4,0.2701,0.43,1.59,0.46,1,1,5,0.44,0.47,2,16.04313,8.65,15.98,0.43,0.42,1,0.47,0.99,0.47,0.46,0.47,0.47,1,0.21,19.16153,1.4,200,0.47,0.43,0.45,0.4701,0.47,0.51,0.9,0.93,0.42,0.43,0.47,2,3.98,10.78,0.4001,0.39443,3,0.8501,9,0.45,0.41,0.46,0.42,0.43,0.43,0.47,0.41,0.47,0.64,0.47,0.96,6.21,15,39.95,0.42,1.08,0.43,0.47,0.46,0.48,1,1.62,4.73,0.42,0.41,0.43,955.51,10,0.42,0.47,1.32,7.59,15.80786,0.84,1,3.32,22.00173,0.61,0.48,1,0.47,143.02,0.43,48.00133,0.4202,0.42,0.45,0.47,1,0.47,0.43,0.44,0.47,0.47,1,0.43,8,0.42,0.45,0.41,1,0.44,0.48041,0.43,5,4,0.47,0.45,32530,0.47,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2018-04-29","Bestiary","Prophecy",0.47,0.47,1,5,0.48,0.41,0.41,0.47,0.47,0.41,0.45,0.47,0.46,2,4.72,4.23,2,0.38,0.4401,0.47,1.45,4.19,0.41,0.36,3,14,1.5,0.46,0.41,0.47,1,2,0.78214,0.72,1,2,2,0.62,0.54,0.45,NA,0.47,0.41,0.99,2.35,860.265,0.47,8,1,1.63,0.47,3,0.4,0.47,0.47,0.44,0.47,0.46,0.42,0.22,0.32,1.9,1,0.41,2,2,0.47,0.47,2,1,3.05,46.0102,0.41,0.37,1,0.47,0.41,0.71,1,1,1.57,0.39,1.2,0.47,0.4201,0.47,1,0.47,0.38,0.38,1,0.47,0.48,0.4,0.47,0.43,0.43,1.21,1.13,2.22,0.35,0.47,0.68,10,1,2,0.26,0.43,4,0.28,0.45,1.3,0.43,1,1,4,0.45,0.47,2,16.30138,5.58313,18.43,0.47,0.44,1,0,1,0.45,0.47,0.42,0.49,1,0.2,20,1,187.37673,0.47,0.44,0.44,0.47,0.47,0.47,0.54041,0.744,0.41,0.43,0.47,2.36,3.66,10.8,0.45,0.4,3,0.83,23.31298,0.47,0.41,0.47,0.39,0.47,0.47,0.47,0.41,0.63031,0.46,0.47,0.96,6,15,28,0.41,1.53,0.41,0.47,0.41,0.48,1,1.67,4.85,0.47,0.41,0.42,883.25625,10,0.46,0.47,1.58,6.47,16.65,0.8,1,5.59,22.35224,0.62,0.48636,0.83041,0.47,138.81909,0.47,45.1602,0.47,0.23,0.4001,0.46,1,0.47,0.47,0.47,0.47,0.42,1,0.47,9,0.46,0.47,0.41,1,0.46,0.74,0.41,4.4,4,0.47,0.47,31592.5,0.47,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2018-04-30","Bestiary","Prophecy",0.48,0.48,0.95,5,0.8002,0.41,0.43,0.48,0.48,0.41,0.43,0.49,0.65,1.48,4.72,3.89,1.57041,0.41,0.47,0.48,1.72,3.2,0.42,0.47,3,13,1,0.47,0.44,0.48,1,2,0.976,0.73,0.76,2,2,1,0.54,0.47,NA,0.48,0.35,1,2.4,845.68846,0.48,5.27684,1,1,0.48,3,0.44,0.48,0.48,0.44,0.48,0.4101,0.46,0.13,0.3701,1.9001,1,0.4,1.5202,2,0.48,0.48,2,1,3.01,45,0.41,0.45,1,0.48,0.41,0.8302,1,1,1.63,0.4,1.2,0.47,0.43,0.44,1,0.48,0.4,0.41,1,0.48,0.48,0.42,0.48,0.44,0.45,2.04,1.21,10.2,0.37,0.45,0.63,8,1,2,0.34,0.45,4,0.42,0.47,1.3,0.47,1,1,4,0.48,0.4701,2,22.29345,4.08,20,0.48,0.41,1,0,1,0.48,0.48,0.4,0.63,1,0.37,20,1,178.83459,0.48,0.43,0.3901,0.48,0.47,0.48,0.99,0.97,0.41,0.47,0.61426,3,3.5,14.7,0.48,0.4,3,0.48,22.54184,0.48,0.41,0.48,0.4,0.47,0.48,0.48,0.42,0.86,0.48,0.48,1,8.685,15,0,0.4301,1.52,0.41,0.47,0.42,0.86,1,1,4.91,0.47,0.41,0.42,898.74222,10,0.47,0.47,1.69,6.47,18,0.7,1,6.17,23,1,0.47,0.82,0.46,131.17,0.48,49,0.48,0.4,0.35,0.48,1,0.4701,0.48,0.47,0.48,0.44,1,0.48,8.96985,0.47,0.4501,0.4501,0.99,0.47,0.96,0.45,4,5,0.48,0.45,32227.5,0.48,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2018-05-01","Bestiary","Prophecy",0.48,0.47,0.99,5,0.5802,0.4,0.4701,0.4701,0.48,0.35,0.47,0.5801,0.48,2,3.01,3.89,1,0.33,0.48,0.48,1,2.4,0.45,0.47,3,14.71,1.58,0.45,0.46,0.48,1,2,1,0.7,0.78,2,2,1,0.48,0.47,NA,0.48,0.47,1,2.4,886.56591,0.48,5,1,1,0.48,3,0.45,0.48,0.48,0.48,0.48,0.42,0.46,0.47,0.4,2,1,0.45933,1,0.78,0.48,0.48,2,1,3,44.0002,0.41,0.48,1,0.48,0.45,0.96,1.94,1,1.52082,0.4,1.2,0.48,0.46,0.46,1,0.48,0.42,0.41698,1,0.46,0.48,0.33,0.48,0.4,0.45,2.03,1.2,10.2,0.41,0.47,0.57,3.5,1,2.28,0.45,0.45,4.93,0.47,0.47,1,0.48,1,1,4,0.48,0.47,1.95,20.29077,4.99,23.88,0.48,0.4,1,0,1,0.48,0.48,0.47,0.49,0.98,0.48,20,1,175.9249,0.48,0.45,0.44,0.48,0.48,0.96,0.95,0.99,0.47,0.4701,0.52023,3,2.67875,14.99,0.48,0.4,3,0.9801,20.47,0.48,0.42,0.48,0.41,0.48,0.48,0.48,0.4701,0.94,0.48,0.48,1,8.56,20.38105,61,0.48,1.74,0.45,0.43,0.42,0.95,1.24,1,4.68,0.48,0.47,0.42,966.12875,10.0001,0.48,0.47,1.72,49.6,20,0.53,1,5,22.52,1,0.47,1,0.47,130.54,0.48,48.99063,0.48,0.37,0.3901,0.48,1,0.47,0.47,0.41,0.48,0.41,1,0.48,8,0.47,0.48,0.47,0.99,0.48,0.97,0.41,4,4.06,0.48,0.47021,31655,0.48,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2018-05-02","Bestiary","Prophecy",0.47,0.47,0.94,5,0.5502,0.4,0.47,0.47,0.42,0.34,0.47,0.48,0.47658,2,2.31,4.06,1,0.33,0.47,0.47,1,2.66,0.41,0.4,3.03571,15,1.60531,0.41,0.47,0.47,0.98,126.3,0.9975,0.96,0.82,1.66,1.945,0.5,0.47,0.47,NA,0.47,0.47,1,2.35,870.42923,0.47,5,1,1.05102,0.47,3,0.44,0.47,0.47,0.47,0.47,0.47,0.44,0.32,0.4,1.5251,1,0.47,1,0.77,0.47,0.47,1,1,2.65,45,0.32,0.4,1,0.47,0.47,0.85,5,1,0.96,0.41,1,0.48,0.44,0.47,1,0.48,0.47,0.4,1,0.47,0.47,0.39,0.47,0.41,0.47,1,1.18,10.2,0.4,0.47,1,3.5,1,2.04,0.47,0.47,4,0.47,0.46,1,0.47,0.9402,1,4,0.47,0.47,1.78,22.23949,7.19,20.77,0.47,0.42,1,0,0.9551,0.47,0.47,0.47,0.675,0.92061,0.47,19,1,175.97143,0.47,0.47,0.44,0.47,0.47,0.99,0.6602,0.8524,0.47,0.47,0.48,3,3.91,14.35,0.47,0.41,3,0.74,19.49388,0.47,0.44,0.47,0.4,0.47,0.46,0.42974,0.41908,0.97,0.4551,0.47,1,6.96,25.04,40.13,0.47,2,0.47,0.4,0.45,1,1.05,1,4.86109,0.47,0.47,0.44,968.01,10,0.47,0.47,1.56,20.31,19.99886,0.41,1,5,20.05612,1.4,0.58,0.46,0.47,127.86,0.47,49,0.47,0.45,0.4,0.47,1,0.47,0.45,0.47,0.47,0.4,1,0.42,8,0.47,0.47,0.47,1,0.47,0.9951,0.4,4,4.4,0.47,0.45,31500,0.47,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2018-05-03","Bestiary","Prophecy",0.46929,0.465,0.8,5,0.81,0.39,0.47,0.44,0.41,0.34,0.46268,0.47,0.92,2,2.31,3.88,1.01,0.36,0.47,0.46667,1.5,2.69,0.4531,0.39,3,13.26082,1,0.4,0.47,0.46959,1.01,126.47,0.58707,0.96,0.72,1.7,2,0.46,0.46,0.47,NA,0.47,0.44,0.87333,2.35,781.791,0.44,5,1,1,0.49,3,0.4,0.47,0.47,0.47,0.41,0.47,0.45,0.3901,0.42,1.34031,1,0.47,1,0.95,0.47,0.41,1.50082,1,2,46.18031,0.3801,0.4,0.45,0.47,0.46,0.96,5,0.9901,1.00051,0.4,4,0.5801,0.46,0.47,1,0.75,0.38,0.39,1,0.41,0.41,0.39,0.46205,0.41,0.47,1,1.24,8,0.43,0.47,1,3.5,1,2,0.47,0.47,4.41122,0.47,0.44,1,0.4502,0.98,1,4,0.47,0.47,1.42,27.19082,7.57,20,0.42,0.44,1,0,0.8701,0.43,0.47,0.47,0.47,0.7801,0.47,20,1.34,153.31796,0.47,0.47,0.47,0.41,0.47,1,0.42,0.81,0.47,0.4501,0.46951,3,2.97682,19,0.47,0.41,3,0.57,18,0.47,0.45,0.47,0.22,0.47,0.46,0.46,0.43,0.96,0.41,0.47,1,5.73059,25.658,49.67,0.47,2,0.47,0.4,0.43,1,1,1,5.86,0.47,0.45,0.47,969.27,11,0.46,0.46348,2.26,20.31,21.16,0.41,1,5,22,1,0.58,0.72,0.47,126.47,0.42,55,0.46951,0.45,0.4,0.4,1,0.4101,0.43,0.47,0.45,0.39,1,0.43,8,0.44,0.45,0.47,1,0.47,0.65031,0.41,4,5,0.41,0.39667,31432.5,0.47,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2018-05-04","Bestiary","Prophecy",0.45,0.45,0.83,5,0.64082,0.39,0.41,0.44,0.43,0.39,0.45,0.62,0.98458,2,2.31,3.94,1.21041,0.39,0.45,0.45,1.59,2.69,0.45,0.39,3.16061,10.59,1,0.3718,0.41,0.45,1.02,126.58,0.64,0.96,0.58,1.82,1.74,0.49061,0.45,0.45,NA,0.45,0.45,1,2.25,788.36071,0.4,6,1,1,0.5,3,0.42,0.45,0.45,0.45,0.41,0.45,0.44,0.42,0.44,1.8801,1,0.45,1,0.95,0.39,0.41,1,1.295,2,47.0801,0.26,0.41,0.45,0.45,0.45,1,1.79,0.82,1,0.4,4,0.45,0.41,0.45,1,0.75,0.383,0.4,1,0.4,0.45,0.39,0.45,0.4,0.45,1,1.24,10.01,0.41,0.45,1.94,3.5,1,2,0.45,0.45,4.71,0.45,0.44,1,0.45,0.98,1,3.4,0.45,0.45,1.19,25,8,20,0.52,0.45,1,0,1,0.45,0.45,0.45,0.45,0.9,0.45,20,1.16867,155.47255,0.45,0.45,0.42,0.41,0.45,0.83041,0.44,0.45,0.45,0.45,0.45,3,2.49,19.12,0.4,0.43,2.82,0.45,15,0.45,0.42,0.45,0.32,0.45,0.45,0.44,0.44,0.45,0.41,0.45,1,3.44,15.15,48.35,0.45,1.11,0.45,0.4,0.43,1,1,1.57,13.82,0.45,0.45,0.44,976.41,10,0.45,0.45,3,16.76,27.05,0.35,1,3.62,22,1,0.63,1,0.45,126.555,0.43,55,0.45,0.43,0.4,0.4,1,0.44,0.41,0.45,0.45,0.39,1,0.45,7.09059,0.44,0.45,0.45,0.96,0.45,0.69,0.44,3.36,4.79,0.45,0.39,25294,0.45,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2018-05-05","Bestiary","Prophecy",0.44,0.44,0.96,5,0.44,0.38,0.41,0.44,0.44,0.38,0.44,0.76,0.88,2,2.6,3.94,2,0.39194,0.44,0.57,3.7,3.28,0.44,0.43,2.5501,10.99359,0.93,0.38,0.41,0.44,1.02,127.03,0.75,0.94,0.53,2,1.76,0.4,0.45,0.44,NA,0.44,0.44,1,2.25,722.79808,0.42,5,1,1,0.5,3,0.41,0.44,0.44,0.41,0.38,0.44,0.44,0.39,0.41,1.42,1,0.41,1.3201,0.79,0.4,0.42,1,1,2.64,47.78041,0.28031,0.42,0.44,0.44,0.44,0.87,1.79,0.76,1,0.39,4,0.44,0.4,0.42,1,0.76,0.41,0.38,1,0.4,0.44,0.38,0.44,0.4,0.44,1,1.24,3.21,0.39,0.44,5,3.5,1,2,0.44,0.43,4,0.43,0.44,0,0.41,0.98,1,3,0.44,0.44,1.2,24.2002,8,21.05,0.53,0.44,1,0,1,0.4401,0.34,0.44,0.4,0.9,0.44,18.66235,1.44,155.0401,0.44,0.44,0.42,0.4,0.42,1,1,0.44,0.44,0.43,0.44,3,2.51,19,0.28,0.42,2.7,1,15,0.43,0.42908,0.44,0.38,0.44,0.44,0.39,0.44,0.44,0.41,0.4,1,3.23,15,50.44,0.42,1.47041,0.4,0.4,0.41,1,1,1.89,13.82,0.44,0.44,0.44,1206.12,4.9601,0.41,0.43,2.56,16.76,22.38,0.35,1,3.4,22,1,0.58,0.89,0.44,114.22214,0.42,51.41,0.44,0.41,0.4,0.42,0.88,0.45,0.41,0.44,0.44,0.4,1,0.44,5.94,0.42,0.44,0.44,0.89,0.44,0.95,0.44,2.76,4.74,0.44,0.4,0,0.44,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
