"Day","Date","League","Type","Agony.Collar","Agony.Heart","Agony.Medallion","Andvarius","Angler.s.Plait","Araku.Tiki","Ascent.From.Flesh","Astramentis","Atziri.s.Foible","Auxium","Bated.Breath","Behemoth.Torc","Belt.of.the.Deceiver","Berek.s.Grip","Berek.s.Pass","Berek.s.Respite","Bisco.s.Collar","Bisco.s.Leash","Blackheart","Blood.of.Corruption","Bloodboil","Bloodgrip","Brinerot.Mark","Call.of.the.Brotherhood","Carnage.Heart","Chimeric.Scarab","Choir.of.the.Storm","Cyclopean.Coil","Daresso.s.Salute","Darkness.Enthroned","Death.Rush","Demigod.s.Eye","Demon.Beads","Dire.Collar","Dire.Scarab","Doedre.s.Damning","Doryani.s.Invitation","Dream.Fragments","Dyadian.Dawn","Eagle.Braid","Emberwake","Essence.Worm","Extractor.Mentis","Eye.of.Chayula","Eye.of.Innocence","Eyes.of.the.Greatwolf","Faminebind","Feastbind","Gifts.from.Above","Gloomfang","Headhunter","Heartbound.Loop","Hinekora.s.Sight","Horror.Clasp","Hypnotic.Choker","Hypnotic.Noose","Immortal.Flesh","Impresence","Kaom.s.Sign","Kaom.s.Way","Karui.Charge","Karui.Ward","Kikazaru","Le.Heup.of.All","Lori.s.Lantern","Malachai.s.Artifice","Maligaro.s.Cruelty","Maligaro.s.Restraint","Marylene.s.Fallacy","Meginord.s.Girdle","Ming.s.Heart","Mokou.s.Embrace","Mutewind.Seal","Nemesis.Strap","Ngamahu.s.Sign","Ngamahu.Tiki","Night.s.Hold","Perandus.Blazon","Perandus.Signet","Perseverance","Plague.Noose","Praxis","Presence.of.Chayula","Prismweave","Pyre","Rashkaldor.s.Patience","Redblade.Band","Rigwald.s.Crest","Rigwald.s.Curse","Romira.s.Banquet","Ryslatha.s.Coil","Shaper.s.Seed","Shavronne.s.Revelation","Sibyl.s.Lament","Sidhebreath","Snakepit","Soul.Tether","Soulthirst","Star.of.Wraeclast","Stone.of.Lazhwar","Sunblast","Talisman.of.the.Victor","Tasalio.s.Sign","Tear.of.Purity","Tempest.Torc","The.Anvil","The.Ascetic","The.Aylardex","The.Halcyon","The.Hungry.Loop","The.Ignomon","The.Magnate","The.Pandemonius","The.Pariah","The.Retch","The.Taming","The.Warden.s.Brand","Thief.s.Torment","Timeclasp","Umbilicus.Immortalis","Ungil.s.Harmony","Valako.s.Sign","Valyrium","Ventor.s.Gamble","Victario.s.Acuity","Voice.of.the.Storm","Voideye","Voidheart","Voll.s.Devotion","Warped.Timepiece","Winterheart","Woe.Clasp","Wrath.Locket","Wurm.s.Molt","Xoph.s.Blood","Xoph.s.Heart","Yoke.of.Suffering","Blightwell","First.Piece.of.Time","Gluttony","Mark.of.the.Elder","Mark.of.the.Shaper","Natural.Hierarchy","Second.Piece.of.Time","Stormfire","The.Effigon","The.Flow.Untethered","The.Nomad","The.Tactician","Timetwist","Winterweave","Ahkeli.s.Meadow","Ahkeli.s.Mountain","Ahkeli.s.Valley","Aul.s.Uprising","Coward.s.Chains","Coward.s.Legacy","Demigod.s.Bounty","Hyperboreus","Mark.of.Submission","Perquil.s.Toe","Precursor.s.Emblem","Putembo.s.Meadow","Putembo.s.Mountain","Putembo.s.Valley","Sacrificial.Heart","Solstice.Vigil","String.of.Servitude","The.Primordial.Chain","Uzaza.s.Meadow","Uzaza.s.Mountain","Uzaza.s.Valley","Vivinsect","Zerphi.s.Heart","Badge.of.the.Brotherhood","Circle.of.Anguish","Circle.of.Fear","Circle.of.Guilt","Circle.of.Nostalgia","Circle.of.Regret","Hyrri.s.Truth","Icefang.Orbit","Siegebreaker","Tavukai","The.Jinxed.Juju","Venopuncture","Hallowed.Ground","Astral.Projector","Fury.Valve","Leash.of.Oblation","Mother.s.Embrace","Warrior.s.Legacy","Willowgift"
70,"2019-11-14","Blight","UniqueAccessory",NA,NA,NA,8.94,0,0.2,20,60,3,2,0.21,NA,1,10,3,157.1218,20,40,0.89015,0,0.43005,0.59,2,10,3,NA,29.13,2.4203,4,1,1,0,NA,NA,NA,2,1,2.03,0.84,NA,1,4.0003,0.21,1.9302,1.72,0,2,2.65005,4,2,8678.45556,0.6,3,NA,NA,NA,0.43035,10,0.6,55,10,0.9701,1,8,1,0.53,1,0.3,1,1,1,0.6,1,NA,1,3.09,0,1,5,1,NA,1,95,1,1.40005,0.37,1,2,0,1,10,0.3302,18,0.59,0.93,2,2.54,1,0,0.21,0.21,NA,1,0.21,NA,0.21,19.52096,0.46,471.37315,2,0.2,1,504.0003,40,17,235.70081,1,8.23015,1,3.07,0.21,13.12,1,24.54111,1,8,1,3.76,147.7,1,1,NA,NA,0.32005,320.25025,266.93,9.55015,0,3,1,3,3,0,2,1,6.34,10,63.65131,30,10,11.07,100.66149,8,19,50,4,140,NA,3,2,0.99,63.92,40,235.70271,19,2,70,0,60,15,60,345.44,4,114.65,83.22222,30,73.25288,40,27.96121,24.38,10.01,2.8304,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
71,"2019-11-15","Blight","UniqueAccessory",NA,NA,NA,3.85076,0,0.21,20,60,2.35051,2,0.21,NA,1,13,3,158,15,40,1,0,0.42005,0.6,1.18,10,3,NA,30,2,4,1,1,0,NA,NA,NA,1,1,1.80051,0.99,NA,1,5,0.39015,1.3603,2,0,2,2.95,4,2,8709.80278,0.82,3,NA,NA,NA,0.46,10,0.52005,50,10,0.98,1,6.35061,0.95,0.79005,1,0.21,1,1,1,0.95,1,NA,1,3,0,0.95005,5,1,NA,1,88.54015,1,1.90025,0.44,1.00015,2.28,0,1,10,0.21,18,0.6,1,1.00278,3,1,0,0.21,0.21,NA,1,0.21,NA,0.4701,15,0.21,474,1.5504,0.21,0.6,505.6,42.95106,16.29042,237,1,8,0.63,4,0.43,14.84,1,23.9302,1,8,1,4.44,136.69407,1,1.34101,NA,NA,0.43005,316.74,257.37146,10,0,3,0.97005,3,3,0,2.47,2,5.12,10,61.88045,30,10,10,107.24545,8.3502,18.52,50,4,138.11,NA,2.67,2,1,65.71,40,237,18.7,2,60,0,60,15,50,338.80096,3.84035,114.13,86.2652,30,100,33.96328,26.1301,25,12.70066,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
72,"2019-11-16","Blight","UniqueAccessory",NA,NA,NA,18.04258,0,0.21,20,60.00146,2,2,0.42,NA,1,10,3,157.49735,16.34015,40,1,0,0.6,0.21,2,8.96005,2.99005,NA,30,2,3,1,1,0,NA,NA,NA,1,1,1,0.96,NA,1,5,0.21,1,1.25056,0,2,2.65015,4,1,8655.375,1,3,NA,NA,NA,0.6,10,0.61,50,10,0.95,1,5.78086,0.6,1,1,0.28,1,1,1,0.96,1,NA,1,3.54,0,1,5,1,NA,1,90,1,2,0.41,2,2,0,1,10,0.21,17.33,0.6,0.99,1,2.20035,1,0,0.54005,0.21,NA,1.44,0.21,NA,0.46,14.91,0.21,472.45006,2,0.21,0.98,488.25187,40,16.32,236.24005,1,7.49,0.52015,3.23,0.21,19.34,1,18.52045,1,8,1,4.92,133.98,0.59,1,NA,NA,0.6,335.1804,251.71755,10,0,3,1,3,3,0,3,1,5.84,10,60.33,30,10,10,101.84,7.39025,16.47106,53.45914,4,140,NA,2.48015,1.89,0.9,68.27146,40,235.53,18,2,60,0,56.68333,15,50,345.44,4,116.86244,99.73106,29.04005,76.39177,33.04106,20.84096,20,12.66,2.00035,1,4.19,1,1,NA,NA,NA,NA,NA,NA,NA
73,"2019-11-17","Blight","UniqueAccessory",NA,NA,NA,15,0,0.21,15,75,3,1.07005,0.21,NA,0.89005,11,3,158.30786,23.11,35,0.98005,0,0.39005,0.42,2,8.5801,2,NA,30,1.01005,3,1,1,0,NA,NA,NA,1,1,2,1,NA,1,5,0.44,1,2,0,2,3,4,1,8649.86667,0.6,3,NA,NA,NA,0.5,10,0.7301,50,10,0.97005,1,7,0.6,0.6,1,0.21,1,0.92005,1,1,1,NA,1,5,0,0.93,5,1,NA,1,85.00758,1,1.03,0.50005,1,2,0,1,10,0.44,16.72,0.59,0.98,1,2,1,0,0.35005,0.21,NA,1,0.21,NA,0.44,15,0.45,472.58732,2,0.21,1,501.89258,32.27268,16.85,236.50086,1,8,0.58005,3,0.21,19.32,1,15.30136,1,8,1,4.43,124.73,0.63,1,NA,NA,0.43,316.72,258.31227,10,0,2,1,3,3,0,2,1,6.33,10,60,34.75883,9.86,11.27,110,5,15,50,4,140,NA,2,1.16005,1,57.33,35,189.6,15,2,60,0,50,14.81,50,316.02,4,125.5425,100,30,52.54066,30,20,19.37035,12.75,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
74,"2019-11-18","Blight","UniqueAccessory",NA,NA,NA,8.93035,0,0.21,15,75,2.84005,1.73136,0.2301,NA,1,14.0001,3,159.61188,22.92,39.1401,0.96,0,0.5,0.55,2,9.00076,2,NA,30,2,3.58035,1,1,0,NA,NA,NA,1,1,1.12045,1,NA,1,5,0.21,1,2,0,2,2.97,4.2601,2,8616.25091,0.58,3,NA,NA,NA,0.42,10,0.58,56.8403,12.47,1,1,7,0.59,0.9801,1,0.21,1,1,1,1,1,NA,1,5,0,1,5,1,NA,1,85,1,1.37,0.49,1.13,2,0,1,10,0.43,15.87,0.57005,1,2,3,1,0,0.21,0.21,NA,1,0.21,NA,0.46,15,0.36,477.43392,2,0.21,0.5601,525.23333,30,17.87,238.75298,1,9,0.63,3,0.21,20,1,20,1,9.72,1,5,124.09,0.59,1,NA,NA,0.58,319.1204,256.2385,13,0,2,1,3,3,0,2,1,5.74,10,62.35,40,9.4,10,105.67,5,15.14,45,4,140,NA,2,2,0.83,66.95273,35,199.905,19,2,55,0,54.11,15,49.57,317.98,4,126.15837,100,25,47.97354,29.6504,20,18.68066,13,3,1,4,1,1,NA,NA,NA,NA,NA,NA,NA
75,"2019-11-19","Blight","UniqueAccessory",NA,NA,NA,10,0,0.21,19.45025,79.42116,2,2,0.32005,NA,1,14.00061,3,163.02846,20.09116,40,0.99005,0,0.42,0.58,2,10,2,NA,30.96585,2,3,1,1,0,NA,NA,NA,2,1,1,1,NA,1,5,0.21,1,2,0,1.99,3,5,2,8777.75889,0.6,3,NA,NA,NA,0.42,10,0.7004,50,12.68,1,1,5.1,0.96,0.58,1,0.21,1,1,1,0.95,1,NA,1,5,0,0.83005,5,1,NA,1,90,1,1.24005,0.57,1.3,2,0,1,10,0.31,18.21,0.58,1,2,3,0.9,0,0.21,0.21,NA,1.12,0.35,NA,0.56,9.42101,0.42,486.24563,1.77,0.21,0.44005,520.6404,25.3301,19.07769,244.20091,1,8,0.4901,3,0.21,20,1,15,1,8,1,5,131.6,1,1,NA,NA,0.57,327.08,267.37444,15,0,2,1,3,3.0001,0,2,1,7.18,10,60,39.92,10,10,107.34,5,15,47.96354,3.5,140,NA,2.38,2,1,70,35,224.51702,20,2,60,0,60,15,47.27,341.3908,4,128.06,100,25,50,31.52126,20,19.49045,12.62,2.34,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
76,"2019-11-20","Blight","UniqueAccessory",NA,NA,NA,10,0,0.21,15,80,3,1.18,0.21,NA,1,15,3,162.76984,21.02035,40,1,0,0.56,0.55,2,10,3,NA,33.07,1.9,3,1,1,0,NA,NA,NA,2,1,1,1,NA,1,5,0.21,1,2,0,2,2.78,5,2,8687.30126,0.7901,3,NA,NA,NA,0.52,10,0.7101,50,11.2,1,1,6.00015,1,0.69,1,0.21,2.66081,0.99,1,0.82,1,NA,1,5,0,0.8802,5,1,NA,1,90,0.95005,1,0.51,1.99,2,0,1,10.24,0.21,18.2,0.56,1,2,3,0.97,0,0.27,0.21,NA,2,0.41,NA,0.41,6,0.44,486.41889,2,0.20005,0.56,518.82096,29.8803,19.34,243.0004,0.97,9,0.56,3,0.22,20,1,14.73136,1,8,1,5,130,1,1,NA,NA,0.46005,324.4201,273.49594,17.58025,0,2.87005,1,3,3.76076,0,2,1,7.18,10,59.2101,35,10,10,100,5,15,48.22242,3.76,135,NA,2,2,1,50,37.47,232.32,20,2,68.1001,0,60,15,50,352.6024,4,124.67,99.79005,30,48.60121,30,20,18.56157,13,3.28,1,5.78,1,1,NA,NA,NA,NA,NA,NA,NA
77,"2019-11-21","Blight","UniqueAccessory",NA,NA,NA,13,0,0.21505,15,80,2.88,1,0.21505,NA,1,15,3,193.19435,20,40,0.97,0,0.4901,0.56,2,10,2.94,NA,32.55015,1.6803,3.72525,1,1,0,NA,NA,NA,2.64505,1,2,0.81,NA,1,5,0.36,1,2,0,2,2.38,5,2,8683.17576,0.91,3,NA,NA,NA,0.55,14.35,0.96,49.49,12.83,1,1,7,0.9,0.55,1,0.21505,1,1,1,0.98,1,NA,1,5,0,0.99505,7.78,1,NA,1,100,1,2,0.49,1,2,0,1,13.7801,0.21505,15,0.53,0.55,2,3,0.82,0,0.21505,0.29,NA,2,0.41,NA,0.39515,6.06,0.43515,478.90681,1.94,0.21,0.43505,517.26778,24.28,20,242,1,9.07505,0.52,3,0.22,20,1,19.88111,1,8,1,5,129.61,1,1,NA,NA,0.54,324.04,279.45083,20,0,2.09,1,3,3.0303,0,2.41,1,8.47,10,57.05,33.44,9.98,10,99.08643,5,15,53.69859,3.41,138.72958,NA,2.28,1,0.8601,59.12,40,242,20,2,80,0,60,15,50,354.07618,4,141.84,94.36071,30,56.67727,29.89606,30,14.31525,13,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
78,"2019-11-22","Blight","UniqueAccessory",NA,NA,NA,14.49,0,0.22,15,80,3,1,0.22,NA,1,15,3,190.83029,20,40,0.67005,0,0.54005,0.55,2,10,3,NA,33.57,2.94005,3.14015,1,1,0,NA,NA,NA,1.59,1,2,0.98,NA,1,5,0.41,1,2,0,2.82,2.97,4,2,8661.60273,1,3,NA,NA,NA,0.35,15.49,0.54,50,12.8,1,1,8,0.82,0.55,1,0.22,1,1,1,0.55,1,NA,1,5,0,0.95,7,1,NA,1,110.74,1,1.04,0.87025,1,2,0,1,15,0.22,15,0.55,0.99005,2,3,1,0,0.22,0.22,NA,2,0.41,NA,0.55,8,0.48,449.485,1,0.22,0.62,514.90152,29.31,20.75,240.56,1,9,0.92,3,0.22,20,1,20,1,8.29,1,5,128.56,1,1,NA,NA,0.47005,320.74,273.78615,20,0,2.73,1,3,3,0,2,1,8.54,7.82,56.43071,35,9.99,10,98.55,5,13.16,70,4,140,NA,2.76,2,0.54,52.96061,37.26,240.68357,20,1.96,75,0,50,15.76,50,352.72394,4,150.789,94.72,17.8604,69.65177,20,20,15,13.97025,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
79,"2019-11-23","Blight","UniqueAccessory",NA,NA,NA,22,0,0.23,15,80,3,1.41298,0.23,NA,1,11,3,190.14239,20,40,0.96005,0,0.51005,0.54,2.3201,9.87,3,NA,33.05,2,4,1,1,0,NA,NA,NA,1.66005,1,1,0.70005,NA,1,5,0.22005,1,2,0,2.0001,2.84,5,2,8710.35,1,3,NA,NA,NA,0.54,15,0.53,49.98,12.09,1,1,7,0.95,0.95,1,0.23,1,1,1,0.8001,1,NA,1,5,0,1,5,1,NA,1,129.26035,1,1.48005,0.65015,1,2,0,1,14.11016,0.23,15,0.47,1,2,2,1,0,0.23,0.22,NA,2,0.22,NA,0.27005,9.86025,0.49,472.36,2,0.22,0.97005,516.36884,26.89045,21.4,237.56,1,9,0.86,3,0.23,20,0.98,17.70025,1,8,1,5,129.97659,1,1,NA,NA,0.42,316.9401,269.23,20,0,2.95,1,3,3,0,2.97,1,10.36,8.1703,55.81,30,10,10,95.27636,5,14.77,70,3.93005,140,NA,2.83,2,0.42,50,39,246.3,20,2,65,0,50,15,50,348.44,5,151.74,98.25025,20,50,20,20,15,12,2,1,5.5,1,1,NA,NA,NA,NA,NA,NA,NA
80,"2019-11-24","Blight","UniqueAccessory",NA,NA,NA,22,0,0.24,15,80,3,1,0.24,NA,1,11,2,190,21.8601,43.2802,0.96,0,0.48505,0.4801,2,10,3.90061,NA,30.97,2,4.3101,1,1,0,NA,NA,NA,2,1,1,0.84515,NA,1,5,0.24,1.55162,2.07,0,3,3,5,2,8528.50364,0.8002,3,NA,NA,NA,0.53,14.04,0.54,49,13.2,0.98505,1,5.1702,0.97505,0.54,1,0.23,1,1,1,0.62,1,NA,1,5,0,0.7701,8,1,NA,1.17505,140,1,1.81505,0.53,1,2,0,1,14.75829,0.24,15,0.52505,1,2,2.58515,1,0,0.38,0.24,NA,2,0.23,NA,0.29505,10,0.83,473.60918,1,0.24,0.97,521.56,25,22.59,237.1902,1,9.99505,0.41505,3,0.28505,20,0.95,15,1,5,1,5,123.23,1,1,NA,NA,0.53,316.74,269.20056,15,0,3,1,4,3.04545,0,2.88,1,8.92,10,50,29.16,10,10,100,5,15,44.82051,4,140,NA,2.76515,1,0.38,50.59,40,241.87304,18.76545,2,60,0,50,17.5001,50,348.41,4,155.6,95.31313,23.20091,50,29.72101,20,17.28192,15,2.07576,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
81,"2019-11-25","Blight","UniqueAccessory",NA,NA,NA,20.44556,0,0.23505,15.37,80,3,1,0.24,NA,1,15,2,189.6,22,42.9101,0.95,0,0.53,0.41,1.57,10,4,NA,35,2,4,1,1,0,NA,NA,NA,1,1,1,0.87,NA,1,5,0.24,1,2,0,3,3,4.60051,2,8493.07838,0.93505,3,NA,NA,NA,0.52,12.5,0.52,49,12.49842,1,1,5,1,0.96,1,0.23,1,1,1,0.80556,1,NA,1,7.2,0,0.95,8.15505,1,NA,1,125.30657,1,1,0.52,1,2,0,1,16.32765,0.24,18.44,0.53,0.95,2,3,1,0,0.23,0.41,NA,2,0.43,NA,0.23,11.53,1,447.30675,1,0.24,0.99,522.42535,22,21.81,246.87667,1,10,0.53,3,0.26,20,1,12,1,5.46,1,5,100,1,2,NA,NA,0.43,316,269.41015,15,0,2.8701,1,3,3,0,2.95,1,12.77,11,50,23.52,10,10,100,5,14.85144,49.92081,3.60323,136.16,NA,2.41,1.68,0.41,53.08859,42.47,236.98,18.65,1,60,0,50,18,50,347.6,4.0904,153.44,90,20,50,25.82212,20,20,15,3,1,5,1,1.1802,NA,NA,NA,NA,NA,NA,NA
82,"2019-11-26","Blight","UniqueAccessory",NA,NA,NA,20,0,0.33525,20,85,3,1,0.29,NA,1,15,2,189.59,20,41.72121,0.92,0,0.52,0.52,2,9.93566,5,NA,37,2,4,1,1,0,NA,NA,NA,2,1,1,1,NA,1,5,0.24,1.86,2,0,3,3,4,2,8455.64586,0.68505,2.13,NA,NA,NA,0.67,15,0.5801,45.16162,10,1,1,6,0.5,1,1,0.27,1,1,1,0.59515,1,NA,1,7.88,0,0.9,5,1,NA,1,128.28525,0.98,1,0.49,1,2,0,1,17.3,0.2901,19.66,0.52,1,2,3,1,0,0.47,0.24,NA,2,0.51,NA,0.41,12,0.63505,446.65808,2,0.23,0.63,535.5,23.7503,24.94,251.97525,1,9,0.48,3,0.24,20.09,1,10.80051,1,9.16731,1,5.78,107.86,1,1,NA,NA,0.52,316.8402,268.79,20,0,2.58,1,3,4,0,2.91,1,17.38,10,50,23,10,10,94.9756,5,15,49.52,3.65,140,NA,3,2,0.52,54.49,40,228.04191,18.37162,1,69.49051,0,50,18,52.95,317.98,5,158.08,91.60232,20,55.1304,37.69576,21.72,20.63051,15,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
83,"2019-11-27","Blight","UniqueAccessory",NA,NA,NA,19.8501,0,0.24,20,84.95,3,2,0.24,NA,1,15,2.9703,185.08221,15,40,0.92,0,0.51,0.24,2,10,3,NA,34.14,3,4,1,1,0,NA,NA,NA,1,1,1.85505,1,NA,1,5,0.26,1,2,0,3,3,4.85515,2.1702,8526.21556,0.97515,2,NA,NA,NA,0.51,13.53,0.6904,44.45,10,1,1,7,0.86505,0.51,1,0.4101,1,1,1,0.51,1,NA,1,10,0,0.92,6.13505,1,NA,1,123.1003,1,2,0.46,1,2,0,1,18.5,0.24,20,0.51,1,2,4,1,0,0.43,0.24,NA,2,0.46,NA,0.51,15,0.42,451.649,2,0.24,0.51,507.17,25,20.53,237.74,1,9.94061,0.73,3,0.25,22.43,1,10,1,10,1,5,100,1,1,NA,NA,0.49,317.19051,281.02469,20,0,2.63,1,4,3.04,0,2.94,1,17.62,10,50,22.41722,10,10,94.89,5,15,46.46747,3.47,139.57,NA,3,2,0.43,50,40,236.98,20,1,70,0,50,18,55,316.98975,5,158.49,90,42.31,50,30,20.97576,14.55091,15,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
84,"2019-11-28","Blight","UniqueAccessory",NA,NA,NA,15,0,0.3301,20,80,4,2,0.24505,NA,1,17.35515,2,188.96789,15,39.7503,0.67515,0,0.54505,0.36515,2,10,3.14535,NA,35,2,3.48,1,1,0,NA,NA,NA,1,1,1,1,NA,1,5,0.44,2,2,0,3,3,5,3,8350.94768,1,2,NA,NA,NA,0.51,13.7,0.51,44,13.98,1,1,5.28606,0.92,0.51,1,0.51,1,1,1,0.5,1,NA,1,10,0,0.98,8.94505,1,NA,1,120,1,2,0.49,1,2,0,1,19,0.46,20,0.51,0.5,2,3,0.95,0,0.43,0.24,NA,2,0.51,NA,0.94515,15,0.29,467.64714,1,0.24,0.51,507.31101,25.99,21.5026,235.84505,1,10,0.9,2.8,0.26,22.6,1,10,1,10,1,5,100.81,1,1,NA,NA,0.51,315.04,266.93,22.4601,0,3,1,3.4802,4,0,3,1,17.19,10,54.71,20.17,9.57,10.71,100,5,15,84.11202,3,139.75,NA,3,2,0.36,50,40,236.8,20,1,70,0,47.65606,18,52.61,318.6,5,157.80589,95,29.57131,50,30,19.96535,19.24525,17.95,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA
85,"2019-11-29","Blight","UniqueAccessory",NA,NA,NA,17.55071,0,0.24,20,90,2,1,0.31,NA,1,15,2.02,187.05804,14.34576,40,0.92,0,0.51,0.51,2,9,4.57,NA,35,2,4,1,1,0,NA,NA,NA,1,1,1,1,NA,1,5,0.46,1.84505,2,0,3,3.0501,5,3,8232.47192,0.96505,2,NA,NA,NA,0.51,13.11,0.79505,45,15,1,1,5,0.74,0.52,1,0.51,1,1,1,0.52,1,NA,1,9.17,0,0.64515,9.09,1,NA,1,115,1,2,0.71,1,2,0,1,19,0.24,20,0.73,0.95505,2,3,1,0,0.24,0.41,NA,2,0.51,NA,0.46,15,0.26,444.61529,1,0.3,0.51,526.75263,25,24.66,233.84081,1,9,0.71,3,0.24,20,1,19.86141,1,10,1,6.29,116.76,1,1,NA,NA,0.48,312.90101,263.51368,22.5,0,3,1,4,4.39586,0,3,1,19.45,9.98515,55,20.68,9,11.41,96.18,5,15,112.79,3,138.32,NA,2.90525,2,0.45,62.55,39.20836,290.27781,19.34,1,60,0,49.8,17,52.55,337.43541,5,185.2025,99.44596,25,50,30,15.68061,10,15.56,2.9,1,5.29,1,1.2501,NA,NA,NA,NA,NA,NA,NA
86,"2019-11-30","Blight","UniqueAccessory",NA,NA,NA,18,0,0.24,18,90,2,2.89,0.47,NA,1,12,2,168.27608,15.81131,40.00071,1,0,0.49,0.51,1.49,9,4,NA,32.67,2,5,1,1,0,NA,NA,NA,1,1,1,1,NA,1,6,0.48,1,2,0,3,3,5,2,7908.72157,0.51,2.97,NA,NA,NA,0.49,15,0.51,49.11,15,0.87,1,5.95025,0.91,0.51,1,0.51,1,1,1,0.7301,1,NA,1,8,0,0.94,7,1,NA,1.00005,120,1,1,0.6102,1,2,0,1,20,0.46,20,0.51,0.54015,2,3,0.96,0,0.24,0.24,NA,2,0.51,NA,0.49,15.90717,0.47,435.13836,1,0.22,0.92,534.59015,25,25,229.28,1,9,0.52,3,0.24,23.36,1,10.07045,1,10,1,8,120,1,1,NA,NA,0.51,335.2404,262.82396,24.86071,0,3,1,3.3403,4,0,3,1,20,12,54.64,21,9,10.32,97.82,5,15,70,3,123.72063,NA,3,2,0.76,64.4,40,305.43667,18,1,60,0,50,18.72,55,316.69053,4.29,152.8,110,20,50,30,27.43061,11.01,15,3,1,5,1,2,NA,NA,NA,NA,NA,NA,NA
87,"2019-12-01","Blight","UniqueAccessory",NA,NA,NA,17,0,0.24,17,86.21505,3,2,0.25,NA,0.99,10,2,152.62063,10,40,0.53,0,0.48,0.5,1,9,4,NA,35,2,4.52,1,1,0,NA,NA,NA,2,1,1,1,NA,1,8,0.24,1,2,0,3,3,5,2.54,7759.02364,0.51,3.05,NA,NA,NA,0.51,17.87211,0.49,49.04505,10.94,0.5602,1,4,0.92,0.5,1,0.8901,1,1,1,0.53505,1,NA,1,8,0,0.51,5,1,NA,2,112.56465,1,1,0.48,1,2.26,0,0.99,20,0.25,20,0.48,0.60505,2,2,0.94,0,0.24,0.24,NA,2,0.5,NA,0.51,11.7503,0.49505,439.23,1,0.24,0.5,530.39,29.65,25,227.32515,1,8.40182,0.98,3,0.31,39.99,1,13.54374,1,10,1,8,120,1,1,NA,NA,0.51,335.48364,272.63,25,0,3,1,4,3.77051,0,3,1,20,15,55.2,21.12,9.45,11.8,100,5,15,94.68818,4.16,130,NA,3,2,0.72,68.3401,35,303.92,15,1.17,60,0,50,18,51.04625,303.08,3.88,151.55214,115.92273,35.3997,50,30,23.26061,17.93737,15,4,1,5.07,1,2,NA,NA,NA,NA,NA,NA,NA
88,"2019-12-02","Blight","UniqueAccessory",NA,NA,NA,5,0,0.25,16.72,90,3,2,0.25,NA,1,10,2,177.33,14.89,36.45237,0.92,0,0.51,0.49,1.42,8.84025,4,NA,38.758,2,4.3201,1,1,0,NA,NA,NA,2,1,1.74,0.5,NA,1,8,0.25,1,2,0,3,3,5,2.13,7633.99136,0.51,2.58677,NA,NA,NA,0.25,15,0.49005,49.13,11.53,0.52,1,5,1,0.51,1,0.77,1,1,1,0.51,1,NA,1,6.88,0,0.5,5,1,NA,1,114,1,1,0.49005,1,2.73,0,1,20,0.49,21.71,0.5,0.51,2,2,0.86035,0,0.25,0.49,NA,1.94,0.43,NA,0.51,10,0.51,421.17304,1,0.2502,0.51,526.5002,30,25,225.78,1,8,0.98,3,0.48,29.35,1,22.62051,1,10,1,8,120,0.97,1,NA,NA,0.48005,331.80071,254.62494,24,0,3,1,3,3,0,3,1,19.33,15,60,22.68,9,11.84,100,5,14.29,147.47091,4.27025,131.19,NA,3,1.32,0.53,68.12,35,325.43529,15,1,55,0,50,18,51.34,300.88103,3.73,150.44577,105.00157,30,76.25066,22.00131,28.2902,20,18,5,1,5,1,2,NA,NA,NA,NA,NA,NA,NA
89,"2019-12-03","Blight","UniqueAccessory",NA,NA,NA,4,0,0.49,15.56,89.4402,3,2,0.25,NA,1,10,2,178.5,14.7901,41.39212,0.51,0,0.5,0.5,1.72,9.9,4,NA,38.52,2,4,1,1,0,NA,NA,NA,1,1,1,0.50505,NA,1,5.7204,0.48505,1,2,0,3,3,5,2.45,7578.87273,0.51,2,NA,NA,NA,0.5,15,0.69535,49,11.32,0.92505,1,7.38525,0.97,1,1,0.51,1,0.8,1,0.5,1,NA,1,6.9,0,0.98,5,1,NA,2,113.78545,1,1,0.5,1,2,0,1,20,0.5,21.71,0.5,1,2,2,1,0,0.25,0.5,NA,1,0.25,NA,0.5,10,0.8,433.54311,1,0.24,0.74,521.7002,30,24.27,268.42525,1,9,0.79515,3,0.25,29.17,1,13.11,1,10,1,8,138.37,0.51,1,NA,NA,0.5,309.46535,258.09651,25,0,3,1,4.78576,3,0,3,1,22.71,15,56.49,24.3,9,11.74,100,5,15.91,60,4,148.77115,NA,3,2,0.25,70,39.52,326.81846,15.2,1,59.64051,0,50,18.3,59.22,306.8727,3.96,149.03,110,30,58.46515,25,20,17.53172,17.81,4,1,5,1,2.4703,NA,NA,NA,NA,NA,NA,NA
