"Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe","NA."
2016-11-05,"Standard","Essence",199.15143,199.22889,0,0,0,331.91905,172.28704,66.40963,66.40963,134.94741,132.81926,0,132.76762,66.40963,0,119.53741,66.40963,199.15143,76.73593,199.22889,283.4584,72.9768,70.88877,71.00432,3,3,1.38395,3.2,1.2,2.36049,1.2,2.38395,3.31605,14.2,30,6.94444,9.58519,13.6,20.26667,24.31111,13.81852,30,10.44444,10.88889,3.2321,13.95556,10,30,11.77778,4.67654,20.04938,27.68889,22,38.97235,60.6021,59.87975,0,65.77753,66.40963,39.39383,59.16864,35.98296,62,66.40963,28.14938,29.14074,36.2716,66.46979,49.275,36.27778,63.93235,42.34988,50,8.6963,8.94444,1.42877,2,11,3.7,9.3679,10,2.8,4.81481,10,1.36457,9.28889,10,9.28889,10,3.2,0,5.5,5,5,1.4,5,5,5,5,1.8,4.57778,1,1.04074,3.44444,1.22716,0
2016-11-06,"Standard","Essence",198.91397,198.91397,0,0,0,331.52329,145.86932,66.30466,66.30466,139.24151,132.33349,0,132.60932,66.30466,1,119.34932,66.30466,198.91397,79.56466,198.91397,152.22863,106.10481,71.6226,66.30466,3,1.83288,1.23973,1.78877,1.45479,1.46493,1.9082,2.18356,3.40274,12.16438,20.63014,6.20548,5.35616,13.6,20.4,15.38082,7.6,30,10.79452,10,2.97932,10.96438,10,30,11.47945,5.86301,20,6.6,30,40,66.30466,51.63219,0,66.30466,66.30466,26.1,37.99616,40.06849,61.66197,62.59836,38.10137,29.13219,30.24384,29,48.53288,41,60,28.78082,50,2.96986,5.18493,1.26822,2.98462,5.04932,4.10274,3.46849,7.23562,5.56164,10,10,1.00205,2.40548,10,2.66849,5.59178,4.11475,1,4.28356,3.21644,5,1.14795,2.66575,2.66575,2.28356,5,1.6411,3.16712,1,0.79808,0.92192,1.02192,0
2016-11-07,"Standard","Essence",199.49079,199.49079,199.42846,0,0,332.48465,153.13079,66.49693,66.49693,139.64406,132.95231,0,132.99386,66.49693,1,119.69416,66.49693,199.49079,79.79663,199.49079,145.2401,75.38416,83.27198,66.49693,3,1.1604,0.98426,0.78812,2.60594,0.95683,3,2.60594,3,10.8901,11.16832,6.44554,4.28218,13.10099,20.66733,5.67426,7.41386,32.27228,10.50495,10.08911,7.30178,10.93465,10,30,10,5.07723,23.67327,7.78614,28.62712,39.86271,65.97564,55.45871,0,66.49693,66.49693,25.41386,29.7796,37.875,60,47.1502,29.74059,29.1502,18.38218,29,45.37129,42.34158,55.58911,16.68317,50,2.26733,5,0.4695,2.31683,1.72178,3.27723,3.2198,7,5.97624,10,10,1.60594,2.1802,10,2.00792,3.72079,5,1,4.25149,3.15842,5,1.04752,1.32079,1.32079,1.1802,5.17778,1.57624,3.00198,1,0.68545,0.63564,1,0
2016-11-08,"Standard","Essence",200.47143,199.608,200.47143,0,0,334.11905,140.71,66.82381,66.82381,196.4799,133.64762,0,133.64762,66.82381,6.4,119.764,66.536,200.47143,80.18914,200.47143,134.0281,74.58924,66.82381,66.82381,50,1.73143,1.26267,1.50514,7.3419,1.60371,7.3419,3,3,12.02667,19.1619,7,6.54476,14.70857,20.58476,12.11238,10.82,30.5,11.31429,12.31429,10.44286,11.14095,10,30,10.59048,8.15238,26,19.14,21,39.1,60.68219,66.82381,0,66.82381,66.82381,28.2,40.27533,35.5,60,47.18219,31.2,29.18219,22.44762,29,45,36.4619,50.58571,26.69448,0,3.66095,5.29524,0,4.35124,4.29143,7.18095,6.16,7.08857,10,0,10,4.77333,5.61143,10,2,4.83333,50,7.13238,4.1,3.24952,5,4.04286,2.46286,2.46286,3.97048,5.68,5.18571,7.3419,1,0.82019,0.77371,1,0
2016-11-09,"Standard","Essence",199.5,0,89.19541,0,0,332.5,152.64495,66.5,66.5,139.65,133,0,133,66.5,22,0,0,199.5,79.8,199.5,133,66.5,80.83716,66.5,21.92514,1.91266,1.40367,1.91266,1.3,1.63303,1.15413,1.63303,3,15.1,24.95963,7,8.8633,14.30826,18.44037,19.15229,13.33028,28.55046,10.59083,11.99083,10.90642,11,10.4,30,11.14862,10,23.2156,30.5,18,41.28211,61.24037,61.00826,0,53.46881,71.99083,28.33486,66.5,33.84037,60,50.52294,32.82477,28.83211,30.09541,29,45,35.68624,48.02018,36.58028,66.5,5.54954,5.55596,6.05821,3.83009,7.82018,9.51743,7.78716,7.31193,8.04495,9,9,8.23578,8.98073,7.81101,9,7.31193,22.50092,2.56147,2.59908,3.38807,3.35229,8.4844,4.89266,3.35229,8.4844,4.03394,5.21009,4.31101,0.68761,0.71752,0.59156,1,0
2016-11-10,"Standard","Essence",200.4022,0,66.80255,0,0,334.00367,200.40764,66.80255,66.80073,140.22445,0,0,133.60147,66.80255,22,0,0,200.40764,80.04091,200.40764,136.46873,100.75073,93.94282,84.48191,1.17336,1.34691,1.5,1.34691,1.3,1.3,1,1.3,3.03273,14.9,5.7,7,4.8,12,17,16.4,7,18,10.2,10.85455,10.4,11.12727,10.8,30,10,10.02727,20.71818,30.5,15,41.12,61.36018,30,0,45.36018,73.48236,38.7,66.80255,32.8,60,66.80255,40,26,32.8,0,45,34.28364,43.08936,32.8,66.80255,4.31273,5.2,6.3,3.16982,6.4,6.6,6.54909,7.61636,6.86182,9,9,6.86182,6.9,6.6,9,7.61636,2.2,2.3,1.97364,3.41455,2.4,2.66818,4.1,2.4,4.1,2.6,1.77,2.2,0.54627,0.54627,0.39555,1,0
2016-11-11,"Standard","Essence",0,0,67.10883,0,0,0,187.62745,66.65085,0,134.09277,0,0,0,67.04638,22,0,0,167.59277,67.04638,187.12553,145.56734,119.62745,67.6166,65.12436,1.17777,1.35521,2,1.35521,2.15521,1.3,1.32074,1.3,3.04255,14.9,11.12872,7,4.8,12.8,17,16.4,10.75,18,10.2,10.5,10.4,12,10.8,30,10,11.5,20.1117,30.5,15,40.81915,61.40936,30,0,45.40936,68.40064,38.7,67.04638,31.93191,60,67.04638,40,26.20723,32.8,0,0,33.6,39.56383,32.8,67.04638,3.6,5.2,6.3,3.15468,6.4,6.6,6.8,9.1,6.6,9,9,6.6,6.9,6.6,9,9.1,2.2,2.3,1.9,4.2,2.4,1.6,4.1,2.4,4.1,2.6,1.3,2.2,0.54532,0.53777,0.38553,0.97872,0
2016-11-12,"Standard","Essence",0,0,67.84152,0,0,0,141.14333,65.52162,45,135.20404,0,0,0,65.03929,0,30,0,135.20404,67.49,135.20404,147.44525,117.55869,67.60202,74.36253,1.17586,0.41131,1.46162,1.19222,0.59485,1.20596,1,1.23495,2.77071,13.95455,22.39655,6.56667,4.72727,12.84848,15.67172,13.02626,12.05556,14.67879,9.99293,11.22727,10.02222,11.47475,10.61818,22.39655,9.89394,10.58586,19.09899,22.47414,15,32.19192,50.51899,29.63636,0,45.52162,67.60202,38.26162,65.66424,27.97172,58.90909,67.60202,35.26061,28.25747,32.29899,20,16,29.31717,36.53535,29.14747,58.49667,3.42424,5.10909,5.72727,3.02455,5.5697,6.32727,5.84242,8.46364,5.84545,7.85455,7.85455,5.84545,6.05455,6.66364,7.85455,7.74242,2.2,2.3,1.71818,4.13939,2.21818,2.82727,3.81818,2.21818,1.94687,2.41616,1.83535,2.2,0.55232,0.26687,0.39566,0.40293,0
2016-11-13,"Standard","Essence",0,0,68.14793,0,0,0,136.12854,66.03366,45,135.96324,0,0,0,60,0,30,0,135.95522,0,135.96268,197.64695,116.33159,67.98134,77.35122,1.17195,0.32183,1.34634,1.17195,0.44793,1.1839,1,1.32207,2.49268,12.76829,8.01829,6.18537,6.17439,12.56098,16.94512,8.41585,10.87561,9.1378,8.57439,14.78049,8.28171,10.6561,10.5122,8.04268,8.66951,10,12.39512,8.29878,14.92073,29.52439,16.79268,26.28659,10.15,44.91512,66.00854,38.0939,50.02183,30.22927,50.89024,67.98134,19.12439,21,31.18171,20,13.69878,11.15366,34.81098,15.36707,22.86744,2.7439,5.1,3.30732,2.7439,3.30732,6.3,3.30732,7.2,3.6439,3.27073,3.27073,3.6439,3.6439,6.40854,3.27073,3.50732,2.12683,2.27439,1.9,3.2,2.12683,2.77073,2.77073,2.2,0.80866,2.2,2.2,2.2,0.55085,0.26232,0.40939,0.40939,0
2016-11-14,"Standard","Essence",0,0,68.05811,0,0,0,136.11623,68.05811,0,0,0,0,0,60,0,0,0,0,0,136.35158,206.48208,136.11623,68.05811,64.28811,1.89623,1.29019,1.93208,1.89623,1.72,1.62434,1.07377,1.61887,2,11.06038,5.00377,4.85283,5.31132,9.11698,17.13208,5.59057,8.8,6.80377,6.09623,8.38491,4.77925,8.1434,10.44151,8.73585,5.43585,10,10.01132,7.27925,14.78113,26.34906,9.63962,25.96226,11.5,28.77358,36.06038,41.31509,27.88679,31.18113,42,39.19962,9.71132,17.9434,13.87736,20,6.65283,9.60755,30.48113,12.44906,20.03547,2.25849,5.50645,2.75849,2.27094,2.77358,7.42075,2.8,7.50566,3.16415,2.7,3.76981,3.16415,3.28302,4.80377,2.7,2.94906,2.16604,2.5717,3.02642,3.55849,2.16604,2.33962,2.33962,3.21132,3.26019,3.21132,3.21132,3.20943,0.72283,0.6034,0.64736,0.43698,0
2016-11-15,"Standard","Essence",0,0,68.1669,0,0,0,136.33379,68.1669,0,0,0,0,0,60,0,0,40,0,0,136.33379,204.24362,136.33379,67.46724,54.06052,2.75655,0.76328,2,2.75655,0.79052,2.145,1.1731,2,2,9.55172,3.94483,4.05862,4.45862,6.65517,17.77931,5.91724,8.17931,8.23276,4.80172,5.8,3.81552,7.03448,10.5,14.63793,4.71552,10,8.65517,6.08793,11.87586,24.98276,8.93103,26.45983,11.5,20.77586,50.88948,45,16.62069,32,42,21.97431,10.73793,16.15517,13,0,6.37241,8.71724,30,10.28966,19.6181,2.35172,0,2.7,2.29483,2,9,4.16552,9,2.7,2.7,9,2.7,3.30345,3.74483,2.7,3.35172,2.4,3.02759,5,4.93103,2.4,2.4,2.4,4.5,4.5,4.5,4.5,4.5,1,0.56086,1,0.49052,0
2016-11-16,"Standard","Essence",0,0,68.61825,0,0,0,129.46368,68.17895,0,77.59625,0,0,0,61.95088,0,0,36.84211,0,0,129.58474,202.00316,137.20772,65.88421,69.77316,2.68895,0.95895,2,2.68895,0.76579,2.08702,1.16667,2,2,7.16,3.6,3.8,4.2,7,20,5.2,8,16.5,4.5,5.8,4.14737,7.4,10.5,10.2,4.5,10,7.9,5.7,10.8,20.92982,8.5,26.05263,11.5,22.28947,53.16105,32.4,13,32,41.29825,24.56667,15.8,16.5,14,29,6.2,8.2,32.46246,9.6,68.60386,2.24737,0,2.7,2.7,2,9,10,9,2.7,2.7,9,2.7,2.7,3.4,2.7,9,2.25965,3.12982,4.7193,4.14912,2.25965,3.67018,2.25965,4.14912,4.14912,4.14912,4.14912,4.14912,1.00386,0.61088,1.05965,0.43719,0
2016-11-17,"Standard","Essence",0,0,68.93862,0,0,0,68.82138,65.86034,0,68.82138,0,0,0,68.82138,0,0,30,137.63684,0,75.70414,202.24138,137.64276,66.47017,74.04466,2.66621,2.69655,2,2.69655,1.2,2.12586,1.16483,2,2,7.27724,4.51379,4.22069,3.23793,7.35345,20.22759,5.2,8.38621,15.59483,5.21724,6.47069,5.43966,7.71034,13.64655,10.2,5.3069,10.17241,8.10172,11.14655,11.1931,20,8.29828,23.58621,11.5,19.5,45.76552,24.42931,12.7069,32.27586,32.31034,24,15.7,16.31034,14.5,29,6.23103,8.2931,40.84966,9.6,68.82138,2.2,0,2.7,2.7,2,5.83448,10,9,2.61207,2.61207,9,2.61207,2.61207,4.90172,2.61207,7.41724,2.2,3.01207,3.36897,4,2.2,3.20862,2.2,3.20862,3.20862,4,4.26379,3.20862,1,1.09707,1.06121,0.48397,0
2016-11-18,"Standard","Essence",0,0,68.42569,0,0,0,65.54034,66.11034,0,80.56017,68.06043,0,0,65.48862,0,0,30,136.67414,0,81.50672,201.91138,134.34897,67.30897,74.83431,2.72207,2.74845,2,2.74845,1.2,2.14328,1.17362,2,2,7.72603,6.19483,5.25,3.89483,6.48276,20.18621,5.1,8.50172,14.03448,8.2069,8.28793,5.75,6.98621,13.25862,8,7,9.4569,7.81379,5,10.8069,18.34483,8.36034,19.96983,10.93966,17.75,36.84879,24.11638,12.69828,31,31.55172,20.25862,15.20862,15.5,12.41379,0,6.3,8.20517,32.58155,8.09828,49.98828,2.05172,5,2.7,2.7,2,5.4,10,9,2.6,2.6,9,2.49655,2.6,7.33621,2.6,6.75172,2.2,3,3.2,4,2.20172,3.1,2.2,3.1,3.1,4,4.3,3.03103,1,1.10741,1.07362,0.53397,0
