"Day","Date","League","Type","Chayula.s.Breachstone","Divine.Vessel","Eber.s.Key","Esh.s.Breachstone","Fragment.of.the.Chimera","Fragment.of.the.Hydra","Fragment.of.the.Minotaur","Fragment.of.the.Phoenix","Inya.s.Key","Mortal.Grief","Mortal.Hope","Mortal.Ignorance","Mortal.Rage","Sacrifice.at.Dawn","Sacrifice.at.Dusk","Sacrifice.at.Midnight","Sacrifice.at.Noon","Splinter.of.Chayula","Splinter.of.Esh","Splinter.of.Tul","Splinter.of.Uul.Netol","Splinter.of.Xoph","Tul.s.Breachstone","Uul.Netol.s.Breachstone","Volkuur.s.Key","Xoph.s.Breachstone","Yriel.s.Key","Chayula.s.Charged.Breachstone","Chayula.s.Enriched.Breachstone","Chayula.s.Pure.Breachstone","Esh.s.Charged.Breachstone","Esh.s.Enriched.Breachstone","Esh.s.Pure.Breachstone","Tul.s.Charged.Breachstone","Tul.s.Enriched.Breachstone","Tul.s.Pure.Breachstone","Uul.Netol.s.Charged.Breachstone","Uul.Netol.s.Enriched.Breachstone","Uul.Netol.s.Pure.Breachstone","Xoph.s.Charged.Breachstone","Xoph.s.Enriched.Breachstone","Xoph.s.Pure.Breachstone","Timeless.Eternal.Emblem","Timeless.Eternal.Empire.Splinter","Timeless.Karui.Splinter","Timeless.Maraketh.Emblem","Timeless.Maraketh.Splinter","Timeless.Templar.Emblem","Timeless.Templar.Splinter","Timeless.Vaal.Emblem","Timeless.Vaal.Splinter","Fragment.of.Constriction","Fragment.of.Emptiness","Fragment.of.Enslavement","Fragment.of.Eradication","Fragment.of.Knowledge","Fragment.of.Purification","Fragment.of.Shape","Fragment.of.Terror"
11,"2017-12-18","Abyss","Fragment",218.59415,1,2,15.10876,10.55721,7.97757,17.06258,16.28758,12.1464,2,28.66861,20.25193,4.84047,0.92886,0.83498,2,1,2,0.19852,0.19897,0.31338,0.29743,17.9664,39.49344,8,29.36566,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss","Fragment",221.62874,1,2,12.82456,14.8899,7.90047,16.83273,15.42001,12.20513,2,28.59565,24.46372,5,0.7858,0.70346,2,1,2,0.15118,0.15325,0.29534,0.31634,12.66862,33.08065,8,28.58527,10.00294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss","Fragment",241.41696,1,2,11.55301,17.54137,8.03562,17.20179,15.59048,13.73777,1.99851,30.44051,27.65,4.99035,0.77404,0.68134,2,1,2,0.14286,0.14286,0.33253,0.33292,11.6208,38.10208,8,32.04402,10.71199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss","Fragment",262.12684,1,2,10.90059,17.99861,8.78348,18.87987,15.01711,19.04277,2,31.46241,32.72632,5,0.88786,0.81452,2,1,2.07024,0.14286,0.14286,0.3278,0.33315,10.47158,35.9234,8.15731,31.43816,11.22129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss","Fragment",266.64239,1,2,9.8406,17.74521,9.7429,19.04305,15.61078,20.60277,2,33.1046,32.36975,5,0.99412,0.93929,2,1,2.37264,0.14248,0.14283,0.32952,0.32888,9.55967,32.95185,9.16535,30.56383,11.01369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss","Fragment",278.25411,1,2,9.73614,17.69059,10,18.90133,16.58085,20,2,33.25297,29.65172,5,0.97863,0.99207,2,1,2.43801,0.14244,0.14171,0.33128,0.3297,9.92698,26.44721,10.23943,32.55149,10.96129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss","Fragment",305.29455,1,2.65891,9.4128,17.94718,10.05263,19.18675,18.04005,19.93654,2,35.07237,29.54201,5,0.97207,0.95591,2,1,2.4777,0.14142,0.13546,0.31257,0.33333,9.3006,24.70329,16.32418,31.86306,11.20772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss","Fragment",338.98342,1,3,9,18.36069,10.94092,20.08024,18.91634,19.81257,2,39.5137,34.00121,5.05382,0.98521,0.9339,2.35633,1,2.78746,0.1368,0.13542,0.26817,0.33291,9,21.14233,19.1916,31.10898,11.28551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss","Fragment",341.72874,1,2.89429,8.89435,19.2817,9.89583,20.90368,18.83952,19.92204,2,41.55904,42.46315,6.02272,0.99853,0.99768,2.99818,1,2.99911,0.13297,0.13634,0.25783,0.33333,8.9907,19.98416,20.06675,31.93696,10.87815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss","Fragment",330.18952,1,2.91596,8,20.86266,9.16418,21.92626,18.89982,18.72639,2,40.87752,39.25242,6.75886,0.99903,0.90451,2.99798,1,3,0.12508,0.12105,0.24778,0.33333,8.39423,19.63998,18.61645,31.94491,10.0051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss","Fragment",333.88916,1,3,7.74426,20.94801,8.96756,21.00796,18.45238,19.01964,2.24366,42.87177,41.2663,7.67312,0.99238,0.97316,3,1,3.03273,0.12528,0.11115,0.24609,0.33333,8.03966,18.27609,18.03865,31.15527,10.2433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss","Fragment",337.07597,1,3,7.93496,20.60814,9,20.02409,18.47739,19.38001,2.43263,47.37691,46.33446,7.89526,1,0.99047,3,1,3.02041,0.1113,0.11076,0.22074,0.33331,8.60539,18.99897,18.88452,31.99168,10.9957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss","Fragment",337.04396,1,3,7.39324,21.38464,9.48678,20.78323,18.89857,19,2.10105,47.78708,48.32887,7.53243,1,0.99771,2.99386,1,3.0023,0.10423,0.10724,0.19732,0.33333,8.13082,18.74433,19.27238,32.27204,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss","Fragment",340.63657,1,3,7.99412,21.93719,9.49424,20.55975,18.917,19.86834,2,47.63216,47.90241,7.04526,0.98923,0.94561,3,1,3,0.10066,0.10199,0.19335,0.33332,8.11686,18.83068,19.79038,31.619,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss","Fragment",330.13652,1,3,7.94828,22.0429,9.69154,20.11236,18.90584,20,2,48.14278,47.04703,7.00567,1,0.97911,3,1,3,0.10406,0.10492,0.19877,0.33333,8.30563,19.07858,19.57658,30.82787,11.61792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss","Fragment",306.71396,1,3,7.36897,21.96039,9.83378,19.98305,19.66027,20.28718,2.14493,48.08825,46.72887,6.92528,0.99929,0.9717,3,1,2.9785,0.1,0.1,0.19939,0.33309,8.14917,21.9219,19.99854,29.59014,11.18937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss","Fragment",303.91198,1,3,7.01965,22.69192,9.49589,20,19.85258,20.84362,2.57846,48.19391,47.31187,7.56871,0.99742,0.97713,3,1,2.76973,0.09942,0.09998,0.19925,0.33288,8,21.4327,20,28.74239,13.06795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss","Fragment",273.64482,1,3.07593,7,23.40198,9.91391,20,19.98214,21.97958,2.00751,49.79639,47.53324,7.99858,1,1,3,1,2.4952,0.09911,0.0993,0.19316,0.32804,7.78554,18.74176,21.27579,27.19339,16.78782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss","Fragment",271.37156,1,3.96622,6.75975,23.23449,9.8457,19.99054,20.13871,24.99971,2.83438,51.05189,48.85299,7.9519,1,1,3,1,2.5,0.09876,0.09563,0.18964,0.3086,6.99815,17.5743,25.89787,25.86078,17.89107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss","Fragment",270.68581,1,4,6.4399,22.97789,9.15906,19.86046,19.84143,27.56998,2.51756,51.4703,48.40274,8.74523,1,1,3,1,2.47748,0.09154,0.09054,0.16667,0.29255,6.90419,17.24954,25.74273,23.6626,16.94892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss","Fragment",249.84651,1,4,6.54498,22.84854,9.04924,19.41231,19.62955,27.09079,2.01145,50.60697,47.39166,7.60166,1,1,3,1,2.20774,0.09061,0.09181,0.16667,0.27603,7.14373,16.95131,25.11887,22.15357,15.95315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss","Fragment",235.05351,1,4,6.8226,22.99528,8.74432,18.88243,19.05955,26.56091,2.4343,50.74229,47.19802,7.84229,1,1,2.9983,1,2,0.09108,0.09378,0.16649,0.25196,7.02968,16.9191,25.10491,21.20451,15.50814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss","Fragment",225.6252,1,4,7.15486,22.93627,8.17072,18.56523,18.56075,26.75865,2,50.39375,46.00723,7.00737,1,1,2.91224,1,2.00045,0.09077,0.09086,0.14529,0.25,7.14483,15.34974,25.9064,21.30175,16.14664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss","Fragment",221.2125,1,4.03843,7.24868,22.85764,7.47408,18.51977,18.98917,26.93611,2.79656,49.95198,45.44108,6.74834,1,0.99783,2.8558,1,2,0.08938,0.09064,0.14286,0.23701,7.42993,13.68641,27.54303,21.02058,16.17204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss","Fragment",214.6728,1,4.41835,7.40339,22.67786,6.99265,18.03813,18.10716,26.44697,2.50545,49.68135,44.87503,6.03574,1,1,2.76638,1,2,0.09037,0.09067,0.14286,0.23759,7.83358,14.63195,28.40336,20.46983,16.72004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss","Fragment",210.99336,1,4.91812,7.26237,22.91844,7.36515,17.64826,18,26.01167,2.0334,48.13392,44.21426,5.67929,1,1,2.46045,1,2,0.09091,0.09087,0.14499,0.23928,8.01535,14.73793,29.42889,20.40707,16.63949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss","Fragment",208.72468,1,4.96753,8,22.64698,8.0413,16.87083,17.75794,25.55595,2,47.78932,44.98038,5.84337,1,1,2.49225,1,1.99997,0.09142,0.09089,0.15658,0.23705,8.52902,14.27156,31.19887,19.96997,15.61158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss","Fragment",202.34539,1,5,8.00204,21.90039,7.76243,16.71221,17.12404,25.086,1.96857,47.81583,44.31852,5.47418,1,1,2.70973,1,1.96724,0.09204,0.09091,0.16461,0.22933,8,14.0716,29.71661,19.21719,15.15847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss","Fragment",203.67236,1,5,8.00041,21.35287,7.10371,15.82872,17.8239,25.68534,2.00033,46.91232,43.8988,5.02288,1,1,2.98705,1,1.9348,0.09771,0.09174,0.16456,0.23164,8,14.64944,28.79508,19.18895,15.50583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss","Fragment",200.1658,1,5,7.96206,20.33316,6.9908,15.61592,17.73968,25.30777,1.97032,47.08406,44.66517,5.02382,1,1,2.81247,1,1.9788,0.09924,0.09184,0.15294,0.22536,8.01751,14.65457,28.21229,19.21039,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss","Fragment",199.71175,1,5,7.72515,19.97382,6.95407,15.97012,17.27618,26.14224,1.96673,47.83215,44.3475,5,1,1,2.9132,1,1.90004,0.09559,0.09091,0.15313,0.21322,7.96797,13.38881,28.74785,17.44173,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss","Fragment",197.93171,1,5,7.01652,20,7.56654,15.99967,17,26.58735,1.99299,47.43032,44.36979,5,1,1,2.67516,1,1.84852,0.09656,0.09091,0.14971,0.1995,7.49672,13.01907,29.37554,16.94816,15.00553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss","Fragment",194.73832,1,5.03031,7.13683,19.97592,7.1583,15.87568,16.97067,26.62255,2,46.80912,44.79338,5.07939,1,1,2.18604,1,1.76384,0.09175,0.09091,0.14603,0.19678,7.98699,13.95189,30,16.60824,15.44634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss","Fragment",182.33749,1,5.44041,7,19.29421,6.92986,15.8352,16.78481,25.84357,2.0061,46.50573,44.82341,5.59033,1,1,2.48761,1,1.62631,0.08918,0.09031,0.14402,0.19206,7.64002,13.63031,30.62864,15.28007,14.97534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss","Fragment",170.47581,1,5.94094,6.95764,18.9953,7.00336,15.27658,15.94789,25.14665,1.90112,44.29042,42.66006,5.48686,1,1,2.32371,1,1.49896,0.08331,0.09091,0.14286,0.17756,7.15308,13,30,14.82608,14.97743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2018-01-22","Abyss","Fragment",170.27099,1,5.77778,6.97797,18.07639,7.17423,15.28102,15.97386,23.55314,2,44.00467,40.42732,5.22444,1,1,2.02818,1,1.5,0.08114,0.0908,0.14286,0.17325,7.02756,12.30015,29.86348,14.18363,14.22925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2018-01-23","Abyss","Fragment",174.28694,1,5.25739,6.92395,18.03405,8,15.97237,16.20999,23.89229,2,44.28489,42.23364,5,1,1,2.32824,1,1.50239,0.07772,0.09081,0.14286,0.16867,7.02637,12.30359,30,14.049,13.66288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2018-01-24","Abyss","Fragment",174.6881,1,5.9948,7,18.0316,8,15.99924,16.30956,23.93891,2.18509,45.36501,43.0691,5.66649,1,1,2,1,1.51373,0.07754,0.09043,0.14286,0.16685,7.99811,11.80522,30.10382,14.97389,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2018-01-25","Abyss","Fragment",174.57418,1,5.99678,7.03442,18,7.74732,15.97747,16,23.97673,2.09645,45.39882,44.62932,6.00907,1,1,2.25585,1,1.50659,0.08116,0.09081,0.14286,0.16794,8,12.05644,30.56,15,14.14159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"2018-01-26","Abyss","Fragment",173.2759,1,6,7.97643,18,7.91598,15.78846,16.39947,24.82692,2.22145,44.60295,46.53343,6.92802,1,1,2.10661,1,1.50185,0.08376,0.09091,0.14286,0.17135,8,13.46246,30.50961,14.99476,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"2018-01-27","Abyss","Fragment",173.81293,1,6.49308,8,18.005,7.18814,14.93394,17.66403,24.99166,2.31787,44.01333,47.3959,6.02666,1,1,2.74936,1,1.50309,0.08825,0.09068,0.14286,0.16804,8.42801,13.85151,31.70912,14.51321,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2018-01-28","Abyss","Fragment",170.80138,1,7.151,8,18,6.99577,14.94231,16.40411,25.72481,2.80288,44.57159,48.04587,6.34077,1,1,2.69436,1,1.5,0.08439,0.0887,0.14264,0.16678,8.17655,12.87167,34.99187,14.27143,15.49804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2018-01-29","Abyss","Fragment",173.55165,1,8.26483,7.62475,18.1168,7,14.98113,16.78095,26.09412,2.65052,44.77281,50.04964,6.84725,1,1,2.3268,1,1.5,0.07677,0.08408,0.14221,0.16667,7.64508,11.96231,36.40532,13.83679,16.80281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
