"Day","Date","League","Type","Anatomical.Knowledge","Ancient.Waystones","Apparitions","Assassin.s.Haste","Atziri.s.Reign","Blood.Sacrifice","Brawn","Brittle.Barrier","Brute.Force.Solution","Careful.Planning","Cheap.Construction","Chill.of.Corruption","Clear.Mind","Coated.Shrapnel","Cold.Steel","Collateral.Damage","Combustibles","Conqueror.s.Efficiency","Conqueror.s.Longevity","Conqueror.s.Potency","Corrupted.Energy","Dead.Reckoning","Efficient.Training","Eldritch.Knowledge","Emperor.s.Cunning","Emperor.s.Mastery","Emperor.s.Might","Emperor.s.Wit","Energised.Armour","Energy.From.Within","Fertile.Mind","Fevered.Mind","Fight.for.Survival","Fireborn","First.Snow","Fluid.Motion","Fortified.Legion","Fragile.Bloom","Fragility","From.Dust","Frozen.Trail","Grand.Spectrum","Growing.Agony","Hair.Trigger","Hazardous.Research","Healthy.Mind","Hidden.Potential","Hotfooted","Hungry.Abyss","Inertia","Inevitability","Inspired.Learning","Intuitive.Leap","Izaro.s.Turmoil","Lioneye.s.Fall","Malicious.Intent","Mantra.of.Flames","Martial.Artistry","Might.and.Influence","Might.in.All.Forms","Mutated.Growth","Omen.on.the.Winds","Overwhelming.Odds","Pacifism","Pitch.Darkness","Poacher.s.Aim","Powerlessness","Primordial.Eminence","Primordial.Harmony","Primordial.Might","Pugilist","Pure.Talent","Rain.of.Splinters","Rapid.Expansion","Reckless.Defence","Ring.of.Blades","Rolling.Flames","Sacrificial.Harvest","Self.Flagellation","Shattered.Chains","Soul.s.Wick","Spire.of.Stone","Spirit.Guards","Spirited.Response","Spreading.Rot","Static.Electricity","Steel.Spirit","Sudden.Ignition","Survival.Instincts","Survival.Secrets","Survival.Skills","The.Anima.Stone","The.Blue.Dream","The.Golden.Rule","The.Green.Dream","The.Green.Nightmare","The.Long.Winter","The.Red.Dream","The.Red.Nightmare","The.Vigil","To.Dust","Unending.Hunger","Unstable.Payload","Vaal.Sentencing","Violent.Dead","Volley.Fire","Warlord.s.Reach","Watcher.s.Eye","Weight.of.Sin","Weight.of.the.Empire","Wildfire","Winter.s.Bounty","Winter.Burial","Might.of.the.Meek","Combat.Focus","Tempered.Flesh","Tempered.Mind","Tempered.Spirit","The.Blue.Nightmare","Transcendent.Flesh","Transcendent.Mind","Transcendent.Spirit","Unnatural.Instinct","Brutal.Restraint","Divide.and.Conquer","Elegant.Hubris","Fortress.Covenant","Glorious.Vanity","Lethal.Pride","Militant.Faith","Quickening.Covenant","Army.of.Bones","Thread.of.Hope"
11,"2017-12-18","Abyss HC","UniqueJewel",4.60741,0.79793,0.2331,0.2331,1,0.89448,0.27914,0.70155,0.85052,0.99966,0.2331,1.84603,2.97431,0.2331,0.96845,0.34103,1,0.23655,0.2331,0.26379,1,6.73552,1,0.3231,46.25276,51.03759,32,50.88879,0.23793,14.79862,0.62931,4.01983,0.97897,4,0.93914,0.40276,0.2331,0.23379,13.12,0.86931,0.99586,3.86362,0.2331,0.24552,0.54759,0.98259,2,0.29103,0.99414,0.47448,0.62948,69.70914,7.05138,1.9581,20.20586,0.2331,1,0.61017,0.51655,0.84224,1.01862,0.88552,0.94552,0.98793,0.96034,0.34362,1,0.99966,1.95569,51.42379,0.23414,7.92707,1,0.26655,3.70052,0.85207,0.28362,1,1,0.33,0.98552,0.99362,0.48345,0.23845,0.67414,1,0.2331,0.23586,0.2331,0.2331,0.2331,65.98603,95,0.40517,155.19414,0,9.91397,311.57862,0,0.34759,5.96276,13.3719,0.98931,0.99983,0.76621,0.99,0.28241,32.21724,0.99259,0.4019,1.35914,0.31948,0.7019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss HC","UniqueJewel",4.20386,0.68035,0.23123,0.27175,1,0.73965,0.29351,0.74579,1,0.98842,0.26193,1.71544,3.31333,0.23123,0.83895,0.76684,1,0.32965,0.23123,0.2493,1,6.09421,1,0.36684,46.70596,49.3,34.22386,35.21298,0.23123,14.9986,0.99316,3.88474,1,4,1,0.30386,0.23123,0.23123,10.82211,0.86175,0.97719,3.63333,0.23123,0.24404,0.32053,0.7207,2,0.24281,0.96789,0.51491,0.58649,67.72,8.41825,1.48596,31.51018,0.2614,1,0.50439,0.28193,0.45912,0.92,0.79825,0.93579,0.79965,1,0.45772,1,0.97316,1.98421,52.04316,0.24281,7.90544,0.81,0.55877,4.08965,0.99456,0.23737,1,0.99719,0.33228,0.72123,0.96895,0.65632,0.28018,0.88333,0.99386,0.25404,0.32632,0.23123,0.23088,0.23123,63.01088,94.07053,0.36702,106.25088,0,8.90368,240.90404,0,0.58386,5.65526,12.22561,0.99737,0.99807,0.54404,0.99596,0.25912,29.41789,0.86228,0.45211,1.01421,0.24368,0.7086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss HC","UniqueJewel",4.75632,0.98474,0.23053,0.3414,1,0.53614,0.23175,0.84228,1,0.89807,0.23053,1.90947,2.47579,0.23053,0.9986,0.63,1,0.24825,0.23702,0.23053,1,5.09632,1,0.29474,47.89088,46.11,34.28,25.95333,0.23053,16.34281,0.9914,4.62228,0.95035,3.95035,0.98877,0.50895,0.23351,0.23053,8.29088,0.98193,0.98789,4.61842,0.23053,0.23053,0.31579,0.48596,1.83702,0.23053,0.94719,0.60035,0.40316,69.54439,8.73211,1.77754,38.41368,0.34912,1,0.50368,0.38281,0.55702,0.87175,0.61965,0.95649,0.98491,1,0.67667,1,0.89316,1.97175,51.7486,0.23053,7.64298,0.91807,0.23982,3.99965,0.90263,0.24982,1,1,0.32491,0.68737,0.99579,0.67754,0.27807,0.89491,0.99912,0.25298,0.2393,0.23053,0.23053,0.23053,69.94456,83.47018,0.84719,86.88333,0,9.23772,257.92386,0,0.51316,6.98456,11.84965,0.97123,1,0.64474,0.99386,0.26333,29.48667,0.61298,0.79596,1,0.23053,0.77035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss HC","UniqueJewel",4.91368,0.98842,0.23246,0.2893,1,0.66018,0.23246,0.36561,1,0.98018,0.23474,1.97298,2.45316,0.23246,0.99667,0.82702,0.98386,0.29754,0.28035,0.32877,1,4.91456,1.01123,0.31895,39.34632,46.09772,32.14211,24.85105,0.23246,14.39737,1,4.24561,0.98649,4,1,0.37456,0.23246,0.23246,8.60509,1,0.9986,3.93316,0.23386,0.23298,0.56035,0.48667,1.51632,0.23246,0.97807,0.60228,0.39912,70.95649,8,1.68895,35.29421,0.60404,0.97263,0.43368,0.42123,0.69105,0.92193,0.72088,0.88298,0.90719,1,0.8007,1,0.93193,1.93246,54.50491,0.23246,7.54456,1,0.23246,4.76737,0.96702,0.32842,1,1,0.24526,0.71982,0.98579,0.48351,0.42088,0.89246,1,0.23456,0.24842,0.23316,0.23246,0.23246,69.84211,74.72754,0.97737,75.42333,0,9.64544,260.49,0,0.61018,6.37474,12.19105,0.94298,1,0.62614,0.98509,0.26947,28.8707,0.65526,0.37877,1,0.23246,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss HC","UniqueJewel",4.87088,0.94965,0.23509,0.24474,1,0.50281,0.33053,0.2907,1,0.98368,0.23509,2,2.58772,0.23509,1,0.56035,0.63175,0.38456,0.23509,0.3086,1,4.61,1,0.38053,22.79632,46.10474,27.44667,25.64509,0.23509,54.10684,0.98421,5,0.99035,3.86737,1,0.55807,0.27368,0.23509,8.91386,0.75965,0.99877,3.46526,0.23509,0.23509,0.59877,0.43263,1.01579,0.23509,1,0.93035,0.46316,78.46965,7.32509,1.76842,30.94193,0.9786,0.78737,0.61667,0.39053,0.7793,0.90947,0.7893,0.99579,0.93526,1,0.63965,1,1,2,56.32,0.23649,8.13526,1,0.2393,5.59211,0.93193,0.34684,1,1,0.30947,0.86544,0.94333,0.58421,0.50596,0.7214,0.94246,0.30509,0.25228,0.23509,0.23386,0.23509,65.5,64.10877,0.6693,80.65509,0,8.78649,340.8207,0,0.85386,6.1907,13.48895,0.99439,1,0.97351,0.94439,0.32895,42.68246,0.64175,0.47895,1,0.23509,0.98561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss HC","UniqueJewel",4.83224,0.80207,0.2919,0.2681,1,0.33931,0.23776,0.36483,1,0.97121,0.23586,1.99897,2.76466,0.23586,0.99207,0.60672,0.80121,0.38914,0.23586,0.54328,1,3.30569,1.0469,0.35448,22.54069,46.22759,29.5269,23.6931,0.23621,35.93983,0.96603,4.50948,0.99431,3,0.98776,0.57466,0.32276,0.23586,8.87,0.72362,0.99862,4.51914,0.23586,0.25172,0.86086,0.69379,1.54,0.23586,1,0.8919,0.71086,65.255,6.96034,1.55172,22.22534,0.75103,0.8931,0.73086,0.42621,0.74345,0.89483,0.9881,0.84362,0.97517,1,0.62121,0.9981,1,2,61.3231,0.38483,8.42672,0.99897,0.29776,8.74017,0.85362,0.31259,1,0.9981,0.39707,0.54793,0.9331,0.39207,0.41724,0.61017,0.98431,0.65845,0.23586,0.23897,0.20259,0.23586,93.10756,53.10931,0.47017,97.10776,0,9.43552,354.04,0,0.9419,6.20448,14.67034,0.93379,1,0.67741,0.98241,0.30224,40.37259,0.40897,0.40103,1,0.23586,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss HC","UniqueJewel",4.97158,0.80754,0.24,0.24,1,0.66982,0.32228,0.72579,1,0.97456,0.24,2,2.32298,0.24,0.96842,0.98947,0.76211,0.40877,0.24,0.30895,1,4,1.07439,0.39719,21.68035,47.86228,26.07,24.06544,0.24,25.21088,0.97298,4.63807,0.89,3,0.98772,0.45035,0.40263,0.24,9.67947,0.96421,1,4.98421,0.24,0.25509,0.89158,0.99965,2,0.25789,1,1,0.72895,58.61281,7.02877,1.79439,22.36351,0.24,1,0.24,0.39754,0.69368,0.87123,0.73965,0.92053,0.72982,1,0.70035,0.86193,1,2,62.77947,0.35421,7.10561,1,0.24,8.16333,0.92439,0.34018,1,1,0.2486,0.27263,0.99912,0.31123,0.28158,0.95965,1,0.39982,0.24,0.26281,0.24,0.24,83.91193,43.53807,0.49895,108.62246,0,8.48596,325.44211,0,0.4586,6.16965,14.86228,0.92439,1,0.91947,0.9293,0.24,48.21053,0.40263,0.40298,1,0.24,0.95439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss HC","UniqueJewel",4.99895,0.86105,0.24,0.24,1,0.81246,0.4786,0.56772,1,0.9893,0.27333,2,2.87912,0.24,0.77333,0.95491,0.7986,0.32667,0.24,0.30737,1,4.16737,1.30246,0.34877,17.95737,61.24368,26.34877,25.9893,0.24,25.20965,0.94175,4.00772,0.97,2.90351,0.9593,0.35088,0.32649,0.24,9.98895,0.95439,0.92947,4.99035,0.24,0.24,0.45947,0.99825,1.88333,0.30456,1,0.90123,0.77509,52.62421,7.65789,1.01579,23.78421,0.24,1,0.24,0.44632,0.78088,0.72228,0.51474,0.63982,0.7914,1,0.76614,0.74035,1,1.94456,62.97105,0.24,6.96561,0.97754,0.24,7.09351,0.9407,0.33263,1,0.98737,0.24,0.41053,1,0.24719,0.39175,0.91807,0.99035,0.25825,0.24,0.28316,0.23754,0.24,85.60526,37.05351,0.44719,111.37579,0,7.7893,305,0,0.51053,4.94123,11.97053,0.99772,1,0.48649,0.94877,0.24053,47.58982,0.39526,0.37491,1.01912,0.24,0.82035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss HC","UniqueJewel",4.91862,0.9131,0.24,0.24,1,0.55069,0.39741,0.78707,1,0.99759,0.24,2,2.63207,0.24,0.74069,0.99086,0.80414,0.35466,0.24,0.42741,1,4.97621,1.45293,0.24,15,76.77776,28.15293,42.48793,0.2431,26.32155,0.995,3.77655,0.95483,2.99793,1,0.47259,0.24,0.24,10.9419,0.97517,0.9869,4.82121,0.24,0.24,0.50603,1,1.01121,0.28207,1,0.90569,0.3719,57.89948,7.99345,1,25.00397,0.24,1,0.24,0.43362,0.95586,0.4681,0.53759,0.99759,0.89052,1,0.33259,0.5419,1,1.99534,67.70862,0.24103,7,0.80897,0.32431,6.37293,0.70638,0.33466,1,0.97793,0.26483,0.57828,1,0.24,0.34672,0.96534,0.99845,0.24,0.24,0.24,0.16707,0.21086,83.70086,29.38552,0.40638,98.00966,0,7.0319,305,0,0.59052,6.19741,10.17862,1,1,0.49672,0.63897,0.27983,45.87897,0.39879,0.38259,1.19897,0.24,0.55276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss HC","UniqueJewel",4.99947,0.87632,0.24,0.24,0.99632,0.24,0.25789,0.36263,0.89211,0.95895,0.24105,2,2,0.24632,0.84632,0.97825,0.76684,0.34912,0.24,0.43596,1,4.03351,1.69123,0.26088,14.20281,127.14286,27.05088,66.49368,0.2614,33.06246,0.65737,3,0.93088,2.99158,0.97842,0.66561,0.24,0.24,13.10614,0.9886,0.97632,4.8286,0.24,0.24,0.39035,1,1,0.24,1.00193,0.80737,0.41807,65.59035,7.99421,1,26.03667,0.24,1,0.24,0.39561,0.83421,0.39947,0.63632,0.98386,0.9993,1.04737,0.41561,0.66351,0.98807,2.57316,71.20509,0.24,6.8886,0.98088,0.29088,4.64404,0.71737,0.40088,1,1,0.24,0.91807,1,0.24,0.52246,0.99789,1,0.24,0.24333,0.23439,0.18596,0.23035,85.09439,29.84912,0.39789,82.3614,0,7.62719,308.6,0,0.50509,6.63702,9.88404,1,0.62719,0.73088,0.44596,0.26965,39.32614,0.37368,0.41561,1.37333,0.24509,0.66281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
