"Day","Date","League","Type","Deafening.Essence.of.Anger","Deafening.Essence.of.Anguish","Deafening.Essence.of.Contempt","Deafening.Essence.of.Doubt","Deafening.Essence.of.Dread","Deafening.Essence.of.Envy","Deafening.Essence.of.Fear","Deafening.Essence.of.Greed","Deafening.Essence.of.Hatred","Deafening.Essence.of.Loathing","Deafening.Essence.of.Misery","Deafening.Essence.of.Rage","Deafening.Essence.of.Scorn","Deafening.Essence.of.Sorrow","Deafening.Essence.of.Spite","Deafening.Essence.of.Suffering","Deafening.Essence.of.Torment","Deafening.Essence.of.Woe","Deafening.Essence.of.Wrath","Deafening.Essence.of.Zeal","Essence.of.Delirium","Essence.of.Horror","Essence.of.Hysteria","Essence.of.Insanity","Muttering.Essence.of.Anger","Muttering.Essence.of.Contempt","Muttering.Essence.of.Fear","Muttering.Essence.of.Greed","Muttering.Essence.of.Hatred","Muttering.Essence.of.Sorrow","Muttering.Essence.of.Torment","Muttering.Essence.of.Woe","Remnant.of.Corruption","Screaming.Essence.of.Anger","Screaming.Essence.of.Anguish","Screaming.Essence.of.Contempt","Screaming.Essence.of.Doubt","Screaming.Essence.of.Dread","Screaming.Essence.of.Envy","Screaming.Essence.of.Fear","Screaming.Essence.of.Greed","Screaming.Essence.of.Hatred","Screaming.Essence.of.Loathing","Screaming.Essence.of.Misery","Screaming.Essence.of.Rage","Screaming.Essence.of.Scorn","Screaming.Essence.of.Sorrow","Screaming.Essence.of.Spite","Screaming.Essence.of.Suffering","Screaming.Essence.of.Torment","Screaming.Essence.of.Woe","Screaming.Essence.of.Wrath","Screaming.Essence.of.Zeal","Shrieking.Essence.of.Anger","Shrieking.Essence.of.Anguish","Shrieking.Essence.of.Contempt","Shrieking.Essence.of.Doubt","Shrieking.Essence.of.Dread","Shrieking.Essence.of.Envy","Shrieking.Essence.of.Fear","Shrieking.Essence.of.Greed","Shrieking.Essence.of.Hatred","Shrieking.Essence.of.Loathing","Shrieking.Essence.of.Misery","Shrieking.Essence.of.Rage","Shrieking.Essence.of.Scorn","Shrieking.Essence.of.Sorrow","Shrieking.Essence.of.Spite","Shrieking.Essence.of.Suffering","Shrieking.Essence.of.Torment","Shrieking.Essence.of.Woe","Shrieking.Essence.of.Wrath","Shrieking.Essence.of.Zeal","Wailing.Essence.of.Anger","Wailing.Essence.of.Anguish","Wailing.Essence.of.Contempt","Wailing.Essence.of.Doubt","Wailing.Essence.of.Fear","Wailing.Essence.of.Greed","Wailing.Essence.of.Hatred","Wailing.Essence.of.Loathing","Wailing.Essence.of.Rage","Wailing.Essence.of.Sorrow","Wailing.Essence.of.Spite","Wailing.Essence.of.Suffering","Wailing.Essence.of.Torment","Wailing.Essence.of.Woe","Wailing.Essence.of.Wrath","Wailing.Essence.of.Zeal","Weeping.Essence.of.Anger","Weeping.Essence.of.Contempt","Weeping.Essence.of.Doubt","Weeping.Essence.of.Fear","Weeping.Essence.of.Greed","Weeping.Essence.of.Hatred","Weeping.Essence.of.Rage","Weeping.Essence.of.Sorrow","Weeping.Essence.of.Suffering","Weeping.Essence.of.Torment","Weeping.Essence.of.Woe","Weeping.Essence.of.Wrath","Whispering.Essence.of.Contempt","Whispering.Essence.of.Greed","Whispering.Essence.of.Hatred","Whispering.Essence.of.Woe"
11,"2017-12-18","Abyss HC","Essence",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,21.15982,18.73614,6.92281,10,0.23333,0.36263,0.27228,0.33,0.23316,0.26298,0.25246,0.26895,2.99965,2.03807,0.94702,2.7693,0.99351,1,1.02211,1,2.91386,0.95035,1,0.9414,1,1.5407,0.98175,1,0.99965,0.76877,1,1,1.9786,5.60509,1.99105,8.52228,1.75561,3,2.29737,3.21246,9.03123,2.90965,4.00105,2.84088,5.76632,3,3.0114,5.08526,2,1,4,3.42895,2.89088,0.97386,1,0.98877,0.38105,0.8207,1.00667,0.99246,0.92105,1,0.99228,0.85,0.6186,0.98596,0.65877,0.77965,0.7193,0.3314,0.99649,0.32632,0.58947,0.56211,0.35649,0.26456,0.70175,0.3293,0.33,0.47193,0.33772,0.23386,0.23526,0.23491,0.25439
12,"2017-12-19","Abyss HC","Essence",0,0,0,0,0,0,0,0,8.05263,0,0,0,0,0,0,0,0,0,0,0,22.96474,19.45053,6.48877,11.10263,0.23123,0.34526,0.29053,0.37632,0.23123,0.27088,0.23123,0.24772,2.98281,2.74018,0.94982,1.89544,0.81474,1,1.15175,1.05474,2.99965,0.98053,1,0.99474,1,1.08737,0.98316,1,0.99965,0.72579,1,1,1.92158,5.91667,1.98211,8.41596,1.57,3,3,3.44035,9.65351,2.99825,3.66088,2.67579,4.54895,3,3.61351,4.32246,2,1,3.65263,3,3.44561,0.95912,0.78895,0.82018,0.50474,0.86982,1,0.69509,0.89456,0.96596,0.88596,0.64789,0.48561,0.91702,0.64807,0.99035,0.94526,0.33439,0.99439,0.30333,0.34772,0.64561,0.33351,0.2593,0.8314,0.34754,0.31912,0.58982,0.33228,0.23123,0.26842,0.23123,0.2593
13,"2017-12-20","Abyss HC","Essence",15,0,0,6,0,0,0,0,8.02316,12,5,0,0,7,0,0,3,7,9,0,23.83175,18.86702,6.1714,12.00947,0.23123,0.34667,0.34596,0.39579,0.23053,0.35105,0.23228,0.2486,2.99298,2.93474,0.69509,2.15579,0.94947,1,1.06228,1,2.99965,0.99684,1,1,0.99474,1.32912,1,1.02947,1,0.79895,1,1,1.56439,6.85509,2,7,1.34316,2.98474,2.98877,3,8.92895,3,4,1.85105,3.98596,3.20088,3,5.05421,2,1,2.86807,2.87579,4.04053,1,1,0.80544,0.69123,0.95509,1,0.69316,0.98877,0.97211,0.98404,0.48667,0.71474,0.92754,0.76298,1,1,0.37754,0.85947,0.34719,0.3293,1,0.34561,0.29895,0.83947,0.36298,0.32825,0.79895,0.34719,0.22211,0.26386,0.2414,0.29053
14,"2017-12-21","Abyss HC","Essence",14.93793,0,0,5.9434,0,0,0,0,8,12,5,0,0,7,0,0,3,7,9,0,24.04707,19.00862,6.81034,12.31603,0.23241,0.35224,0.36931,0.59,0.23241,0.37569,0.23241,0.23241,2.93655,2.34879,0.62517,2.42879,0.94103,1,1.38517,1,2.99569,0.87017,1,1,0.89517,1.62431,1,1.595,0.95414,0.7931,1,0.99379,1.43,6.70897,1.87897,6.9619,1.54638,3,2.66259,2.84345,9.31052,2.95897,3.99431,1.95345,4,3.67603,2.87086,5.35172,2,1,3,2.94397,4.29828,0.99466,0.95966,0.82414,0.64448,0.99862,1,0.73793,0.90621,0.88983,0.90862,0.44845,0.6,0.98276,0.99534,1,1,0.37086,0.70293,0.36931,0.29293,0.95259,0.32397,0.33017,0.70638,0.44879,0.2469,0.58638,0.36672,0.23241,0.23362,0.23241,0.24983
15,"2017-12-22","Abyss HC","Essence",15,0,0,0,0,0,8,0,7.30483,0,5,0,0,7,0,7,3.27155,7,9,0,22.86793,20.35362,6.94397,14.27948,0.235,0.235,0.38759,0.39155,0.235,0.39552,0.235,0.29966,2.82086,2.31086,0.52603,2.58638,0.89655,0.95345,1.30638,1,2.97155,0.98362,1,1,1,1.73241,1,1.43241,0.74086,0.72879,1,1,1.00707,7.24707,1.82207,6.89224,2,3,2.125,2.81224,9.71879,3,4,1.99655,4,3.99621,2.28707,4.99724,2,1,3,2.94362,4.46207,0.90431,0.97017,0.74276,0.52983,0.99017,1,0.83069,0.83172,0.7419,0.86466,0.40362,0.38759,0.81586,0.99552,1,0.98552,0.39362,0.53397,0.38483,0.38759,0.80569,0.37724,0.38379,0.38759,0.44241,0.25328,0.53638,0.38034,0.235,0.23586,0.31931,0.29431
16,"2017-12-23","Abyss HC","Essence",40,0,0,6,0,0,8,0,7.32,0,5,0,0,7,0,7,3.18421,7,9,0,18.23316,21.09158,7.01544,17.3114,0.23596,0.25544,0.65842,0.40123,0.23596,0.40123,0.23596,0.52105,2.85316,2.09123,0.97298,1.99982,0.99982,1,1.68351,1,2.95421,1,1,1,1,1.84561,0.99982,1.59632,0.93579,0.92456,1,1,1.10263,7.49105,1.23895,5.99123,2,2.95895,2.07965,3,9.9214,2.99421,4,2,3.81421,3.63158,2,5.04649,1.70614,1.58439,3,3,4.59544,0.97,0.99982,0.88807,0.61351,0.99333,1,0.99632,0.97719,0.7814,0.67895,0.39105,0.40667,0.70789,0.43649,0.99789,0.98754,0.41965,0.45456,0.39895,0.40439,0.40123,0.40491,0.32509,0.46053,0.42333,0.23596,0.40632,0.32316,0.23596,0.23632,0.51105,0.23596
17,"2017-12-24","Abyss HC","Essence",40,0,0,5.32105,0,0,0,0,7.32,0,5,0,8.96429,6.4807,0,7,3.3,7,9,0,18.3207,21.88982,7.09105,18.58491,0.24298,0.34912,0.78368,0.40263,0.24,0.40263,0.24,0.76439,2.80456,2.55211,0.99579,2.02333,0.85474,0.99035,1.99789,1,2.87649,0.98246,1,0.99772,0.99088,1.28596,0.97965,1.03175,0.97246,0.82526,1,0.99088,1.10158,8.22614,1,5.94105,2,2.66456,2.45263,2.97053,10.35877,2.81526,4,2,4,3.08754,2.08105,5.7207,1,1.72123,3,3,4.04982,0.98035,0.99965,0.98509,0.54877,0.93368,1,0.96053,0.95877,0.76333,0.73158,0.37877,0.47158,0.48947,0.40263,0.97719,0.99193,0.48561,0.50088,0.41474,0.40982,0.78211,0.40982,0.2714,0.42088,0.34456,0.24825,0.40263,0.55386,0.24,0.2407,0.67421,0.24
18,"2017-12-25","Abyss HC","Essence",40,5,0,5.0069,0,0,0,0,6.84517,0,0,0,8,5.14517,0,6.67241,3.3,7,9,0,20.39293,20.97793,7,15.23431,0.31966,0.38241,0.39534,0.39569,0.37224,0.60466,0.24552,0.62828,2.84017,2.76586,0.99379,2.16,0.92569,0.87397,1.39879,0.9881,2.48879,0.99655,1,1,0.98862,1.51534,0.99741,0.99776,0.98293,0.81155,0.99431,0.99948,0.99966,8.535,1,5.72431,2,2.2031,2.9169,3,10.87034,2.04138,4,2,4,3.98328,2.25017,5.71707,1,1.885,3,3,4.10069,0.9969,0.96069,0.99948,0.4369,0.79224,1,0.94086,0.81259,0.54103,0.47414,0.40414,0.44362,0.46345,0.39534,0.97759,0.94328,0.67483,0.6181,0.41828,0.49224,0.92759,0.41362,0.38017,0.39052,0.39534,0.24,0.39534,0.40828,0.24,0.24,0.44448,0.32345
19,"2017-12-26","Abyss HC","Essence",37.71053,4.91228,0,5,0,0,0,30,5.58211,0,0,0,8,4.04263,0,6,3.3,7,9,0,22.03316,21.47632,7,15.54614,0.41561,0.41456,0.38193,0.77491,0.31175,0.79544,0.30105,0.87561,2.82105,2.75737,1,1.81316,0.87614,0.99263,1,0.96982,2.37807,1,1,1,1,1.87263,1,1,0.99754,0.94789,1,1,1,6.83,1,5.71333,2,2.69895,2.99175,3,10.0493,2,4,2,4,3.78825,2.75053,5.02877,1,2,2.6886,2.95807,4.2307,0.98684,0.88737,0.99947,0.41158,0.49509,1,0.79737,0.34754,0.47421,0.44684,0.4086,0.45561,0.46088,0.4293,1,0.74649,0.77561,0.63772,0.4493,0.45368,1,0.4614,0.28018,0.52368,0.32351,0.33228,0.39877,0.42,0.24,0.26404,0.47175,0.35158
20,"2017-12-27","Abyss HC","Essence",21.87772,4,0,4.57649,0,0,5.88529,28.35439,5,0,0,5,6.07273,3.71474,0,5.65053,3.24632,5.65217,4.02439,0,21.22632,22.31421,6.9393,16.47246,0.39772,0.30947,0.38053,0.63333,0.27596,0.66105,0.30719,0.49035,2.79088,1.9393,0.95421,1.47404,0.76246,0.98772,1,1,2.95386,0.93158,1,1,1,1.95754,0.99912,1.00789,1,0.8614,1,1,1,6.2914,1.01561,5.28719,1.91526,2,2.99351,3,9.78035,2,3.99386,2,3.95544,3.09404,2.96,5.03,1,2,2.35193,3,5,0.99789,0.58281,0.87263,0.4407,0.39789,1,0.66561,0.40737,0.53211,0.42281,0.42895,0.62825,0.39404,0.52614,1,0.65684,0.41298,0.60018,0.40632,0.39825,1,0.46965,0.37281,0.4,0.33088,0.36579,0.38772,0.53035,0.24,0.24,0.35386,0.26439
21,"2017-12-28","Abyss HC","Essence",23.65404,9.58333,27.09081,4.38246,0,0,13.58105,29.28772,5,0,0,5,11,3.4,0,4.94035,3.20158,10.58538,3,0,22.49772,24.65895,6.84386,17.62965,0.23982,0.23982,0.36982,0.51509,0.23982,0.23982,0.29491,0.29368,2.77842,2.42333,0.81702,1.90035,0.72772,1,1,0.9993,2.9786,0.87509,1,1,1,1.98544,0.99246,1,0.87509,0.83088,0.97193,1,1,5.48474,1.06228,5.11561,2,2.16456,2.96754,3.01298,9.84193,2,3.95807,2,3.99912,2.53316,2.99842,5.44368,1,2,2.19772,3,4.84965,1,0.45491,0.59386,0.56439,0.46456,1,0.67351,0.36,0.41018,0.46175,0.59105,0.88491,0.40895,0.42105,1,0.98491,0.39526,0.73281,0.25053,0.33351,0.60947,0.36579,0.39474,0.34842,0.28667,0.38228,0.33263,0.7293,0.23982,0.23982,0.23982,0.23982
22,"2017-12-29","Abyss HC","Essence",27.32211,11.94444,24.35491,4.6293,0,0,12.47895,27.41123,5.24316,0,0,0,10.79474,4.01825,18,4.32421,3.16912,10.38702,3.05474,0,24.51404,25.81263,6.78947,16.67281,0.24,0.24,0.45456,0.42561,0.24,0.28298,0.24,0.33544,2.95368,2.18842,0.73368,1.96754,0.78807,0.9993,1,0.9993,3,0.90579,1,1,1,2,0.97053,1,0.75368,0.75,0.99018,1,1,4.68053,1.30281,4.39965,2,2.52316,2.93772,3.70158,8.0693,2,3.96649,1.99807,3.94491,3,3,4.95456,1,1.99228,2,2.99456,4.36,0.99895,0.58544,0.62702,0.61509,0.75912,1,0.64667,0.39351,0.42596,0.61737,0.71509,0.93772,0.49702,0.41895,0.99667,1,0.39333,0.77281,0.32193,0.25123,0.41456,0.31421,0.39298,0.38439,0.48649,0.39298,0.41877,0.58544,0.24,0.24,0.24,0.24
23,"2017-12-30","Abyss HC","Essence",23.50456,8.72686,24.64474,4.74281,0,25,9.83789,28.27316,6.77351,0,0,19,9.13158,6.14105,18,4,2.91088,9,4.13912,24.93571,24.06386,25.77123,6.65895,14.84,0.24105,0.24,0.33158,0.24772,0.24,0.24,0.24596,0.31263,2.82421,2.1393,0.81035,1.55474,0.79351,1,1,1,2.97263,0.93263,1,1,0.99789,2,1,1,0.79281,0.79018,0.99912,0.99596,1.32386,4.51737,1,5,2,2.11684,2.79175,3.92421,8.9693,2,3.91439,1.99561,3.76912,3.05772,2.87737,4.90333,1.63,2,2.43825,3,3.99211,0.92807,0.73228,0.91772,0.2407,1,1,0.57737,0.43965,0.40632,0.55228,0.68912,0.68035,0.4607,0.43754,0.99895,0.9714,0.39,0.56509,0.37561,0.28982,0.41737,0.35772,0.39018,0.35526,0.47947,0.37912,0.40579,0.50649,0.24,0.24,0.24,0.24
24,"2017-12-31","Abyss HC","Essence",18.16737,12.78091,23.50439,4.42491,8,25,10.3086,24.30368,6.99614,12,20,14.5786,5.5,5,18,4,1.79579,8.87368,5.96,24.1,23.11632,27.04825,6.25895,13.79193,0.24,0.24,0.27211,0.24,0.24,0.30509,0.24158,0.26193,2.98,2.13158,0.9507,1.66053,0.80544,1,1,1,2.99842,0.94807,1,1,0.99053,2,1,1,0.97684,0.80263,0.97281,0.98526,1,5,1,5,2,2,2.57175,3,8.99053,2.55281,3.99123,1.97719,3.10772,3.13579,2.30754,4.67772,1.51263,2,2.9614,3,4,0.75667,0.50842,0.99965,0.24,0.99895,1,0.43281,0.41263,0.39,0.52035,0.79386,0.42965,0.48719,0.43158,0.68632,0.99333,0.44684,0.38702,0.39,0.2693,0.40211,0.39,0.39,0.35333,0.35053,0.37544,0.39,0.51895,0.24,0.24,0.24,0.24
25,"2018-01-01","Abyss HC","Essence",27.91034,15.0319,23.10172,4,8,25,10.25621,26.14052,6.71207,11.94828,19.67414,13.65759,5.5,4.63362,19.16667,4,2.15638,8.17379,5.96,24.1,20.41034,27.67086,7.00448,12.13621,0.23931,0.23931,0.28914,0.27466,0.23931,0.37103,0.24207,0.29845,2.49793,2,1,1.96259,0.91776,1,1,1,3,0.98914,1,1,0.9881,1.99983,0.9431,0.99983,0.99931,0.9569,1,0.99897,1.00052,5,1,5,2,2.51,2.97931,2.72724,8.21155,2.61138,3.72276,2,3,3.41034,2.08379,5,1,1.39655,3,3,4,0.77034,0.50741,0.86241,0.26155,0.99431,1,0.63914,0.47069,0.39017,0.51121,0.8881,0.56241,0.49707,0.5969,0.72638,1,0.58569,0.3831,0.39034,0.34569,0.41328,0.44483,0.37966,0.40138,0.39759,0.39638,0.39017,0.71241,0.23931,0.23931,0.23931,0.23931
