"Day","Date","League","Type","Andvarius","Araku.Tiki","Ascent.From.Flesh","Astramentis","Atziri.s.Foible","Auxium","Bated.Breath","Belt.of.the.Deceiver","Berek.s.Grip","Berek.s.Pass","Berek.s.Respite","Bisco.s.Collar","Bisco.s.Leash","Blackheart","Blood.of.Corruption","Bloodboil","Bloodgrip","Brinerot.Mark","Call.of.the.Brotherhood","Carnage.Heart","Choir.of.the.Storm","Cyclopean.Coil","Daresso.s.Salute","Darkness.Enthroned","Death.Rush","Doedre.s.Damning","Doryani.s.Invitation","Dream.Fragments","Dyadian.Dawn","Emberwake","Essence.Worm","Extractor.Mentis","Eye.of.Chayula","Eye.of.Innocence","Faminebind","Feastbind","Gifts.from.Above","Gloomfang","Headhunter","Heartbound.Loop","Hinekora.s.Sight","Immortal.Flesh","Impresence","Kaom.s.Sign","Kaom.s.Way","Karui.Charge","Karui.Ward","Kikazaru","Le.Heup.of.All","Lori.s.Lantern","Malachai.s.Artifice","Maligaro.s.Cruelty","Maligaro.s.Restraint","Marylene.s.Fallacy","Meginord.s.Girdle","Ming.s.Heart","Miracle.Gorget","Mokou.s.Embrace","Mutewind.Seal","Ngamahu.s.Sign","Ngamahu.Tiki","Night.s.Hold","Perandus.Blazon","Perandus.Signet","Perseverance","Praxis","Presence.of.Chayula","Prismweave","Pyre","Rashkaldor.s.Patience","Redblade.Band","Rigwald.s.Crest","Rigwald.s.Curse","Romira.s.Banquet","Ryslatha.s.Coil","Shaper.s.Seed","Shavronne.s.Revelation","Sibyl.s.Lament","Sidhebreath","Snakepit","Soul.Tether","Soulthirst","Star.of.Wraeclast","Stone.of.Lazhwar","Sunblast","Tasalio.s.Sign","Tear.of.Purity","The.Anvil","The.Ascetic","The.Aylardex","The.Halcyon","The.Hungry.Loop","The.Ignomon","The.Magnate","The.Pandemonius","The.Pariah","The.Retch","The.Taming","The.Warden.s.Brand","Thief.s.Torment","Timeclasp","Umbilicus.Immortalis","Ungil.s.Harmony","Valako.s.Sign","Valyrium","Ventor.s.Gamble","Victario.s.Acuity","Voice.of.the.Storm","Voideye","Voidheart","Voll.s.Devotion","Warped.Timepiece","Winterheart","Wurm.s.Molt","Xoph.s.Blood","Xoph.s.Heart","Yoke.of.Suffering","First.Piece.of.Time","Gluttony","Mark.of.the.Elder","Stormfire","The.Effigon","The.Nomad","The.Tactician","Timetwist","Winterweave","Blightwell","Mark.of.the.Shaper","Natural.Hierarchy","Second.Piece.of.Time","The.Flow.Untethered","Ahkeli.s.Meadow","Ahkeli.s.Mountain","Ahkeli.s.Valley","Aul.s.Uprising","Coward.s.Chains","Coward.s.Legacy","Eyes.of.the.Greatwolf","Hyperboreus","Mark.of.Submission","Perquil.s.Toe","Precursor.s.Emblem","Putembo.s.Meadow","Putembo.s.Mountain","Putembo.s.Valley","Sacrificial.Heart","Solstice.Vigil","String.of.Servitude","The.Primordial.Chain","Uzaza.s.Meadow","Uzaza.s.Mountain","Uzaza.s.Valley","Vivinsect","Zerphi.s.Heart","Badge.of.the.Brotherhood","Circle.of.Anguish","Circle.of.Fear","Circle.of.Guilt","Circle.of.Nostalgia","Circle.of.Regret","Hyrri.s.Truth","Icefang.Orbit","Siegebreaker","Tavukai","The.Jinxed.Juju","Venopuncture","Demigod.s.Bounty","Demigod.s.Eye","Astral.Projector","Fury.Valve","Leash.of.Oblation","Mother.s.Embrace","Warrior.s.Legacy","Willowgift"
23,"2018-05-26","Bestiary Flashback HC","UniqueAccessory",2,0.3301,20.3,23.71,1,2.42,0.6101,1,42.19,8.33,0,51.61,4,1,30,1,1,3.4,2,9.81,51.62,5.22,9.75,2.93,4.97,2,2.21,2,1,2,5,0.42,1,70,172.84,19.71,10,2.1,9300,1,86.63,0.43,165,1,121.2,8.53,0.89,2,7.23,1,1.22041,0.98783,0.94,1,1,2,NA,1.78,2.46,2,2.68,NA,0.8301,22.62,3,1,296,1,1.81031,1,5,0,200,1.32,2,1,0,1,0.31,0,0.42,1,20,0.94,0.3,3.92,0.94,1,2.86,1,21.81,2.4,0.44,1,100,43.04,0,0,2,8,1.31,0.51,0.18,28,2,2,7.87,8.44,6.83,5.2,60.1,1,2.83,0.82,164.69,120,0,43.315,0.84,0,4,21.18,26.3,50,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2018-05-27","Bestiary Flashback HC","UniqueAccessory",2,0.27,20.67,24.98,1,2.32,0.46,1,45.31,8.33,0,55.23,4,1,25.99,1,1,3.31,2,10,82.23,5.29,8.89,3,3.88,1.98294,2.21,2,1,1,5,0.28,1,70,191.5,19.71,10,3,9266,1,95.75,0.47,145,1,122.95,8.53,1,2,7.21,1,1.61,0.91,0.9325,1,1,1.64,NA,1,3,2,4.53,NA,0.9401,18.84,3,1,177.71,1,2,1,5.59,0,200,1.35,2,1,0,1,0.45,0,0.45,1,20,0.97,0.52,4.10818,1,1,3.04,1,20.92,2.81,0.80898,1,100,42.66,0,0,2,8,1,0.66,0.15,20,2,2,7.22,7.88,6.19,5.2,57.5,1,2.78,0.45,188,478.75,0,47.875,0.92,0,4.11,30,29.13,50,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-05-28","Bestiary Flashback HC","UniqueAccessory",1.95,0.3,20.67,25.09,1.189,2.7,0.45,1,48.59,10.67,0,50,4,1,25.5,1,1,3.21,2,10,48.5,5.1,8.01,3,4.01,1,3,1.99,1,1,5,0.45,1,0,192.82,40,12.36,3.67,8720.69,1,96.98,0.92,145,1,116.61,8.53,1,2,8,1,1.02,0.95,1,1,1,1.58,NA,1,3,2.59,4.41,NA,1,18.98,3,1,170,1,1,1,5.59,0,200,1,4.9,1,0,1,0.4601,0,0.46,1,0,1,0.51481,3.68,1,1,3.04,1,20.92,2.92,0.6,1,100,19.19,0,0,2,8,1,0.65,0.15,20,2,2,6.68,7.59,7.45,5.2,57.5,1,2.61,0.46,200,482.05,0,48.205,1,0,4.11,30,60,50,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"2018-03-02","Bestiary HC","UniqueAccessory",0,1.21667,0,0,2.496,0,1,7.33333,0,0,0,0,0,1.035,0,1,0,0,0,25,0,0,0,0,0,10.47,0,0,0,0,10,1.896,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.29,3.66667,8,0,1,0,0,5,4.4,0,NA,1,0,0,0,0,1.145,0,0,2.1,0,1.268,2.5,0,0,0,0,0,0,2.5,0,0,1.25,0,2.86,0,0,1.16667,2,0,2,0,0,0,0,0,1.046,2.65,0,0,0,0,4.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.01667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2018-03-03","Bestiary HC","UniqueAccessory",3.47419,0.23889,0,32.15981,2.49315,0,0.58407,3.33333,28.47727,27.07909,0,99.44115,2.32132,0.46185,6,0.36093,14.96563,5.93793,30.33391,13.49056,0,0,11.46231,19.07121,16.00703,1.05556,6.575,1.762,2.42238,0.93151,19.63792,0.52,1.15074,0,24.56405,22.1068,20,0,0,1.02304,0,0.97122,0,0.41241,40.91905,4.9,1.20204,2.28259,5.80653,0.97907,0.23148,1.00132,0.9122,1.55407,2.46704,2.27649,NA,0.27056,2.66344,1.87083,12.13,0,0.91333,0,0,0.92926,0,0.96148,1.2987,1,3.87667,0,0,1.962,11.705,1.37611,0,0.67962,0.51926,0,0.6687,3.52686,0,0.67352,0.91019,4.41429,0.52093,1,0,1.22593,0,0,0.26204,1.16074,0,26.50714,0,0,1.01481,6.3236,0.34333,0,0.245,0,0.8222,16.14263,1.90114,0,15,0,0,1.1488,1.71667,0.62444,0,0,0,0,0,0,60,17.505,28.98182,19.78,0,7.25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2018-03-04","Bestiary HC","UniqueAccessory",2.81736,0.20962,22.8632,27.40226,1.08132,10.007,0.20925,2.06019,9.85472,2.13132,0,110.47887,2.06736,0.72491,4.68717,0.21189,14.16647,13.15453,2.52038,7.33057,0,0,1.82396,4.30736,4.0534,0.99736,2.08925,0.97849,1.70528,1,22.92075,0.20925,1,0,6.90245,2.57434,18.61472,55,1551.67021,0.51887,575.58182,0.34925,0,0.49962,39.30472,4.91566,1,2,3.05434,0.71962,0.20925,0.94509,0.65094,0.8783,1.8234,0.98358,NA,0.20925,1.26962,0.99547,5.3466,0,0.37415,45,48.26356,0.90245,0,0.90189,0.98849,1,1.36642,0,0,1,1.39642,1,0,0.21057,0.55019,0,0.22113,1.23396,0,0.4483,0.24075,4.82642,0.38226,0.99547,9.925,1,95.49483,18.078,0.21396,0.99528,0,18.64491,30.64207,0,1,5.92774,0.20925,0,0.20925,0,0.5134,3.41434,0.8783,100,13.77574,15.7558,76.56122,0.90736,4.08071,0.21302,0,160,0,0,0,0,129,14.1066,22.31019,12.29208,29.70588,5.13472,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2018-03-05","Bestiary HC","UniqueAccessory",1.93679,0.34132,8.35472,25.40962,1,5.51566,0.25245,1.97604,7.31415,2,152.31818,121.36226,1.5283,0.95679,2.04868,0.25208,6.06792,11.57434,1.89321,8.88774,0,58.343,1.03491,2.26811,2.67358,1,1,1,1,0.96566,22.94925,0.25245,0.97943,75,3.01887,2,10.9666,48.10267,1462.5,0.25057,189.92264,0.25,0,0.56057,52.38509,4.7766,0.99962,2,3.29264,0.70774,0.25226,0.84585,0.4166,0.99321,1.27019,0.78925,NA,0.27566,1,1,3.95755,0,0.28528,36.87308,24.70509,0.85981,0,0.79642,1,0.81453,1,0,0,0.91057,1,0.98698,0,0.25245,0.3734,0,0.25245,0.93906,0,0.48038,0.25528,2.75264,0.26321,0.99,7.81453,0.99906,62.98717,8.73925,0.25245,1,0,14.67075,16.32038,0,0.96792,5.16057,0.25245,0,0.24943,0,0.5034,3.66472,1,91.10509,9.72774,8.25019,87.04943,0.87849,5.68811,0.25245,0,226.5614,0,0,0,0,147.85811,4.60264,11.76906,6.65415,21.62264,2.68358,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2018-03-06","Bestiary HC","UniqueAccessory",1.13231,0.29212,5.52365,22.93827,0.99346,4.86481,0.2775,1.85288,7.56596,2,19.64654,144.4875,1,0.92269,1.76769,0.27096,2.69173,6.15115,1.54981,7.63365,0,15.185,1.65596,2.94173,2.32942,1,0.99615,1,0.79231,0.97019,16.07692,0.27731,0.83019,75,2.91,2,5.91712,14.85154,0,0.28,157.00846,0.28058,250,0.73135,96.40279,5.13538,1,2,3.77058,0.45692,0.27808,0.78404,0.32154,0.78962,1,0.42423,NA,0.37327,1,1,5.46808,0,0.31423,24.95846,15.05673,0.74231,0,0.79923,0.9875,1,1,0,0,0.80385,1,0.99962,0,0.28231,0.29981,0,0.28115,0.925,74.9271,0.66462,0.27596,2.06808,0.28115,0.93404,5.56327,0.99596,39.07654,3.91269,0.28115,0.9375,0,8.735,13.65827,81.25,0.85192,5.38423,0.28115,0,0.27846,0,0.67096,3.55538,0.87673,78.58,4.96269,6.43519,165.84346,0.81192,6.17615,0.27673,0,206.17038,150,0,0,0,80.30308,3.03346,8.89577,5.92038,17.39635,1.73538,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2018-03-07","Bestiary HC","UniqueAccessory",1.23321,0.30283,5.48453,20.51528,1,3.43868,0.29547,1.61623,6.52962,2,57.18182,158.68698,1,0.99925,1.9466,0.29962,1.99264,3.67755,1.51113,6.25717,0,4.26075,1.75642,3,2,0.99962,1,0.99132,0.9683,0.92736,10.43038,0.29981,0.87396,62.7366,2.95736,1.81887,4.21358,4.77736,0,0.29906,152.40774,0.40566,250,0.84604,75.74226,4.84623,0.99566,1.99981,3.68377,0.3083,0.29283,0.33642,0.29981,0.49717,1.03208,0.33642,NA,0.29981,0.99453,1,7.40358,0,0.29642,17.9034,9.15981,0.79151,366.66667,0.98453,0.99415,0.9883,1,0,0,0.79415,1,0.97377,100,0.29981,0.37962,0,0.29981,0.90132,47.24642,0.78264,0.29491,2,0.2983,0.78679,5.6034,1,43.33623,2.51811,0.29642,0.99189,0,9.29925,10.34887,72.35774,0.59453,5.93283,0.29925,0,0.29604,0,0.60434,4.2083,0.94925,47.37113,4.86396,4.99528,129.14679,0.32113,3.78528,0.30415,0,188.62679,108.14472,0,0,0,17.25849,18.96906,7.83547,4.06925,11.26,1.48906,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2018-03-08","Bestiary HC","UniqueAccessory",1,0.31558,5.40712,25.74192,0.99885,3,0.34846,1.21846,8.19077,2,64.19846,147.65135,1.00135,0.88673,2.30404,0.31192,1.79308,3.125,1,5.43865,0,3.59077,1.94231,2.93827,1.90827,1,1,1,0.93404,0.70423,9.89538,0.29596,1,42.61115,4.80192,1.89327,2.33019,3.46019,0,0.31115,139.60269,0.31904,236.53846,0.64231,69.69442,5.35173,0.96808,1.88654,3.65462,0.31596,0.30712,0.35038,0.32615,0.73212,1,0.35,NA,0.31692,0.99865,0.99038,7.64942,0,0.31731,16.60788,6.02,0.63288,347.42857,0.69615,0.985,0.9725,1,0,100,0.86,0.94769,0.99923,107.71538,0.31577,0.44654,0,0.31385,0.99808,49.46269,0.64077,0.31058,1.88115,0.30327,0.65577,4.34981,0.86,52.93981,1.58769,0.31769,0.96058,0,10,10.06635,89.80269,0.66173,6.85731,0.31981,0,0.30904,0,0.64769,3.07654,0.99942,31.85038,3.93038,3.02923,107.28404,0.54885,3.22615,0.31154,196.84625,168.54923,91.9775,0,0,0,5.87596,10.20135,7.81462,4.04038,7.18481,1.88231,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2018-03-09","Bestiary HC","UniqueAccessory",1,0.30226,6.14113,27.15075,0.99811,3,0.35132,1.12358,8.11415,1.99736,53.76698,146.63509,1.69321,0.98377,2.12981,0.29453,1.64755,2.06358,1,4.99208,0,3.3134,1.94849,2.99774,1.97189,0.99868,0.99755,1,0.95604,0.63792,8.75509,0.29132,0.98472,48.12679,3.83604,1.68962,2,2.0366,1760.08435,0.28962,92.2317,0.31302,221.27451,0.65132,85.40698,7.0383,1,2.00151,3.02,0.44925,0.28943,0.32283,0.31604,0.63208,1,0.35868,NA,0.28981,0.98623,0.9666,6.19906,0,0.31377,14.87642,4.71679,0.64717,346.875,0.59321,0.9966,0.64321,1,0,48.88679,0.82642,1,1,111.8,0.29075,0.31566,0,0.29189,0.79736,50.76585,0.56113,0.32509,1.99151,0.31981,0.71208,4.46075,0.65302,51.81226,1.93792,0.29698,0.94585,130.42553,11.79925,11.52019,91.2334,0.8166,5.86962,0.30208,46.59574,0.28943,0,0.30509,3.47358,1,28.76377,3.03717,3,97.77321,0.67453,2.83019,0.31283,271.42189,180.97189,78.43245,0,0,0,4.14755,6.85,7.98717,4.53717,5.27453,1,0,1024.46222,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2018-03-10","Bestiary HC","UniqueAccessory",1,0.29673,6.47635,31.27808,0.98808,2.91885,0.315,1,7.78981,1.99327,59.50385,170.62481,1.77385,0.9875,1.70673,0.29019,0.99269,2,1,4.80712,0,2.97615,2,3,1.59712,0.99885,0.96923,1,0.96558,0.65673,8.95596,0.29019,0.84192,49.68635,3.95904,1.95615,2,2,1580.19096,0.29,87.78538,0.29058,222.69231,0.44865,91.58077,9.84577,1,2.68173,4.39365,0.31942,0.28981,0.30135,0.29346,0.67635,1,0.44962,NA,0.29,0.79269,0.99404,6.75365,0,0.29077,15.69808,4.12423,0.78962,332.28275,0.91404,0.98481,0.32385,1,0,37,0.63692,1,0.99981,103.2425,0.29154,0.42808,64.325,0.29308,0.69481,50.50808,0.64135,0.29077,1.21212,0.31058,0.64981,3.62423,0.86808,151.81615,1.58135,0.29,0.98173,207.17949,18.63769,12.60212,72.5,0.77577,6.08712,0.29,38.55769,0.29077,0,0.29,3.17269,1,17.33212,2,3,91.23962,0.51846,2.44596,0.31346,285,263.95953,69.88077,0,0,0,3.95962,5.4475,7.98962,5.23269,3.42904,1,0,1012.98824,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2018-03-11","Bestiary HC","UniqueAccessory",1,0.305,7.34058,29.58769,0.99942,2.01904,0.3025,0.9975,6.81058,1.20654,46.29308,153.56788,1.04635,1.08731,1.09385,0.56885,1,2,1.08404,5.38596,0,2.99462,1.77404,2.99615,1.22962,0.99981,0.99673,1,0.66577,0.75865,7.83288,0.29885,0.79923,49.64885,3.89577,1.94058,2,2,1390.31558,0.58962,72.67615,0.30577,192.3875,0.90731,97.02519,9.7425,0.99904,2.82923,4.02673,0.55481,0.57885,0.29885,0.29885,0.3325,0.99981,0.47173,NA,0.55981,0.96923,1,6.95308,0,0.30538,17.16154,3.70577,0.73846,354.98692,0.79558,1.11231,0.32942,1,0,32.37923,0.70212,1,0.98212,93.09942,0.54115,0.33154,59.2775,0.29904,0.60135,72.63857,0.62173,0.29885,1.27519,0.29923,0.66885,3.50615,0.66923,127.62481,1.73923,0.29885,0.90519,177.8,21.17596,16.85846,75.67038,0.74981,5.97981,0.49077,32.30769,0.30058,143.97269,0.32192,2.54212,1,9.59635,1.97538,2.39173,86.58808,0.35885,2.03519,0.30308,379.92744,363.88654,55.88692,0,0,1132.6875,3.70135,5.37865,8.18462,4.59308,3.23885,1.17769,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2018-03-12","Bestiary HC","UniqueAccessory",1.38922,0.31608,6.93588,28.89941,1,2,0.31294,1.01216,9.11431,2,37.33431,154.22098,0.99765,1.89647,2.2151,1.94039,1,2,1.96667,4.96765,40,2.79804,1.26392,2.96373,2,1.60451,0.98235,1.90196,0.51647,1.88765,6.53922,0.31216,0.71314,44.34608,3.3151,2,2,1.96431,1337.49471,1.99784,50,0.31216,200,1.9602,104.85373,8.16275,0.99922,3.42157,4.21157,1.98941,1.84196,0.31412,0.31255,0.31235,1,1.83059,NA,1.99392,1,1.08,5.00373,0,0.32157,16.35471,3,1.95863,443.01314,0.99196,1.99608,0.32353,1.25431,22.78143,36.06875,1.76294,1,0.99588,85.90392,1.95941,0.32882,38.52922,0.31255,0.73078,150,0.69392,0.31235,1.90255,0.31255,0.86765,4.9451,0.37765,74.96412,2,0.31235,0.91804,97.24235,22.6902,14.8351,67.04961,1.98137,6.60196,1.88118,24.86842,0.31255,74.04078,1.35706,2.72922,1,9.15294,2,2.87137,82.12843,0.31353,2,0.31824,387.96412,363.66843,48.41157,0,0,954.29157,3.62353,5.07922,8.64706,4.43255,3,2,0,920.34286,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2018-03-13","Bestiary HC","UniqueAccessory",1.94196,0.32412,6.36059,29.3851,0.99765,2,0.32843,0.99784,9.94118,2,31.33196,137.64824,1,1.76255,2.99569,1.50196,0.95157,2,1.99471,5.84588,85.23087,2.36529,1.88137,2.91882,2,2,0.97902,1.99941,0.36137,2,6.04059,0.32431,0.97431,41.68294,3.27627,2.19176,2,1.54706,1411.41667,1.83314,49.07608,0.32941,350,1.61686,123.72176,8.0602,1,3.83431,4.51843,1.81569,1.43784,0.32725,0.32569,0.32294,1,1.99882,NA,1.66137,1.55078,1.91686,4.81157,0,0.32745,15.96314,2.95392,1.8749,423.56078,0.96765,1.90941,0.32882,2,21.02686,45.09255,1.96353,1,1,74.87137,1.65157,0.60373,28.76882,0.32608,0.37098,101.98922,0.83765,0.32314,1.8698,0.32588,0.7549,3.94314,0.45373,50.09529,2,0.32588,0.83706,99.69294,22.04843,13.34157,62.83882,1.98333,8.01118,1.59392,24.71923,0.32392,52.49392,1.8849,2.55176,1,9.18078,2.47137,3,73.99843,0.3298,2,0.32569,371.61034,335.50275,36.92765,0,0,953.06667,3.91157,4.93196,7.89373,4.39412,3,1.97706,0,953.06667,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2018-03-14","Bestiary HC","UniqueAccessory",2.1992,0.3242,5.9478,29.5914,1,1.9574,0.3252,1.003,20.6842,2,31.2276,140.0526,1.0914,1.6932,2.986,1.3914,0.9988,2,2,5.9386,78.5918,2.1328,1.9914,2.999,2,2,0.9984,1.6958,0.3368,2,6,0.3242,0.9364,39.1054,4.1508,2.9976,2,1.4198,1384.2484,1.7716,44.3074,0.3254,308.4468,1.683,137.2908,6.94,1,3.6972,4.8908,1.7798,1.6582,0.33,0.327,0.3214,0.9984,1.9986,NA,1.8264,2,1.9988,4.4168,0,0.3268,21.7156,2.3944,1.6396,417.26735,0.9038,1.9748,0.4468,1.9972,14,28.0188,2,0.9948,1,63.572,1.5694,0.3328,19.6684,0.3214,0.327,49.6,0.6206,0.3232,1.9962,0.3244,0.7,3.9288,0.75,55.0834,2,0.3228,0.7646,104.0212,19.3006,13.1872,60,1.9512,9,1.7644,20.1222,0.3248,44.164,1.9716,3.0758,1,9.5476,2.3986,3,109.343,0.3268,2.0024,0.3254,324.87,328.3236,30.48,0,0,970.336,3.5942,3.206,6.4698,4.1382,3,2,0,970.336,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2018-03-15","Bestiary HC","UniqueAccessory",2.74635,0.32231,5.88519,29.16788,1,2,0.31654,0.98077,29.66192,2,29.19385,136.45596,1.03962,1.61635,2.57885,1.36096,1,2,1.99769,5.92269,53.85269,1.61423,1.99692,2.92692,2,1.98942,0.99692,1.83615,0.35192,1.89423,6.18154,0.315,0.85923,36.30404,5.17404,2.65808,2.00712,1,1237.22481,1.29077,38.86385,0.31692,219.83635,1.69731,137.28846,5.91692,1,3.31962,5.09596,1.18173,1.20558,0.33,0.31827,0.315,0.99731,1.96135,NA,1.18654,2,1.83404,3.99462,0,0.32423,20.58673,1.83942,1.69135,409.04385,0.91462,1.89615,0.35615,2,13.53846,30.67096,1.86885,0.99077,1,72.62519,1.24365,0.33173,14.46231,0.315,0.33,30.57896,0.51654,0.315,2,0.33212,0.62788,3.99923,0.3225,59.52538,2,0.31577,0.93865,108.58365,19.24673,15.07635,52.5,1.87058,10.24769,1.07615,19.34462,0.31788,38.46462,1.96596,2.65,1,9.54788,2,2.99923,105.80558,0.315,2,0.31558,360.8969,321.77788,23.20846,0,0,767.16923,3,3.20673,6.60423,3.99308,2.16865,2,0,943.16385,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2018-03-16","Bestiary HC","UniqueAccessory",2.12404,0.31462,4.82154,29.12058,0.99346,1.88308,0.31385,0.9925,23.17212,2,27.40115,141.98865,1.04077,1.41942,5.23346,1.21019,1,2,1.99962,5.97596,44.00769,1.97904,2.05923,3,2,1.96577,0.69769,1.9675,0.35212,1.85423,6.72923,0.31365,0.96692,33.82423,7.5125,2.11173,2.3125,1.02077,1248.01346,1.40212,36.25327,0.32346,142.24442,1.73327,145.50904,5.01654,0.99519,2.97308,4.55269,1.33,1.15135,0.33365,0.31365,0.31365,1,1.67692,NA,1.24462,1.99577,1.7575,3.99692,0,0.31596,22.07712,1.50269,1.59731,402.38615,0.89058,1.88442,0.38038,2,5.75962,26.69462,1.89558,1,1.06212,74.00442,1.235,0.38423,14.17481,0.31365,0.33,97.18667,0.55115,0.31365,2,0.32538,0.62827,3.22346,0.31365,57.80115,2,0.31365,0.50442,99.70577,19.75,16.18019,50.78288,1.94462,10.95712,1.28577,19.0325,0.31365,25.40923,1.5725,3.49346,1,8.95173,2,2.905,111.69769,0.31365,1.99577,0.31423,315.24692,287.05962,20.59288,0,0,400.17538,3,3,6.65385,3.89481,2.05019,1.98788,0,458.22212,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
