"Day","Date","League","Type","Abberath.s.Horn","Advancing.Fortress","Agnerod.East","Agnerod.North","Agnerod.South","Agnerod.West","Ahn.s.Might","Al.Dhih","Allure","Amplification.Rod","Apep.s.Rage","Arakaali.s.Fang","Arborix","Ashcaller","Atziri.s.Disfavour","Augyre","Aurumvorax","Axiom.Perpetuum","Balefire","Beltimber.Blade","Bino.s.Kitchen.Knife","Bitterdream","Bloodplay","Bloodseeker","Brain.Rattler","Breath.of.the.Council","Brightbeak","Brutus..Lead.Sprinkler","Callinellus.Malleus","Cameria.s.Maul","Cane.of.Unravelling","Chin.Sol","Chitus..Needle","Chober.Chaber","Clayshaper","Cospri.s.Malice","Cybil.s.Paw","Daresso.s.Passion","Darkscorn","Death.s.Hand","Death.s.Harp","Death.s.Opus","Debeon.s.Dirge","Divinarius","Doomfletch","Doomfletch.s.Prism","Doomsower","Doon.Cuebiyari","Doryani.s.Catalyst","Dreadarc","Dreamfeather","Duskdawn","Dyadus","Dying.Breath","Eclipse.Solaris","Edge.of.Madness","Ephemeral.Edge","Essentia.Sanguis","Ewar.s.Mirage","Femurs.of.the.Saints","Fencoil","Fidelitas..Spike","Flesh.Eater","Frostbreath","Geofri.s.Baptism","Gorebreaker","Goredrill","Grelwood.Shank","Hand.of.Thought.and.Motion","Hand.of.Wisdom.and.Action","Heartbreaker","Hegemony.s.Era","Hezmana.s.Bloodlust","Hiltless","Hopeshredder","Hrimnor.s.Dirge","Hrimnor.s.Hymn","Hyaon.s.Fury","Ichimonji","Infractem","Innsbury.Edge","Iron.Commander","Izaro.s.Dilemma","Jack..the.Axe","Jorrhast.s.Blacksteel","Kaom.s.Primacy","Kingmaker","Kitava.s.Feast","Kondo.s.Pride","Kongor.s.Undying.Rage","Lakishu.s.Blade","Last.Resort","Lavianga.s.Wisdom","Lifesprig","Limbsplit","Lioneye.s.Glare","Mark.of.the.Doubting.Knight","Marohi.Erqi","Martyr.of.Innocence","Midnight.Bargain","Mightflay","Mj√.lner","Mon.tregul.s.Grasp","Moonbender.s.Wing","Moonsorrow","Mortem.Morsu","Nebuloch","Ngamahu.s.Flame","Null.s.Inclination","Nuro.s.Harp","Nycta.s.Lantern","Obliteration","Oni.Goroshi","Ornament.of.the.East","Oro.s.Sacrifice","Pillar.of.the.Caged.God","Piscator.s.Vigil","Pledge.of.Hands","Prismatic.Eclipse","Quecholli","Queen.s.Decree","Queen.s.Escape","Quill.Rain","Razor.of.the.Seventh.Sun","Reach.of.the.Council","Realm.Ender","Realmshaper","Reaper.s.Pursuit","Rebuke.of.the.Vaal","Redbeak","Relentless.Fury","Reverberation.Rod","Rigwald.s.Charge","Rigwald.s.Command","Rigwald.s.Savagery","Rive","Roth.s.Reach","Scaeva","Severed.in.Sleep","Shade.of.Solaris","Shimmeron","Shiversting","Silverbough","Silverbranch","Singularity","Sire.of.Shards","Slivertongue","Soul.Taker","Spine.of.the.First.Claimant","Starforge","Storm.Cloud","Storm.Prison","Taproot","Taryn.s.Shiver","Terminus.Est","The.Blood.Reaper","The.Blood.Thorn","The.Cauteriser","The.Consuming.Dark","The.Dancing.Dervish","The.Dark.Seer","The.Goddess.Bound","The.Goddess.Scorned","The.Gryphon","The.Harvest","The.Poet.s.Pen","The.Princess","The.Scourge","The.Screaming.Eagle","The.Searing.Touch","The.Stormheart","The.Supreme.Truth","The.Tempest","The.Tempestuous.Steel","The.Wasp.Nest","The.Whispering.Ice","Tidebreaker","Touch.of.Anguish","Tremor.Rod","Trypanon","Tulborn","Tulfall","Twyzel","Ungil.s.Gauche","United.in.Dream","Uul.Netol.s.Embrace","Uul.Netol.s.Kiss","Varunastra","Void.Battery","Voidhome","Voltaxic.Rift","Vulconus","White.Wind","Wideswing","Widowmaker","Wildslash","Windripper","Wings.of.Entropy","Xirgil.s.Crank","Xoph.s.Inception","Xoph.s.Nurture","Corona.Solaris","Dreadbeak","Geofri.s.Devotion","Mirebough","Panquetzaliztli","Sanguine.Gambol","The.Dancing.Duo","The.Stormwall","Cameria.s.Avarice","Disintegrator","Dreadsurge","The.Enmity.Divine","The.Rippling.Thoughts","Voidforge","Cerberus.Limb","Chaber.Cairn","Earendel.s.Embrace","Fate.of.the.Vaal","Paradoxica","Sinvicta.s.Mettle","Soulwrest","Story.of.the.Vaal","The.Crimson.Storm","The.Grey.Spire","Cold.Iron.Point","Nebulis","Sign.of.the.Sin.Eater","The.Goddess.Unleashed","The.Black.Cane","The.Saviour"
79,"2018-05-19","Bestiary HC","UniqueWeapon",0.33,1.78,0.81,2.29625,1.63,3,6.49,0.71,1,3,1.47,4,0,0.72,722,22.45,0.25,1,1.02,15.06,1.66,0.55625,0.24,11.3,11.18,144.4,1.63,86.85,1.29,0.79,0.21,1,6,0.60286,0.86,15,0.55,0.53333,0.84,0,1,25,0.27,0,0.535,0,0.8,3.11,52.99,0.34,1,0,3.24,0.49,0.25,7.42,1,1,1,1.07,0.25,0.48,0.76,1,0.71,0.65056,0.57,1.86,4,0,0.72,71.175,3.1,0.51,4,2,0.25,0.84,2,0.66,1,0.246,0,1,0,0.87,0,0,1.27,1.47,0.46,0.25,0.67,0.81,0.68,3,0.24,0.8,16.22,0,1,60,1,0.615,0.39,1.43,19.84,4.66,721.7,0.58,1.08,0.25,144.4,0.86,2.06,0.22,8.55,1.7,1,0.38,0.73,5,1,5,0.25,0,0.33,1,0.7,0.62,0.3,0.39688,0.65,0,0,1,0.58,1.12,30.57,3,71.05,0.3,6,0.25,0,0.95,21,72.2,4,594.64,0.61,0.44,0.90308,2.6,1,0.86,0.36,6,1,0.26,5,0.87,0,0,0,24.76333,0.84,53.54,0.93,0,0.695,0.83,70,1,0.67,0.6,144.4,1.13,0.48,9,2,0,0.35,0.25,NA,0,0,72.2,29,1,1.24,0,0.48,0.73,0.35,0.25,288.8,1,1.94,1.1,0,0,0,5,3,0,0,0,11,6,866.4,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"2018-05-20","Bestiary HC","UniqueWeapon",0.25,1.95125,0.81,2.03,1.67,3,3.49,0.38,1,3,1.92,3.1,0,0.24,727.1,21.725,0.52,1,1.2,14.85333,1.83,0.25,0.24,6.47,11.18,145.42,1.4,86.45,1.2,0.82,0.21,1.98,6,0.21375,0.93,15,0.56,0.4,0.25,7,0.87889,0,0.39,0,0.38,0,1.45,1.94,55.89,0.4,1,0,3.23,0.59,0.25,4.7,1,1,1,1.92,0.25,0.33,0.73,1,0.72,0.5,0.65,4.21,4.6,0,0.79857,72.71,3,0.42,4,0,0.25,0.7,2,0.73,1,0.22,0,1,0,0.59,0,0,2,2.06,0.66,0.25,0.65,0.8,0.72,2,0.23,2.0175,10,5,1,60,1,0.31,0.2,1.43,50,4,72.94,0.25,1.0825,0.25,148.05,0.54,2.06,0.24,8.55,2.56,1,0.24,0.82375,5,0.77,5,0.25,0,0.6,1,0.63,0.51,0.22,0.4,0.475,0,0,4.42,0.28,1.44,30.725,1,51.03,0.24077,0,0.25,0,0.92,0,218.13,0,598.84,0.59,0.39,0.25,5,1,1,0.33,6,1,0.36,0,0.84,0,0,0,70.18222,0.905,53.54,1,0,0.41,0.83,70,1.47,0.23,0.54,145.42,1.69,1.22,0,142.08,0,0.22,0.25,NA,0,0,72.13,33.44,1,0.88,0,0.25,0.8,0.39,0.25,299.3,1,1.94,1,35,35,0,5,5.6,0,0,0,11,0,872.52,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"2018-05-21","Bestiary HC","UniqueWeapon",0.26444,2,0.83,2.03,1.76,3.5,3.52,0.38,2,3,3,10,0,0.23,695.7,25.22,0.3825,0.84222,1.6,15,3,0.27,0.27,6.47,11.18,43.8,1.43,76.95,1.2,0.83,0.24,3.7,6,0.24,1.12,12,0.27,0.44,0.27,7,0.46714,0,0.75,0,0.38,0,1.45,2.42,55.89,0.41714,1,0,1.8,1,0.255,6.5,0.58,1,1,0.89,0.27,0.336,0.9,0.61,0.78,0.36,0.51167,4.21,4.6,0,0.63,20.48,2.42,0.59,9.43,0,0.27,0.63,2,0.61,1.48,0.24,0,1.54,0,0.6,0,0,2,2.06,0.67,0.27,0.39,0.46,0.54,1,0.24,3,10,3.4,1,60,0.94375,0.33,0.22,1.43,50,4,69.8,0.27,1.24,0.27,147.77,0.45,0.78,0.27,6.1,3.21,1,0.3,0.94063,5,0.48,5,0.27,0,0.55,1,0.49,0.31682,0.24,0.36,0.262,0,0,0.94,0.28,2.47,69.88,1,50.53786,0.25833,0,0.27,0,0.94786,0,208.62,0,574.63,0.7275,0.38,0.26909,19.5,1,1,0.3675,0,1.46,1.35,0,0.86,0,9,0,70.2,0.98,53.54,0.98,2,0.52,0.64,15,1.47,0.24,0.56,139.54,0,0.36,0,18.04,0,0.23,0.26667,NA,0,0,0,33.38,1.06,0.39,0,0.27,0.92,0.39,0.27,294.57,1,1.94,1.35,35,35,0,5,25,0,0,0,10,0,837.24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"2018-05-22","Bestiary HC","UniqueWeapon",0.26,2.32,0.83,1.3,1.87,3.5,4.23,0.73,2,0,3,10,0,0.24,522.97,16.47,0.61,0.85,2.4,5,3,0.27,0.26,3.61,20,43.47,3,70,0.53,0.7,0.24,1.48,0,0.24,1.12,10.2,0.27,0.67,0.26,10,0.71,20,1.26,2.2675,0.29846,15,0.72,1.53,51.83,0.26,1,0,1.8,1,0.26,6.5,0.58,1,1,0.49,0.26,0.28,0.93,0.59,0.78,0.39,0.44,4.35,4.6,0,0.33,20.97,2.31,0.59,8.25,0,0.26,0.35,1.34,0.7,1,0.25,0,1.54,0,0.53,0,0,2,10,1,0.26,0.37,0.51,0.64,1,0.25,2.56,10,3.4,1,50,0.81,0.33,0.22,1.43,14,4,0.26,0.26,1.08,0.27,158.24,0.86,0.78,0.25,16,3.21,1,0.3,0.68,5,0.59083,5,0.26,0,0.6,1,0.54143,0.37,0.23,0.37,0.26,0,0,0.98,0.28,2.625,75.5,1,32.17,0.25,0,0.31,0,0.65,0,77.21,0,615.31,0.63,0.39045,0.26,19.5,1,1,0.71,0,1.579,1.35,0,0,0,9,0,72.23,1,57.16,0.59,1.34,0.49,0.64,0,2.32,0.66,0.54,148.7,0,0.44,0,18.54,0,0.25,0.27,NA,0,0,0,31.23,1.05,0.37,0,1,0.88,0.38,0.26,259.81,1,1.94,1.35,35,35,0,5,0,0,0,0,10,0,896.52,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"2018-05-23","Bestiary HC","UniqueWeapon",0.26,2.45,1.37,1.3,2.14,3.5,3.96,0.69,1.1,4,3,10,0,0.25,520.415,3.43,0.88,0.52,2.68,5,3.995,0.5,0.27,3.62,15,43.48,3,43,0.53,0.7,0.3,1.32,0,0.24,2,5.06,0.49,0.76,0.26,10,0.31,20,2.41,2.13,0.58107,15,0.72,1.43,51.83,0.26,1,0,2.04,1,0.26,6.5,0.57,1,0.93,0.51,0.25,0.31,0.95,0.54,0.98,0.39,0.26,4.35,4,0,0.34,20.94,1.18,3,12.42,0,0.23,0.32,1.32,1,1,0.25,0,1.36,0,1.23,0,0,2,10,1,0.44,0.33,0.89,0.64,1,0.38,1.64,10,3.4,1,32,0.87,0.35,0.23,0.8,11.07,4,0.27,0.26,1,0.38,158.425,0.89,1.49,0.25,22.88,3.78,1,0.3,0.7,5,0.3,5,0.26,0,0.62,1,0.57,0.26,0.22,0.37,0.26,0,0,0.99,0.35,2.44,38.94,1,25.1,0.25,0,0.32,0,0.91,0,77.00625,0,612.595,0.97556,0.41,0.26,6.07,1,1,0.66,0,1.59,2.46,1,0,0,9,0,67.585,1,43.06,0.74625,1.74,0.41,0.97,0,2.35,0.7,1.2,148.76,0,0.49,0,18.46,0,0.35,1,NA,0,0,0,47.93,1.05,0.33917,0,1,0.9,0.41,0.3,214.69,1,1.94,1.35,35,35,0,5,0,0,0,0,10,50,892.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"2018-05-24","Bestiary HC","UniqueWeapon",0.24,2.45,1.34,1.38,3,3,3.96,0.37,1.1,4,3,10,0,0.22,513.8,3.24,0.85,0.26,3.04,5,4.4,0.57,0.23,3.62,15,43.94,3,46.56,0.5,0.3,0.38,0.61,0,0.22,0.91,5.92,0.22,0.84,0.22,8.2,0.28,0,2.41,0.38,0.47,15,0.57,1.26,50.95,0.22,1,0,2.06,1,0.22,6.5,0.55,1,0.95,0.35,0.22,0.29,0.87136,0.33,0.98,0.57,0.22,5,4,0,0.47,20.85,1.23,0,35.5,0,0.23,0.27,1.12,1,1,0.22,0,2.21,0,1,0,0,2,1.1,0.93346,0.36,0.22,1,0.56,1,0.38,0.67,10,3.4,1,32,0.22,0.35083,0.21,0.8,11.07,4,0.25,0.22,1,0.32,220.2,0.84,1.51,0.22,16.71,3.78,1,0.21,0.8,5,0.32,2.3,0.22,0,1,0.6,0.55,0.23,0.21,0.35,0.22,0,0,0.425,0.34,1.92,38.84,1,24.17,0.22,16,0.29,0,0.91,0,76.42,0,600.57,1,0.5,0.22,3.4,1,0.95,0.64,0,1.32,1.12,1.02,2,0,9,0,78.73,1,43.06,0.81,1.03,0.39,4,0,2.35,0.56,1.2,146.8,0.84,0.22,0,1.59,0,0.34,1,NA,0,0,0,46.07,0.41,0.25,0,1,0.87,0.38,0.28,202,1,1.94,4,35,35,0,5,0,0,0,0,10,50,880.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"2018-05-25","Bestiary HC","UniqueWeapon",0.34,2.53,5,1.4,3,3,3.96,0.37,1.1,4,3,10,0,0.22,514.64,3.24,0.88,0.25,3.04,5,4.4,0.65,0.37,1.69,15,43.96,3,46.56,0.53,0.3,0.38,0.63,0,0.22,0.76,7.41,0.22,0.93,0.22,10,0.32,0,2.41,2.73,0.22,15,0.58,1,52.11,0.22,1.3,0,1.84,1,0.22,20,0.48,1,0.9,0.35,0.22,0.26,0.88,0.31,0.97,0.57,0.22,5,3,0,0.55,15,2.37,5,35.5,0,0.45,0.3,0.87,1.45,0.99,0.22,0,2.12,0,1.2,0,0,1.5,1.1,0.38,0.66,0.22,0.72,0.56,0.84,0.38,0.81,10,3.4,1,32,0.22,0.3,0.21,0.43,4.4,4,0.25,0.22,1,0.34,220.56,0.88,1.34,0.22,20.57,3.78,0.4,0.21,0.81,5,0.39,2,0.22,0,1,0.53,0.42,0.22,0.29,0.63,0.22,0,0,0.43,0.7,2,38.85,1,24.17,0.22,16,0.27,0,0.66,0,76.49,0,602.86,0.915,0.84,0.22,3.4,1,0.95,0.61,0,0.96,1.12,1.06,2,0,9,0,72.88615,1,48.56,0.86,1.03,0.22,2.2,0,2.35,0.56,1.2,147.04,0.84,0.22,0,1.59,0,0.34,1,NA,0,0,0,45,0.4,0.22,0,0.9,1,0.3,0.28,171.33,1,5,4,35,35,0,5,0,0,0,0,10,50,882.24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"2018-05-26","Bestiary HC","UniqueWeapon",0.23,2.54,5,1.49,2.3,3,7.24,0.38,1.1,4,3.21,10,0,0.22,514.815,3.24,0.74,0.26824,1.16,5,4.4,0.23,0.37,1.63,4.2,43.96,2.37,37.02,1,0.26,0.4,0.67,1,0.22,0.68,7.41,0.22,0.89,0.22,10,0.34,0,2.41,1.51,0.22,8.7,0.53,1,52.11,0.26,1.3,0,1.786,1,0.3,2,0.48,1,0.22,0.3,0.22,0.29,0.88,0.3,0.98,1,0.22,5.45,3,0,0.55,15,1.38,5,15,0,0.3,0.28,0.78,1.1875,1,0.22,0,1.4,74.96,1,0,0,1.5,1.1,0.38,0.8,0.22,0.66,0.7,0.82,0.5,0.73,0,1.59,1,32,0.23,0.3,0.28,0.41,3.62,6.18,0.27,0.22,0.87,0.33,220.65,1.74,0.76,0.22,8.9,1.3,0.32,0.298,0.39,5,0.38,2,0.22,1,0.6,0.53,0.36,0.22,0.935,1,0.3,0,0,0.39,0.58,1.9,38.8525,1,24.17,0.22,16,0.26,0,0.72,0,37.08,0,588.4,0.78,0.84,0.22,3.4,1,0.98,0.39,0,0.96,0.92,2.65,2,0,9,0,80,1,80,0.78,1.02,0.22,2.2,0,1.4,0.67,0.51,147.1,0.74,0.22,0,1,0,0.38,0.63,NA,0,0,0,45,0.26,0.9,0,0.81,1,0.54,0.28,162.32,0.66313,0,0.23,35,35,0,0,2,0,0,0,0,50,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"2018-05-27","Bestiary HC","UniqueWeapon",0.25,2.54,1.4,1.67286,1.29,0,4.23,0.4,1.1,1.05,4,10,0,0.39875,525.1575,3.24,0.87,0.24,1.31,5,0.7,0.24,0.77,1.23,5.68,44.1325,2.83,37.02,0,0.24,1,0.71,1,0.4,0.71,6.57,0.24,0.91,0.41,10,0.24,0,1,1.52,0.24,8.7,0.52,1,39.748,0.99,1,0,1.9,1,0.34,2,1.04,1,0.24,0.29,0.24,0.48,0.96,0.35,1,1,0.24,5.45,3,0,0.49,39.1225,1.38,1.4,18.25,0,0.71,0.29,0.78,1.43,1,0.28875,0,1.4,74.13,1,0,0,1.4525,1.02,0.47,0.81,0.24,0.61143,1,0.85,0.54,0.79,0,1.59,1,30,0.24,0.34,0.89,0.46,3.62,11.17,0.54,0.24,0.87,0.34,224.955,1.77,0.76429,0.58,10.53,1,0.24,0.58,0.42,0,0.47,2,0,1,0.53,0.49,0.24,0.24,0.98,0.93,0.32,0,0,0.42,0.62,0.72,39.0025,1,23.42,0.24,16,0.42,0,0.65,0,36.6,0,600.28,0.78,0.86,0.24,3.7,1.26,1,0.39,0,0.99,0.76,2.65,2,0,9,0,80,0.71,62,0.87,1.03,0.47,2.2,0,1.4,2.28,0.51,150.07,0.78,0.24,0,9.515,0,0.62,0.36,NA,0,0,0,45,0.26,0.93,0,0.89,1,0.72,0.25,150.34125,0.68,0,0.24,35,5.3,0,0,2,0,0,0,0,50,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"2018-05-28","Bestiary HC","UniqueWeapon",0.24,3.33,1.64,1.46,1.2,0,3.62,0.39,1,1.02,0,7,0,0.93,523.635,3.24,0.76,0.23,3.27,5,0.79,0.47,0.38,1.36,5.68,44.19,2.82,37.83,0,0.23,1,0.66,0,0.6,0.76,5.94,0.64,0.97,0.4,10,0.23,0,1,1.59,0.23,8.7,0.58,1,38.98,1,1,0,3.12,0,0.37,2,1.03,0,0.23,0.29,0.23,3,0.97,0.57,1,1,0.23,5.45,3,0,0.32,15,1,1.4,17.51,3,0.71,0.28,0.94,1.43,0.98,0.31,0,1.4,74.7,1,0,104.87,1.8,1.02,0.76,0.82,0.23571,1,0.72,0.72,0.34,0.84,10,1.2,1,30,0.23,0.34,0.97,0.52,3.62,11.17,0.52,0.23,0.7,0.38,0,1.79,1,1,10.53,1,0.23,0.5,0.5,20,0.46,2,0,1,0.23,0.42,0.37,0.23,1,0.93,0.57,0,0,0.97,0.41,0.72,37.985,0,23.49,0.23,16,0.23,5,0.65,0,37.23,0,598.08,0.904,0.89,0.23,3.86,1.25,1,0.47,0,0.59,1,1,2,0,13.75,5,73.132,0.57,62,0.96,1.02,0.47,2.2,0,0.62,1,0.59,149.52,0.94,0.23,0,9.7,0,0.97,0.45,NA,0,0,743.6,45,0.26,3,0,0.96,1,0.65,0.23,149.73375,0.63,0,0.24,2,2,223.08,0,2,0,0,0,0,50,0,0,0,0,3718.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"2018-12-07","Betrayal HC","UniqueWeapon",0.4,0,0,0,0,0,0,0.39,0,0,0,0,0,0.84364,0,0,1,1,0,0,0,1.075,0.7159,0,0,0,5.14286,0,0,5,0,0,0,4.12,0,0,0,0,0,0,0.98367,0,0,0,1,0,0,0,0,0.77909,0,0,0,1,0,3.3,3,0,1.61,0,0.4,1,0.85,0,1.29667,0.85241,0.4,0,0,0,2,0,0,0,0,0,0.80903,0,0,0,0,0.37,0,0,0,3.2,0,0,0,0,3,0.4,1,1,0.93388,0,0,0,0,0,2,0,0,2,0,1.33333,0,0,0,0,0,0,0,0,0,0.401,0,0,0,1,1,0,2,0,0,0,0.46045,2,0,0.4,1.21,1.155,0,0,0,0,0.87882,0,0,0,0,0.40125,8,0.4,0,0,0,0,4,0,1,0.4,0.86125,0,5,2,0.7955,0,0,0,0,0.85667,0,0,0,5.05,1,0,1,0,1,0,0,3,3,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0.40083,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2,"2018-12-08","Betrayal HC","UniqueWeapon",0.2751,1,1.6,3,2,2,13.474,0.28,2,0,2.37227,9.1,0,0.28,205.5,0,1,1,5.935,0,1.99025,1,0.28,9.02692,0,80,6.10667,7.44615,2,1,1,7.36091,1,1,2,122.49,1,1,0.48,2,0.87582,8.83,1,4.96571,0.46714,13.2,6,15,113.96,0.28,3,0,1,0.28,0.97919,1,1,2,1,1,0.28,0.48469,1,2,1,0.28,0.28,0,8,0,1.995,0,3.75556,1,0,2.47,0.28,1,10,1,2,0.27,1.3,1.06708,1.24125,1,0,0,2,3,1,0.28,0.27,1,0.3502,8.82,1,1,15,0.222,0.60457,53,1.99,0.97,1,1,200,13.24143,1,1,1,1,100,1,1,0.27571,3.54438,4.399,1,1,0.28,5,2,0,0,5,0.27326,1,0.80133,0.28,1,1,1,0,0,1,0.28,2.97886,82,50,0,0.28,15,0.28,2.7325,2,0,141,6.98364,0,1,0.28,0.27,3.92667,2,1,0.28,18.2,6.5875,1,3.61,0.54,4,6.51,0,64.83429,1,0,0.67224,2.48,0.35511,1.2275,17.215,1.59667,1,2,35,5,1,0,15,0,0.47878,0.28,0,0,21.18,0,0,0.71273,1.73667,0,1,0.52,0.55673,0.28,125,1,2.59,1,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,2,85,5,0,0,NA,NA,NA,NA,NA,NA
3,"2018-12-09","Betrayal HC","UniqueWeapon",0.26,1,1,2,2,2.512,10.96,0.26,0.96357,3.1,2,7.29,0,0.2501,855,54.1,1,1.00061,3.00288,0,0.65306,1,0.26,4,0,66.47,7,6.49,1,0.58051,0.47308,4,1,0.69,1,98.0825,0.27082,0.58,0.4898,1.78667,0.2701,8.90545,0.91,3,0.26,7.64,5,21.47,74.974,0.26,3,0,0.79944,0.26,0.56,1,1,1,0.4201,0.69,0.26,0.28,0.58,1,0.60031,0.26,0.2301,171.325,4.08706,0,1,25.075,2,1,0,4.66,0.26,1,17.15583,0.76837,1,0.26,1.35,0.87531,1,0.73,0,85.89,1,2,1,0.26,0.26,2,0.27,5.13184,1,1,20.99,0.98167,0.28,69.29438,1,0.5801,1,1,200,11.54739,1,0.52,1,0.4501,60,1,1,0.26,2,2,0.87,0.3201,0.26,5,1.01133,0,50,4.315,0.26,1,0.81,0.2701,0.5,0.6901,0.93041,0,0,1,0.26,2,20,17.2,200,0.26,7.59571,0.26,5,1,0,66.411,6,0,0.97031,0.26,0.26,2,1,0.8402,0.26,11.63091,1,1,2,0.29,4.1,5,0,62.96,1,0,1,1,0.26,1,12.41462,1.31105,1,1,106.87,5,0.29,15,7,0,0.26,0.26,0,0,13.2625,0,0,0.50786,1,10,0.70615,0.26,0.2601,0.26,122.13333,0.97,2,0.84438,0,0,40,0,7.21375,10,0,0,0,0,0,0,0,0,0,41.63,0,0.8401,0,0,1,85,5,0,20,NA,NA,NA,NA,NA,NA
4,"2018-12-10","Betrayal HC","UniqueWeapon",0.3,0.93,1.17,2,2,2.9903,7.22563,0.3,0.95833,3,1,7.51,0,0.31,1125,50.79,1,2,3,80.4,0.64,0.32,0.3,2,30,29.37,6.70655,5,0.9302,0.32,0.31,2,1,0.9851,0.85041,47.56143,0.31,0.3,0.31,1.69342,0.31,5,0.91,2,0.3,6.26111,3,9.30286,41.5,0.31,2,0,0.96,0.64,0.4451,1,1,1,0.31,0.31,0.31,0.31,1,0.8502,0.9502,0.31,0.31,180,2,0,1,25.3,1,1,80,4.66,0.3051,1,17.22,0.8651,1.55061,0.31,1,0.62,1,0.5102,0,69.8,0.99,1,1,0.3051,0.32,2,0.32,3,0.32,0.6,14.47,0.32,0.31,50.03,1,0.9102,0.6,1,200,7,0.93964,0.31,1,0.31,54.25,1,0.38,0.31,1.99327,1,0.83,0.33,0.29,5,2,80,40.26,4.49,0.31,1,0.31,0.32,0.6151,0.3402,0.32,0,500,1,0.31,1,27.14,10.45,150.99,0.31,5,0.31,3.19,1,0,42.10667,6,0,0.74061,0.31,0.31,2,1,0.66,0.29,8.44,1,0.85204,1.946,0.31,4.1,6.17,5,76.0825,1,0,1,1,0.31,1,9,1,0.9651,1,100,4,0.32,0,4.68333,0,0.31,0.3,0,0,7.18,115.5,114,0.3,1,7.6,0.33,0.3,0.3,0.31,108,0.6051,2,0.86,0,0,40,10,10,6,0,0,0,0,0,30,15,0,0,63.36875,11.1,0.33,12,0,0.96,165.418,3,27.53,192.5,NA,NA,NA,NA,NA,NA
5,"2018-12-11","Betrayal HC","UniqueWeapon",0.33,0.65531,2,2,2,2,6.90667,0.33,0.63,3,1,8.87,0,0.33,255,33.96,0.61,2,2,30,0.33,0.33,0.33,2,11.19,24.37,8,4.33543,0.71531,0.33,0.33,2,1,0.9102,0.99,88.03,0.33,0.33,0.33,1,0.33,5,0.33,1,0.33,5.08462,2,4,39.43,0.33,1.71919,0,0.68,0.84102,0.33,1,0.9951,0.96964,0.33,0.33,0.33,0.33,0.6651,1,0.46122,0.33,0.33,154,2,0,1,40,1,1,30.8,3.18,0.33,0.87,14,0.34,1,0.33,2,0.7202,1,0.59061,0,50,0.71,1,0.99,0.33,0.34,2,0.59,2,0.33,0.34,10.68875,1,0.34,48.27,0.8702,0.66,0.33,1,151.46571,5,1,0.33,0.68,0.3351,67.39,1,0.35,0.33,1,1,0.51,0.33,0.33,4.97,1,44,24.41,4.87167,0.33,1,0.33,0.35,0.41,0.34,0.34,0,194.3475,1,0.33,1,28.7,20,114.6225,0.33,4.32,0.33,3.68421,0.6,50,30,10,0,0.66,0.33,0.33,1.72,1,0.34,0.33,9.61,0.88714,0.68,3,0.33,3,5.24533,5,118.88227,0.71,180,1,1,0.33,1,15.06818,1,1,1,100,2,0.33,8,3.72625,0,0.33,0.32,0,0,8.69,117,0,0.33,1,5,0.33,0.33,0.33,0.33,73.43105,0.57,2,0.99,0,0,30,7.31,14.0755,4.52,0,0,0,15,0,30,15,0,0,58.9,10.2,0.33,12,30,0.5251,169.875,2,19.29,180.88,NA,NA,NA,NA,NA,NA
