"Day","Date","League","Type","Gilded.Ambush.Scarab","Gilded.Bestiary.Scarab","Gilded.Breach.Scarab","Gilded.Cartography.Scarab","Gilded.Divination.Scarab","Gilded.Elder.Scarab","Gilded.Harbinger.Scarab","Gilded.Perandus.Scarab","Gilded.Reliquary.Scarab","Gilded.Shaper.Scarab","Gilded.Sulphite.Scarab","Gilded.Torment.Scarab","Polished.Ambush.Scarab","Polished.Bestiary.Scarab","Polished.Breach.Scarab","Polished.Cartography.Scarab","Polished.Divination.Scarab","Polished.Elder.Scarab","Polished.Harbinger.Scarab","Polished.Perandus.Scarab","Polished.Reliquary.Scarab","Polished.Shaper.Scarab","Polished.Sulphite.Scarab","Polished.Torment.Scarab","Rusted.Ambush.Scarab","Rusted.Bestiary.Scarab","Rusted.Breach.Scarab","Rusted.Cartography.Scarab","Rusted.Divination.Scarab","Rusted.Elder.Scarab","Rusted.Harbinger.Scarab","Rusted.Perandus.Scarab","Rusted.Reliquary.Scarab","Rusted.Shaper.Scarab","Rusted.Sulphite.Scarab","Rusted.Torment.Scarab","Gilded.Legion.Scarab","Polished.Legion.Scarab","Rusted.Legion.Scarab"
50,"2019-01-25","Betrayal","Scarab",13.6901,20,20,15.57071,27,8,12,5,7,3,27.88122,3.90102,5.36051,7,11.01082,8,14,2,5,2,1,0.32,20,0.6401,2.10255,4,2,3.14092,4.59163,0.32,2.15082,1,0.32,0.32,14.00122,0.32,NA,NA,NA
51,"2019-01-26","Betrayal","Scarab",14,19.8301,22.005,16,27,9,12,5.58173,6.7101,2.51061,28,4,5,8,11.74031,9,14,2,5.17235,2,1,0.33,19,0.33,3,4,3,4,5,0.33,2.94041,1,0.33,0.33,14.1802,0.33,NA,NA,NA
52,"2019-01-27","Betrayal","Scarab",15,17,23.32061,16.19092,27,9,14,5,6.40235,2.82031,29,4,5,7,11.25347,8.05235,14,2,6,2,1,0.35,20,0.9101,2,4,4,3.75214,5,0.35,3,1,0.35,0.35,14.31,0.35,NA,NA,NA
53,"2019-01-28","Betrayal","Scarab",15,16,22.40122,17,28,9,15,6,7,3,30,4,6,7,12.64531,8,14,2,6.16571,2,1,0.39,21,0.39,2,4,3,3,5,0.39,3,1,0.39,0.39,14,0.39,NA,NA,NA
54,"2019-01-29","Betrayal","Scarab",15,17,22,17.15235,29.0102,10,13.94061,6,7,3,33,4,7,7,12.00429,9,14,2,6,2,1,0.41,22,0.41,2,4,3.61031,3,5,0.41,3,1,0.41,0.3901,15,0.41,NA,NA,NA
55,"2019-01-30","Betrayal","Scarab",15,17,24.78449,18,30,10,15,5,6.03571,4,35,3.66,5.24122,8,13.98531,9,14,2,6,2,1,0.44,24,1,2.58653,4.8051,4,3,5,0.44,3,1,0.44,0.44,17,0.44,NA,NA,NA
56,"2019-01-31","Betrayal","Scarab",15.87592,18,24,18,29,10,15,7,7,4,35,4,7,7.26122,14,9,15,3,6,1.9951,0.76,0.48,25,0.48,2.6551,4,4,3.89571,5,0.48,3,1,0.48,0.48,18,0.48,NA,NA,NA
57,"2019-02-01","Betrayal","Scarab",16.13776,18,25,17,27.50082,10,16,7,7.69592,3,35,4,6,8.83531,13,9,15,3,6,1.9051,1,0.49,25,0.74,2,4,4,4,5.16,0.49,3,1,0.49,0.49,17,0.41,NA,NA,NA
58,"2019-02-02","Betrayal","Scarab",17,19,25.00041,17,28,10,16.34092,7,6.54,3.63163,35.12408,4,6.52122,9,14.90102,9,16,2,6.0501,1,1,0.4801,25,0.47,2,5,4,4,5,0.5,3,1,0.4301,0.45,18,0.43,NA,NA,NA
59,"2019-02-03","Betrayal","Scarab",17,19.84327,25.04082,18,27.36265,10,17.41694,7.4102,7.8002,3.96082,36,5,6.46673,9,14.82857,9,16,2,7,1.5002,1,0.5,25,1,2.87755,5,4,4,4.1902,0.4702,3,0.9851,0.46,0.4651,17,0.47,NA,NA,NA
60,"2019-02-04","Betrayal","Scarab",18,19.11531,25,18,28,10,17,8,9,4,36,4,7,8.63265,15,8.64571,14.9902,2.1302,7.94122,2,1,0.55,26,1,2,3.66102,4,3,5,0.71163,3,1,0.47,0.46,18,0.47,NA,NA,NA
61,"2019-02-05","Betrayal","Scarab",18.52122,20,26,18,28.97061,10,17,7.25735,9.3102,4,35,4.27061,8,9.40633,14,9,15,2,9,2,1,0.52,25,1,2,4,4,3,5,0.47,2.22449,0.9702,0.47,0.47,18,0.48,NA,NA,NA
62,"2019-02-06","Betrayal","Scarab",18,21.40429,27,18,28.92082,10,17.09112,8,10,4,35,5,8,9,13.65,9,14,2.5901,8,2,1,0.55,25,1,2.28041,4.9001,4,3,5,0.49,3,1,0.49,0.49,18.34051,0.49,NA,NA,NA
63,"2019-02-07","Betrayal","Scarab",18,22.1802,26.66194,18,28,10,18,8,9.70082,4,35,5,8,10,14,9.69,14,2.18,6.62071,2,1,0.55,25,1,2,5,4,4,5,0.49,3,0.91071,0.49,0.49,17.75143,0.5,NA,NA,NA
64,"2019-02-08","Betrayal","Scarab",18,22.17286,26.35102,18,28,10,18.9501,9,10,4,35.20031,5,9,9,15,9,13.63153,3,8,2,1,0.55,25,1,2,4.0601,4,3,4.96041,0.49,3,1,0.49,0.49,18,0.5,NA,NA,NA
65,"2019-02-09","Betrayal","Scarab",18.91,22.10041,26.01102,18,28,13,18,9.28,13,4,35,5,8,10,14.32327,9,12,2,7,2,1,0.5451,25,1,2,5,4,3.7151,5,0.53,3,1,0.49,0.49,18,0.49,NA,NA,NA
66,"2019-02-10","Betrayal","Scarab",18,24.40551,27,18,27,15.63306,17.9851,10,14.65041,4,35,5,7.98531,10,15,8.87755,10,2.45,6,2,1,0.49,25,1,2,5,3,3.62102,4,0.56,3,0.99,0.49,0.53,18,0.49,NA,NA,NA
67,"2019-02-11","Betrayal","Scarab",19,25,26,18,25,14,17,9.88,14,4,36,6,7,10,15,8.95551,11,2.7351,6,2,1,0.5,25,1,2.06633,5,4,4,4,0.55,2.6251,0.82571,0.51,0.5,18,0.49,NA,NA,NA
68,"2019-02-12","Betrayal","Scarab",19.41,27,28,18,25,14.14,17.73576,9,15,3,37,6,7,10,15,9,10,3,6,2,1,0.51,25,1,2,6,4,4,4,0.55,3,1,0.5,0.5,18,0.5,NA,NA,NA
69,"2019-02-13","Betrayal","Scarab",19,28,28.32091,18,25,14,17,9,15,4,37,6,7,10,13,8,10,3,6,2,1,0.55,27,1,2,6,4,4,4,0.55,3,1,0.52,0.52,18,0.52,NA,NA,NA
70,"2019-02-14","Betrayal","Scarab",19,27,34,19,25.33838,14,17,9,17,4,38,6,7,11,13,9,11,2,7,2,1,1,28,1,2,7,4,4,5,0.55,3,1,0.55,0.54,19,0.54,NA,NA,NA
71,"2019-02-15","Betrayal","Scarab",20,25.23687,34,19,27,14,18,9,15,4,38,8,7,12,14,9,12,2.85,7,2,1,1,27.58,1,3,7,4,4,5,0.55,2.9,1,0.54,0.52,20,0.54,NA,NA,NA
72,"2019-02-16","Betrayal","Scarab",18,25,30,18,25,14,18,9.11015,15,4,37,9.59005,7.18061,12,14,9,12,3,7,2,1,0.91,25,1,3,5.03,3,4,5,0.54,3,1,0.54,0.54,20,0.54,NA,NA,NA
73,"2019-02-17","Betrayal","Scarab",18,24,30,18,24,13,18,10,15,4,37,9,8,11,15,9,10,3,7,2,1,0.55,25.3304,1,3,7,3,4,4,0.53,3,1,0.53,0.53,20,0.53,NA,NA,NA
74,"2019-02-18","Betrayal","Scarab",18,25,30,18,24,13.40076,17.50061,10,16,4,37,9.12,8,10,14.10025,9,10,2.23,7,2,1,0.52,27,1,2,8,3,4,4,0.5,3,1,0.5,0.5,20,0.5,NA,NA,NA
75,"2019-02-19","Betrayal","Scarab",18.76657,24,30,18,24,13.13525,17,10,16,4,37,10,8,11,15,9,10,2,6,2,1,0.53,28,0.9802,2,8,3,4,4.41,0.49,3,1,0.49,0.49,21,0.49,NA,NA,NA
76,"2019-02-20","Betrayal","Scarab",18,25,29.00025,18,24,13,17,10,17,4,38,13.2401,8,11,15,9,10,2,7,2,1,0.53,28,0.99,3,8,3,3,5,0.47,3,1,0.46,0.46,20,0.46,NA,NA,NA
77,"2019-02-21","Betrayal","Scarab",17,25,28,18.17505,24,13,18,10,17.86,4.8401,38,15,8,12,14,9,11,2,7,2,1,0.88,29,1,2.9702,8,3,4,5,0.52,3,1,0.44,0.44,20,0.44,NA,NA,NA
78,"2019-02-22","Betrayal","Scarab",17.26505,25,25.48,18,21,14,18,10,19,5,38,18,7.7501,12.10101,11.78,9,10,2,6,2,1,0.79,28,1,2.30626,8.0202,2,3.22505,4,0.52,3,1,0.43,0.43,20,0.43,NA,NA,NA
79,"2019-02-23","Betrayal","Scarab",17,27,25,18,21.5,15,18,10,20,5,39,18,5.94505,14,12,9,10,2,5,2,1,1,29,1,2,9,2,3,3.8102,0.42,3,1,0.42,0.42,20,0.42,NA,NA,NA
80,"2019-02-24","Betrayal","Scarab",17,27,26,18,21,15,18,15.86141,20,4.91,39,17,5,15,12,9,9.66,2,5.14,2,1,1,29,1,2,9,2,3,4,0.41,3,1,0.41,0.41,20,0.41,NA,NA,NA
81,"2019-02-25","Betrayal","Scarab",17,27,25.94,17,20,15,18,17,20,3,38.0301,16,5,15,12,9,9.73015,2,5,2,1,0.43,27.99005,1,2,9,2,3,4,0.4,3,1,0.46,0.41,20,0.5,NA,NA,NA
82,"2019-02-26","Betrayal","Scarab",16,28,25,18,19,15,18,17,20,4,39,15.7101,5,15,11.05,9,10,2,5,2,1,0.4,27.76,1,2,10,2,3,4,0.39,2.05556,1,0.39,0.39,20,0.39,NA,NA,NA
83,"2019-02-27","Betrayal","Scarab",17.7102,29,26.1203,18,20,17,17.56505,18,20,5,40,17.55535,6,15.28,11,9,10,2,4,2,1,0.5401,28,1,2.37,10,2,3,4,0.38,2,1,0.38,0.40505,21.7101,0.38,NA,NA,NA
84,"2019-02-28","Betrayal","Scarab",18,30,26.7,19,20,16,18,18,20,4,42,18,6,17,12,9,10,2,4,2,1,1,28.39005,1,3,12.67,3,3,4,0.98,2.7,1,0.38,0.38,22,0.38,NA,NA,NA
85,"2019-03-01","Betrayal","Scarab",19,28.9001,28,18,21.62,15.38869,18,18,20,5,46.0404,18,6,17,12,7,10,2,4,2,1,1,29,1,3,13,3,2,4,1,3,1,0.37,0.5,23.21081,0.37,NA,NA,NA
86,"2019-03-02","Betrayal","Scarab",20,28.07071,28,18,24,19,20,19,20,5,45.73126,19,6,17,12,7,10,2,4,2,1,1,30,1,3,11,3.82,3,3.53,1,2.6204,1,0.37,0.51,24,0.47,NA,NA,NA
87,"2019-03-03","Betrayal","Scarab",21,30,28,20,24,19.1804,20,19,21.58,6,47,19,6,18,11.54071,8,10,2,4,2,1,1,30,1,3,10.8803,4,3,4,0.99,2,1,0.5,0.5,24,0.52,NA,NA,NA
88,"2019-03-04","Betrayal","Scarab",22,30,29,20,24.3101,20,20,19.57,24,5,49.31535,18.46,5.30525,17,11,8,10,2,4,2,1,1,30,1,3,10,4,3,4,0.91,2,1,0.53,0.53,22.73591,0.53,NA,NA,NA
89,"2019-03-05","Betrayal","Scarab",21.58,30,29,20,25,19,20,18.75,22,5,50,18,6,17,12,8,10.83,2,4,2,1.01,1,30,1,3,10,4,3,4,0.88,2,1,0.65,0.53,22,0.39,NA,NA,NA
1,"2019-09-06","Blight","Scarab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-09-07","Blight","Scarab",25,6,3.55,8.58,6.335,2.73,5.04,10.36857,4.21,3.52,25,5,2.935,3,2,4,3.07,2.54333,2,2,1.6,1,7,1.98,1,1,1,2,1,1,1,1,1,1,5,1,8.61,2,2
3,"2019-09-08","Blight","Scarab",9,5,4,13.997,5.62643,2,5,4,3.76,4.73583,13.52288,4,3,2,1.91076,4,4,3,2,2,2,2,6,1,1,1,1,2,1,1,1,1,1,1,5,1,10,3.27068,1
4,"2019-09-09","Blight","Scarab",10,5,4,20,10,9.27,6.99182,3.38,5,4,16.64808,4,4,2,2,9.77318,5,3,4,2,2,2,10,1,1,1,0.98,3,1,1,1,0.9701,0.8804,1,9,0.98,10,5,2
5,"2019-09-10","Blight","Scarab",10,5,4.78579,20,13,9,7,3,4.99,3.44505,19.89556,4,4,3,2,10,7,3,4,1,2,2,13,2,1.35535,1,0.6,4,2,0.59505,1.4404,0.99505,1,1,11.50505,1,15,6,3
6,"2019-09-11","Blight","Scarab",12,6.52508,5,26,23.03276,7,8,3,5,3,24,10.17,5,5,2,10,9,3,4,1,2,1,16,3,2,1.8,0.6,4,3,1,2,1,0.6,1,13,0.6,15.2537,6,3
7,"2019-09-12","Blight","Scarab",12,20,5,25,29,7,13,3,9,3,25,11,5,6,2,12,9.08,2,4,1.85005,2,1,19,3,1.6701,2.8102,0.61,4,4,1,2,1,0.61,0.62,15.13056,0.62,15,6,3.94
8,"2019-09-13","Blight","Scarab",13,24,6,28,30,7,13.19069,4,9,3,30,12,7,12,2.7701,12,14,2,4.61253,1.89,2,1,23.82051,3,2,4,0.99005,5,4,0.63,2,1,0.63,0.63,20,0.64,15.23,7,4
9,"2019-09-14","Blight","Scarab",13,24,7,27,34,7.8404,14,4,7,3,31.26076,11.07051,8,10,3,12,14,2,5.21035,2,2,1,23,3.0402,3,4,1,4,4,0.63,2.71025,1,0.63,0.62,20,1,20,8,4
