"Day","Date","League","Type","Atziri.s.Promise","Blood.of.the.Karui","Coralito.s.Signature","Coruscating.Elixir","Divination.Distillate","Doedre.s.Elixir","Dying.Sun","Forbidden.Taste","Kiara.s.Determination","Lavianga.s.Spirit","Lion.s.Roar","Rotgut","Rumi.s.Concoction","Sin.s.Rebirth","Taste.of.Hate","The.Overflowing.Chalice","The.Sorrow.of.the.Divine","The.Wise.Oak","The.Writhing.Jar","Vessel.of.Vinktar","Witchfire.Brew","Zerphi.s.Last.Breath","Cinderswallow.Urn","Soul.Catcher","Soul.Ripper","Bottled.Faith"
11,"2017-12-18","Abyss","UniqueFlask",0.99862,51.65379,0.32,7.82466,0.83328,0.30448,262.34897,0.31914,1,96.49603,21.59845,0.32,3.52466,81.40086,157.26086,0.32,0.32,11.065,0.955,89.67897,3.29034,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss","UniqueFlask",0.99912,56.86263,0.32105,7.26807,0.77982,0.31544,290.95211,0.32105,0.9993,95.56263,20.70316,0.32105,2.96105,82.75491,186.38509,0.32105,0.32105,11.28667,0.99667,103.92719,2.98298,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss","UniqueFlask",0.9993,51.9486,0.32702,6.25737,0.97211,0.32351,350.83807,0.32474,1,123.99807,20.31158,0.32702,2.9507,109.64526,205.83404,0.32702,0.32702,11.09421,0.99421,133.66439,2.73544,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss","UniqueFlask",0.99842,51.61912,0.33912,5.37158,0.99649,0.31211,377.73912,0.33719,1,144.78368,19.95825,0.33947,2.76789,131.35263,216.49,0.33947,0.33947,11.24386,1,134.39684,2.61281,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss","UniqueFlask",0.99754,53.49684,0.35158,5.11649,0.99123,0.33632,381.41105,0.34737,1,149.91386,19.26456,0.35158,2.41158,146.14193,229.35509,0.35158,0.35158,11.22088,0.97719,136.75123,2.22649,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss","UniqueFlask",1,57.40914,0.36,4.97379,0.97362,0.32586,408.63983,0.35845,1,138.74655,19.41241,0.36,2.0469,140.88948,246.20362,0.36,0.36,10.66724,0.98966,148.6069,1.9969,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss","UniqueFlask",0.99754,71.40614,0.35123,4.25404,0.99333,0.3414,432.89982,0.3414,1,141.73386,19.10491,0.34877,2.36246,149.34088,258.32351,0.35123,0.34649,10.22596,0.99825,153.64702,1.99825,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss","UniqueFlask",0.98456,96.40702,0.34982,3.97754,0.99807,0.34526,449.51561,0.34982,1,143.32298,17.87193,0.34965,2.25,144.76877,269.18842,0.34982,0.34982,10.07298,1,149.49684,1.98316,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss","UniqueFlask",0.98845,96.38224,0.35638,4.98638,0.96259,0.30776,442.94931,0.35569,1,151.3769,17.02948,0.35638,2.01086,139.39948,259.38034,0.35638,0.35638,9.68121,0.99707,134.63914,1.96483,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss","UniqueFlask",0.98737,90.02368,0.37211,4.55386,0.9307,0.35298,452.08667,0.37193,1,152.35456,16.70456,0.3714,1.96561,147.43368,244.16035,0.37211,0.37211,9.86386,0.99684,138.31053,1.81088,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss","UniqueFlask",0.98877,81.76421,0.39702,4.27649,0.91439,0.3714,493.37228,0.39035,0.99982,157.17526,15.61754,0.39737,1.98246,148.82614,247.49158,0.39737,0.39632,9.86737,0.98614,149.20649,1.99912,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss","UniqueFlask",0.98579,82.52772,0.4414,3.97825,0.93298,0.42509,504.01719,0.4414,1.22246,149.77368,15.74404,0.44088,1.97965,122.04702,252.99228,0.4414,0.4414,9.74421,0.99982,141.52035,1.91088,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss","UniqueFlask",0.99286,83.80089,0.44964,3.13661,0.95607,0.35714,495.9875,0.44839,1.19125,131.06571,15.64696,0.45,1.94375,128.86589,251.8275,0.45,0.45,9.87911,0.96607,139.89893,1.95696,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss","UniqueFlask",0.97,94.50983,0.44759,2.98086,0.94931,0.33086,495.94224,0.44466,1.9131,125.94966,15.92293,0.44586,2,125.56328,252.45966,0.44759,0.44759,10.00362,0.99431,145.03259,1.865,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss","UniqueFlask",0.96946,91.89821,0.44589,2.6575,0.97357,0.38482,491.74304,0.44589,1.78625,126.71179,14.75821,0.44464,1.9775,128.06143,253.92179,0.44589,0.44589,10.51839,0.99786,143.80982,1.79304,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss","UniqueFlask",0.95768,90.21071,0.43839,2.98161,0.99232,0.32411,516.45571,0.42929,1.66661,145.65714,14.27125,0.43839,1.96125,127.39018,256.69018,0.43839,0.43839,9.87732,0.99982,147.53464,1.71911,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss","UniqueFlask",0.91607,88.20857,0.43018,2.92732,0.97786,0.40286,511.95089,0.43018,1.355,157.72857,14.21982,0.43018,1.95911,139.43536,254.68393,0.43018,0.43018,9.82268,0.99607,159.31357,1.79982,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss","UniqueFlask",0.90891,85.37236,0.43218,2.88873,0.99164,0.42255,503.65818,0.40564,1.13545,141.18364,13.93145,0.43218,2,152.23745,249.98564,0.43218,0.43218,9.85618,0.99964,156.66836,1.72109,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss","UniqueFlask",0.90545,82.54418,0.44018,2.40691,0.99764,0.41473,494.74891,0.42709,1.21382,140.67309,12.932,0.44018,1.87982,151.23691,248.064,0.44018,0.44018,9.73673,1,150.53764,1.94182,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss","UniqueFlask",0.84345,80.53309,0.44909,2.15636,1,0.38618,496.84509,0.43982,1.67273,134.596,11.59818,0.44891,1.92927,151.13636,232.14327,0.44909,0.44909,9.27182,0.976,149.554,1.94091,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss","UniqueFlask",0.84815,76.38667,0.45,2.33074,0.99574,0.29296,497.55056,0.43944,1.93741,129.08852,12.39944,0.43481,1.97944,145.80037,231.77722,0.45,0.44944,8.90426,1,143.64241,1.98056,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss","UniqueFlask",0.85389,74.77333,0.44296,2.53778,0.99981,0.35926,482.61907,0.4413,1.93426,130.51315,11.29463,0.43148,1.79611,151.90759,221.71759,0.44296,0.44259,9.07944,1,142.4113,1.99796,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss","UniqueFlask",0.82585,66.96,0.43472,2.68415,0.99698,0.41057,465.4934,0.4283,2,119.22679,10.16019,0.42887,1.8734,148.72679,214.92604,0.43472,0.42887,7.93774,0.98698,136.22189,1.99774,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss","UniqueFlask",0.76333,62.57148,0.42611,2.26741,0.99907,0.31537,467.00463,0.41407,2,117.58833,9.56389,0.4213,1.93741,143.84722,213.25278,0.42611,0.42611,7.36556,1,143.16796,1.84167,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss","UniqueFlask",0.76073,62.00745,0.42127,2,1,0.40964,475.79345,0.41945,1.99818,115.83473,9.08891,0.36473,1.87691,144.064,203.86236,0.42127,0.42018,6.99309,0.99964,152.31018,1.86327,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss","UniqueFlask",0.74885,60.01462,0.42096,2,0.99731,0.38538,473.14442,0.39596,1.99981,118.58558,9.32942,0.40423,1.87288,143.51308,197.80769,0.42115,0.42135,5.88596,0.99731,151.79462,1.67635,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss","UniqueFlask",0.86531,62.33776,0.41571,2,1,0.23,459.14041,0.41429,1.99837,115.68551,9.26633,0.42633,1.82143,152.88531,195.9902,0.41939,0.42102,6.01061,1,138.81286,1.87347,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss","UniqueFlask",0.70039,70.71412,0.41098,1.99765,1,0.29784,450.99686,0.38784,2,123.05314,8.59157,0.40804,1.86078,159.73549,187.78333,0.40902,0.41196,5.72608,0.99824,130.97373,1.64569,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss","UniqueFlask",0.77064,76.89,0.40426,1.99702,1,0.2817,450.69553,0.36426,1.99787,120.25638,8.16234,0.40426,1.87106,154.1466,182.68532,0.40426,0.40574,5.59766,1,134.96064,1.92766,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss","UniqueFlask",0.77725,81.47118,0.39314,1.98941,1,0.30373,441.57627,0.35412,2,131.44333,7.60843,0.37314,1.62118,141.48784,182.08294,0.39157,0.39235,5.05294,0.98549,141.70902,1.95765,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss","UniqueFlask",0.72235,91.31039,0.38902,1.9,1,0.36255,418.99745,0.3902,1.93176,129.09882,7.69549,0.38745,1.53569,130.61157,176.18294,0.39275,0.40392,5.0102,0.98137,148.07725,1.98941,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss","UniqueFlask",0.82116,93.95512,0.38907,1.99302,0.96884,0.26953,404.92326,0.35767,1.79907,106.88163,7.52651,0.40558,1.85465,115.73023,174.08535,0.40209,0.39349,4.89884,0.99977,149.51907,1.95209,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss","UniqueFlask",0.62321,82.37019,0.37736,1.99868,0.99868,0.29774,400.58887,0.36811,1.76792,102.89358,7.34849,0.37943,1.97698,109.15811,167.35774,0.37792,0.37717,4.99226,1,153.13906,1.7866,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss","UniqueFlask",0.54423,85.85327,0.37058,1.95192,0.995,0.29596,381.47231,0.31288,1.99673,102.12538,7.06192,0.37077,1.975,103.66269,161.90673,0.41,0.37788,4.97327,1,138.95519,1.90808,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss","UniqueFlask",0.64904,79.56846,0.36173,1.95404,1,0.25885,370.47135,0.28923,1.99346,99.64615,6.54231,0.36615,1.99712,106.78115,158.93096,0.37808,0.36327,4.97692,0.98865,138.91865,1.79558,NA,NA,NA,NA,NA
46,"2018-01-22","Abyss","UniqueFlask",0.74059,76.70784,0.35784,1.9951,1,0.27373,367.47882,0.30157,1.99235,100.87255,6.17412,0.3551,1.98941,108.2498,152.77196,0.39824,0.36,4.66588,0.99412,142.50333,1.60922,NA,NA,NA,NA,NA
47,"2018-01-23","Abyss","UniqueFlask",0.65673,70.98442,0.38212,1.865,1.00115,0.27,360.61923,0.31462,1.53058,98.87154,5.72904,0.35885,1.73942,109.93885,154.60269,0.36962,0.37423,4.14692,0.99192,127.57212,1.84462,NA,NA,NA,NA,NA
48,"2018-01-24","Abyss","UniqueFlask",0.75058,74.83885,0.36,1.99885,1,0.22615,390.76731,0.33596,1.87231,99.0425,5.55462,0.35788,1.70519,105.83538,152.76981,0.35865,0.35269,4.55058,1,130.58058,1.89981,NA,NA,NA,NA,NA
49,"2018-01-25","Abyss","UniqueFlask",0.54423,77.81135,0.35865,1.93654,1,0.23615,386.78923,0.34154,1.83462,99.45212,5.7975,0.33942,1.64154,101.15404,143.06519,0.33385,0.34154,4.30308,1,130.53288,1.93212,NA,NA,NA,NA,NA
50,"2018-01-26","Abyss","UniqueFlask",0.59462,78.43019,0.36423,1.93923,1,0.27327,380.90731,0.32865,2,100.11981,5.66192,0.33827,1.97481,100.49269,137.79115,0.32808,0.35327,4.32481,0.99673,124.05231,1.9675,NA,NA,NA,NA,NA
51,"2018-01-27","Abyss","UniqueFlask",0.53038,75.90365,0.35192,1.53385,0.99519,0.24308,348.33769,0.33,2,104.30654,5.65615,0.34019,1.78096,101.45385,133.20615,0.34154,0.34077,4.91673,1,113.21385,1.8175,NA,NA,NA,NA,NA
52,"2018-01-28","Abyss","UniqueFlask",0.45846,74.95635,0.35654,1.36462,0.99712,0.30346,334.91308,0.31077,2,114.63231,5.32019,0.32385,1.73308,107.08769,131.29673,0.32692,0.33577,4.30577,1,107.25481,1.94923,NA,NA,NA,NA,NA
53,"2018-01-29","Abyss","UniqueFlask",0.50212,72.93942,0.38519,1.96942,1.00019,0.235,319.51596,0.345,2,108.92654,5.16192,0.33942,1.94077,116.95212,131.66904,0.34077,0.34058,4.32923,1,106.46462,1.87731,NA,NA,NA,NA,NA
54,"2018-01-30","Abyss","UniqueFlask",0.49692,68.56731,0.36635,1.65692,1,0.22885,311.36096,0.33769,1.99135,103.9825,5.09731,0.32731,1.64423,129.88404,130.20885,0.34192,0.34096,4.25769,0.97404,100.81115,1.99885,NA,NA,NA,NA,NA
55,"2018-01-31","Abyss","UniqueFlask",0.52113,67.49396,0.37302,1.31943,0.99736,0.32472,305.3034,0.31698,1.95151,98.12547,5.05019,0.34019,1.99038,134.73396,129.74396,0.34019,0.32925,4.1966,0.99943,103.83566,1.93547,NA,NA,NA,NA,NA
56,"2018-02-01","Abyss","UniqueFlask",0.63115,72.16923,0.34,1.77788,0.99673,0.3375,305.35673,0.33942,1.95308,103.03538,4.80058,0.34,1.69615,130.69865,125.72231,0.34,0.33519,4.44038,1,117.19365,1.74038,NA,NA,NA,NA,NA
57,"2018-02-02","Abyss","UniqueFlask",0.48654,73.80538,0.34,1.60077,1,0.30231,300.90885,0.33981,1.90596,111.51096,4.81058,0.34,1.79712,146.27673,121.66962,0.34731,0.33981,4.18827,0.97615,112.46577,1.81942,NA,NA,NA,NA,NA
58,"2018-02-03","Abyss","UniqueFlask",0.45154,67.58327,0.33923,1.90635,1,0.26635,301.66365,0.28615,2,104.32192,4.84538,0.33865,1.30154,145.01192,120.44827,0.33923,0.33365,4.40115,0.995,109.32385,1.68365,NA,NA,NA,NA,NA
59,"2018-02-04","Abyss","UniqueFlask",0.51327,69.35981,0.33462,1.74365,1,0.175,310.48288,0.23673,1.95212,100.01635,4.91519,0.32923,1.40808,137.54231,121.81058,0.32846,0.31115,4.27423,1,111.15192,1.92923,NA,NA,NA,NA,NA
60,"2018-02-05","Abyss","UniqueFlask",0.52115,71.09404,0.32135,1.63558,1,0.31577,309.21154,0.27154,1.79058,99.40212,4.86212,0.32058,1.12423,139.1825,124.02538,0.31885,0.31596,4.40404,0.99692,110.99135,1.99981,NA,NA,NA,NA,NA
61,"2018-02-06","Abyss","UniqueFlask",0.49472,71.08264,0.32189,1.11358,1,0.29755,295.50585,0.17717,2,96.30283,4.82019,0.3034,1.66491,143.74094,125.99509,0.32151,0.31604,4.29962,0.99981,106.67189,1.77358,NA,NA,NA,NA,NA
62,"2018-02-07","Abyss","UniqueFlask",0.59538,79.05885,0.34019,1.53154,0.98481,0.1825,318.855,0.24981,2,99.26635,4.76192,0.30904,1.80365,145.37423,119.50192,0.31981,0.32,4.53615,0.99885,108.3125,1.50115,NA,NA,NA,NA,NA
63,"2018-02-08","Abyss","UniqueFlask",0.57827,90.35481,0.32,1.14019,0.99942,0.20019,310.56942,0.31923,2,98.30173,4.66673,0.31269,1.87635,150.78385,106.85808,0.32,0.31942,4.16635,0.9475,106.85692,1.79462,NA,NA,NA,NA,NA
64,"2018-02-09","Abyss","UniqueFlask",0.44547,93.04849,0.32,1.24887,1,0.31208,312.05245,0.32,2,98.94792,4.89736,0.32,1.56547,153.00415,109.00321,0.32,0.32,4.09208,1,103.37547,1.68604,NA,NA,NA,NA,NA
65,"2018-02-10","Abyss","UniqueFlask",0.50596,98.95712,0.32,1.49385,1,0.17904,291.24519,0.28365,2,106.59519,4.60077,0.32,1.93635,150.14154,105.83538,0.32,0.27923,4.32019,0.99904,101.64115,1.78981,NA,NA,NA,NA,NA
66,"2018-02-11","Abyss","UniqueFlask",0.65098,106.03843,0.35941,1.08118,1,0.2998,283.97686,0.28157,1.9598,103.22039,4.63176,0.32451,1.89059,157.64745,110.78451,0.32216,0.27353,4.66784,0.9998,101.8502,1.90765,NA,NA,NA,NA,NA
67,"2018-02-12","Abyss","UniqueFlask",0.67981,103.73132,0.32019,1,0.98038,0.30755,294.2866,0.30302,2,109.80679,4.85075,0.31509,1.89038,159.50717,111.21321,0.31981,0.31981,4.63736,1,101.94358,1.45434,NA,NA,NA,NA,NA
68,"2018-02-13","Abyss","UniqueFlask",0.63906,93.96321,0.31925,1.01,0.99585,0.21151,284.1183,0.30981,1.99736,97.53415,4.76547,0.31509,2.02698,164.37528,112.56774,0.32189,0.31566,4.52472,1,101.38019,1.77245,NA,NA,NA,NA,NA
69,"2018-02-14","Abyss","UniqueFlask",0.69396,103.55943,0.32755,1.23472,0.99981,0.23491,282.00623,0.30642,2,99.09189,4.86528,0.32,1.91094,163.53755,112.15585,0.33075,0.3166,4.69189,1,94.88943,1.99717,NA,NA,NA,NA,NA
70,"2018-02-15","Abyss","UniqueFlask",0.7113,101.62944,0.32963,1,1,0.21315,271.64944,0.3187,1.99852,100.30981,4.96111,0.32556,1.95407,161.60315,111.53556,0.31907,0.32185,4.98852,0.99981,98.59963,2,NA,NA,NA,NA,NA
71,"2018-02-16","Abyss","UniqueFlask",0.62885,95.47,0.47615,1,1,0.2425,268.02173,0.28962,1.71423,102.77962,4.96558,0.33269,1.55885,161.86808,113.05846,0.3275,0.32596,4.66462,1,95.65404,1.99885,NA,NA,NA,NA,NA
72,"2018-02-17","Abyss","UniqueFlask",0.58094,84.51226,0.94623,1,0.97868,0.25925,245.70943,0.27283,1.60321,99.37377,4.97377,0.31792,1.96208,166.66189,100.56264,0.33792,0.32283,4.13717,0.99792,100.57434,1.87962,NA,NA,NA,NA,NA
73,"2018-02-18","Abyss","UniqueFlask",0.62453,84.82,0.39113,1.12566,0.99868,0.2066,249.30434,0.23321,1.47094,98.47868,4.87906,0.31981,1.54321,175.17774,116.33717,0.31811,0.31453,4.18,1,91.86038,1.93208,NA,NA,NA,NA,NA
74,"2018-02-19","Abyss","UniqueFlask",0.43906,90.64792,0.31868,1.03925,1,0.23868,229.43623,0.26113,1.92849,99.26943,4.93057,0.32642,1.94774,180.47528,127.97868,0.32547,0.33358,4.86566,0.9617,90.23887,1.98887,NA,NA,NA,NA,NA
75,"2018-02-20","Abyss","UniqueFlask",0.49,90.7117,0.31453,1,1,0.26472,224.53491,0.26528,2,99.41887,4.88509,0.30962,1.48245,190.76208,129.5583,0.31604,0.30943,4.3566,0.96679,91.17868,1.7883,NA,NA,NA,NA,NA
76,"2018-02-21","Abyss","UniqueFlask",0.59189,91.38981,0.38321,1,1,0.28604,218.5783,0.27925,2,98.94094,4.87283,0.30547,1.63245,234.65547,140.74792,0.3434,0.31,3.97981,0.99264,93.57868,1.35415,NA,NA,NA,NA,NA
77,"2018-02-22","Abyss","UniqueFlask",0.71604,92.15132,0.30604,1.25604,0.9334,0.24264,219.1617,0.30302,2,97.02453,4.97811,0.30453,1.77151,234.23415,156.93811,0.30642,0.32,3.7217,0.95245,104.47925,1.90038,NA,NA,NA,NA,NA
78,"2018-02-23","Abyss","UniqueFlask",0.67925,91.71283,0.34547,1.00113,0.90264,0.24906,203.39717,0.23509,2,99.30623,4.99547,0.3066,1.96283,242.05585,140.44453,0.34642,0.36868,4.50057,0.98472,107.61566,1.53717,NA,NA,NA,NA,NA
79,"2018-02-24","Abyss","UniqueFlask",0.59057,89.46415,0.34981,1,0.96,0.21604,192.58453,0.26623,2,99.90849,4.97245,0.32434,1.52453,264.67132,139.57547,0.32113,0.33396,4.23264,1,129.29038,1.00283,NA,NA,NA,NA,NA
80,"2018-02-25","Abyss","UniqueFlask",0.72736,89.69491,0.33755,1,1,0.28264,197.15547,0.29623,2,99.24396,5.12472,0.33509,1.70623,280.69132,139.10698,0.35132,0.30396,4.73113,1,106.53283,1.63604,NA,NA,NA,NA,NA
81,"2018-02-26","Abyss","UniqueFlask",0.62094,83.95837,0.41415,1.01245,0.91367,0.25857,192.24878,0.27245,2.15184,101.18816,5.0349,0.3116,2,295.64571,135.4998,0.4449,0.33286,4.20735,0.99918,118.8402,1.76041,NA,NA,NA,NA,NA
1,"2018-05-04","Bestiary Flashback","UniqueFlask",0,0,0.53,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,2.99,NA,NA,NA,NA
2,"2018-05-05","Bestiary Flashback","UniqueFlask",7.55444,5.15,1,35,1,0.17,0,0.16092,1,24.92267,4,0.16582,5,35,74.541,0.17,0.16888,3,4.88273,80,8.19883,2,NA,NA,NA,NA
3,"2018-05-06","Bestiary Flashback","UniqueFlask",8,5,0.69071,42.49,1,0.15,500.25,0.15,1,20,4.70092,0.15,4,35,98.4552,0.15,0.15,7,2,81.17346,7,2,NA,NA,NA,NA
4,"2018-05-07","Bestiary Flashback","UniqueFlask",7,6.89064,0.44051,40.25,1,0.16,508.08,0.16,1,19.85768,5,0.16,3,45,110,0.16,0.16,7,1,61.23348,4,2,NA,NA,NA,NA
5,"2018-05-08","Bestiary Flashback","UniqueFlask",7,7,0.19,18.19778,1,0.1651,547.61,0.1651,1,17,5,0.1651,2,39.99857,138.54051,0.1651,0.1651,7,1,70,3,7,NA,NA,NA,NA
6,"2018-05-09","Bestiary Flashback","UniqueFlask",6,7,0.2,21.38765,1,0.2,601.60167,0.2,1,16.95592,4.7,0.2,2,65.54762,133.25939,0.2,0.2,7.19694,1,71.60208,2,5,NA,NA,NA,NA
7,"2018-05-10","Bestiary Flashback","UniqueFlask",6,6.02551,0.2,20,1,0.2,488.97,0.2,1,15,4,0.2,2,64,120,0.2,0.2,7,1,80.90895,2,5,NA,NA,NA,NA
8,"2018-05-11","Bestiary Flashback","UniqueFlask",6,11.00041,0.2,11.91872,1,0.2,491.59316,0.2,1,10,4,0.2,2,58.8767,110,0.2,0.2,7,1,71.81077,2,5,NA,NA,NA,NA
9,"2018-05-12","Bestiary Flashback","UniqueFlask",5,10,0.19,11,1,0.19,514.5,0.19,1,10,3,0.19,2,55.46523,120,0.19,0.19,6,1,75.05056,1,8.65,NA,NA,NA,NA
10,"2018-05-13","Bestiary Flashback","UniqueFlask",5,8.84122,0.19,7.14071,1,0.19,593.64083,0.19,1,9.44092,3,0.19,1.75041,56.90667,120,0.19,0.19,6,1,90.06953,1,10,NA,NA,NA,NA
11,"2018-05-14","Bestiary Flashback","UniqueFlask",5,6.57061,0.18,7,1,0.18,609.3525,0.18,1,9.89031,3,0.18,1,63.5,110.03959,0.18,0.18,5.9802,1,83.88125,1,10,NA,NA,NA,NA
12,"2018-05-15","Bestiary Flashback","UniqueFlask",4.00378,7,0.18,4,1,0.18,503.88649,0.18,1,9,3,0.18,2,76.06592,120,0.18,0.18,5.9602,1,82.74,1,14,NA,NA,NA,NA
13,"2018-05-16","Bestiary Flashback","UniqueFlask",4,7.03061,0.18,4,1,0.18,549,0.18,1,9,3,0.18,1.27102,78.96714,120,0.18,0.18,6.12755,1,74,1,15,NA,NA,NA,NA
14,"2018-05-17","Bestiary Flashback","UniqueFlask",4,10,0.18,3.84,1,0.18,555.43471,0.18,1,9,3,0.18,1,78.60696,110,0.18,0.18,5,1,76.48625,1,14.23,NA,NA,NA,NA
15,"2018-05-18","Bestiary Flashback","UniqueFlask",3.02,10,0.23031,3,1,0.19,615.82135,0.19,1,9,3,0.19,1.00122,74.6102,110,0.19,0.19,5,1,79.66694,1,17.00184,NA,NA,NA,NA
16,"2018-05-19","Bestiary Flashback","UniqueFlask",3.56571,12.66122,0.19,2.5,1,0.19,594.46926,0.19,1,7.69102,3,0.19,1.72571,74,114.27265,0.19,0.19,5,1,81.09,1,20,NA,NA,NA,NA
17,"2018-05-20","Bestiary Flashback","UniqueFlask",3,12,0.18,2,1,0.18,594.19291,0.18,1,7,3,0.18,1,75.00786,105,0.18,0.18,4.36194,1,80,1,20,NA,NA,NA,NA
18,"2018-05-21","Bestiary Flashback","UniqueFlask",2,15,0.18,3,1,0.18,518.94,0.18,1,9.45082,3,0.18,1,77.23,103.28245,0.18,0.18,5,1,70,1,24,NA,NA,NA,NA
19,"2018-05-22","Bestiary Flashback","UniqueFlask",2,15,0.18,2,1,0.18,498.59184,0.18,1,9,3,0.18,1,70,99.14082,0.18,0.18,4,1,70,1,25.05561,NA,NA,NA,NA
20,"2018-05-23","Bestiary Flashback","UniqueFlask",2,17.3451,1,2,1,0.18,463.27857,0.18,1,8,2,0.18,1,75.46977,99.1902,0.18,0.18,4,1,70,1,30,NA,NA,NA,NA
21,"2018-05-24","Bestiary Flashback","UniqueFlask",2,20,0.38,2,0.9951,0.19,471.73265,0.19,1,9,3,0.19,1,80,99.27694,0.19,0.2,4,1,63.65,1,34.20551,NA,NA,NA,NA
