"Day","Date","League","Type","Chayula.s.Breachstone","Divine.Vessel","Eber.s.Key","Esh.s.Breachstone","Fragment.of.the.Chimera","Fragment.of.the.Hydra","Fragment.of.the.Minotaur","Fragment.of.the.Phoenix","Inya.s.Key","Mortal.Grief","Mortal.Hope","Mortal.Ignorance","Mortal.Rage","Sacrifice.at.Dawn","Sacrifice.at.Dusk","Sacrifice.at.Midnight","Sacrifice.at.Noon","Splinter.of.Chayula","Splinter.of.Esh","Splinter.of.Tul","Splinter.of.Uul.Netol","Splinter.of.Xoph","Tul.s.Breachstone","Uul.Netol.s.Breachstone","Volkuur.s.Key","Xoph.s.Breachstone","Yriel.s.Key","Chayula.s.Charged.Breachstone","Chayula.s.Enriched.Breachstone","Chayula.s.Pure.Breachstone","Esh.s.Charged.Breachstone","Esh.s.Enriched.Breachstone","Esh.s.Pure.Breachstone","Tul.s.Charged.Breachstone","Tul.s.Enriched.Breachstone","Tul.s.Pure.Breachstone","Uul.Netol.s.Charged.Breachstone","Uul.Netol.s.Enriched.Breachstone","Uul.Netol.s.Pure.Breachstone","Xoph.s.Charged.Breachstone","Xoph.s.Enriched.Breachstone","Xoph.s.Pure.Breachstone","Timeless.Eternal.Emblem","Timeless.Eternal.Empire.Splinter","Timeless.Karui.Splinter","Timeless.Maraketh.Emblem","Timeless.Maraketh.Splinter","Timeless.Templar.Emblem","Timeless.Templar.Splinter","Timeless.Vaal.Emblem","Timeless.Vaal.Splinter","Fragment.of.Constriction","Fragment.of.Emptiness","Fragment.of.Enslavement","Fragment.of.Eradication","Fragment.of.Knowledge","Fragment.of.Purification","Fragment.of.Shape","Fragment.of.Terror"
11,"2017-12-18","Abyss HC","Fragment",0,1,1.51221,21.08314,8.07626,14.0298,18.87444,20.03792,6.86338,2,8,7.1349,2.12633,1,0.86259,1,1,1.59659,0.2699,0.2805,0.29476,0.31791,22.95959,33.5614,6.96748,26.12463,12.88583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2017-12-19","Abyss HC","Fragment",250.37586,1,1,21.52385,7.66875,15.78315,16.00974,21.31265,6.30296,1.99325,7.81794,7,1.9992,1,1,1,1,1.89147,0.25,0.25,0.25,0.33333,23.50879,30,8.63947,26.26405,11.48439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2017-12-20","Abyss HC","Fragment",260.4,1,1.10642,24.45871,6.51525,16.13251,9.7427,21.37988,5.62715,2,9.0312,6.95884,2,1,1,1,1,2,0.25,0.25,0.28998,0.33333,22.78238,40,11.34807,26.85979,10.3522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2017-12-21","Abyss HC","Fragment",278.96324,1,1.48912,22.22552,5.34696,15.09176,8.50592,21.84243,5.33848,2,9.8295,7.20623,2,1,1,1,1,2,0.25,0.23331,0.30905,0.33169,20.09535,0,10.0118,25.82988,10.41874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2017-12-22","Abyss HC","Fragment",282.45946,1,1.16011,21.71848,5,14.19407,7.9857,21.44958,7.38893,2,9.97878,7.80081,2,1,1,1,1,2,0.24608,0.20342,0.41456,0.32043,19.39434,42.14286,9,26.75375,9.79196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2017-12-23","Abyss HC","Fragment",263.52632,1,1.27447,20,5,14.41693,8.81202,19.59496,7.28394,2,10.02769,7.94805,2,1,1,1,1,2,0.23261,0.21714,0.33333,0.3144,19.45134,40.96,8.9318,23.93288,9.50267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2017-12-24","Abyss HC","Fragment",248.52632,1,1.51969,18.73679,5,15.51354,8.83281,18.92399,7,2,10.8862,11.08027,2,1,1,1,1,2,0.22217,0.2,0.33333,0.3064,19.98528,43.38667,8.23913,27.71513,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2017-12-25","Abyss HC","Fragment",281.75758,1,1.65882,20,5,18.78843,9.94193,18.88684,6.85789,2,10,17.47945,2,1,1,1,1,2,0.2125,0.2,0.33333,0.31029,19.80424,44.85293,7.61351,27.76654,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2017-12-26","Abyss HC","Fragment",301.45333,1,1.99271,19.59964,4.69391,17.04824,8.84455,18.77848,6.31752,1.93632,9.9998,18.9647,2,1,1,1,1,2,0.2,0.19813,0.33333,0.28587,19.2977,33.88009,7.39336,24.28246,8.68956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2017-12-27","Abyss HC","Fragment",300,1,1.53163,16.88443,4.25677,17.03369,9.76084,17.15288,6.88712,2,9.98207,19.36735,1.99607,1,1,1,1,2,0.18505,0.18567,0.33333,0.26788,16.02943,23.32355,6.54358,21.83646,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2017-12-28","Abyss HC","Fragment",299.625,1,1.08453,13.12456,4.14689,18.32898,9.11088,15.75093,6.47074,1.32967,10.10172,20.01448,1.94949,1,1,1,1,2,0.16392,0.16932,0.33333,0.25,12.41711,45.99814,6.33484,21.89446,7.76092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss HC","Fragment",331.11111,1,1,12.47823,4.06653,18.04893,9,15.97636,6,1.92858,10.49126,20.23609,2,1,1,1,1,2.03899,0.14433,0.15693,0.29475,0.25,11.98745,44.42965,6,21.85097,6.5144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss HC","Fragment",245,1,1.01239,11.18117,4,17.73465,9.49939,16,5.33469,1.46946,11.78966,20.32794,2.31623,1,1,1,1,2,0.13775,0.14286,0.29209,0.25,11.78265,33.2236,6,21.1571,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss HC","Fragment",276.34906,1,1.02853,9.99814,4,17.5673,10.49281,16,5.09025,1,11.89052,19.46967,2.09023,1,1,1,1,2.08918,0.12573,0.13681,0.30084,0.25,10.83658,30.33684,6,19.90886,6.94161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss HC","Fragment",250.76923,1,1.30269,9.16807,4,17.09557,12.02524,15.87121,5.6268,1,11.113,18.90472,2,1,1,1,1,2.05796,0.12472,0.125,0.26694,0.25,10.49825,25.78564,6,20.48361,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss HC","Fragment",300,1,1.46978,7.17424,4,16.8805,12.33295,16.24944,5.59441,1,12.46626,18.55248,2,1,1,1,1,2.39112,0.12071,0.12467,0.32633,0.25,10.97263,24.34482,6,24.11835,6.99199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss HC","Fragment",252.23652,1,1.38002,7,4,16.89769,11.53561,17.32327,6.09289,1,12.57346,18.45219,2,1,1,1,1,2.40556,0.11111,0.11335,0.29313,0.24998,9.99651,30.15381,6,24.55836,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss HC","Fragment",244.07143,1,1.29122,7,4,16.35926,10.13156,16.63886,5.99927,1,12.30583,18.1198,2,1,1,1,1,2.42516,0.11044,0.11367,0.27124,0.24716,9.87456,25.56692,5.9536,21.12168,6.59299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss HC","Fragment",240.18482,1,1.10647,6.40928,3.99013,15.81144,9.25421,15.23008,6,1,11.96223,17.9055,2,1,1,1,1,2.22034,0.10001,0.09758,0.247,0.21637,8.72813,22.07697,6,19.49658,6.56043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss HC","Fragment",224.66391,1,1.33566,6.20279,3.96673,14.75114,8.99335,15.37923,6.00112,1,11.91029,17.84554,2,1,1,1,1,2,0.1,0.10019,0.24966,0.20468,8.65685,23.99262,6.02239,19.84759,6.79794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss HC","Fragment",228.7478,1,1,7,3.99807,13.92495,8.50455,15.44398,6,1,11.95809,15.48734,2.12554,1,1,1,1,1.99949,0.09992,0.09877,0.25,0.2,7.65881,21.58478,5.9987,19.97618,7.26153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss HC","Fragment",225.78276,1,1,6.92141,4,13.03805,7.85486,15.09784,6,1,11.63953,14.99562,2.74827,0.98988,1,1,1,2,0.09921,0.09816,0.25,0.2,7.24139,26.98601,5.90929,19.80177,6.54694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss HC","Fragment",241.23671,1,1.06364,6.98239,4,12.88892,8,15.18986,6,1.01869,11.06478,15,2.09078,1,1,1,1,2,0.09867,0.09831,0.25,0.2,7.00626,24.17237,5.99771,19.14432,6.16378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss HC","Fragment",237.94606,1,1.12252,6.94002,3.96364,12.29678,7.81679,16.12259,6,1.13801,11,14.76957,2,1,1,1,1,2,0.09787,0.09731,0.25,0.2,6.75771,22.34335,6.09477,19.29328,6.96389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss HC","Fragment",253.95553,1,1,7,3.74504,10.43893,7.21576,16.55254,6,1.12438,10.31629,13.62921,2.01611,1,1,1,1,2,0.09584,0.0913,0.25,0.2,7.41915,23.97332,6.34058,18.46496,6.79093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss HC","Fragment",250.93638,1,1.14184,6.7152,3.65869,10.56246,7.20504,16.3714,6,1.26486,10,12.63798,2.89714,1,1,1,1,2,0.09596,0.09091,0.25,0.2,8,25.44541,6.9837,17.51457,6.63423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss HC","Fragment",240.84078,1,1.33249,5.79651,3,10.9818,6.97192,15.82291,6.027,1.38586,10.43497,12.65463,2.75432,1,1,1,1,2,0.09629,0.09091,0.25,0.20384,8.28872,24.22134,6.12689,17.52818,6.99716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss HC","Fragment",231.28771,1,1.00212,5,3.34115,12.15763,6.4608,16.97563,5.56183,1.11548,10.208,12.00688,2.87755,1,1,1,1,1.9978,0.09237,0.09063,0.25,0.21284,8.01194,20.12783,6.10778,16.9602,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss HC","Fragment",227.44303,1,1.60477,4.96124,3.84723,13.33252,7,17.08103,5,1.93205,10.97694,11.62061,2.34372,1,1,1,1,2,0.09062,0.09021,0.25,0.20891,7.85512,17.43449,6.05085,15.30811,6.90128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss HC","Fragment",227.60539,1,1.75415,4.50918,3.95676,15.37821,6.86132,17.65208,5,2,11.06842,11.9101,2.98482,1,1,1,1,2,0.08373,0.08497,0.22954,0.19914,7.81292,15.88527,6.28469,14.1149,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss HC","Fragment",220.46459,1,2,4.99812,3.05692,16.23962,6.02695,17.96071,5.33892,1.99267,11.1572,11.21922,2.97382,1,1,1,1,2,0.0833,0.08333,0.20075,0.17901,7.20407,16.1404,6.81197,14.87914,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss HC","Fragment",218.46863,1,2,5,3,15.72076,6.70711,19.1255,5.98257,2,11.78352,11.26677,3,1,1,1,1,2,0.08308,0.08332,0.21339,0.17433,6.69236,17.42121,7.97416,15.21832,6.87435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss HC","Fragment",219.02832,1,2,5,3,15.34207,6.46933,19.9001,5.58725,1.91483,12,11.74167,2.67391,1,1,1,1,2,0.07815,0.08084,0.20085,0.16667,5.83641,17.98546,7.95947,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss HC","Fragment",207.39053,1,2,4.98494,3.03008,16.11223,5.92068,18.71572,5.03805,1.67498,12,11.04455,1.97816,1,1,1,1,2,0.07422,0.07269,0.2,0.16667,6,17.4957,7.91375,14.40167,7.14788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss HC","Fragment",210.68654,1,1.99503,5,3.05103,15.30674,5.04273,18.65384,5.8417,1.45329,11.71154,10.58948,2,1,1,1,1,2,0.07219,0.07143,0.19228,0.16667,5.85435,17.6572,12.07239,13.99187,7.65354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2018-01-22","Abyss HC","Fragment",208.21103,1,2,4.6025,3.13931,14.25398,5.59952,18.70331,7.41487,1.19087,11,10,1.9168,1,1,1,1,2,0.07143,0.07143,0.16869,0.16667,5,18.44643,12.4656,13.73268,7.50879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2018-01-23","Abyss HC","Fragment",202.4944,1,1.99155,4.72506,3.03796,13.54476,5.5554,19.08183,9.24532,1.16133,10.94448,10,1.93882,1,1,1,1,1.99075,0.07143,0.07142,0.16741,0.16652,5,19.28823,15.60384,14,8.12579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2018-01-24","Abyss HC","Fragment",208.83972,1,1.8719,5,3.01433,15.03878,5.89615,19.69608,9.9679,1.00641,10.65546,10.27892,1.87735,1,1,1,1,1.7032,0.07094,0.06977,0.16754,0.16626,5,17.76726,12.9854,13.98784,8.43988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2018-01-25","Abyss HC","Fragment",203.5169,1,1.55093,5,3,15.31228,6,19.94545,7.97935,1.00564,10.99264,11,1.92243,1,1,1,1,1.7669,0.07092,0.06649,0.16667,0.1666,4.71547,17.74035,11.5449,14,8.71884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"2018-01-26","Abyss HC","Fragment",210,1,1.43942,5,3,14.63338,6,20.26844,9.18493,1,11,10.95667,1.98772,1,1,1,1,1.91028,0.07136,0.06821,0.16779,0.16666,5,17.38909,10.71719,14,9.08982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"2018-01-27","Abyss HC","Fragment",210.42915,1,1.77684,4.88408,3.0396,15.0169,6,19.17172,10.62291,1,11.21019,11,1.96572,1,1,1,1,1.98752,0.07143,0.06939,0.16814,0.16667,5,18.12824,11.85091,14.00163,10.52023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2018-01-28","Abyss HC","Fragment",203.75439,1,1.60426,4.98185,3.18386,15.9031,6,18.46415,10.36298,1,12.13313,11.00104,1.78702,1,1,1,1,2,0.07143,0.06992,0.18084,0.16667,5,18,13.99587,14.37581,10.15042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2018-01-29","Abyss HC","Fragment",204.9302,1,1.54437,4.93434,3.00041,16.03695,5.98717,18.03778,10.29204,1.41746,12.21982,11.9681,2.22362,1,1,1,1,2,0.07098,0.07049,0.16781,0.16667,5,18,13.69867,14.99246,10.39808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"2018-01-30","Abyss HC","Fragment",202.1163,1,1.9835,4.80807,3,16.75117,5.94212,17.48442,10,1.74938,12.98748,14.05775,2.02787,1,1,1,1,2,0.07061,0.07143,0.17229,0.16667,5,18,13.71887,14.71908,10.41272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"2018-01-31","Abyss HC","Fragment",199.37664,1,1.85575,4.67424,3,16.48897,5.99461,15.8291,9.9896,1.93152,13.0571,14.92746,1.77525,1,1,1,1,1.96412,0.07024,0.07078,0.20314,0.16667,5,17.99213,13.15994,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
