"Day","Date","League","Type","A.Call.into.the.Void","A.Firm.Foothold","A.Forest.of.False.Idols","A.Gracious.Master","A.Master.Seeks.Help","A.Prodigious.Hand","A.Regal.Death","A.Valuable.Combination","A.Whispered.Prayer","Abnormal.Effulgence","Against.the.Tide","An.Unseen.Peril","Anarchy.s.End.I","Anarchy.s.End.II","Ancient.Doom","Baptism.by.Death","Beyond.Sight.I","Beyond.Sight.IV","Blood.in.the.Eyes","Blood.of.the.Betrayed","Bountiful.Traps","Cleanser.of.Sins","Crushing.Squall","Custodians.of.Silence","Day.of.Sacrifice.I","Day.of.Sacrifice.II","Day.of.Sacrifice.III","Day.of.Sacrifice.IV","Deadly.Rivalry.I","Deadly.Rivalry.II","Deadly.Rivalry.III","Deadly.Rivalry.IV","Deadly.Rivalry.V","Deadly.Twins","Defiled.in.the.Sceptre","Dying.Cry","Echoes.of.Witchcraft","Ending.the.Torment","Erased.from.Memory","Erasmus..Gift","Fated.Connections","Fear.s.Wide.Reach","Fire.and.Brimstone","Fire.and.Ice","Fire.from.the.Sky","Fire..Wood.and.Stone","Flesh.of.the.Beast","Forceful.Exorcism","From.Death.Springs.Life","From.The.Void","Gilded.Within","Golden.Touch","Graceful.Flames","Heart.of.the.Fire","Heavy.Blows","Hidden.Reinforcements","Hidden.Vaal.Pathways","Holding.the.Bridge","Hunter.s.Lesson","Ice.from.Above","In.the.Grasp.of.Corruption","Kalandra.s.Craft","Lasting.Impressions","Lightning.Falls","Living.Fires","Lost.in.the.Pages","Monstrous.Treasure","Mouth.of.Horrors","Mysterious.Invaders","Nature.s.Resilience","Nemesis.of.Greed","Notched.Flesh","Overflowing.Riches","Plague.of.Frogs","Plague.of.Rats","Pleasure.and.Pain","Pools.of.Wealth","Possessed.Foe","Power.Magnified","Rebirth","Reforged.Bonds","Resistant.to.Change","Risen.Blood","Roth.s.Legacy","Severed.Limbs","Smothering.Tendrils","Soil..Worms.and.Blood","Storm.on.the.Horizon","Storm.on.the.Reef","Strong.as.a.Bull","Thaumaturgical.History.I","Thaumaturgical.History.II","Thaumaturgical.History.III","The.Alchemist","The.Ambitious.Bandit.I","The.Apex.Predator","The.Beautiful.Guide","The.Beginning.and.the.End","The.Bloody.Flowers.Redux","The.Bowstring.s.Music","The.Brothers.of.Necromancy","The.Brutal.Enforcer","The.Corrupt","The.Cursed.Choir","The.Dream.Trial","The.Dreamer.s.Dream","The.Eagle.s.Cry","The.Feral.Lord.I","The.Feral.Lord.II","The.Feral.Lord.III","The.Feral.Lord.V","The.Flayed.Man","The.Flow.of.Energy","The.Fortune.Teller.s.Collection","The.Four.Feral.Exiles","The.God.of.Misfortune","The.Hardened.Armour","The.Hollow.Pledge","The.Hungering.Swarm","The.Invader","The.Jeweller.s.Touch","The.Karui.Rebellion","The.King.s.Path","The.King.and.the.Brambles","The.Lady.in.Black","The.Last.Watch","The.Lost.Maps","The.Lost.Undying","The.Misunderstood.Queen","The.Mysterious.Gift","The.Nest","The.Petrified","The.Plaguemaw.I","The.Plaguemaw.II","The.Plaguemaw.IV","The.Plaguemaw.V","The.Prison.Guard","The.Prison.Key","The.Queen.s.Vaults","The.Scout","The.Servant.s.Heart","The.Sharpened.Blade","The.Silverwood","The.Singular.Spirit","The.Sinner.s.Stone","The.Snuffed.Flame","The.Soulless.Beast","The.Stockkeeper","The.Sword.King.s.Passion","The.Trembling.Earth","The.Twins","The.Unbreathing.Queen.I","The.Unbreathing.Queen.II","The.Unbreathing.Queen.V","The.Undead.Brutes","The.Undead.Storm","The.Vanguard","The.Walking.Mountain","The.Ward.s.Ward","The.Warmongers.I","The.Warmongers.II","The.Warmongers.III","The.Watcher.s.Watcher","The.Wealthy.Exile","Touched.by.the.Wind","Trash.to.Treasure","Twice.Enchanted","Unbearable.Whispers.I","Unbearable.Whispers.II","Unbearable.Whispers.III","Unbearable.Whispers.V","Undead.Uprising","Vaal.Winds","Visions.of.the.Drowned","Vital.Transformation","Waiting.in.Ambush","Weeping.Death","Wind.and.Thunder","Winter.s.Mournful.Melodies","A.Dishonourable.Death","A.Rift.in.Time","A.Vision.of.Ice.and.Fire","Agony.at.Dusk","Beyond.Sight.II","Black.Devotion","Blind.Faith","Blinding.Light","Burning.Dread","Cold.Blooded.Fury","Cold.Greed","Crimson.Hues","Dance.of.Steel","Dark.Instincts","Darktongue.s.Shriek","End.of.the.Light","Greed.s.Folly","Last.of.the.Wildmen","Song.of.the.Sekhema","Sun.s.Punishment","The.Dreaded.Rhoa","The.Fall.of.an.Empire","The.Great.Leader.of.the.North","The.Great.Mind.of.the.North","The.Malevolent.Witch","The.Nightmare.Awakens","The.Storm.Spire","Trapped.in.the.Tower","Anarchy.s.End.III","Anarchy.s.End.IV","Beyond.Sight.III","Fallow.At.Last","Path.of.Betrayal","Thaumaturgical.History.IV","The.Ambitious.Bandit.II","The.Child.of.Lunaris","The.Feral.Lord.IV","The.Queen.s.Sacrifice","The.Unbreathing.Queen.III","The.Unbreathing.Queen.IV","The.Warmongers.IV","Unbearable.Whispers.IV","Unnatural.Energy","Vaal.Invasion","Battle.Hardened","Faith.Exhumed","The.Ambitious.Bandit.III","The.Bishop.s.Legacy","The.Forgotten.Garrison","The.Forgotten.Soldiers","The.Mentor","The.Plaguemaw.III","Ancient.Rivalries.I","Ancient.Rivalries.II","Ancient.Rivalries.III","Ancient.Rivalries.IV","Brothers.in.Arms","Echoes.of.Lost.Love","Echoes.of.Mutation","Storm.on.the.Shore","The.Aesthete.s.Spirit","The.Blacksmith"
29,"2018-03-30","Bestiary HC","Prophecy",0.92174,0.50957,1,2,0.99565,0.48,0.63283,0.58152,0.24,1,0.72587,1.80196,0.31522,0,2,0.69543,1,3,1,0.48,2,7,1,0.46609,0.27543,0.65109,2.03478,0,0.95,1.09717,NA,0,0,0.96261,2,1,0,1.33478,0.24913,1,660.42087,0.74217,1,0.98283,1,1.11283,30.40848,0.44457,0.77217,0.60522,1.86304,0.92696,2.88391,0.62522,0.27478,0.97717,0.99783,0,1,1,0,0.72174,0.37978,1,0,23.27739,19.98,0.24,0.66152,4,0.52283,0.52261,2,1.00109,0.8537,0.43435,NA,0.61,0.26652,1,1,0.72,0.81913,0.24,2.6487,0.8487,0.92261,0.29435,0.41478,0.6687,0.38674,0,0,0.43978,0.70783,3,1.30739,0.50609,0.74326,6.06522,1,0.98152,0.44304,0.93,1.62239,0.96674,0.80913,0.47326,1,33,4,0.88435,1,2.15913,1,0.77087,0.96391,0.71761,0.92478,0.60196,21.23891,1.94587,270.13826,5.77043,0.57391,1,0.8937,0.89022,0.99457,1,0.37087,0.70957,0.375,0.75196,0,10,0.24478,0.26457,1.17413,0.93826,21.17804,0.84652,0.80478,0.86543,0.40957,0.4387,0.54348,0.24,0.39739,0.99043,1,0.24,0.22304,5,0.47283,0.375,0.28457,0.51239,0.72674,1.70152,3,1,0.79326,1,1.05128,0,4.00326,0.48326,0.39913,0,2.87087,0,10.02348,0,0,0.81413,1,141.37261,0.73326,5.49457,0.36239,0.56109,0.24304,0,0.41826,0.96957,0,0.53174,0.43457,0.98457,0.5413,0.74043,0.24652,3.01391,0.69457,0.35783,0.36239,0.99304,0.24,1.98913,0.58304,4.33522,1.36413,0.55826,0.73457,0.63739,0.81609,12,0,0,0.74565,0,3,2,0,1.4,2480.305,3.93978,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-03-31","Bestiary HC","Prophecy",0.93133,0.60844,0.99156,2,0.97356,0.48111,0.70022,0.80511,0.32956,1,0.75511,1.006,0.35467,0,2,0.66422,0.87067,3,1,0.55711,2,7.06356,1,0.49133,0.31267,0.66222,2.24,0,0.91,1.22156,NA,0,0,1,2,1,0,1.43911,0.50711,1,608.3,0.692,1,0.98089,1,1.01711,33.15089,0.39956,0.72,0.44133,1.59689,0.63289,2.08956,0.71667,0.35133,0.99356,1,0,1,1,0,0.98311,0.38889,1,0,16.39356,19.95511,0.27444,0.59489,3.99289,0.49956,0.63222,2,1.35844,0.77756,0.29067,NA,0.63044,0.41489,1,0.996,0.72,1,0.25311,2.57978,0.90156,0.986,0.30756,0.56978,0.60778,0.39667,0,0,0.46422,0.73022,3.21378,1.11489,0.75644,0.72267,6.01622,0.99711,0.85933,0.49444,0.91178,1.45356,1.05089,0.74133,0.48556,1.02489,15.08,4.32867,0.92267,1,2.28422,1,0.98956,1,0.83111,0.85156,0.45244,25.03133,1.70844,301.10311,5.89978,0.68622,0.95267,0.96422,1,0.99489,1.04267,0.67289,0.53778,0.44556,0.92689,0,10,0.24,0.26933,1,0.93311,23.26022,1,0.99044,0.92267,0.41556,0.40933,0.50511,0.24,0.53533,1,1,0.24178,0.97956,5,0.40933,0.40911,0.34778,0.57244,0.69267,1.56133,3,1,0.95222,1,0,423.012,4.53556,0.42289,0.65,0,2.246,0,10.87711,0,0,0.88467,0.94511,146.87,0.72889,10.60822,0.37222,0.50133,0.24778,0,0.32556,1,0,0.51956,0.41889,1,0.36844,0.88111,0.30622,3.03422,0.726,0.24289,0.38,1,0.24,1.99244,0.472,3.35556,1.26089,0.472,0.69867,0.65889,0.88333,0,0,0,0.75644,0,3,2,0,1.4,2435.68133,2.69444,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-04-01","Bestiary HC","Prophecy",0.96,0.72,1,1.862,0.95489,0.40978,0.71644,0.72533,0.37756,0.99556,0.74378,1,0.64311,0,2.03422,0.64022,0.69911,0,0.97844,0.67267,2,7.30978,1,0.48,0.43111,0.7,2.24,0,1.01444,1.55378,NA,0,0,1,2,1,0,1.148,1.1,1,552.69467,0.65778,1,1,1,1,34.29889,0.34733,0.72,0.45333,1.00778,0.56711,2.27511,0.78933,0.27844,0.91956,1,0,1,1,0,0.99689,0.45511,1,0,16.07,19.272,0.34978,0.72844,3.86778,0.51156,0.54244,2,1.89911,0.85133,0.35022,NA,0.77578,0.55044,1,0.98356,0,1,0.78956,2.90644,0.99733,0.90622,0.24756,0.62667,0.586,0.44489,0,0,0.45444,0.71911,3.03467,1.46689,0.78289,0.49222,6.31622,0.83378,0.67978,0.47333,0.93467,1.06822,0.982,0.75067,0.68311,1.02378,12.494,4.91289,1.09,0.95444,2.63578,1,0.90689,0.98533,0.8,0.956,0.45933,28.07556,1.82556,318.84222,5.71756,0.51867,1,0.86978,0.93533,0.94889,1.01489,1,0.41178,0.47356,0.83644,0,10,0.24156,0.248,1.07333,1,20.13711,1,0.82578,0.93422,0.40756,0.43378,0.57867,0.25067,0.71889,0.90422,1,0.39111,0.79378,5,0.61556,0.54356,0.37622,0.71267,0.74956,1.49889,2.80778,1,0.82267,1,0,365.61833,4.09422,0.394,0.62333,0,2,0,13.92133,0,0,0.85933,0.80378,166.41667,0.71444,9.59022,0.42489,0.51667,0.24,0,0.24,0.87889,0,0.48711,0.37733,1,0.38733,0.88778,0.24,3.19511,0.48,0.25533,0.34978,1,0.24,1.97444,0.51511,3.60778,1,0.484,0.50489,0.63533,0.89978,1,0,0,0.74578,0,3,2,0,1.4,2608.61178,2.07778,0,0,0,0.36696,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-04-02","Bestiary HC","Prophecy",0.89909,0.71705,1,1.9025,0.95295,0.26795,0.71023,0.56841,0.38091,0.9,0.71409,1,0.6075,0,2.83,0.50523,0.57432,2,0.85886,0.48364,2,7.19909,1,0.48,0.48886,0.68318,2.68,0,1.01818,1.49091,NA,0,0,0.99545,2,1,0,1.15023,1.1,1,488.18386,0.48,1,1,1,1,29.62477,0.32273,0.62864,0.46818,1,0.56636,2.11114,0.8,0.26341,0.96273,0.99545,0,1,1,0,0.92545,0.65773,1,0,18.24318,18.6625,0.27545,0.635,3.9525,0.53568,0.62273,2,1.99591,0.97682,0.48091,NA,0.78614,0.65659,1,0.98068,0,1,0.63205,3,1,0.83955,0.34591,0.62591,0.58545,0.48523,2.4,0,0.45023,0.76,3.03227,2,0.73273,0.47182,6.07182,0.74409,0.64614,0.48,1,1.10273,0.96091,0.75886,0.83568,1.02,29,4.62568,1.09,0.89773,2.83318,1.05,0.80273,0.89795,0.75955,0.99818,0.57477,28.52955,1.84227,304.60318,5.21818,0.53523,1,0.84977,0.77205,0.99227,1,0.92568,0.45591,0.4025,1,0,7.975,0.27886,0.25455,1,0.97364,21.13795,1,0.69977,0.895,0.35136,0.48,0.63955,0.24,0.62455,0.74977,0.98636,0.47,0.70136,5,0.61705,0.48727,0.38432,0.65909,0.54114,1.22636,2.05636,1,0.58023,1,0,0,4.53932,0.35955,0.63409,0,1.92841,0,15.29318,0,0,0.86023,0.71705,195.67136,0.87659,9.85955,0.56205,0.44386,0.24205,1,0.24205,0.76909,0,0.64273,0.24636,1,0.445,0.85091,0.24,3.28818,0.455,0.42068,0.34818,1,0.24727,1.92182,0.36773,2.67091,1.60455,0.7175,0.47068,0.50205,0.83205,1.02727,0,0,0.71409,0,3,2,0,1.4,2571.95795,2,0,0,0,0.35705,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-04-03","Bestiary HC","Prophecy",0.782,0.80444,1,1.99956,0.94489,0.25578,0.76222,0.66289,0.39778,0.88689,0.70044,1,0.59667,0,3,0.45378,0.42156,2,0.77222,0.48133,2,7.19133,1,0.48044,0.55844,0.87578,4,0,1,1.15889,NA,0,0,1,0,1,0,1,1.1,1,486.99956,0.60822,1,1,0.996,1,28.60511,0.28089,0.44356,0.42133,1,0.50956,2.04822,0.80222,0.25156,0.98333,0.98578,0,1,1,0,0.91711,0.66511,1,0,23.8,17.96756,0.31,0.46556,3.996,0.69333,0.71533,2,1.94644,1,0.60667,NA,0.73156,0.548,1,0.99022,0,1,0.71,2.956,1,0.92178,0.26956,0.7,0.70556,0.62578,1.92444,0,0.55444,0.58711,3.08533,1.72978,0.524,0.39867,5.74933,0.734,0.73067,0.42178,1,1,0.95467,0.79556,0.73244,1.01822,29,3.36044,1.09156,0.97733,2.36756,1.06222,0.95889,0.89289,0.71867,0.99867,0.68378,28.884,1.87022,300.65511,5,0.40733,1,0.91556,0.71067,1,1,0.92089,0.43333,0.24511,0.82444,0,2.90711,0.39778,0.27378,1,0.85933,21.15711,1,0.77067,0.92667,0.39578,0.47889,0.756,0.24067,0.664,0.55778,0.96467,0.37111,0.79578,5,0.614,0.47978,0.45022,0.52956,0.33133,1.01548,3,1,0.47,1,0,0,4.97133,0.32978,0.62978,2,1.77044,0,15.05756,0,0,0.88844,0.71133,195.35244,0.83311,11.46044,0.45422,0.428,0.25356,1,0.24444,0.87356,0,0.55844,0.28556,1,0.41333,0.83022,0.24867,3.07733,0.46689,0.60378,0.37378,1,0.30333,1.96222,0.36378,2.20044,1.46422,0.74244,0.47378,0.47311,0.70489,1.12,0,0,0.7,0,3,2,0,4.76,2363.73846,2,0,0,0,0.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-04-04","Bestiary HC","Prophecy",0.82773,0.92886,1,1.98477,1,0.32227,0.8,0.57341,0.51591,0.825,0.84932,1,0.60182,0,2.99205,0.30523,0.24,2,0.73455,0.48,2,7.20636,1,0.48,0.69364,1,4,0,1,1.08432,NA,0,0,1,0,1,0,1,1.1,1,549.88341,0.63114,1,1,1.07455,1.02045,29.99727,0.30636,0.48636,0.4,0.99864,0.48,2.00818,0.86114,0.25659,0.995,1,0,1,1,0,0.97909,0.71455,1,0,20.52273,18.00045,0.38,0.44727,3.81114,0.93295,0.79136,2,1.90523,1.03864,0.48955,NA,0.71523,0.47182,1,0.995,0,1,0.71045,3,1,1,0.2975,0.71091,0.72682,0.68182,1.7,0,0.695,0.79091,3.00636,1.56636,0.48,0.41341,5.0475,0.76205,0.76955,0.27841,1,1,1.28386,0.91295,0.73023,1,9,3.31,1.08205,1,2.52227,0.99182,0.98,0.93773,0.73318,1,0.495,28.63432,1.59909,280.49295,5,0.45591,1,0.98591,0.79364,1,1,0.93568,0.41341,0.28659,0.85227,0,4.37614,0.44886,0.29773,0.97364,0.98045,23.63318,1,0.90841,0.98227,0.40977,0.46545,0.72364,0.24,0.71045,0.69341,1,0.48,0.71386,0,0.79364,0.53159,0.59864,0.66682,0.24,1.12,1.14091,1,0.48409,1,1,0,4.53455,0.40568,0.86,2,2,0,13.39477,0,1,0.95909,0.93091,191.21182,0.79136,11.16273,0.4,0.44955,0.33,1,0.245,0.98727,0,0.54205,0.35273,0.99659,0.26455,0.94636,0.31386,3.13205,0.47568,0.625,0.36295,1,0.35591,1.97,0.39432,2.73386,2,0.72182,0.47932,0.48,0.81682,1.12,0,0,0,0,3,2,0,5,0,1.86341,0,0,0,0.35523,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-04-05","Bestiary HC","Prophecy",0.8425,0.65727,0.98159,2,0.98364,0.43091,0.81932,0.79886,0.64409,0.86045,0.97409,1,0.65955,0,3,0.37341,0.25114,2,0.65477,0.51932,2,6.905,1,0.50091,0.70295,0.99955,3.01818,25,1,1,NA,1,0,1,0,1,0,1,1.07045,1,523.63636,0.76205,1,1,1,1.13727,29.5925,0.315,0.525,0.41955,0.99636,0.5,1.99955,0.99227,0.29273,1,0.98955,0,1,1,0,1,0.77295,1,0,17.35294,18.02136,0.42432,0.55795,3.57068,1,0.82,1.84705,1.78091,1,0.52318,NA,0.77682,0.61045,1,1,0,1,0.73955,3,1,1,0.38136,0.72636,0.74841,0.61977,1.8,5,0.55091,0.80636,3.41886,1.88295,0.49841,0.42568,5.06818,0.78932,0.78591,0.37205,1,1,1.09091,0.98591,0.69977,0,9.40341,3.37,1.11432,1,2.80318,1,0.86045,0.96205,1,1,0.69477,24.57409,1.00545,246.54477,4.78545,0.59114,1,0.91455,0.8125,1,0.86773,0.94273,0.46318,0.37523,0.82909,0,10,0.61045,0.3925,0.99545,1,21.27295,1,0.99841,0.98977,0.6725,0.47273,0.68045,0.30614,0.69364,0.53659,0.99955,0.49205,0.95909,0,0.82659,0.83727,0.81818,0.94273,0.25,1.07364,1,1,0.58886,1,1,0,4.22773,0.43636,0.86909,2,2,0,13.36045,0,1,1,0.97114,204.76773,0.89409,11.87614,0.47409,0.47273,0.39523,1,0.27682,1,0,0.49932,0.3325,0.90568,0.40023,0.96727,0.46409,3,0.48909,0.5,0.35318,1,0.40136,1.47682,0.40795,2.90659,2,0.54273,0.48864,0.51432,0.9375,1.12,0,0,0,0,3,2,0,0,0,1.37182,0,0,0,0.35023,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-04-06","Bestiary HC","Prophecy",0.78911,0.72556,0.88111,2,0.94667,0.50156,0.82422,0.64956,0.39444,0.87,0.86822,1,0.736,0,3,0.38667,0.27667,2,0.69667,0.60867,2,6.60978,0.95444,0.53689,0.68822,1,1.17578,15.97778,1,1,NA,1,0,1,0,1,0,1,1,1,678.12689,0.83689,0.90089,1,1,1.14689,27.54867,0.302,0.56622,0.41044,1,0.39711,1.93978,0.99578,0.308,0.98711,0.99689,0,1,1,0,1,0.93511,0.92889,0,25.71429,18.67222,0.59978,0.45822,2.64178,1,0.87133,1.35756,2,1.04511,0.46,NA,0.69578,0.97867,1,1,0,1,0.80533,2.85867,0.99978,1,0.40244,0.782,0.88,0.54267,1.8,5,0.54222,0.77333,3.97044,1.98778,0.538,0.516,5.01244,0.81733,0.79378,0.458,1,1,1.10867,0.97133,0.71689,0,9.60556,3.32889,0.93489,1,2.98089,0.99978,0.81911,0.97933,1,1,0.85578,23.51222,1,236.38222,4.94889,0.35533,1,0.82111,0.81467,0.96644,0.89911,0.836,0.54222,0.36156,0.82778,0,10,0.68267,0.27,0.99467,0.982,18.54622,0.99556,0.99978,1,0.69489,0.46467,0.88067,1,0.68133,0.64978,1,0.53044,1,0,0.85689,0.94689,0.84111,0.89044,0.278,1,1,1,0.54156,1,1,0,4.70267,0.46689,0.67533,2,2,0,13.24356,0,1,1,0.97,226.73778,0.86844,10.632,0.76467,0.43356,0.41333,1,0.40156,1,26.62308,0.45067,0.34311,0.92,0.45756,0.95689,0.53067,3,0.46933,0.562,0.332,1,0.55956,1.00044,0.36444,2,1.80467,0.57244,0.41267,0.60511,0.96556,1.12,0,0,0,0,3,2,0,0,0,1.29,0,0,0,0.34511,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-04-07","Bestiary HC","Prophecy",0.76644,0.76333,0.84133,2,1,0.53578,0.83822,0.45044,0.40289,0.84556,0.92,1,0.72867,0,2.98911,0.44956,0.276,2,0.64733,0.54889,2,6.79467,0.97289,0.55444,0.73556,0.97711,1,13.8,0.94133,0.92267,NA,1,0,1,0,1.086,0,0.876,1,1,712.56956,0.87978,0.99556,0.98844,1,1.13111,25.32644,0.30044,0.54267,0.41,0.99467,0.42444,1.98089,0.92533,0.28578,0.90089,0.97311,0,1,1,0,0.97311,0.97444,0.95267,0,62.22222,18.826,0.728,0.38956,2.82689,0.85933,0.74311,1.192,2,1.01244,0.53956,NA,0.684,0.93578,1,1,0,0.86911,0.75556,3,1,1,0.52422,0.77711,0.82444,0.64378,1.89333,5,0.51467,0.71333,3.89644,1.95511,0.67222,0.69689,5.57178,0.76156,0.72733,0.44356,1,1,1.88,0.91778,0.78222,3,9.018,3.22022,0.65978,0.89022,2.99556,1,0.82089,0.996,1,1,1,23.18,1.16133,244.70622,4.98489,0.36444,1,0.71378,0.89156,0.82867,1,0.79956,0.53933,0.27622,0.67711,0,7.04,0.66489,0.28067,1.038,0.81511,17.512,0.97378,1,1,0.70444,0.518,0.96133,1,0.69111,0.67289,1,0.54489,1,0,0.83044,0.87222,0.90178,0.93867,0.53267,1.46667,1,29.5,0.56378,1,1,0,4.56378,0.41089,1.038,2,2,0,11.64222,4,1,1,0.97067,243.85822,0.896,11.24378,0.75467,0.46178,0.46022,1.11467,0.47667,0.996,17.16489,0.60533,0.42867,0.93689,0.48178,0.91867,0.552,3,0.44733,0.70956,0.276,0.99556,0.58022,1,0.40867,2,1.30667,0.552,0.47689,0.804,0.92133,1.12,0,0,0,0,0,0,0,0,0,1.238,0,0,0,0.53756,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-04-08","Bestiary HC","Prophecy",0.72093,0.83837,0.84163,2.00488,0.9614,0.55791,0.8893,0.46744,0.37512,0.83279,0.70488,1,0.65209,0,2.83907,0.49651,0.28163,2,0.54,0.55721,2,7.46,0.9686,0.55651,0.70651,0.95163,1,9,0.81767,0.75767,NA,1,0,1,0,0.98907,0,0.58977,1,1,596.0293,0.65953,1.03837,0.92953,1,1.18465,28.36721,0.33512,0.50093,0.40488,0.92837,0.43302,2,0.7493,0.28163,0.81698,1,0,1,1,0,0.94698,0.99512,1,0,54.73093,18.75558,0.50163,0.3,2,0.7886,0.56558,0.89163,1.99163,1,0.52814,NA,0.77605,0.96535,1,1,0,0.5293,0.69023,2.86372,0.99465,1,0.67302,0.71791,0.65163,0.69767,2,5,0.56953,0.60907,4.13349,1.99488,0.49558,0.5714,5.01023,0.69767,0.80047,0.50744,1,1.01651,1.96349,0.72581,0.6093,3,15,3.1507,0.72535,0.80512,2.84512,1,0.86907,1,1,1,0.73605,23.36884,1.98512,254.00209,5,0.52674,1,0.82186,0.92093,0.99651,1,0.71465,0.61605,0.28163,0.70419,0,10,0.55512,0.29116,1.38651,0.59814,18.16767,0.92279,0.99953,0.99907,0.65023,0.47116,1,0.93442,0.68488,0.75256,1,0.52977,1,0,0.69767,0.7486,0.81488,0.90605,0.57023,2.03907,1,30,0.6007,1,1,0,4.50163,0.4114,1.21651,2,2,0,9.53628,3.55814,1,0.9993,0.97767,222.31186,0.9993,11.8714,0.68233,0.40558,0.53372,1.12,0.48256,1,10.84767,0.54279,0.42651,0.89721,0.36744,0.8314,0.56279,3,0.39698,0.61535,0.28163,1,0.49163,1.38349,0.4114,2.36349,1,0.56326,0.38279,0.88535,0.64442,1.34512,0,2,0,0,0,0,0,0,0,1.1814,0,0,0,0.69767,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-04-09","Bestiary HC","Prophecy",0.70795,0.85273,0.87,2.17568,0.99977,0.57795,1,0.57432,0.39068,0.85023,0.66682,1,0.63386,0,2.94841,0.46205,0.46091,2,0.58477,0.6175,2,7,1.33659,0.58591,0.71477,0.97341,1,9,0.79614,0.75773,NA,1,0,1,0,1,0,0.59591,1,1.03068,456.69159,0.52545,1.39727,1,1.18295,1.11886,30,0.30341,0.45977,0.40614,0.89886,0.50045,2,0.68591,0.29,0.81409,1,0,0.93614,1.07159,2,0.90182,1,0.98295,0,45.53477,19.5625,0.35273,0.2975,2,0.815,0.4725,1,2,1,0.38523,NA,0.83591,0.88114,0.99795,2,0,0.51341,0.81068,3,0.95955,1,0.69773,0.76023,0.55273,0.69773,2,5,0.73841,0.62659,4.39,1.30727,0.56068,0.61773,4.50159,0.70386,0.85818,0.51614,1,1.52568,1.71409,0.65818,0.66636,3,15.24136,3.64364,0.81659,0.79568,2.75795,1,0.82841,1,1,1,0.75705,23.42795,1.85023,259.81136,5,0.57886,1,0.84523,0.94227,0.96773,1,0.69091,0.67295,0.29,0.7425,0,10,0.30318,0.32727,1.65386,0.56,17.85886,0.71795,1,0.95227,0.65864,0.42023,1,0.92182,0.64045,0.78136,1,0.57909,1,25,0.61886,0.94091,0.85705,0.57568,0.72977,2.46273,1,25.70455,0.60977,1,1,0,4.84114,0.49159,0.95,2,2,0,9.98432,2.45455,0.8425,0.93091,0.93705,215.66477,0.94318,14.305,0.83295,0.44,0.57977,1.3,0.48295,1,8.04636,0.42023,0.38273,0.88977,0.40023,0.965,0.60727,3,0.61545,0.74227,0.29977,1,0.50295,1.98295,0.49932,2.70023,1,0.58,0.39432,0.94068,0.4125,2,0,2,0,0,0,1.45,0,0,0,1.23636,0,0,0,0.69773,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
