"Date","League","Type","Eber.s.Key","Fragment.of.the.Chimera","Fragment.of.the.Hydra","Fragment.of.the.Minotaur","Fragment.of.the.Phoenix","Inya.s.Key","Mortal.Grief","Mortal.Hope","Mortal.Ignorance","Mortal.Rage","Sacrifice.at.Dawn","Sacrifice.at.Dusk","Sacrifice.at.Midnight","Sacrifice.at.Noon","Volkuur.s.Key","Yriel.s.Key","Chayula.s.Breachstone","Divine.Vessel","Esh.s.Breachstone","Splinter.of.Chayula","Splinter.of.Esh","Splinter.of.Tul","Splinter.of.Uul.Netol","Splinter.of.Xoph","Tul.s.Breachstone","Uul.Netol.s.Breachstone","Xoph.s.Breachstone","Chayula.s.Enriched.Breachstone","Chayula.s.Pure.Breachstone","Esh.s.Charged.Breachstone","Esh.s.Enriched.Breachstone","Esh.s.Pure.Breachstone","Tul.s.Charged.Breachstone","Tul.s.Enriched.Breachstone","Tul.s.Pure.Breachstone","Uul.Netol.s.Charged.Breachstone","Uul.Netol.s.Enriched.Breachstone","Uul.Netol.s.Pure.Breachstone","Xoph.s.Charged.Breachstone","Xoph.s.Enriched.Breachstone","Xoph.s.Pure.Breachstone","Chayula.s.Charged.Breachstone","Timeless.Eternal.Emblem","Timeless.Eternal.Empire.Splinter","Timeless.Karui.Splinter","Timeless.Maraketh.Emblem","Timeless.Maraketh.Splinter","Timeless.Templar.Emblem","Timeless.Templar.Splinter","Timeless.Vaal.Emblem","Timeless.Vaal.Splinter","Fragment.of.Constriction","Fragment.of.Emptiness","Fragment.of.Enslavement","Fragment.of.Eradication","Fragment.of.Knowledge","Fragment.of.Purification","Fragment.of.Shape","Fragment.of.Terror"
2016-10-03,"Standard","Fragment",2.6014,26.12308,42.14685,16.90909,35.95385,19.97343,2.35147,120.99301,18.95524,4.4372,0.67308,1,1.46154,0.99021,12.95175,9.87343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-04,"Standard","Fragment",2.08874,39.28013,41.00132,15.22053,32.9755,20.10993,2.22854,125.09404,18.76821,5,1,1,6.53907,1,16.03709,8.96291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-05,"Standard","Fragment",3.85704,39.75352,39.22887,15.18944,32.31127,21.86972,2.69148,102.99859,18.80563,4.53444,1,1,6.03486,1,18.11056,9.8007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-06,"Standard","Fragment",4.24685,37.85804,37.2028,15.6049,30,29.28042,2.27762,113.14685,18.79231,4.65594,0.75175,0.75175,5.28252,0.75175,24.37483,9.15315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-07,"Standard","Fragment",4.07203,33.19231,34.14126,15,31.87063,30.55524,2.74545,125.1049,21.24196,4.73706,0.7028,0.7028,6.31608,0.7028,25.20979,8.51678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-08,"Standard","Fragment",4.21818,30.52657,32.35105,15.25175,30,31.20909,2.03007,129.53846,24.8028,4,0.7451,0.78671,6,0.97552,21.83077,7.9951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-09,"Standard","Fragment",3.97958,33.5831,32.21056,17.47817,31.15563,29.59789,2.0162,120.01056,25.18803,4.63521,0.70387,1,5.65493,1,16.46761,7.62958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-10,"Standard","Fragment",3.44476,34.81818,34.24196,17.96993,35.7042,29.27832,2.50909,122.84965,25.47832,5,1,1,5,1.11189,15.5049,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-11,"Standard","Fragment",5,34.83077,33.86713,18.45315,34.90559,27.44056,3,105.31119,26.79301,4.98601,1,1,5,1.6993,19.0951,7.00699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-12,"Standard","Fragment",4.44755,36.20629,39.66154,17.93846,35.66643,25.2,2.4965,103.63741,21.12168,5,1,1,5,1,20,7.04615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-13,"Standard","Fragment",3.33287,38.45734,38.2049,19.51049,39.62657,25.28462,2,101.83916,30,5,1,1,5,1.07203,20,7.02238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-14,"Standard","Fragment",3.55455,37.27273,37.55524,18.91399,33.55874,25.2014,2,102.22448,29.65664,4.56643,1,1,5,1.6986,15.93287,7.11888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-15,"Standard","Fragment",3.9986,33.0021,34.54266,18.28881,32.89091,24.51608,2,102.10839,30.92797,3.22657,1,1,5,0.74476,16.57902,7.90909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-16,"Standard","Fragment",4.26573,30.04895,30.55245,16.96014,30.3986,24.65385,2.17133,97.15804,29.51049,3.06294,1,1,5,0.70839,18.54196,7.96643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-17,"Standard","Fragment",4.43846,29.26853,30.08811,19.53007,31.35524,23.65524,2.04056,98.88252,27.63147,4.90839,1,1,5,1,22.68392,8.54476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-18,"Standard","Fragment",3.98657,29,29.99441,19.73986,31.11538,23.85874,2.16434,97.18462,28.68392,3.4042,1,1,5,1.01294,23.76783,8.15455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-19,"Standard","Fragment",4,27.66294,29.38462,17.27762,29.97133,25.21259,2.3986,98.36154,25.53147,5.13846,1,1,4.78042,1.23392,16.66713,8.18252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-20,"Standard","Fragment",4,27.05764,26.91944,17.17847,28.09792,25.05,2.13264,95.28403,33.91458,5.18056,1,1,5,1.16968,18.08611,7.95417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-21,"Standard","Fragment",4,28.31329,26.47343,16.62797,27.81958,25.16364,2,99.45455,33.87413,4.18042,1,1,4.99371,1.41156,19.66154,7.58252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-22,"Standard","Fragment",4,28.46224,26.52028,17.27203,25.10629,25.12028,2.11958,96.51678,31.42238,5.48462,1,1,5,1.28196,16.83706,7.78601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-23,"Standard","Fragment",4,27.95524,27.1042,15.47273,25.07133,25.43287,2,93.47832,30.94056,4.35734,1,1,5,1,14.15874,7.37762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-24,"Standard","Fragment",4,29.18811,27.06713,16.55804,25.00839,24.75315,2,96.35245,29.92238,4.28811,1,1,5,1,15.82797,7.22657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-25,"Standard","Fragment",3.99658,28.31781,27.34041,16.4637,26.12808,23.89795,2,90.05137,29.37466,3.64658,1,1,4.99863,1,14.82123,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-26,"Standard","Fragment",4,28.29441,26.74755,15,25.85315,24.4028,2,94.15874,28.16783,5.95594,1,1,5,1,16.24406,7.99301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-27,"Standard","Fragment",4,28.78182,26.93287,15.18392,23.97413,24.87273,2.02727,93.48252,29.08042,5.91119,1,1,5,1,18,7.96713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-28,"Standard","Fragment",4,29.84476,25.26993,15.6979,24.88951,23.79301,2,92.2035,28.19441,5.67343,1,1,4.8986,1,19.3,7.94895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-29,"Standard","Fragment",3.84545,27.35594,24.86783,15.15944,24.97413,23.62657,2.48881,96.01748,20.13916,5.85524,1,1,4.91154,1,22.74336,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-30,"Standard","Fragment",3.10159,29.52778,24.97381,15.02698,24.65556,24.31429,2,95.71349,25.43968,5.62381,1,1,4.35238,1,21.18016,7.87143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-31,"Standard","Fragment",3.01176,33.3902,24.90098,15.60882,24.99118,23.66961,2,94.74608,27.94216,5.51765,1,1,5,1,20.63824,7.04706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,"Standard","Fragment",3.65962,38.90962,24.79615,16.61923,24.98558,24.7125,2,96.02019,29.13558,5.48558,1,1,5,1,22.60673,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-02,"Standard","Fragment",3.80495,36.86733,23.40099,16.74752,23.90099,27.53168,2,92.4495,28.68218,5,1,1,5,1,23.92574,6.99901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,"Standard","Fragment",3,33.76863,23.10961,15.9549,23.90882,25.50392,2,88.1049,28.55098,4.52549,1,1,4.92876,1,22.70686,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-04,"Standard","Fragment",3,33.73505,22.87711,16.81959,22.85361,22.24948,2,84.23402,29.4701,4.41753,1,1,4.77629,1,21.43711,6.90928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-05,"Standard","Fragment",2.57683,33.91829,20.76951,15.00366,22.41585,21.6439,2,84.21951,26.22439,3.73537,1,1,4.88211,1,21.17073,6.42561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-06,"Standard","Fragment",2.00133,33.77333,20.09333,14.62133,20.42533,24.77867,2,81.85867,28.37867,3.66,1,1,4.804,1,20.82667,7.04267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-07,"Standard","Fragment",2.40594,32.51782,20.71881,17.16832,20.00891,26.1198,2,80.81584,25.03366,3.38416,1,1,4.75644,1,21.89208,6.89109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-08,"Standard","Fragment",2.95566,31.76792,21.79811,17.69245,20,24.86226,2.24057,80.51132,27.10566,4.98491,1,1,4.01934,1,20.67642,6.76792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-09,"Standard","Fragment",2.71727,31.06818,21.66182,17.27636,20.60636,25.22455,1.99636,84.47818,27.78455,5.75364,1,1,4.01045,1,20.19455,7.27909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-10,"Standard","Fragment",3,30.63945,20.12018,16.95872,21.55321,23.0633,2,87.01468,26.74495,4.86055,1,1,4.08624,1,20,7.11651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-11,"Standard","Fragment",2.87684,31.64,21.06842,15.63579,20.39368,23.60421,1.99579,92.11895,26.49579,5,1,1,4,1.13263,20,6.99263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-12,"Standard","Fragment",2.05347,30.11188,21.78515,15,20,23.7505,1.39109,89.97822,24.51485,4.9802,1,1,4.5198,1,18.3099,7.1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-13,"Standard","Fragment",2.5381,30.14524,20.13571,14.97262,19.75952,21.25,1.22143,86.20714,25.22857,3.25476,1,1,4.28393,1,18.9631,6.59048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-14,"Standard","Fragment",2.80189,27.4434,19.93019,14.75849,19.06415,19.60189,2,89.22453,25.88679,4.88491,1,1,4,1,15.83396,6.67547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-15,"Standard","Fragment",3,24.89667,20,14,19.26667,20.53,2.36,90.005,27.27833,4.875,1,1,4.1575,1,16.965,6.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-16,"Standard","Fragment",3,23.38966,19.46724,13.42069,19.38448,20.5431,2.98621,86.92414,27.19138,4,1,1,4,1,16.66034,6.48103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-17,"Standard","Fragment",2.94211,24.72982,19.69474,13.51754,19.44386,21.12982,2.55088,83.39474,28.04035,3.99298,1,1,4,1,16.55614,6.72456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-18,"Standard","Fragment",2.49333,23.24667,18.85,13,19.61667,20.51833,2,87.115,27.57667,4.15167,1,1,4.23958,1,13.98333,6.47333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-19,"Standard","Fragment",2,22.745,19.72167,13.475,18.48,26.025,2.01333,84.48333,26.45833,4.785,1,1,4.16222,1,14.78167,5.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-20,"Standard","Fragment",2,24.40169,20,13.7,17.74237,25.22881,2.02542,84.5339,29.71864,4.98814,1,1,4.03475,1,18.62542,5.49237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-21,"Standard","Fragment",2.0038,25,20,14.35696,18.01139,25.76709,2.48481,83.24684,28.66709,4.70633,1,1,4.00127,1,19.43165,5.77025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-22,"Standard","Fragment",2.05082,24.87377,19.5,14.10656,17.77377,23.76066,2.78689,82.0082,28.62787,4.5459,1,1,4.01393,1,17.06721,5.80492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-23,"Standard","Fragment",2,23.74219,19.69375,13.61875,17.75625,21.56719,2.03281,84.18594,27.58281,4.92656,1,1,4.51797,1,19.33438,6.34297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-24,"Standard","Fragment",2,24.04561,20,14.37018,17.62807,23.63509,2,85.5386,28.4614,4.6193,1,1,4.92193,1,19.91228,7.55789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-25,"Standard","Fragment",2,23.69464,19.91964,15,17.43571,22.05714,2.33571,84.92321,28.80714,4.63393,1,1,4.90446,1,19.43393,6.96786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-26,"Standard","Fragment",2,23.67368,18.69123,14.18421,17,21.49825,2.01053,83.61754,29.83509,4.90175,1,1,4.85,1,19.35965,5.97895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-27,"Standard","Fragment",2,24.32857,19.06786,14.8125,16.87679,23.48036,2.00357,84.58393,28.32143,4.2375,1,1,5,1,17.91607,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-28,"Standard","Fragment",2,22.89655,19.68448,14.73966,16.89655,20.30345,2,90.97414,28.18448,5,1,1,5,1,16.14138,6.14138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-02,"Standard","Fragment",2,23.1,22.52069,13.49828,20,20,2,95.06379,24.76207,5,1,1,4.99845,1,19.38103,5.44483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-03,"Standard","Fragment",2,22.6625,21.6,12.96964,19.88214,22.27143,2,95.63214,25.20714,5,1,1,5,1,18.87321,5.97321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-04,"Standard","Fragment",2,23.57719,19.49825,13.15263,19.15789,19.95789,2,95.15614,25.35088,4.9386,1,1,5,1,12.17193,5.98947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-05,"Standard","Fragment",2,23.34464,19.95179,12.53929,19.41964,21.99643,2,91.42143,24.38929,4.60179,1,1,4.92107,1,21.18929,5.26429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-06,"Standard","Fragment",2,23.16271,19.62203,12,19.02034,24.81017,2,88.54068,25.3661,4.48814,1,1,4.15492,1,20.74237,5.52034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-07,"Standard","Fragment",2,21.4125,19.7875,12,19,26.12321,2,86.22857,25.48036,4.23214,1,1,4.63357,1,20.64286,4.84821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
