"Day","Date","League","Type","Atziri.s.Promise","Blood.of.the.Karui","Coralito.s.Signature","Coruscating.Elixir","Divination.Distillate","Doedre.s.Elixir","Dying.Sun","Forbidden.Taste","Kiara.s.Determination","Lavianga.s.Spirit","Lion.s.Roar","Rotgut","Rumi.s.Concoction","Sin.s.Rebirth","Taste.of.Hate","The.Overflowing.Chalice","The.Sorrow.of.the.Divine","The.Wise.Oak","The.Writhing.Jar","Vessel.of.Vinktar","Witchfire.Brew","Zerphi.s.Last.Breath","Cinderswallow.Urn","Soul.Catcher","Soul.Ripper","Bottled.Faith"
21,"2017-12-28","Abyss HC","UniqueFlask",1.79965,14.97842,0.23982,3.67298,1,0.23982,195.21018,0.23982,0.98035,19.14737,37.27737,0.23982,8.48018,40.05561,174.89386,0.24474,0.23982,6.03368,1,5,10.01386,NA,NA,NA,NA,NA
22,"2017-12-29","Abyss HC","UniqueFlask",1.83614,13.38895,0.24298,3.98667,0.99842,0.24,185.78368,0.24,0.93649,24.18614,37.08228,0.24579,8.86544,39.55632,181.33526,0.25246,0.26298,7.39,1,5,9.75298,NA,NA,NA,NA,NA
23,"2017-12-30","Abyss HC","UniqueFlask",1.89036,12.10446,0.24,3.88661,0.92125,0.24,177.52696,0.24,0.93714,27.02036,35.68018,0.24,9.15179,36.79321,185.41804,0.24,0.2925,7.16179,1,5,11.07089,NA,NA,NA,NA,NA
24,"2017-12-31","Abyss HC","UniqueFlask",1.99552,10.09052,0.24,3.58034,0.95707,0.24,157.79086,0.24,0.87017,21.75828,32.72759,0.24,7.98707,39.65448,184.23052,0.24,0.24,7.10517,1,5,11.97655,NA,NA,NA,NA,NA
25,"2018-01-01","Abyss HC","UniqueFlask",1.93786,10.59911,0.23946,3.99857,1,0.23946,157.06232,0.23946,0.94536,21.59911,33.04036,0.23946,7.3275,40,171.99286,0.24304,0.25071,8.81196,1,5,12.66107,NA,NA,NA,NA,NA
26,"2018-01-02","Abyss HC","UniqueFlask",1.78891,9.32545,0.238,4,1,0.238,157.22818,0.238,0.97145,22.55618,29.71527,0.238,6.89964,39.99636,164.98036,0.238,0.278,7.72709,1,5.03418,12.97727,NA,NA,NA,NA,NA
27,"2018-01-03","Abyss HC","UniqueFlask",1.86327,17.88182,0.23782,3.90909,1,0.23782,141.59964,0.23782,0.84509,21.15327,30.03945,0.23782,5.14091,38.35145,165.14673,0.23782,0.26036,7.10582,1,6.02782,12.96564,NA,NA,NA,NA,NA
28,"2018-01-04","Abyss HC","UniqueFlask",1.96589,24.73964,0.27929,3.6325,1,0.23071,146.80696,0.23071,1,29.21196,31.15125,0.23071,5.26036,36.09857,164.90196,0.23071,0.24964,7.85036,0.99304,7.79321,13.59536,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss HC","UniqueFlask",1.66764,14.74855,0.23582,3.756,1,0.23582,149.17764,0.23582,1,29.73345,29.65491,0.24691,5.84582,34.16309,165.16527,0.23655,0.23582,8.12509,1,6.19782,12.65345,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss HC","UniqueFlask",1.69764,16.92182,0.238,2.77855,1,0.238,145.17891,0.238,1,31.35618,29.60818,0.238,5.30255,37.47855,160.05036,0.238,0.238,8.85455,1,5.14327,10.684,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss HC","UniqueFlask",1.62167,19.37963,0.23796,2.04556,0.99944,0.20722,162.24759,0.23796,1,32.10519,30.23352,0.23796,5.50593,40.32852,165.16519,0.23796,0.23796,8.76259,1,5.8787,10.51611,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss HC","UniqueFlask",1.20685,19.37852,0.23259,2.85907,1,0.23241,174.6887,0.23259,1,33.31519,29.35667,0.23259,6.33315,41.66148,166.67111,0.23259,0.23259,8.37481,1,5.23352,10.03556,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss HC","UniqueFlask",1.38453,19.74547,0.23038,2.90151,1,0.23038,181.2117,0.2683,1,30.47434,28.61226,0.2366,5.94113,39.12547,166.5766,0.23038,0.23038,8.80755,1,4.8466,9.96226,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss HC","UniqueFlask",1.5813,18.45407,0.23,2.47315,1,0.23,171.18926,0.23,1,27.04352,26.74111,0.32611,5.98315,49.61241,169.51056,0.23,0.23278,8.2163,0.99537,4.00981,9.57815,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss HC","UniqueFlask",1.45,17.24218,0.23,2.05527,1,0.22018,176.75109,0.23145,0.98782,26.75782,25.10891,0.29473,5.69636,53.72691,177.03564,0.23,0.23,7.96255,1,4.06545,10.00873,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss HC","UniqueFlask",1.15942,16.84827,0.23,2.04462,1,0.23,177.32981,0.23,0.94423,48.28128,25.8075,0.28192,5.38481,58.00173,179.6575,0.23077,0.23,7.74654,1,3.97,10.90865,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss HC","UniqueFlask",1.52429,17.59673,0.23,2.49224,0.97061,0.23,179.39143,0.23,0.99612,90.49939,27.21204,0.29204,5.17714,55.87327,173.87694,0.34163,0.23,7.01755,1,4,11.31245,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss HC","UniqueFlask",1.38255,25.30686,0.23431,2,1,0.23431,177.63784,0.36176,0.98941,47.42176,28.52706,0.23431,5.01216,57.50608,173.91745,0.30255,0.26216,7.82569,1,4.88922,11.60392,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss HC","UniqueFlask",1.56021,20.35298,0.23915,1.98851,1,0.23915,170.30362,0.24106,0.97553,41.65489,29.19553,0.23915,5.03936,56.72085,175.85723,0.26851,0.34872,7.19426,1,4.88702,12.02681,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss HC","UniqueFlask",1.1149,32.72275,0.24157,1.90196,1,0.24098,170.29294,0.24157,1,40.77235,29.40431,0.24157,6.37745,52.45824,175.42706,0.24157,0.24157,7.18941,1,4.75706,11.09765,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss HC","UniqueFlask",1.51686,32.0351,0.2498,2,1,0.24961,176.11529,0.2498,1,39.31,28.65275,0.2498,5.47922,49.3202,174.90137,0.2498,0.2498,6.95745,1,4.34902,10.96196,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss HC","UniqueFlask",1.14233,27.94186,0.2514,2,1,0.2514,211.21814,0.2514,1,40.21674,28.00744,0.25884,6.65767,44.70977,173.16884,0.27651,0.2514,6.3807,1.02744,4.08814,11.24419,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss HC","UniqueFlask",1.06057,21.44698,0.25019,2,1,0.25019,217.72642,0.25019,1,40,28.32226,0.25453,6.99132,42.29472,174.85264,0.26698,0.25019,5.92547,1,4.82849,11.53906,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss HC","UniqueFlask",1.30308,19.58827,0.25462,2,0.99962,0.25,218.30596,0.25,1,40,28.39981,0.26981,5.97462,44.91519,173.50769,0.25019,0.25,6.18269,1.02288,5.95019,10.45096,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss HC","UniqueFlask",1.17096,19.84038,0.36846,1.99115,1,0.24827,201.00423,0.24962,1,25.19596,28.93212,0.34135,5.69673,47.03558,194.10846,0.24827,0.24827,6.11865,1.5075,5.24019,10.39173,NA,NA,NA,NA,NA
46,"2018-01-22","Abyss HC","UniqueFlask",1.5902,19.43078,0.34118,2,1,0.25,197.69843,0.25,1,17.54882,28.35882,0.31098,6.65922,53.40686,196.76314,0.25,0.25,5.9251,1.38059,5.82804,10.79627,NA,NA,NA,NA,NA
47,"2018-01-23","Abyss HC","UniqueFlask",1.79038,18.78692,0.28788,2,1,0.25,199.99308,0.25,1,19.06538,29.5225,0.25,5.84115,52.64942,204.29615,0.25,0.25,6.28808,1.39154,5.76288,10.82327,NA,NA,NA,NA,NA
48,"2018-01-24","Abyss HC","UniqueFlask",1.22538,17.42,0.32885,2,1,0.24462,205.05942,0.24462,1,22.83462,28.31442,0.24462,5.2,47.00769,207.83635,0.24462,0.24462,6.50808,1.50788,8.30423,10.2525,NA,NA,NA,NA,NA
49,"2018-01-25","Abyss HC","UniqueFlask",1.10135,14.97923,0.34846,2,1,0.24173,216.7825,0.24173,1,20.99462,26.57577,0.24173,5.00173,48.77115,199.77673,0.24173,0.24173,6.70635,1.04115,14.19846,10.90173,NA,NA,NA,NA,NA
50,"2018-01-26","Abyss HC","UniqueFlask",1.01212,14.11442,0.41808,2,1,0.2425,216.595,0.2425,1,21.26192,23.86846,0.2425,5.00404,52.16,200.60865,0.2425,0.27519,6.39712,1.00192,15.41692,11.6025,NA,NA,NA,NA,NA
51,"2018-01-27","Abyss HC","UniqueFlask",1.05327,18.42635,0.45308,2,1,0.24308,215.02212,0.28731,1,23.97019,22.35288,0.24308,5.11885,52.24519,199.67942,0.24308,0.26058,5.97442,1.10308,15.13154,12.02,NA,NA,NA,NA,NA
52,"2018-01-28","Abyss HC","UniqueFlask",1.03038,20.51077,0.43269,2,1,0.24154,202.30885,0.28346,1,34.54346,21.49596,0.26096,4.94942,55.44481,192.66404,0.30269,0.24154,5.32385,1.45346,14.99942,12.02654,NA,NA,NA,NA,NA
53,"2018-01-29","Abyss HC","UniqueFlask",1.26288,24.22731,0.56404,2,1,0.23808,200.29481,0.23808,1,34.635,21.06096,0.37558,5.00346,59.81404,194.15635,0.27173,0.23808,5.33885,1.62423,14.88346,12.19115,NA,NA,NA,NA,NA
54,"2018-01-30","Abyss HC","UniqueFlask",1.80885,24.29731,0.55788,1.995,1,0.22692,200.15962,0.22692,1,34.63519,20,0.28269,5,58.78538,197.40462,0.22692,0.22692,5.29558,1.55404,14.36192,12.25173,NA,NA,NA,NA,NA
55,"2018-01-31","Abyss HC","UniqueFlask",1.66604,24,0.7817,2,1,0.22321,200,0.22321,1,34.41604,21.71302,0.22321,5,55.18057,182.54623,0.22755,0.23623,5,1.47604,11.84604,11.28887,NA,NA,NA,NA,NA
56,"2018-02-01","Abyss HC","UniqueFlask",1.65712,24.64192,0.4,2,1,0.22596,202.13231,0.22596,1,32.63885,22.15154,0.22596,5,55.23173,176.66981,0.35192,0.23327,5,1,7.02827,11.50904,NA,NA,NA,NA,NA
57,"2018-02-02","Abyss HC","UniqueFlask",1.36231,24.75731,0.40404,2,1,0.21692,222.10288,0.21692,1,30.49077,21.83423,0.21692,5.45038,55.9725,196.47942,0.40596,0.21692,4.95154,1,7.22981,13.11308,NA,NA,NA,NA,NA
58,"2018-02-03","Abyss HC","UniqueFlask",1.02558,24.74654,0.40865,2,1,0.21115,227.63019,0.21115,1,30.22077,22.33173,0.21115,5.87885,56.53596,170.36423,0.41173,0.21115,4.64327,1,12.35712,13.6475,NA,NA,NA,NA,NA
59,"2018-02-04","Abyss HC","UniqueFlask",1.00135,24.83808,0.42327,2,1,0.21519,251.50192,0.35442,1.01212,31.36808,20.35981,0.21519,6.69788,57.80154,170.72096,0.35769,0.21519,5.54885,1,11.57538,13.58173,NA,NA,NA,NA,NA
60,"2018-02-05","Abyss HC","UniqueFlask",1.01096,27.97038,0.44058,2,1,0.2125,264.04212,0.40615,1.10538,30,20,0.2125,9.90115,57.64923,178.30115,0.34538,0.23923,5.57077,1,9.54538,14.1875,NA,NA,NA,NA,NA
61,"2018-02-06","Abyss HC","UniqueFlask",1.00208,30.96264,0.50283,1.99642,1,0.21453,266.55962,0.40415,1.06585,30.40679,19.98321,0.21453,9.85528,55.52679,186.30189,0.38528,0.24547,5.56264,1,8.93509,13.30189,NA,NA,NA,NA,NA
62,"2018-02-07","Abyss HC","UniqueFlask",0.99077,23.86,0.43885,1.86365,1,0.20462,270.44692,0.26173,1.31769,27.56673,20.53538,0.20462,9.08019,58.34731,186.38173,0.37096,0.32712,6,1,9.28192,12.56827,NA,NA,NA,NA,NA
63,"2018-02-08","Abyss HC","UniqueFlask",1.19596,31.20885,0.42577,1.31308,1,0.20827,302.79096,0.29212,1.57231,26.49288,20.08712,0.20827,8.67481,62.04365,214.97481,0.20827,0.35135,6.10346,1,9.25135,14.30385,NA,NA,NA,NA,NA
64,"2018-02-09","Abyss HC","UniqueFlask",1.93792,44.8617,0.58698,1.17792,1,0.20698,320.90755,0.27038,1.74528,37.99208,20.30208,0.20698,8.71623,65.47377,218.09453,0.20698,0.20698,6.46132,1,9.0166,13.98132,NA,NA,NA,NA,NA
65,"2018-02-10","Abyss HC","UniqueFlask",1.18635,44.57558,0.92712,1.80019,1,0.20442,323.29308,0.40058,2,39.2,20.03654,0.20442,9.9425,60.24404,201.375,0.20442,0.20519,6.04058,1,9.56942,15.88288,NA,NA,NA,NA,NA
66,"2018-02-11","Abyss HC","UniqueFlask",1.58647,46.09941,0.98863,2,1,0.21,310.41824,0.42843,1.51725,38.05137,20,0.21,9.64882,59.99843,192.12314,0.21,0.21,5.49118,1,9.03471,15.44569,NA,NA,NA,NA,NA
67,"2018-02-12","Abyss HC","UniqueFlask",1.14547,42.51358,0.92434,2,1,0.21,302.35358,0.42113,1.35283,36.58,20.43679,0.21,10.00849,59.86,180.18113,0.21,0.21,5.96868,1,12.89264,15.03943,NA,NA,NA,NA,NA
68,"2018-02-13","Abyss HC","UniqueFlask",1.28019,42.55264,0.4966,2,1,0.21,301.96377,0.44491,1.97943,36.58,24.60245,0.21,9.41132,60.41358,187.22057,0.21,0.21,5.81321,1,11.07245,15.49792,NA,NA,NA,NA,NA
69,"2018-02-14","Abyss HC","UniqueFlask",1.38075,38.51453,0.46981,2,1,0.20623,292.32566,0.40113,1.84962,36.44981,23.67358,0.20623,9.77906,65.45245,181.23415,0.20623,0.20623,6.22075,1,10.24245,14.51038,NA,NA,NA,NA,NA
70,"2018-02-15","Abyss HC","UniqueFlask",1.7617,35.2617,0.73698,2,1,0.2,271.6817,0.42415,1.83566,36.53113,23.22208,0.21264,9.95283,57.02189,200.13717,0.2,0.2,5.51849,1,9.56,15.00113,NA,NA,NA,NA,NA
71,"2018-02-16","Abyss HC","UniqueFlask",1.97774,34.09321,0.59377,2,1.00774,0.20019,267.85472,0.32264,1.93943,36.38698,24.35453,0.43887,10.26264,62.87113,196.56151,0.20019,0.20019,5.08774,1,15.02113,15.10604,NA,NA,NA,NA,NA
72,"2018-02-17","Abyss HC","UniqueFlask",1.57585,33.32453,0.97887,2.09811,1.03396,0.2,258.11038,0.27566,1.57434,32.88208,24.49887,0.57792,10.06208,96.83094,179.83,0.2,0.20453,5.9283,1,15.59,15.99377,NA,NA,NA,NA,NA
73,"2018-02-18","Abyss HC","UniqueFlask",1.0266,32.39057,0.97755,2.41,1.00264,0.19491,262.03,0.19491,1,30.43943,25.17453,0.52302,10.05434,109.52623,198.74679,0.19491,0.25981,6,1,19.25113,16.02038,NA,NA,NA,NA,NA
74,"2018-02-19","Abyss HC","UniqueFlask",1,32.1,0.95736,2,0.99925,0.18377,267.54811,0.1883,1.10415,32.89962,24.83434,0.55132,10.60792,101.14906,200.15264,0.18377,0.38396,6.04642,1,20,14.80189,NA,NA,NA,NA,NA
75,"2018-02-20","Abyss HC","UniqueFlask",1,36.39547,0.95132,2,1,0.18038,270.03491,0.19075,1.15,36.7,23.99358,0.54113,11.04245,36.83547,200.46642,0.18038,0.37113,6.12849,1,20,13.29698,NA,NA,NA,NA,NA
76,"2018-02-21","Abyss HC","UniqueFlask",1,38.18717,0.98472,2,0.99698,0.1834,269.6666,0.31811,1.15962,39.00943,24.76698,0.55019,11.52226,108.22075,195.15075,0.1834,0.3617,6.78226,1.24453,20,12.88623,NA,NA,NA,NA,NA
77,"2018-02-22","Abyss HC","UniqueFlask",0.99396,36.65,0.99,2,0.98547,0.18,269.75415,0.34717,1.23226,52,25.05566,0.53302,12.37434,112.27736,191.51321,0.18755,0.34491,7.14321,1.45434,58.92075,14.15189,NA,NA,NA,NA,NA
78,"2018-02-23","Abyss HC","UniqueFlask",1.4117,36.65,0.98868,2,0.97566,0.18,280.10774,0.54094,1.15981,52,23.95057,0.49679,11.91472,115.83962,191.11736,0.87698,0.30057,8.31208,1,12,15,NA,NA,NA,NA,NA
79,"2018-02-24","Abyss HC","UniqueFlask",1.03642,37.81509,0.99057,2,0.99019,0.18,281.8,0.67547,1.3283,0,26.0266,0.54302,14.86189,262.1875,221.36396,0.96943,0.24566,8.75774,1,12,14.9517,NA,NA,NA,NA,NA
80,"2018-02-25","Abyss HC","UniqueFlask",1.37849,49,0.97377,2,1,0.17566,294.66755,0.48623,3.07453,0,23.79736,0.58283,15,224.43509,279.99925,0.93472,0.3683,9.20302,2.1266,14.17943,14.58509,NA,NA,NA,NA,NA
81,"2018-02-26","Abyss HC","UniqueFlask",1.56021,49,0.81188,2.01125,1.09563,0.25125,309.42646,0.36854,5.92563,0,27.02396,0.75813,13.83375,216.18,283.59042,0.90146,0.43083,9.34625,2.48583,17.23532,14.94146,NA,NA,NA,NA,NA
1,"2018-05-04","Bestiary Flashback HC","UniqueFlask",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA
2,"2018-05-05","Bestiary Flashback HC","UniqueFlask",10,25,1,0,2.16,0.28612,0,1,2.00875,35,5,0.45325,7,60,0,1,0.99618,3,1.95667,0,23.128,2,NA,NA,NA,NA
3,"2018-05-06","Bestiary Flashback HC","UniqueFlask",10,4,1,0,1,0.14,0,1,1.47,24.55857,8.27381,0.15,8.27,59.39,120,0.63837,0.81122,2,2,15,10.2025,1,NA,NA,NA,NA
4,"2018-05-07","Bestiary Flashback HC","UniqueFlask",12,4,1,16.18,1,0.2102,0,1,1.08,8.675,8,0.2901,6.32,48.46429,107.37167,0.46041,0.23,2,2,15,8,1,NA,NA,NA,NA
5,"2018-05-08","Bestiary Flashback HC","UniqueFlask",14.35333,2.79412,1,15,1,0.15,0,1,1,10.20643,7,0.32,8.97211,35.68,100,0.72,0.16,2.32082,1.43,15,5,1,NA,NA,NA,NA
6,"2018-05-09","Bestiary Flashback HC","UniqueFlask",14,2.36,1,15,1,0.15,400,0.97,1,11.45353,6,0.15,10,27.74,130.033,0.7851,0.15,2.6251,1.69636,10,4.29571,1,NA,NA,NA,NA
7,"2018-05-10","Bestiary Flashback HC","UniqueFlask",11.12,2.53,1,9.14,1,0.14,350,1,1,12,5.80408,0.14,10,30.6,129.725,0.3,0.35,3,1,20,4.96082,1,NA,NA,NA,NA
8,"2018-05-11","Bestiary Flashback HC","UniqueFlask",12.52,3,1,8.35,1,0.16,299,0.73,1,11.34737,5.88061,0.16,8,29.41,119.21444,0.17,0.22041,3,1,20,4,1,NA,NA,NA,NA
9,"2018-05-12","Bestiary Flashback HC","UniqueFlask",15,4,0.97,6.27077,1,0.15,0,0.61,1,10,6,0.59,5.83653,29,113.84,0.36,0.2,2.49531,1,20,3,2,NA,NA,NA,NA
10,"2018-05-13","Bestiary Flashback HC","UniqueFlask",10,4,0.79031,6,1,0.15,0,1,1,10,6,0.33,6,27.1,119.65833,0.4601,0.3,2.70051,1,20,3,2,NA,NA,NA,NA
11,"2018-05-14","Bestiary Flashback HC","UniqueFlask",10,6.15,1,5.99,1,0.15,0,0.88,1,10.11,5,0.3,5,27.24,119.745,0.3,0.4401,2,1,20,3,2.73276,NA,NA,NA,NA
12,"2018-05-15","Bestiary Flashback HC","UniqueFlask",10,7.15,0.91,6.79,1,0.14,0,0.86,1,11.03,6,0.2801,5,26.842,125.77,0.43,0.93041,2,0.88,15.99,3,4.00163,NA,NA,NA,NA
13,"2018-05-16","Bestiary Flashback HC","UniqueFlask",10,6,0.91,4.74,1,0.14,0,0.83531,1,11.09,6,0.34,5,35.73,125.78,0.39,0.7602,2.37,0.87932,15.99,2.94041,5,NA,NA,NA,NA
14,"2018-05-17","Bestiary Flashback HC","UniqueFlask",10,5.28,0.92,4.75,1,0.14,0,0.9,0.76,9.3275,6,0.3751,5,33.35,126.69,0.15,0.84,2.16,1,6.64,2,4.94,NA,NA,NA,NA
15,"2018-05-18","Bestiary Flashback HC","UniqueFlask",11.41265,5.36667,0.86,3.63,1,0.14,0,0.8,0.73133,7.85185,5,0.14,5,30,125,0.14,0.43,3,1,6.67,2,2.54469,NA,NA,NA,NA
16,"2018-05-19","Bestiary Flashback HC","UniqueFlask",10.49653,6.54783,0.86,5,1,0.14,0,0.58,0.65269,5,5.9251,0.2602,5,30,125,0.14,0.43,6,1,5.44,2,4.31,NA,NA,NA,NA
17,"2018-05-20","Bestiary Flashback HC","UniqueFlask",10,6,0.88,5,1,0.14,796.2,1,0.88,10,6,0.3301,5,44.98,107.59528,0.31,0.44,6.11,1,5.56,2,6.6802,NA,NA,NA,NA
18,"2018-05-21","Bestiary Flashback HC","UniqueFlask",10,7.87,0.85116,5.1,1,0.28,790.3,0.82,0.85625,10,5,0.36,5,44.98,112.28,0.48,0.4,8.56133,1.34,13.28,3,4.61041,NA,NA,NA,NA
19,"2018-05-22","Bestiary Flashback HC","UniqueFlask",10,6,0.82,5.22,1,0.2,323.36,0.56571,0.93,10,4.89714,0.3151,5,34.92,111.34,0.28,0.3951,9,1.84,12.34,3,4.19,NA,NA,NA,NA
20,"2018-05-23","Bestiary Flashback HC","UniqueFlask",11,8.12,0.72,5.31,1,0.27,0,0.89031,0.98,10,4,0.34,5,55.38,110,0.42407,0.36,10,1,12.34,3,5,NA,NA,NA,NA
21,"2018-05-24","Bestiary Flashback HC","UniqueFlask",10.53,7.43,0.75,5.43,1,0.44,0,0.97,1,9.9725,4.34,0.4,4,73.37,79.94,0.82,0.41,9.37,1,12.34,3,5,NA,NA,NA,NA
22,"2018-05-25","Bestiary Flashback HC","UniqueFlask",10,7.04,0.78,5.84833,1,0.43,0,1,0.98,9.6,4,0.33,3.79,89.59,81.26786,0.66,0.41,7,1,61.43,3,7,NA,NA,NA,NA
23,"2018-05-26","Bestiary Flashback HC","UniqueFlask",10.07,6.23,0.78466,5.86,1,0.43,0,1,0.97,11.7,4,0.41,3.77,89.59,85.2,0.42,0.42,6.63,1.07,61.43,3,7.08267,NA,NA,NA,NA
