"Day","Date","League","Type","A.Mother.s.Parting.Gift","Abandoned.Wealth","Anarchy.s.Price","Assassin.s.Favour","Atziri.s.Arsenal","Audacity","Birth.of.the.Three","Blind.Venture","Boundless.Realms","Bowyer.s.Dream","Call.to.the.First.Ones","Cartographer.s.Delight","Chaotic.Disposition","Coveted.Possession","Death","Destined.to.Crumble","Dialla.s.Subjugation","Doedre.s.Madness","Dying.Anguish","Earth.Drinker","Emperor.s.Luck","Emperor.of.Purity","Gemcutter.s.Promise","Gift.of.the.Gemling.Queen","Glimmer.of.Hope","Grave.Knowledge","Her.Mask","Heterochromia","Hope","House.of.Mirrors","Hubris","Humility","Hunter.s.Resolve","Hunter.s.Reward","Jack.in.the.Box","Lantador.s.Lost.Love","Last.Hope","Left.to.Fate","Light.and.Truth","Lingering.Remnants","Lost.Worlds","Loyalty","Lucky.Connections","Lucky.Deck","Lysah.s.Respite","Mawr.Blaidd","Merciless.Armament","Might.is.Right","Mitts","No.Traces","Pride.Before.the.Fall","Prosperity","Rain.of.Chaos","Rain.Tempter","Rats","Rebirth","Scholar.of.the.Seas","Shard.of.Fate","Struck.by.Lightning","The.Aesthete","The.Arena.Champion","The.Artist","The.Avenger","The.Battle.Born","The.Betrayal","The.Blazing.Fire","The.Body","The.Brittle.Emperor","The.Calling","The.Carrion.Crow","The.Cartographer","The.Cataclysm","The.Catalyst","The.Celestial.Justicar","The.Chains.that.Bind","The.Coming.Storm","The.Conduit","The.Cursed.King","The.Dapper.Prodigy","The.Dark.Mage","The.Demoness","The.Doctor","The.Doppelganger","The.Dragon","The.Dragon.s.Heart","The.Drunken.Aristocrat","The.Encroaching.Darkness","The.Endurance","The.Enlightened","The.Ethereal","The.Explorer","The.Eye.of.the.Dragon","The.Feast","The.Fiend","The.Fletcher","The.Flora.s.Gift","The.Formless.Sea","The.Forsaken","The.Fox","The.Gambler","The.Garish.Power","The.Gemcutter","The.Gentleman","The.Gladiator","The.Harvester","The.Hermit","The.Hoarder","The.Hunger","The.Immortal","The.Incantation","The.Inoculated","The.Inventor","The.Jester","The.King.s.Blade","The.King.s.Heart","The.Last.One.Standing","The.Lich","The.Lion","The.Lord.in.Black","The.Lover","The.Lunaris.Priestess","The.Mercenary","The.Metalsmith.s.Gift","The.Oath","The.Offering","The.One.With.All","The.Opulent","The.Pack.Leader","The.Pact","The.Penitent","The.Poet","The.Polymath","The.Porcupine","The.Queen","The.Rabid.Rhoa","The.Realm","The.Risk","The.Road.to.Power","The.Ruthless.Ceinture","The.Saint.s.Treasure","The.Scarred.Meadow","The.Scavenger","The.Scholar","The.Sephirot","The.Sigil","The.Siren","The.Soul","The.Spark.and.the.Flame","The.Spoiled.Prince","The.Standoff","The.Stormcaller","The.Summoner","The.Sun","The.Surgeon","The.Surveyor","The.Survivalist","The.Thaumaturgist","The.Throne","The.Tower","The.Traitor","The.Trial","The.Twins","The.Tyrant","The.Union","The.Valkyrie","The.Valley.of.Steel.Boxes","The.Vast","The.Visionary","The.Void","The.Warden","The.Warlord","The.Watcher","The.Web","The.Wind","The.Wolf","The.Wolf.s.Shadow","The.Wolven.King.s.Bite","The.Wolverine","The.Wrath","The.Wretched","Three.Faces.in.the.Dark","Thunderous.Skies","Time.Lost.Relic","Tranquillity","Treasure.Hunter","Turn.the.Other.Cheek","Vinia.s.Token","Volatile.Power","Wealth.and.Power","Blessing.of.God","Forbidden.Power","The.Breach","The.Deceiver","The.Dreamer","The.Insatiable","The.Iron.Bard","The.Obscured","The.Puzzle","The.World.Eater","A.Dab.of.Ink","Beauty.Through.Death","Boon.of.the.First.Ones","Harmony.of.Souls","Immortal.Resolve","Perfection","The.Admirer","The.Army.of.Blood","The.Beast","The.Cacophony","The.Celestial.Stone","The.Darkest.Dream","The.Dreamland","The.Endless.Darkness","The.Fathomless.Depths","The.Hale.Heart","The.Innocent","The.Jeweller.s.Boon","The.Master","The.Master.Artisan","The.Mayor","The.Nurse","The.Price.of.Protection","The.Professor","The.Rite.of.Elements","The.Sacrifice","The.Samurai.s.Eye","The.Sword.King.s.Salute","The.Twilight.Moon","The.Undaunted","The.Undisputed","The.Wilted.Rose","The.Witch","Three.Voices","Akil.s.Prophecy","Alluring.Bounty","Alone.in.the.Darkness","Arrogance.of.the.Vaal","Azyran.s.Reward","Boon.of.Justice","Buried.Treasure","Burning.Blood","Dark.Dreams","Dark.Temptation","Demigod.s.Wager","Echoes.of.Love","Imperial.Legacy","Monochrome","More.is.Never.Enough","Nook.s.Crown","Pride.of.the.First.Ones","Remembrance","Sambodhi.s.Vow","Seven.Years.Bad.Luck","The.Archmage.s.Right.Hand","The.Bargain","The.Damned","The.Deal","The.Deep.Ones","The.Demon","The.Eye.of.Terror","The.Fool","The.Golden.Era","The.Heroic.Shot","The.Journey","The.Landing","The.Life.Thief","The.Lord.of.Celebration","The.Mad.King","The.Messenger","The.Mountain","The.Old.Man","The.Price.of.Loyalty","The.Primordial","The.Seeker","The.Side.Quest","The.Skeleton","The.Wolf.s.Legacy","Thirst.for.Knowledge","Vanity","Vile.Power","Void.of.the.Elements","Baited.Expectations","Cameria.s.Cut","Deathly.Designs","Divine.Justice","Etched.in.Blood","Friendship","Squandered.Prosperity","Succor.of.the.Sinless","The.Bones","The.Chosen","The.Craving","The.Escape","The.Fishmonger","Underground.Forest"
56,"2018-04-26","Bestiary HC","DivinationCard",0.282,34.234,0.44489,0.32733,0.98711,1,0.59444,0.97289,0.67333,2.40978,0.90689,0.32556,0,0.95044,0.99822,0.46689,0.80089,0.282,0.282,1,0.74733,1.99533,0.72578,1,1,0.92422,0.30844,5.74,0.914,0,0.42222,1.23511,0.44489,50.676,0.998,0.282,2.51667,1.426,0.96911,1,1,0.59444,1,2,1,65.79378,0.79178,0.46089,0.44133,1,33.94622,0.73,0.28444,0.73044,1,1.92889,1,0.88467,0.54533,1,1.23,11.05333,1.02,0.59556,0.31578,0.84756,1,15,0.98733,0.282,4.1,1,0.31511,7.95978,1,0.62578,1,2,3.032,1.01778,23.04667,409.70556,0.85956,0.91556,16.45333,1,1,0.99756,9.94089,5,1,1,0.84667,197.38133,1.03778,0.83489,15,1,1,0.43089,0.68422,0.282,1,0.41444,2.01689,0.902,4.59489,14.58422,210.41467,1,0.96356,1,4,0.282,27.71022,24.50933,0.282,1,1,1,0.42689,0.88978,0.282,1,20.76644,1,1,1,7.60022,1,1,17.086,1.22422,12.28289,1,0.99467,2.816,1.47333,0.96,11.82333,0.88622,0.564,0.58111,8.566,1,1,2.84511,63.31289,1,0.958,2,0.65444,1,0.48044,0.96378,0.91733,6.454,3,0.914,0.40778,1,1,5,1,4,2.15022,6.95711,1,4.93,0.282,2,1,1,34.24911,7.694,0.88978,31.048,0.60756,1,1,0.44489,0.282,1,1,0.90533,0.322,0.74511,0.282,30.36711,0,1,1.95044,1,5.79489,2,52.42467,2,0.97578,51.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2018-04-27","Bestiary HC","DivinationCard",0.28,34.99867,0.442,0.35356,0.91622,1,0.54244,0.88422,0.782,2.23111,0.66667,0.348,0,0.95156,0.972,0.47911,0.80911,0.28,0.31356,1,0.87733,1.97511,0.77511,1,1,0.93467,0.28,5.704,0.80156,0,0.47578,1.30822,0.43733,60,1,0.33178,2.04444,1.39689,0.97822,1,1,0.48533,0.93156,2,1,65.26578,4.12,0.48178,0.45667,1,31.06933,0.71022,0.41889,0.70222,1,1.72911,1,0.89533,0.45289,1,1.238,10.34622,1.01156,0.54067,0.408,0.76978,0.99667,15,0.99067,0.28,4.06444,1,0.37667,7.07089,1.01333,0.79644,1,2,3.102,1.14267,25.52044,416.65289,1,0.85044,15.95333,1,0.99533,0.95089,9.87644,5,1,1,0.83022,195.79733,1,0.50222,15,1,1,0.45289,0.66289,0.28578,1,0.44289,51.328,0.90133,4.98956,13.49511,522.12622,0.95644,1,1,3.45622,0.28,27.94089,24.28867,0.28133,1,1,1,0.43489,0.90578,0.28,1,20.44156,0.93578,1,1,8.34333,1,1,17.75933,1,12.25556,1,1,3.68333,3,0.88022,10.15133,0.88533,0.56422,0.88422,7.78822,1,1.00889,2.69444,62.78067,1,0.99733,2,0.87956,1,0.77267,0.97022,0.826,6.51711,3,0.91089,0.42978,1,1,5,1,4.00089,2.152,5.85244,1,4.64756,0.35,2.08533,1,1,33.49422,7.66,0.90578,34.058,0.5,1,1,0.44756,0.28,1,1,0.99578,0.40356,0.99889,0.28,30,0,1,2.84111,0.98133,5.17756,2,60.46444,2,0.99378,53.16356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2018-04-28","Bestiary HC","DivinationCard",0.28,35,0.44,0.45,1,1,0.54,0.91,0.8,2.2,0.74,0.39,0,1,0.93167,0.49,0.77,0.28,0.47,1,0.72,2,1,1,1,0.95,0.28,5,0.79,0,0.54,1.1001,0.46,60,1,0.42,2,1.68,0.98,1,1.07313,0.46,0.94,2,1,64.775,4.12,0.52214,0.5,1,29.7,0.72,0.46,0.76,1,2,1,0.94,0.46,1,1.35,8.29,1.0675,0.65,0.46,0.78,1,15,1,0.28,4,1,0.35,6.47,1,0.84,1,2,3,1.15,7.38,421.56208,1,0.88,15.1,1,1,0.98,10,5,1,1,0.53,193.05692,1.01,0.4,15,1,1,0.46,0.73,0.43346,0.95978,0.44,64.775,1,5,12.20188,518.2,0.82,1,1,3.42,0.28,28,24.77,0.28,1,1,1,0.83,0.92,0.28,0.98,20,0.94385,1,1,3.11,1,1,18,1,12,1,1,2.88973,0,0.93,10.96,0.46,0.79,0.87,7.8475,1,1,2.5,52.31125,1,1,2,1,1,0.81,0.97,1,7.39,3,0.93,0.46,1,1,5,1,4,2,6.11,1,5,0.45,3,1,1,32,7.66,0.92,33.59227,0.55,1,1,0.39,0.36,1,1,1,0.53,1,0.28,30.59,0,1,3,1,6.39,15,64.77091,2,0.98,49.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2018-04-29","Bestiary HC","DivinationCard",0.34,35,0.46,0.45,0.99944,1,0.47,0.83,0.64,2.2,0.74727,0.77,0,1,0.94,0.39,1,0.27,0.28,0.98,0.992,2,0.93,0.93,1,1,0.27,5,0.94,0,0.51,1.5,0.48,60,1,0.27,1.99,1.71,0.97,1,1.08,0.28,0.95,2,0.95,64.99,4.12,0.83,0.54,1.99,32,0.71,0.46,0.47,0.91,2,1,1,0.29,1,1.46,8,1,0.98,0.28,0.54,1,15,1,0.27,4,0.53,0.35,6,1.19,0.28,1,2.18643,3.04917,1.17,7.4,451.91,1,0.6,10.59,1,0.84,1,9.39,5,1,1,0.41,194.772,1.09,0.28,15,1,1,0.9471,0.94,0.36,1,0.45,64.99,0.47,5,11.81583,519.44,0.28,1,1,3.42,0.27,28,25,0.27,1,1,0.94,0.84,1,0.27,0.99,18,1,1,0.83,1.86,1,1,17.49,1.49536,14.36,1,1,3.66,0,0.95,10.45,0.47,0.92,0.77,6.45,1,1,3,27.849,1.47,1,2,0.8,1,1,1,1,7.04,3,1,0.46,1,1,5,1,4,2,6.11,1,4.3,0.42,3,1,0.99,32,7.58,0.96,40.88,0.46,1,1,0.37,0.27,1,0.95,1,0.99,1,0.27,26.78,3,1,3,1,6.10875,5,64.99,2,0.98,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2018-04-30","Bestiary HC","DivinationCard",0.33,34.01,0.44,0.41,0.99,1,0.5,1,7.49,2.3,0.94,1,0,1,1,0.37,1,0.28139,0.28,0.97,1,2.3,0.78,0.89,0,1,0.28,5.45,0.92,0,0.34,1.5,1,60,0.99,0.2825,2,1.55,0.97,1,2,0.28438,0.92,2.15,0.94,66,4.55,1,0.6,2,33,1.02,0.45,0.68,1,1,1,1,0.41,1,2,7.29,1.2,0.7,0.283,0.58,1,15,1,0.28295,4.1,0.5,0.33,6.57,1.46,0.66,1,2.62,3,1.34,7.49,462,1,0.56,10.59,1,0.81,1,9.26,4.57,1,1,0.39,197.76188,1.1,0.28125,15,1,1,1,0.9725,0.4772,0.64,0.46,66,0.29417,5,10,0,0.71,1,1,3.33,0.28278,28.6402,25,0.28,1,1,0.95,1,1,0.285,0.98,17.18,1,1,0.83,5.99,1,1,17.23,1.75,14.36,1,1,3.13,3,0.9,10.87289,0.76,0.88,1.29,5.83,1,1,3,25.6,5,1,2,0.63,1,1,1.31,1,7.04,3,1,0.9,1,1,5,1,4,2,5.94,1,5,0.45,2.1,1,0.98,33.07,7.58,1,42,0.45,1.01,1,0.33,0.28,1.2,0.93,1,1,1,0.34,26.78,2.37,1,3,1,5.48,3.64,66,2,0.97,55.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2018-05-01","Bestiary HC","DivinationCard",0.54,34.32,0.45,0.46,0.99,1,0.46,0.84,0.6075,2,0.72,0.36,0,1,0.87,0.32,1,0.27,0.28958,0.95,1,2.43,1,1,0,0.87,0.27,5.45,1,0,0.49,1,0.83,60,1,0.27,2,3,0.99,1,2,0.27818,0.99,2.15,1,25,4.55,0.78,0.54,2,32,0.82,0.31,0.79,0.91,1,1,1,0.43,1,2,7.29,1.45,0.39,0.27,0.52,1,14.70531,0.5,0.27,4,0.51,0.27,6.44,1.00255,0.27,1,3,3,1.63,1.64,456.73412,1,0.54,10.67,1,0.92,0.5,9.29,4,1,1,0.42,136.94429,1.7775,0.27,15.88,1,1,0.53,0.886,0.51796,0.59,0.49,66.5,0.31,5,12,0,0.27,1,1,4,0.27,27,25,0.27,1,1,0.605,0.84,1,0.27,0.99,16,1,1,0.52,1.5,1,1,14.83625,1.32,13.04,1,1,3.11,2,0.45,10.5,0.46,0.88,0.46,5.41,1,1,2.97,59.60667,4.1,1.42,2,0.64167,1,1,1,1,9.2,2.05,1,0.99,1,1,4.1,1,4,2,5,1,5,0.46,1.32,1,0.99,34,7.42,0.99,42,0.59,1,1,0.28,0.27,0,0.95,1,0.96,1,0.27,26.78,2.63,1,3,0.81278,5.58,3.64,66.844,2,1,55.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2018-05-02","Bestiary HC","DivinationCard",0.47,34.28,0.26,0.86,1,1,0.82,1,1,2,0.99,0.25,0,1,0.96,0.25,1.64,0.25,0.25,0.9,0.97,2,1,0.94,0,1,0.25,6.24,1.33,0,0.48,1,1,0,0.96,0.25,2,3,1.42,1,2,0.25,1,2.15,1,25,4.1,1,0.5,2,30.94,1,0.31,0.75,0.96,1,1,1,0.38125,1,2,7.29,1.45,0.62,0.25,0.71,1,14.05,0.32,0.25,1.88,0.49,0.25,6.37,1,0.593,1,2,4,1.57,1.35,479.15,0.98,0.5,10.67,1,0.9,0.47,9.82,4,1,1,0.25,171.12,1,0.25,15.82,1,1,0.57,1,0.26,0.5,0.63,1,0.28,5,10,0,0.25,1,1,4,0.25,27.65,29.93,0.25,1,1,0.35,1,1,0.25,1,16,1,1,0.77,1.4,1,1,15,1,18.5,1,1,2,1.1,0.42,10.15,0.49,0.85,0.25,5.31,1,1.35,2.83,68.6,2.62,1,2,0.62,1,1,1.24,1,8.3,2.03,1,0.9,0.99,1,4,1,4.1475,2,5,1,4.74,0.36,1.45,1,0.98,34,7.33,1,46.12,0.46,1.03,1,0.25,0.25,1,0.96,1,1,0.55,0.25,26.78,2.06,1,3,0.9,5.49,2.2,68.62,2,0.99,56.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2018-05-03","Bestiary HC","DivinationCard",0.25,34.48,0.26,0.47,1,1,0.47,0.72,0.36,2,0.614,0.25,0,1,0.31,0.25,1,0.25,0.25,0.9,0.94,2,0.85375,1,0,0.72,0.25,6.24,1.33,0,0.4,1.101,0.42,0,0.6475,0.25,2,3,1,1,2,0.25,0.99,2.06,1,25,4.1,0.68833,0.48,1.77,32,0.475,0.255,0.76,0.49,1,1,0.505,0.41,1,2,8.2,1.45,0.39875,0.25,0.48708,0.45,14,0.26,0.25,4,0.5,0.25,6.11,1.14,0.25,1,2,3.77,2,1.35,471.19176,0.55,0.47,8.21,1,0.84,0.26,9.83,4,1,1,0.25,207.58125,1.09,0.25,15.46,1,1,0.43,0.77,0.25,0.41889,0.69,1,0.26,5,12,0,0.25,1,1,4,0.25,27.26189,33.42,0.25,1,1,0.28,0.46,1,0.25,0.93,16,1,1,0.4,0.73,1,1.48,15,1,15,0.82,0.99,2,1.35,0.28,10.1075,0.47,0.7,0.25,5.03,0.67,1,2.72375,69.237,0.94,1,2,0.94,1,1,1.2,0.99,9.22,0.88,0.93,0.49,0.924,1,1.64,1,4,2,5.79,1,5,0.28115,1.45,1,0.83,34,8,0.47318,46.16,0.47,0.99227,1,0.25,0.25,1,0.68,1,0.61,0.53318,0.25,34,0.53,1,3,0.97227,4.96,2.2,69.1275,2,1,58.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2018-05-04","Bestiary HC","DivinationCard",0.23,35,0.25,0.26,1,0.97,0.47,0.665,0.38667,2,0.44,0.24,0,0.99708,0.275,0.24,1,0.24,0.24,1,0.59,2.39,0.2,0.94,72.41,0.28,0.24,8,1,0,0.24,0.97,0.23,0,0.24,0.24,2,3,0.97,1,0.99,0.24,0.94167,1.15,0.99,25,4,0.8,0.33,0.93,32,0.22,0.24,0.76,0.49,0.94,1,0.23,0.74,0.99,2,8.1,1.45,0.24,0.24,0.47,0.39,12.98,0.24,0.24,4,0.42,0.24,6,1.14656,0.2,0.69,2,3.74,2,1.35,483.75,0.53,0.42,8.21,1.35,0.86,0.24,10,4,1,0.54,0.24,234.83,0.98846,0.24,15.46,0.96,0.95,0.25,0.77,0.24,0.34,0.69,1,0.24,5,12,0,0.24,0.98,0.97,4,0.24,25.59302,34,0.24,1,1,0.24,0.24,0.96,0.24,0.22,16,1,0.95,0.4,0.73,1,1.48,13,1,15,0.79,0.95,1.17,1.35,0.24,10.68,0.41,0.61,0.24,5.03,0.63,1,2.68,71.267,0.77,1,1.27,0.94,0.82,0.77,1.2,0.93,9.22,0.68,0.94,0.47,0.75,0.85,1.64,1,3.26,1.76,5.79,1,4.36611,0.24,1.45,1,0.85,34,9.42,0.26,45,0.88,0.99,1,0.23,0.24,9.325,0.68,1,0.33,0.5,0.24,34,0.55,0.98,3,0.24,6,2.2,70.99,1.83,0.96,56.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2018-05-05","Bestiary HC","DivinationCard",0.23,37.34929,0.27,0.5,1,1,0.5,0.99,0.46,2.24,0.49,0.23,0,1,0.26,0.23,1,0.23,0.23,1,1,3,0.77,0.98,73.15,0.71,0.23,4.4,1,0,0.35,1,0.41,0,0.86,0.23,2,0,1,1,1,0.23,1,9.51,1,25,4,0.95,0.48,1.05,32,0.45,0.4,0.73,0.49,1,1,0.40563,0.68,1,2,8,1.45,0.29,0.23,0.5,0.41,12.41,0.23,0.23,4,0.43,0.23,6.35,1.13,0.23,1,2,4,2.45,4,443.68833,0.65,0.39,8.21,1.35,0.88,0.23,9.8,4,1,1,0.23,230.72,1,0.23,16.79,1,1,0.4013,0.76,0.23,0.24,0.97,1,0.23,4.91,11.54,0,0.23,1,1,4,0.23,26,29.7,0.23,1,1,0.24,0.45,1,0.23,0.74,15,1,1,0.36,0.76,1,2,13.07,1,0,0.69,0.91,1,1.35,0.23,10.3,0.49,0.72,0.23,3.93,0.74,1,2.89,53.88,0.76,1,1.31,1,1,1,1.2,0.83,9,0.61,0.88,0.44,0.77,1,1.3,1,1,1.45,5.4,1,2.58,0.23,1.45,1,0.98,33.42,9.42,0.5,42.78,0.93,1,1,0.23,0.23,9.51,0.64,1,0.72,0.44842,0.23,0,0.56,1,3,0.67,6,2.7,68.91,2,1,50.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"2018-05-06","Bestiary HC","DivinationCard",0.23,36.96,0.25,0.45,0.995,0.97,0.74,0.97,0.41,2.24,0.46,0.23,0,0.99688,0.23,0.23,1,0.25,0.38,1,0.95059,3,0.71,0.97214,72.85,0.7,0.23,4.4,1,0,0.33,1,0.39,0,0.8,0.23,2,0,0.96,1.51,0.97,0.28,1,9.3925,1.06071,25,4,0.84556,0.46,1,32,0.42,0.4,1,0.47,1,1,0.36,1,0.988,2,0,4,0.28,0.23,0.67,0.35,10,0.23,0.23,4,0.77,0.23,6.35,1.01786,0.23,1,2,3.67,2.48,4,479.84179,0.6,1.03,7.8,1.35,0.96,0.23,10,4,1,0.95182,0.23,228.7,0.99,0.31,16.4,0.96,1,0.37,0.69,0.23,0.23,0.99,1,0.23,4.83,11.26,0,0.23,0.98,0.96,4,0.23,26,29.52,0.241,1.03818,2.2,0.23,0.42,0.96,0.23,0.74,15,1,0.94,0.31,0.75,1.3,2,12.61,1,5,0.66,0.864,1.11563,1.35,0.23,11.38,0.47,0.65429,0.23,3.63,0.66,1,2.7,28.57,0.76,1,1.27,0.99,0.97,1,1.2,0.77,9,0.61,0.71125,0.64,0.77,1,1.3,1,1,1,5.4,1,2.2,0.23,1.35,1,0.84,33.19,9.42,0.47,42.35,0.98,0.99,0.97,0.23,0.23,9.47,0.78,1,0.64,0.35,0.23,0,0.54,0.96,3,0.54567,6,2.7,70.25,2,0.94,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
