"Day","Date","League","Type","Acton.s.Nightmare","Caer.Blaidd..Wolfpack.s.Den","Death.and.Taxes","Hall.of.Grandmasters","Hallowed.Ground","Maelstr√.m.of.Chaos","Mao.Kun","Oba.s.Cursed.Trove","Olmec.s.Sanctum","Pillars.of.Arun","Poorjoy.s.Asylum","The.Coward.s.Trial","The.Putrid.Cloister","The.Twilight.Temple","The.Vinktar.Square","Vaults.of.Atziri","Whakawairua.Tuahu","The.Beachhead_T10","The.Beachhead_T15","The.Beachhead_T5","The.Perandus.Manor","Doryani.s.Machinarium","Altered.Distant.Memory","Augmented.Distant.Memory","Cortex","Rewritten.Distant.Memory","The.Beachhead","Twisted.Distant.Memory"
28,"2018-01-04","Abyss","UniqueMap",2.2525,2.31911,1.13536,5.94393,3.38268,1.00036,14.41821,6.22857,0.99839,1.00411,16.43732,2.10286,71.83964,23.54696,27.23554,3.87946,0.99607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2018-01-05","Abyss","UniqueMap",2.59709,2.16727,1.00509,5.78618,3.45764,1.00018,14.43545,6.41164,1.01691,0.99564,16.08291,2.43345,74.27,22.32909,27.00909,3.95655,0.98655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2018-01-06","Abyss","UniqueMap",2.73709,2.11618,1.01091,6.07691,3.69127,1.03055,14.96145,6.75327,1.08327,1.02073,16.74436,2.37036,76.82145,23.40582,27.01636,3.94,0.99382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2018-01-07","Abyss","UniqueMap",2.64537,1.99889,0.99926,5.74481,3.93241,0.99889,15.48315,6.50759,1,0.99481,17.11167,2.11593,73.46556,23.66185,28.11685,4,0.9963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2018-01-08","Abyss","UniqueMap",2.7413,2,1,5.98352,3.15685,0.9937,16.57056,6.585,1,0.9937,16.2387,2.17389,74.05481,23.54944,27.35815,3.98741,0.98296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2018-01-09","Abyss","UniqueMap",2.78019,2.00208,0.99943,5.74075,2.98717,0.98679,16.91472,6.74528,0.99849,0.98491,15.86792,2.0017,71.48113,22.11491,27.27245,4.06509,0.98698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2018-01-10","Abyss","UniqueMap",2.66345,2.07818,0.99855,5.80673,2.93655,0.99545,16.67091,6.64855,0.99582,0.99309,14.99909,2.406,71.01836,21.96345,26.32382,4.12091,0.99582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2018-01-11","Abyss","UniqueMap",2.64685,2.15704,0.99074,5.88593,2.94667,0.9863,16.09093,6.70444,0.98741,0.96963,15.11519,2.48556,69.05481,22.79833,27.11963,4.23481,0.9863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2018-01-12","Abyss","UniqueMap",2.74192,2.21558,0.99692,6.03404,2.99596,0.99058,16.07769,6.20404,0.99462,0.98442,15.38173,2.87365,72.4675,22.60462,26.96154,4.005,0.99231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2018-01-13","Abyss","UniqueMap",2.58549,2.04039,0.99961,6.32863,2.9949,0.9949,17.2702,6.14412,0.99961,0.99294,15.47961,2.84627,70.68333,22.08412,25.68765,4.00294,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2018-01-14","Abyss","UniqueMap",2.502,2.2256,1,6.7084,2.9444,1,15.9918,6.3236,0.9976,0.9928,16.066,2.727,69.4556,22.6474,26.1996,3.9492,0.9954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2018-01-15","Abyss","UniqueMap",2.4163,2.20783,0.99696,7.03978,2.89978,0.99174,17.16435,6.59935,0.99935,0.98457,15.98457,2.82283,69.44543,22.19435,25.91652,4.22326,0.99565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2018-01-16","Abyss","UniqueMap",2.72385,2.21462,0.99558,7.27346,2.93596,0.98635,16.37942,6.27231,0.99692,0.98019,15.99577,2.64865,73.08365,21.89596,25.65269,4.20942,0.99019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2018-01-17","Abyss","UniqueMap",2.3962,2.1168,0.9928,7.764,2.763,0.9836,15.702,6.0138,0.9974,0.973,15.5162,2.8506,74.1192,20.8208,25.4212,4.196,0.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2018-01-18","Abyss","UniqueMap",2.18386,2.14523,0.99159,8.80682,2.795,0.99523,15.18205,5.78568,0.99795,0.95659,15.84955,2.59773,74.40977,20.09227,26.29795,4.14227,0.96455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2018-01-19","Abyss","UniqueMap",2.31321,2.07208,0.99528,9.08849,2.48774,0.99509,15.29698,5.54226,0.99755,0.97868,15.33566,2.73698,74.18302,19.86491,26.21887,4.04566,0.96698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2018-01-20","Abyss","UniqueMap",2.29231,2.15115,0.98942,9.90058,2.87538,0.99365,14.39481,5.65019,0.99673,0.96,15.37481,2.37635,75.23615,19.935,25.90269,4.08712,0.94673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2018-01-21","Abyss","UniqueMap",2.03245,2.14811,0.97849,9.66755,2.84113,0.95868,14.62491,5.69189,0.99208,0.91887,15.8917,2.67981,76.37962,19.75962,25.24925,4.39245,0.91151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2018-01-22","Abyss","UniqueMap",2.17096,2.01865,0.99846,9.77269,2.77615,0.96154,14.55212,5.52231,1,0.92885,16.08904,2.68462,74.99846,20.21923,24.77385,4.28885,0.90365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2018-01-23","Abyss","UniqueMap",2.14038,2.06113,0.98019,10.33528,2.51453,0.96698,14.57019,5.47208,0.99302,0.9366,16.35472,2.83038,76.29019,19.64566,24.50962,4.38736,0.92925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2018-01-24","Abyss","UniqueMap",2.04635,1.98808,0.98327,9.84692,2.39308,0.95327,15.21404,5.80558,0.995,0.91692,16.33038,2.78615,78.63442,19.645,23.99327,4.22788,0.92192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2018-01-25","Abyss","UniqueMap",2.12288,1.97058,0.98865,9.21788,2.14019,0.93423,16.02385,5.41,1.00231,0.90942,16.235,2.73692,79.72404,19.41615,23.47673,4.07923,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"2018-01-26","Abyss","UniqueMap",2.00404,1.94038,0.99519,9.33115,1.99673,0.95654,16.90269,5.4975,1.21808,0.92346,16.82385,2.56327,77.10731,19.74404,23.65231,4.46673,0.88827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"2018-01-27","Abyss","UniqueMap",2.04865,1.97038,0.9825,8.90077,2.02654,0.94423,17.01577,5.52981,1.00635,0.94269,16.90173,2.69154,74.42154,19.74808,22.96192,4.31231,0.88692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"2018-01-28","Abyss","UniqueMap",2.16923,1.98365,0.98962,8.04808,1.99942,0.95731,17.01019,5.45615,1.11481,0.89596,17.04019,2.54692,73.09423,19.73942,22.6,4.58558,0.93692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"2018-01-29","Abyss","UniqueMap",2.16308,1.99981,0.99481,7.71269,1.98019,0.94692,16.735,5.30288,1.12731,0.90577,16.62673,2.32654,74.02365,19.91462,22.17038,4.53538,0.94019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"2018-01-30","Abyss","UniqueMap",1.96283,1.97472,0.96113,7.84415,1.97849,0.90623,16.19396,4.92642,1.13358,0.82811,17.14642,2.32189,73.84434,19.92264,22.91623,4.31434,0.87057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"2018-01-31","Abyss","UniqueMap",1.99615,1.96288,0.99865,7.87135,1.96538,0.905,15.73442,4.71115,1.23769,0.85885,17.49673,2.48962,74.87077,19.88846,22.63288,4.33654,0.8975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"2018-02-01","Abyss","UniqueMap",1.97654,1.95327,0.99769,7.90635,1.90288,0.88308,15.18481,4.68731,1.22173,0.81538,17.61769,2.1425,74.47596,19.77404,22.23077,4.04962,0.81385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2018-02-02","Abyss","UniqueMap",1.77519,1.91981,0.96769,8.51827,1.99808,0.86077,14.86808,4.78827,1.24442,0.85481,18.28846,2.42846,73.50135,19.85288,22.27846,4.09385,0.84058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2018-02-03","Abyss","UniqueMap",1.90538,1.91846,0.97904,8.13115,1.95269,0.83423,15.34019,4.70615,1.38019,0.83423,17.61115,2.50769,74.71731,19.96115,22.5125,4.07192,0.82442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"2018-02-04","Abyss","UniqueMap",1.94509,1.79943,0.99547,8.03906,1.99453,0.82283,15.11057,4.69472,1.27113,0.80698,17.31774,2.86434,74.72057,19.57189,23.4017,4.14453,0.82151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"2018-02-05","Abyss","UniqueMap",1.79396,1.7083,0.95075,8.4666,1.9034,0.80283,15.33774,4.7417,1.03264,0.79698,17.21528,2.63717,78.03132,19.93943,23.89774,4.31075,0.73566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"2018-02-06","Abyss","UniqueMap",1.79385,1.52231,0.92096,8.91231,1.94712,0.77635,15.82865,4.51865,1.01731,0.77596,17.78327,2.44538,80.01788,20.61942,24.01558,4.40096,0.78231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"2018-02-07","Abyss","UniqueMap",1.80346,1.67192,0.99212,8.30596,1.92538,0.74846,15.46423,4.31365,1.00692,0.73019,18.07096,2.60212,84.4725,20.675,23.56635,4.37519,0.73615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"2018-02-08","Abyss","UniqueMap",1.80865,1.88962,0.94577,8.79,1.98712,0.73635,16.12288,4.93135,0.97404,0.71346,18.34019,2.46865,84.33788,20.24904,23.95731,4.31288,0.72327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"2018-02-09","Abyss","UniqueMap",1.81358,1.74415,0.94943,8.63491,1.98019,0.71113,16.0183,4.70962,0.97189,0.70566,19.13547,2.25943,84.72698,20.85755,23.86019,4.22321,0.71434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"2018-02-10","Abyss","UniqueMap",1.79679,1.7934,0.95698,8.40698,1.98415,0.69321,15.21434,4.59302,0.99623,0.68547,19.41906,2.46925,86.27887,21.25774,23.43019,4.75698,0.68887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"2018-02-11","Abyss","UniqueMap",1.82887,1.63887,0.99,8.64774,1.99811,0.71717,15.25509,4.9817,0.99604,0.68792,19.42679,2.86736,85.90792,24.63057,26.73509,5.29604,0.68642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"2018-02-12","Abyss","UniqueMap",1.57698,1.9117,0.99887,9.0034,1.98962,0.8966,14.84585,4.79528,0.97151,0.67943,19.41774,2.82547,85.92189,26.30189,26.4566,5.49528,0.68245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"2018-02-13","Abyss","UniqueMap",1.90827,1.90115,0.99519,8.68462,2.42885,0.87327,14.69423,4.96096,0.99692,0.66558,19.74423,2.79538,87.97558,25.74,27.85654,5.64135,0.65442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"2018-02-14","Abyss","UniqueMap",1.74755,1.92038,0.98491,8.64604,2.02434,0.91849,15.08453,5.1317,0.9717,0.64075,19.3583,2.90642,89.41057,29.82962,28.48245,5.54642,0.64283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"2018-02-15","Abyss","UniqueMap",1.69389,1.94,0.99019,7.93056,2.05574,0.8437,13.51296,5.3363,0.97593,0.64,20.28907,2.77778,90.54315,32.28111,28.35926,5.33093,0.63759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"2018-02-16","Abyss","UniqueMap",1.89377,1.91491,0.99491,8.81226,2.22453,0.97075,15.05849,4.76811,0.99981,0.73472,19.90377,2.85472,90.94302,34.12358,29.39736,6.04472,0.64604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"2018-02-17","Abyss","UniqueMap",2.00058,1.96404,0.99788,9.09038,2.33135,0.9075,19.54538,5.59115,0.99077,0.77365,19.57885,2.81385,94.99615,36.65115,32.06635,5.595,0.66327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"2018-02-18","Abyss","UniqueMap",2.03698,1.9683,0.99792,9.10283,2.21302,0.95,18.59264,5.44925,0.99642,0.80245,19.00208,2.80642,98.60943,39.03623,33.32943,5.55679,0.70415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"2018-02-19","Abyss","UniqueMap",2.0317,1.99981,0.99906,8.69453,2.59113,0.92075,19.78377,5.45,0.99962,0.75642,18.95094,2.96755,100.15906,38.35302,35.02604,5.98472,0.79113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"2018-02-20","Abyss","UniqueMap",1.98094,1.92075,0.99962,8.31,2.38038,0.70472,19.51358,5.46358,0.99679,0.67962,20.07698,2.97,100.73113,38.23717,33.34943,5.30566,0.70038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"2018-02-21","Abyss","UniqueMap",2.1666,1.92962,1.00547,7.69,2.11849,0.7734,18.79453,5.79679,1,0.80189,19.41321,2.99755,98.96604,38.65509,32.88245,5.23113,0.79736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"2018-02-22","Abyss","UniqueMap",2.23302,1.91019,1.01132,9.24736,2.56962,0.98717,18.08849,5.87698,0.98075,0.87377,19.92245,3.00547,96.5483,39.13679,34.05057,5.40358,0.86755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"2018-02-23","Abyss","UniqueMap",2.51623,1.98642,1.13811,10.17189,2.40075,0.87057,16.44019,6.01868,0.96717,0.95792,19.94302,3.24528,97.48113,38.01604,34.56736,5.15396,0.73509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"2018-02-24","Abyss","UniqueMap",2.29811,1.91849,1.07547,9.84453,2.74509,0.82981,18.85604,6.12075,1,0.91943,19.48509,3.14094,96.03189,39.4334,37.69019,5.20698,0.76302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"2018-02-25","Abyss","UniqueMap",2.01057,1.99566,1.24151,8.8783,2.90962,0.93528,18.73132,5.85075,1,0.96547,18.58264,3.53189,99.39057,39.97717,39.63094,5.73,0.87396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"2018-02-26","Abyss","UniqueMap",2.16163,1.64878,1.09531,9.07571,2.77,0.99,17.87286,6.07132,1.03939,0.89061,17.74837,3.24509,105.64571,43.31061,38.55313,5.18388,0.66755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"2018-05-04","Bestiary Flashback","UniqueMap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2,"2018-05-05","Bestiary Flashback","UniqueMap",6,4.86087,2.89333,6.84,4.3275,4,7.775,7.47059,4,7,8,3.89269,0,0,0,6.01731,2,0,0,0,148,NA,NA,NA,NA,NA,NA,NA
3,"2018-05-06","Bestiary Flashback","UniqueMap",4,4,3,9.81056,3.68429,3,7.04796,5.20367,3,5,8.98571,3,45,27.88,12.8,7,3,0,0,0,30,NA,NA,NA,NA,NA,NA,NA
4,"2018-05-07","Bestiary Flashback","UniqueMap",4,4,3,7.24647,5,3,8.99959,6,2,4,10,4,39,23.42,12.684,6,2,0,190.53,0,26.06239,NA,NA,NA,NA,NA,NA,NA
5,"2018-05-08","Bestiary Flashback","UniqueMap",4,4,3,9,5,3,11.93571,7,2,3,14.5102,4.31402,36.68661,21,13.4,5,2,0,169.895,0,30,NA,NA,NA,NA,NA,NA,NA
6,"2018-05-09","Bestiary Flashback","UniqueMap",4,5,3.75327,9,5,2.87755,12,7,2.80102,3,17.8902,6,40.03643,20,13,5,2,106.85,102.28,0,39.57816,NA,NA,NA,NA,NA,NA,NA
7,"2018-05-10","Bestiary Flashback","UniqueMap",4,4,3,10,5,2,12,7.38276,2,3,19.36041,6.07684,39.75064,22.87848,14.78333,5,2,104.98,96.02711,0,37,NA,NA,NA,NA,NA,NA,NA
8,"2018-05-11","Bestiary Flashback","UniqueMap",4,4,3,10,5,2,13,6.9951,2,2,21.79245,7,35.17163,21.1502,12.712,5,1.95,110,100,0,39,NA,NA,NA,NA,NA,NA,NA
9,"2018-05-12","Bestiary Flashback","UniqueMap",3.94031,4,3,10,5,2,11,6.22051,2,2,20,7,35.08429,20,14,4.70102,1.9302,110,105,0,37,NA,NA,NA,NA,NA,NA,NA
10,"2018-05-13","Bestiary Flashback","UniqueMap",4,4,2.73,10,4.62612,1.95,10,6,1.95,2,19.31469,7.84796,35,22,13.5,5,2,0,120,0,40,NA,NA,NA,NA,NA,NA,NA
11,"2018-05-14","Bestiary Flashback","UniqueMap",4,3,2.7402,9,4,2,11,6,2,2,20,9.33357,38,22.40244,14,5,1.9601,0,134.68475,0,52.31765,NA,NA,NA,NA,NA,NA,NA
12,"2018-05-15","Bestiary Flashback","UniqueMap",4,3,3,8,4,2,11,6,1.9751,2,24,9.16531,50,24,14.23,4.90592,1.9651,182,142.53827,0,50,NA,NA,NA,NA,NA,NA,NA
13,"2018-05-16","Bestiary Flashback","UniqueMap",4,3,3,8,4.5,2,12,6,2,2,26.98531,9,54.91,25,15.53,5,1.54041,144.3,138.44224,183,49.21531,NA,NA,NA,NA,NA,NA,NA
14,"2018-05-17","Bestiary Flashback","UniqueMap",4,3,3,8,5,2,11.54214,6,2,1.70031,25.2102,10,50,24.2375,17.88,5,1.0001,151.3,145,0,52.63224,NA,NA,NA,NA,NA,NA,NA
15,"2018-05-18","Bestiary Flashback","UniqueMap",3,3,2.96082,8,5,2,11,6,1.9051,1.28571,24,10,50,24.74929,16.89,5,1,174.67,155.97,0,73.74735,NA,NA,NA,NA,NA,NA,NA
16,"2018-05-19","Bestiary Flashback","UniqueMap",3,3,3,8,4.21051,1.93,11,6,1.9001,1.50133,24,10.5801,49.35459,25,17.11,5,1,171.98,160.768,0,77.07214,NA,NA,NA,NA,NA,NA,NA
17,"2018-05-20","Bestiary Flashback","UniqueMap",3,3,2.67061,7,5,1.94,11.20082,5,1.68082,1.8102,24,10.6,49.51143,24.09102,16.12417,5,1,427.95,171.80551,0,85.30102,NA,NA,NA,NA,NA,NA,NA
18,"2018-05-21","Bestiary Flashback","UniqueMap",3.9951,3,3,6.5102,4.95041,1.9302,10,5,1.5,1.9551,25,10,49.49551,24,16.18,4,1.52041,214.325,172.98,0,78.57776,NA,NA,NA,NA,NA,NA,NA
19,"2018-05-22","Bestiary Flashback","UniqueMap",3,2,2.74082,6,4,1.32122,11,5,1.6,1.10031,28.64184,10,49.63316,25,18.94,4,1.6,183.22,167.3852,0,80,NA,NA,NA,NA,NA,NA,NA
