"Day","Date","League","Type","Abyssal.Incubator","Cartographer.s.Incubator","Celestial.Armoursmith.s.Incubator","Celestial.Blacksmith.s.Incubator","Celestial.Jeweller.s.Incubator","Decadent.Incubator","Diviner.s.Incubator","Eldritch.Incubator","Enchanted.Incubator","Feral.Incubator","Fine.Incubator","Foreboding.Incubator","Fossilised.Incubator","Fragmented.Incubator","Gemcutter.s.Incubator","Geomancer.s.Incubator","Infused.Incubator","Mysterious.Incubator","Obscured.Incubator","Ornate.Incubator","Otherworldly.Incubator","Primal.Incubator","Singular.Incubator","Skittering.Incubator","Thaumaturge.s.Incubator","Time.Lost.Incubator","Whispering.Incubator"
12,"2019-09-17","Blight","Incubator",1,1,2,1,4,2,6,10.72,2,1,1,8,3,1,0.54,35,2,1,2,2,5,1,1,4,15,18,0.54
13,"2019-09-18","Blight","Incubator",1,1,2,1,4,2,7,11,2,1,1,9,3,1,0.52,35,2,1,2,2,4,1,1,4,12.76515,20,0.5
14,"2019-09-19","Blight","Incubator",1,1,2,1.13,4,2,7,10,2,1,1,9.64005,3,1,0.5,30,1.1901,2,2,2,4,1,1,4,12,20,0.5
15,"2019-09-20","Blight","Incubator",1,1,2,2,4,2,6,10,2,1,1,9.08505,3,1,0.5,29.1001,1.82,2,2,3,4,1,1,4,13,18,0.49
16,"2019-09-21","Blight","Incubator",1,1,2,2,4,2,7,10,2,1,1,10,3,1,0.5,30,1.7404,2,2,3,4,1,1,5,15,20,0.49
17,"2019-09-22","Blight","Incubator",1,1,2,1,5,2,7,10,2,1,1,10,3,1,0.5801,31.0202,2,1.2002,2,3,4,1,1,4,15,20,0.47
18,"2019-09-23","Blight","Incubator",1,1,2,2,5,2,8,10,2,1,1,10,2.74,1,0.87,28.83051,1,1.27,2,3,4,1,1,4,15,20,0.43
19,"2019-09-24","Blight","Incubator",1,1,2,1.29,5,2,8,10,1.93,1,1,9.43515,3,1,0.6201,28,1.15515,1,2,3,3,1,1,4,15,20.7901,0.41505
20,"2019-09-25","Blight","Incubator",1,1,2,1.73505,5,2,8.72,10.28,1,1,1,11,3,1,0.83,27,1,2,2,3.31525,4,1,1,4,15,20,0.4
21,"2019-09-26","Blight","Incubator",1,1,2,1.76505,5,2,8,10,2,1,1,11,3,1,0.47,27.98515,1,1,2,3.77232,3,1,1,4,15,20,0.39
22,"2019-09-27","Blight","Incubator",1,1,2,1.01,5,2,8.1301,10,1,1,1,10,3,1,0.44,26,1,1,3,4,3.98515,1,1,4,15,21,0.37
23,"2019-09-28","Blight","Incubator",1,1,1.52005,1,5,2,8,10,1,1,1,10,3,1,0.76,26,1,1,2,4,3,1,1,4,13.57,22.70015,0.36
24,"2019-09-29","Blight","Incubator",1,1,2,1,4.0404,2,9,10,1,1,1,10.4101,2,1,0.47,27,1,1,2,4,3,1,1,4,13.52,23,0.34
25,"2019-09-30","Blight","Incubator",1,1,2,1.0701,4,2,9.9603,10,1,1,1,10,2,1,0.45,27.7403,1.1504,1.17,2,4,3,1,1,4,12,22,0.33
26,"2019-10-01","Blight","Incubator",1,1,2,2,5,2,10,10,1,1,1,12,3,1,0.42,25,1.84056,1,2,3,3.55005,1,1,4,13.90052,20,0.32
27,"2019-10-02","Blight","Incubator",1,1,2,2,5,2,10,10,1,1,1,12,3,1,0.9,27,1,1,2,3,4,1,1,4.7802,12,22,0.31
28,"2019-10-03","Blight","Incubator",1,1,2,2,5,2,10,10,1,1,1,12,3,1,0.99,29.35505,1.54505,1,2,3.35,4,1,1,4,12.79419,22.0501,0.31
29,"2019-10-04","Blight","Incubator",1,1,2,2,5,2,9,10,1,1,1,12.97005,3,1,0.98,30,2,1,2,4,4,1,1,4,15,22,0.3
30,"2019-10-05","Blight","Incubator",1,1,2,2,5,2,9.4,10,1,1,1,13,3,1,1,29,2,1,2,4,4,1,1,4,14.41,20,0.31
31,"2019-10-06","Blight","Incubator",1,1,2,2,4,1.76,9,10,1,1,1,12,3,1,0.95,29,1.98,2,2,4,4,1,1,4,14.06,20,0.32
32,"2019-10-07","Blight","Incubator",1,1,2,2,4,2,9,10,1,1,1,12,3,1,1,28.96,1.2403,1.77,2,4,4,1,1,4,15,22,0.32
33,"2019-10-08","Blight","Incubator",1,1,2,2,4,2,9,10,1.59556,1.55,1,12,3,1,1,28.91,1.98,1.63505,2.86,4,4,1,1,4,15.01,22,0.32
34,"2019-10-09","Blight","Incubator",1,1,2,2,5,2,10,10,2,2,1,11,3,1,1,28,2,1,2.59,4.18086,4,1,1,5,15,21,0.31
35,"2019-10-10","Blight","Incubator",1,1,2,2,5,2,9.76005,10,2,2,1,13,3,1.76025,1,28,1,1,2,4,3,1,1,4,15,22,0.3
36,"2019-10-11","Blight","Incubator",1,1,2,2,5,2,9,10,1.35,1.47005,1,13,3,1.98,1,28,1,1,2,4,3.7,1,1,4,12,23.02,0.3
37,"2019-10-12","Blight","Incubator",1,1,2,1.77,5,2,9,10,1.15071,1,1,12,3,1.76,1,28,1,1,2,3,4,1,1,4,12.28,22,0.29
38,"2019-10-13","Blight","Incubator",1,1,2,2,5,1.5801,9,10,2,1,1,11.55005,3,1,1,30,1,1,2,2,4,1,1,4,12.95,19.2601,0.27
39,"2019-10-14","Blight","Incubator",1,1,2,2,6,1.11045,9.81051,10,1,1,1,13,3,1,1,30,1,1,2,4,4,1,1,4,15,20,0.26
40,"2019-10-15","Blight","Incubator",1,1,2,2,6.93015,1.01,9.82045,10,1.73005,1.53,1,13,3,1,1,29.55,1,1,2,4,4,1,1,4,14,20,0.25
41,"2019-10-16","Blight","Incubator",1,1,2,2,7,2,10.5101,10,2,1.99,1,15,3,1,1,29.9802,1,1,2,4,4,1,1,3.49505,15,22,0.25
42,"2019-10-17","Blight","Incubator",1,1,2,2,7.45,1.59,10,10,2,1.67,1,14,3,1,1,29,1,1.14025,2,4.55,4,1,1,3,15,22,0.25
43,"2019-10-18","Blight","Incubator",1,1,2,1.91015,8,2,10,9.63,2,1.83,1,14,4,1,1,29,1,1,2,5,3,1,1,3.9301,15,22,0.36
44,"2019-10-19","Blight","Incubator",1,1,2,2,8.82081,2,10,8.47,2,1,1,13,4,1,1,28.09051,1,1,2,4,3,1,1,4,15,23.04106,0.41
45,"2019-10-20","Blight","Incubator",1,1,2,1.82091,8.2901,2,10,9.73337,2,1,1,14,3,1,0.82,30,1,1,2,5,4.55061,1,1,5,15,23.70096,0.41
46,"2019-10-21","Blight","Incubator",1,1.12,2,1.27,8,2,10.20015,10,2,1,1.52,13,3,1,0.87,29.2804,1,1,2,4,5,0.81015,1,4.32,14.45333,24.6403,0.41
47,"2019-10-22","Blight","Incubator",1,1.55,2,1.7,7,2,10.7002,9.39,2,1,2,15,3,1,0.68,27.61197,1,1,2,4,5,0.94,1,4.85,14.7,24.57,0.24
48,"2019-10-23","Blight","Incubator",1,2,2,2,6.28,2,11,9.31,1,1,2,15,3,2,0.75,28,1,1,1.47,4,4,1,1,4,15,25,0.57
49,"2019-10-24","Blight","Incubator",1,1.57556,2,1,6,2,10,10,1,1,2,15,3,1.02,0.98769,28.37525,1,1,1,3,4,1,1,4,14,25,0.57
50,"2019-10-25","Blight","Incubator",1,1,2,1,6,2,10,10,1,1,2,14,3,1.51,0.99,27.68556,1,2,1,3,4,1,1,5,12.32,25,0.54
51,"2019-10-26","Blight","Incubator",1,1,2,1,6.5201,2,10,10,1,1,2,13.08,3,1.5,0.96,27.55096,1,2,1,3,4,1,1,5,14,22.49,0.42
52,"2019-10-27","Blight","Incubator",1,1,2,1,7,2,10,10,1,1,2,12.17253,3,1,0.94,27,1,1,1,3,5,1,1,5,16.11,23.48,0.33103
53,"2019-10-28","Blight","Incubator",1,1,2,1,7,2,10,10,1,1,2,13,3,1,0.63,27,1,1,1,2.95051,5,1,1,4.57535,18,25,0.34
54,"2019-10-29","Blight","Incubator",1,1,2,1,6,2,11.39056,10,1,1,2,11,3,1,0.86,27,1,1,1,2,5,1,1,4,18,25,0.41
55,"2019-10-30","Blight","Incubator",1,1,2,1,6,2,10,10,1,1,2,11.39515,3,1,0.59,26.02,1,1,1,2,5,1,1,4,17,24,0.41
56,"2019-10-31","Blight","Incubator",1,1,2,1,7,1.5,10,9.67,1,1,2,11,3,1,0.59,27,1,1,1.29515,2,5,1,1,4,16.3175,24,0.42
57,"2019-11-01","Blight","Incubator",1,1,2,1,6.61,1.42,10,8.57,1,1,2,10,3,1,0.6,26.27,1,1,1.65545,2,4,1,1,4,15,24,0.47
58,"2019-11-02","Blight","Incubator",1,1,2,1,6.59,1.5,10.32586,9,1.24,1,2,10.8,3,1,0.59,27,1,1,2,2,4,1,1,4,15,24,0.47
59,"2019-11-03","Blight","Incubator",1,1,2,1,7.52,1.71,11.0602,9.01,2,1,2,11.18677,2,1,0.41,27.55566,1,1,2,2,4,1,1,5,15,24,0.52
60,"2019-11-04","Blight","Incubator",1,1,2,1,7,1.5,10,9.18,2,1,2,11.38,2,1,0.51,27,1,1,1.99,2.26,4,2,1,5,15,24,0.47
61,"2019-11-05","Blight","Incubator",1,1,2,1,6.88,1,10.97,9.56,2,1,2,11.08,2,1,0.75,26.76,1,1,1.71,2.97005,4,1.81,1,5,15,24,0.51
62,"2019-11-06","Blight","Incubator",1,1,2,1,6.35264,1,10.28,9,2,1,1.01,11,2,1,0.79,26.3304,1,1,2,3,4,1,1,5,15,24,0.38
63,"2019-11-07","Blight","Incubator",1,1,2,1,6,1.76,10.3,9,2,1,1,11,2,1,0.85,28.52,1,1,2,3,4,1,1,5.35,19.81,22.65177,0.4
64,"2019-11-08","Blight","Incubator",1,1,2,1,6,1.73,8.35,9,2,1,2,11,2,1,0.99,28,1,1,2,3,4,1,1,6,19.49,23,0.43
65,"2019-11-09","Blight","Incubator",1,1,2,1.24,6,1.71,8,8.83,2,1,1.53,11,2,1,1,28.33239,1,1,2,2,4,1,1,5.73,20,24,0.56
66,"2019-11-10","Blight","Incubator",1,1,2,1.1036,5.98,1.69,7.86015,9,2,1,1.975,10,2,1,1,30,1,1,2,2,4.09,1,1,5.08,18,23.1,0.45
67,"2019-11-11","Blight","Incubator",1,1,2,1.39,4.6,1.67,7,9,2,1,1,10,2,1.43,1,30,1,1,2,2,4.26,1,1,5,15,23,0.22
68,"2019-11-12","Blight","Incubator",1,1,2,1.6,5,1.67,7,9.15,2,1,1,10,2,1.62,1,30,1,1,2,2,5,1,1,5,15,21.02071,0.24
69,"2019-11-13","Blight","Incubator",1,1.16,2,1.7,5,2,5,9.25,2,1,1,12,2,1.44,1,30,1,1,2,3.08,5,1,1,3.71,15,23,0.26
70,"2019-11-14","Blight","Incubator",1,1.74,2,1.9,5,2,7,9.4,2,1,1,11.88,2,1,1,30,1,1,2,3,5,1,1,4.57,16.74,20,0.21
71,"2019-11-15","Blight","Incubator",1,2,2,1.52,4,2,6,10,2,1,1,11.7801,2,1,1,30,1,1,2,3,5,1,1,5,15,20,0.21
72,"2019-11-16","Blight","Incubator",1,2,2,1.74,4,2,6,10,2,1,1,11.24,2,1,1,30,1,1,2,3,4.7,1,1,4,15,20,0.21
73,"2019-11-17","Blight","Incubator",1,1,2,1.64,4,2,5,10,2,1,1,10,2,1,1,30,1,1,2,3,6.87,1,1,4.4,18,20.6604,0.33
74,"2019-11-18","Blight","Incubator",1,1.09,2,2,4,2,5.77,10,2,1,1,10.28,2,1,1,30,1,1,2,3,6,1,1,4.7,18.37,20,0.34
75,"2019-11-19","Blight","Incubator",1,1,2.88,1.75,4,2,6,10,2,1,1,11.3,2,1,1,30,1,1,2.94,3,6,1,1,4,20,20,0.35
76,"2019-11-20","Blight","Incubator",1,1.07,2.62,2,4,2,6,10,2,1,1,10.07,2,1,1,30,1,1,3,2.70015,4.78,1,1,4,18,20,0.37
77,"2019-11-21","Blight","Incubator",1,1.07,1.88,2,3.28,2,7,10,2,1,1,10,1.9801,1,1,30,1,1,3,3,4.4,1,1,4,18,20,0.3
78,"2019-11-22","Blight","Incubator",1,1,1.93,2,4,2,8,10,1.28,1,1.15,9,2,1,1,30,1,1,3,3,4,1,1,4,18,20,0.34
79,"2019-11-23","Blight","Incubator",1,1,2,2,4,2,8,9.49,2,1,1.69,9,2,1,1,30,1,1,3,3,4.42,1,1,4,18.63,20,0.39
80,"2019-11-24","Blight","Incubator",1,1,1,2,3.19,1.88,8.72,8,2,1,1,8.63,2,1.76,1,30,1,1,3,2.35859,5,1,1,4,17.09,20,0.43
81,"2019-11-25","Blight","Incubator",1,1,1,2,4,1.95,8,8,2,1,2,9,2,1.89,1,30,1,1,2,2.23,5,1,1,4,17.58,20,0.45
82,"2019-11-26","Blight","Incubator",1,1,1,2,3.2,2,9.11,8,2,1,1.88,9,2,1.5,1,30,1,1,2,2.9802,5.32867,1,1,4,15.92,20,0.42
83,"2019-11-27","Blight","Incubator",1,1,1.44225,2,3,1.94,8,8,2,1,1.99,9.56423,1.83,1,1,30,1,1,2,2,4.75,1,1,4,15.96,20,0.43
84,"2019-11-28","Blight","Incubator",1,1,1.65,2,3,1.01,9.7701,8,1.21,1,1,10,1.19525,1,1,30,1,1,2,2,4,1,1,3,15.3,20,0.45
85,"2019-11-29","Blight","Incubator",1,1,1.74,2,3,1.69,9,8.07,1,1,1,9.75,1,1,1,30,1,1,2,2,4.79,1,1,3,16,20,0.24
86,"2019-11-30","Blight","Incubator",1,1,2,2,3,1.96,9.97,9,1,1,1.68,9,1,1,0.56,30,1,1,1.6277,2,4.74,1,1,3,16.05,20,0.24
87,"2019-12-01","Blight","Incubator",1,1,2,2,3,1.12,10,9,1,1,2,9,1,1,0.52,30,1,1,2,2,4,1,1,3,15.09,20,0.24
88,"2019-12-02","Blight","Incubator",1,1,2,2,3.63,1.04,10,8.53,1,1,2,9,1,1,0.51,30,1,1,1.63881,2,4,1,1,3.66,15,20.14,0.25
89,"2019-12-03","Blight","Incubator",1,1,2,2,4.03,1.11,10,8.4,1,1,2,10,2,1,0.74,30,1,1,1,2,3.32,1,1,4,11.94,20,0.25
90,"2019-12-04","Blight","Incubator",1,1,2,2,5,1.15,10,8,1,1,1.9,9.71,2,1,0.7,30,1,1,1.51,3,3,1,1,3,11,21.77,0.28
91,"2019-12-05","Blight","Incubator",1,1,2,2,5,1.01,10,8.07,1,1,2,10,2,1,0.53,30,1,1,1.1,3.64,3,1,1,3,11,29.40179,0.26
92,"2019-12-06","Blight","Incubator",1,1,2,2,5,1.02,10,9,1,1,1.45,10,1.79,1,1,30,1,1,1.66,3.54847,3.52,1,1,3,13.21,29.16,0.26
93,"2019-12-07","Blight","Incubator",1,1,2,2,5,1.04,10,9,1,1,2,10,2,1,1,30,1,1,1.64,4,3,1,1,3,13.4,30,0.39
94,"2019-12-08","Blight","Incubator",1,1,2,2,5,1,10,9,1,1,1.96,10,2,1,0.98,35,1,1,1.72,3.55,3,1,1,3,11.92,30,0.31042
95,"2019-12-09","Blight","Incubator",1,1,3,2,5,1,10,9,1,1,1.9,10,2,1,0.98,34.87,1,1,2,4,3,1,1,3,11,30,0.28
1,"2019-06-07","Legion","Incubator",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-06-08","Legion","Incubator",1,2.97231,2.94462,6.318,5,1,1,0,2,NA,0.42121,3,1,2,0.24005,28.86889,1,1.81333,6.98,1,5,1,0.24096,1,4.68563,37.19333,0.24005
3,"2019-06-09","Legion","Incubator",1,2,2,3,4,4,1,0,2,NA,1,3,1,1,0.25005,25,1,2,5,1,4,1,0.26005,1,8,29.9814,0.25005
4,"2019-06-10","Legion","Incubator",1,2,2,2,3,4,1,20.2725,2,NA,1,4,1,2,0.31,32.86161,2,2,4,2,4,1,0.62,2,8,29,0.31
5,"2019-06-11","Legion","Incubator",0.9901,1,3,2.43475,3,4,1,40.92,2,NA,1,3,1,2,0.31,33.4703,2,1.02525,5,2,4,1,1,2,7,30,0.31
6,"2019-06-12","Legion","Incubator",0.62,1,3,3,3.58111,4,1,29.08,1,NA,1,3,1,1,0.31,35,2,1,5,2,4,1,0.98515,1.38071,9,30,0.31
7,"2019-06-13","Legion","Incubator",0.99505,1,3,3,4,4,1,20,1,NA,1,5,1,1,0.29,37.14185,2,1.76566,5,2,4,1,0.9901,2,10,37,0.29
8,"2019-06-14","Legion","Incubator",1,1,3,3,4,4,1,17,2,NA,1,7,1,1,0.28,35,2,1,5,2,4,1,1,1,9,35,0.28
9,"2019-06-15","Legion","Incubator",1,1,3,3,4,4,1,15,1,NA,1,6,1,1,0.28,33,2,1,5,2,4,1,1,1.67005,9,30.28051,0.28
10,"2019-06-16","Legion","Incubator",1,1,3.1702,4,4,3,1,14,1,NA,1,7,1,1,0.26,31,2,1,5,3,4,1,1,1.82,9,39.82535,0.26
11,"2019-06-17","Legion","Incubator",1,1,4,4,5,3,1,13,2,NA,1,7,2,1,0.27,29,2,1,4,2.7002,4,1,1,2,9.71005,40,0.27
12,"2019-06-18","Legion","Incubator",1,1,4,4,5,4,1,12,1,NA,1,7.12051,2,1,0.29,29,2,1,4,1.3801,4,1,1,2,10,40,0.29
13,"2019-06-19","Legion","Incubator",1,1,4,4,4.75253,3.5501,1,13,1,NA,1,7,2,1,0.33,30,2.87505,1,4,1.73505,4,1,1,2,9,39.6101,0.33
14,"2019-06-20","Legion","Incubator",1,1,4,4,4.78586,3,1,13.67141,1,NA,1,7,2,1.51545,0.36505,30,2,1,4.0101,2,4,1,1,2.1704,10,40,0.36505
15,"2019-06-21","Legion","Incubator",1,1,3.5304,4,4,3,1,13,1,NA,1,6,1.97015,1,0.42,25,2,1,4,2,3,1,1,2,9,40,0.42
16,"2019-06-22","Legion","Incubator",1,1,4,3,4,3,1,12,1,NA,1,5,1,1,0.43,21.61192,2,1,4,1.8901,3,1,1,2.0901,9,37.80545,0.43
17,"2019-06-23","Legion","Incubator",1,1,4,3,4,3,1,12,1,NA,1,6,1,1,0.43,22,2,1,4,2,3,1,1,3,9,35,0.43
18,"2019-06-24","Legion","Incubator",1,1,3.98515,3,4,3,1,11,1,NA,1,7,1.94505,1,0.43,20,1.38556,1,4,2,3,1,1,3,8.4703,38,0.43
19,"2019-06-25","Legion","Incubator",1,1,3,3.00071,4,3,1,11,1,NA,1,7,1.83035,1,0.41,21,2,1,3.60025,2,3,1,1,2,9,38,0.41
20,"2019-06-26","Legion","Incubator",1,1,3,3,4,3.41061,1,10,1,NA,1,7,1.79,1,0.41,20,2,1,4,2,3,1,1,3,9,40,0.41
21,"2019-06-27","Legion","Incubator",1,1,3,3,4,3.60545,1,10.53505,1,NA,1,7,1,1,0.41,20,2,1,3,2.31525,3,1,1,3,9,40,0.41
22,"2019-06-28","Legion","Incubator",1,1,3,3,4,4,1,8.9801,1,NA,1,9,3,2,0.41,20,2,1,4,4,4,1,1,3.70005,8,40,0.41
23,"2019-06-29","Legion","Incubator",1,1,3,3,4,4,1,8.67086,1,NA,1,9,2.00015,2,0.42,19,2,1,3.26091,4,3.53066,1,1,4,8,38.01,0.42
24,"2019-06-30","Legion","Incubator",1,1,3,3,4,3,1,9,1,NA,1,10,3,1.3802,0.43,17.86131,2,1,3,3.7903,3,1,1,3,8,35,0.43
25,"2019-07-01","Legion","Incubator",1,1,3,3,3.5001,3,1,9,1,NA,1,9.74,1,1,0.44,17,2,1,3,3.1202,3,1,1,3,7,30,0.44
26,"2019-07-02","Legion","Incubator",1,1,3,3,3,3,1,9,1,NA,1,9,1.97,1,0.44,16.99505,2,1,2.75586,3,3,1,1,3,7.82525,30,0.44
27,"2019-07-03","Legion","Incubator",1,1,2.2201,2,3,2.91015,1,9,1,NA,1,8,1.63015,1,0.45,16,2,1,2,3,3,1,1,3,7,27,0.45
28,"2019-07-04","Legion","Incubator",1,1,2,2,3,3,1,9,1,NA,1,8,2,1,0.46,17,2,1,2,3,3,1,1,2.63015,6,25,0.46
29,"2019-07-05","Legion","Incubator",0.70005,1,2,2,3,3,1,9.22045,1,NA,1,7.6303,1.5303,1,0.48,16,2,1,1.99005,3,2,1,1,2,6,24.69045,0.48
30,"2019-07-06","Legion","Incubator",0.65056,1,2,2,3,2,1,9,1,NA,1,7,2,1,0.51,17,1.88,1,2,2.99005,2,1,1,2.04071,7,25,0.51
31,"2019-07-07","Legion","Incubator",0.66,1,2,2,3,3,1,9,1,NA,1,8,2,1,0.51,16,1,1,2,3,2,0.96505,1,2,7,25,0.44
32,"2019-07-08","Legion","Incubator",0.85005,1,2,2,3,2.79076,1,8.20005,1,NA,1,8,1.69005,1,0.52,16,1,1,2,3,2,1,1,2.44025,7.6902,26.49025,0.4401
33,"2019-07-09","Legion","Incubator",0.56,1,2,2,3,2,1,8,1,NA,1,8,1,1,0.56,16,1,1,2,3,2,0.64005,1,2,7,28,0.5
34,"2019-07-10","Legion","Incubator",0.61,1,2,1.91005,3,2,1,8,1,NA,1,6.9001,1,1,0.56,16,1,1,1,2.99005,2,0.62,1,2.00091,7.72015,27,0.3
35,"2019-07-11","Legion","Incubator",0.64,0.74,2,2,4,2,1,9,1,NA,1,7.1001,1.1601,1,0.64,17,1,1,1,3,2,0.80505,1,2,8,29,0.5
36,"2019-07-12","Legion","Incubator",0.62,0.83505,2,2,4,2,1,9,1,NA,1,8,1.87051,1,0.62,19,1,1,1.1901,3,2,0.62,1,2,8,29,0.62
37,"2019-07-13","Legion","Incubator",0.62,1,2,2,4,2,1,9,1,NA,1,8,1,1,0.62,19,1,1,1.26045,4,2,0.9601,1,2,9,30,0.62
38,"2019-07-14","Legion","Incubator",0.62,0.92,2,2,4,2,1,9,1,NA,1,8,1,1,0.62,18,1,1,1.57576,2.92,2,0.6903,1,2,9,28,0.62
39,"2019-07-15","Legion","Incubator",0.6,0.89515,2,1.97515,4,2,1,9,1,NA,1,8,1,1,0.6,19,1,1,1,3,2,0.61,1,2,8,28,0.6
40,"2019-07-16","Legion","Incubator",0.59,0.59,2,2,3.01515,2,1,9,1,NA,1,8,1,1,0.6,18,1,1,1,3,2,0.59,1,3,8,29,0.59
41,"2019-07-17","Legion","Incubator",0.57505,0.59,2,2,3,2,1,8.8703,1,NA,1,8,1,1,0.59,17.52535,1,1,1,3,2,0.59,1,2.30121,8,30,0.59
42,"2019-07-18","Legion","Incubator",0.56,0.58,1.67,1.50056,3,2,1,9,1,NA,1,8,1,1,0.58,18,1,1,1,3,2,0.77,1,2,7,31.0802,0.58
43,"2019-07-19","Legion","Incubator",0.56005,0.75015,1,1.6802,3,2,1,8,1,NA,1,8,1,1,0.57,19,1,1,1,2.66051,2,0.57,1,3,6,32.5904,0.53
44,"2019-07-20","Legion","Incubator",0.60005,0.7001,1.88035,2,3,2,1,8,1,NA,1,8,1,1,0.57,19,1,1,1,3,2,0.6602,1,3,8,34,0.54
45,"2019-07-21","Legion","Incubator",0.56,0.57,1.56005,2,3,2,1,8,1,NA,1,7,1,1,0.57,19,1,1,1,3,2,0.56,1,3,8,34,0.51
46,"2019-07-22","Legion","Incubator",0.52,0.88505,2,1,3,2,1,8,1,NA,1,7.38505,1,1,0.53,19,1,1,1,3,2,0.51,1,3,7,32,0.53
47,"2019-07-23","Legion","Incubator",0.5,0.5,1.96,1,3,2,1,9,1,NA,1,8,1,1,0.49,18,1,1,1,3,2,0.54,1,3,5.44015,30.29005,0.49
48,"2019-07-24","Legion","Incubator",0.5,0.5,2,1,3,2,1,8.62005,1,NA,1,8,1,1,0.48,20,1,1,1,3,2,0.5,1,3,7,29.4,0.48
49,"2019-07-25","Legion","Incubator",0.50505,0.5,1.5,1.06525,3,2,1,9,1,NA,1,8,2,1,0.48,20,1,1,1,3,2,0.5,1,4,8,28.93535,0.48
50,"2019-07-26","Legion","Incubator",0.46,0.5004,2,1.6101,3,2,1,9,1,NA,1,7,1.96005,1,0.46,20,1,1,1,3,2,0.5,1,4,8,29,0.46
51,"2019-07-27","Legion","Incubator",0.45,0.61015,2,1,3,2,1,9,1,NA,1,7,1.90051,0.97,0.44,20,1,1,1,3,2,0.64,1,4,8.2203,28,0.44
52,"2019-07-28","Legion","Incubator",0.49005,1,2,1,3,2,1,9.34015,1,NA,1,7.38061,2,1,0.43,23,1,1,1,2,2,0.5,1,4.0301,7,29,0.43
53,"2019-07-29","Legion","Incubator",0.5,0.5,1.8601,1,4,2,1,10,1,NA,1,8,2,1,0.42,22.16,1,1,1,2.9901,2,0.4501,1,4,8,27,0.42
54,"2019-07-30","Legion","Incubator",0.40005,0.50015,1.99,2,4,2,1,10,1,NA,1,8.51015,2,1,0.38,22,1,1,1,3,2,0.5,1,4,9,25.00475,0.38
55,"2019-07-31","Legion","Incubator",0.43,0.5,2,1,3.24005,2,1,8.51076,1,NA,1,9,3,1,0.37,21.66025,1,1,2,3,2,0.5,1,5,10,25,0.37
56,"2019-08-01","Legion","Incubator",0.48,0.66005,1.94,1,4,2,1,9.0402,1,NA,1,8.75015,2.78005,1,0.35,23,1,1,2,3,2.83,0.37005,1,5,9.16045,24,0.35
57,"2019-08-02","Legion","Incubator",0.5,0.4701,1,1,4,2,1,9.7304,1,NA,1,8.25015,3,1,0.33,23.72015,1,1,1.88045,3,2,0.43005,1,6,9,25,0.33
