"Date","League","Type","Atziri.s.Promise","Blood.of.the.Karui","Coruscating.Elixir","Divination.Distillate","Doedre.s.Elixir","Dying.Sun","Forbidden.Taste","Kiara.s.Determination","Lavianga.s.Spirit","Lion.s.Roar","Rotgut","Rumi.s.Concoction","Taste.of.Hate","The.Overflowing.Chalice","The.Sorrow.of.the.Divine","The.Writhing.Jar","Vessel.of.Vinktar","Witchfire.Brew","Zerphi.s.Last.Breath","Coralito.s.Signature","Sin.s.Rebirth","Soul.Catcher","Soul.Ripper","The.Wise.Oak","Cinderswallow.Urn","Bottled.Faith","NA."
2016-11-06,"Standard","UniqueFlask",0.96288,28.63636,1,5,3.05758,474.14424,0.23955,132.58,53.27424,10.62424,0.23955,10,198.92909,1,0.23955,14.93939,241.58773,34.94242,20,0,0,0,0,0,0,0,0
2016-11-07,"Standard","UniqueFlask",0.92881,25.81683,1,5,2.48713,465.47851,0.24891,129.18356,58.18812,12.34752,0.24891,10,199.59713,1,0.24891,14,245.51119,34.52574,19.31287,0,0,0,0,0,0,0,0
2016-11-08,"Standard","UniqueFlask",0.91028,24.69623,1,5,2.01028,448.03274,0.26453,130.01613,59.91509,13.63208,0.26453,10,202.05708,1,0.26453,11.16981,264.9117,31.65236,16.61226,0,0,0,0,0,0,0,0
2016-11-09,"Standard","UniqueFlask",0.92165,24.20642,1,5,2.59376,446.03807,0.25294,133,61.75275,14.1789,0.25294,10,199.5,1,0.25294,10.06514,266,30.1411,16.98532,0,0,0,0,0,0,0,0
2016-11-10,"Standard","UniqueFlask",0.92266,24.34128,1,5,3.09266,466.96028,0.24569,131.2945,66.63376,11.73761,0.24569,10,200.4022,1,0.24569,10,264.98761,32.56404,14.47339,0,0,0,0,0,0,0,0
2016-11-11,"Standard","UniqueFlask",0.92688,24.65591,1,5,3.15591,469.32817,0.23656,127.32688,64.91398,12.99677,0.23656,10,201.14065,1,0.23656,10,258.21065,36.91548,13.21183,0,0,0,0,0,0,0,0
2016-11-12,"Standard","UniqueFlask",0.92207,24.68261,1.075,4.69022,3,473.18554,0.24609,182.59076,62.41685,12.71957,0.24609,10,202.7938,1,0.24609,10,239.35609,37.36609,12.38261,0,0,0,0,0,0,0,0
2016-11-13,"Standard","UniqueFlask",0.91948,24.84026,1.13247,4.05065,3,475.86221,0.26234,191.71688,60.71818,11.76234,0.26234,10,203.94623,1,0.26234,10.06234,236.27571,34.9961,14.44545,0,0,0,0,0,0,0,0
2016-11-14,"Standard","UniqueFlask",0.92,23.51765,2,4.95686,3,476.37353,0.27216,182.8449,60.79412,11.55686,0.27216,10,204.16294,1,0.27216,10,232.17647,34.34706,18.62353,0,0,0,0,0,0,0,0
2016-11-15,"Standard","UniqueFlask",0.91885,21.34231,1.92135,4.94635,2.89808,477.11596,0.27058,174.55115,58.14423,10.35769,0.27058,10,204.47827,1,0.27058,10,207.37269,34.15769,19.35385,0,0,0,0,0,0,0,0
2016-11-16,"Standard","UniqueFlask",0.93345,21.07586,1.09397,4.55379,2.59172,480.21328,0.27138,177.59759,61.84155,9.98793,0.27138,10,205.80569,1,0.27138,9.98483,234.74103,32.94828,17.33448,0,0,0,0,0,0,0,0
2016-11-17,"Standard","UniqueFlask",0.99877,19.84386,1.52772,4.67228,2.29175,479.67333,0.27386,172.12228,63.75737,9.98596,0.27386,10,206.48158,1,0.27386,8.62772,240.84667,32.37719,14.27193,0,0,0,0,0,0,0,0
2016-11-18,"Standard","UniqueFlask",0.99036,19.72909,1.00727,4.95836,2,478.36218,0.26473,171.24309,56.39091,10,0.26491,10,205.01236,1,0.27327,8.77182,236.26436,30.82,14.48727,0,0,0,0,0,0,0,0
2016-11-19,"Standard","UniqueFlask",0.99893,19.70536,1,4.92339,2,477.1675,0.27429,182.74,56.07857,10.11429,0.3125,10,204.50036,1,0.28036,9.28036,239.65054,30.42321,15,0,0,0,0,0,0,0,0
2016-11-20,"Standard","UniqueFlask",1,19.30357,1,4.20821,2.14286,478.11554,0.2675,184.22464,51.59821,11.62679,0.2675,10,203.97,1,0.2675,9.34643,237.96,32.30714,14.70536,0,0,0,0,0,0,0,0
2016-11-21,"Standard","UniqueFlask",0.99732,19.14,1.52244,4.89585,2.95878,475.93,0.26951,191.53537,49.96195,13.5839,0.28,9.9761,203.97,1,0.28951,9.90463,228.68244,34.13,14.10634,0,0,0,0,0,0,0,0
2016-11-22,"Standard","UniqueFlask",0.89426,20.37963,1.63537,3.95037,2.98574,467.30481,0.26852,182.00667,49.24111,14.13815,0.45148,9.54278,217.50704,1,0.27,9.915,217.74833,33.41426,14.85537,0,0,0,0,0,0,0,0
2016-11-23,"Standard","UniqueFlask",0.9334,21.7132,1.4228,4.7388,2.7356,473.5526,0.2722,191.8066,48.8646,14.2868,0.2986,10.0702,213.0078,0.9972,0.34,9.1604,203.57,36.928,13.7122,0,0,0,0,0,0,0,0
2016-11-24,"Standard","UniqueFlask",0.89286,21.99786,1.54821,4.78411,2.59768,471.40946,0.25714,177.96554,47.96446,16.68446,0.29911,9.73286,202.02411,1,0.26571,9.95232,209.64964,39.87161,12.76089,0,0,0,0,0,0,0,0
2016-11-25,"Standard","UniqueFlask",0.89877,19.95474,1.66263,4.83789,3.19246,462.34526,0.26702,172.35842,44.66491,16.44614,0.30298,9.13579,203.72351,0.99965,0.32877,9.1893,211.66982,37.34088,14.6186,0,0,0,0,0,0,0,0
2016-11-26,"Standard","UniqueFlask",0.79625,19.48768,1.04196,4.58232,3.76821,469.66161,0.2625,168.67696,45.47911,16.87804,0.29446,8.86286,191.33929,0.98768,0.32286,8.47732,201.84411,35.94768,14.38929,0,0,0,0,0,0,0,0
2016-11-27,"Standard","UniqueFlask",0.87946,18.59393,1.22321,4.73446,3.79304,468.545,0.26411,172.05911,48.24964,17.42018,0.35214,7.82268,192.0275,0.98893,0.27161,8.99893,198.34679,41.81875,14.28429,0,0,0,0,0,0,0,0
2016-11-28,"Standard","UniqueFlask",0.90982,18.15232,1.85375,5.19768,4.18518,466.83946,0.26036,179.6675,41.78964,17.58232,0.27125,8.34625,195.69607,0.99696,0.27786,9.16893,200.48643,39.88911,15.89036,0,0,0,0,0,0,0,0
2016-12-02,"Standard","UniqueFlask",0.62579,13.73298,1,4.39491,1.08772,354.61053,0.20982,138.91,35.18912,22.24439,0.24,71.91877,201.54439,0.99158,0.22737,7.47491,100.78596,39.20158,9.76579,0,0,0,0,0,0,0,0
2016-12-03,"Standard","UniqueFlask",0.81404,14.53316,1,3.80719,1.27474,357.62825,0.2107,139.08982,31.08649,24.88035,0.25684,51.81807,211.32351,0.98579,0.21947,5.31088,101.7114,38.4293,10,0,0,0,0,0,0,0,0
2016-12-04,"Standard","UniqueFlask",0.89089,15.52018,1,2.71875,1.59571,361.84875,0.18768,133.65446,35.42393,25.95464,0.20982,36.90071,206.56571,0.99661,0.22911,5.53464,104.1925,37.04857,9.46554,0,70.99,0,0,0,0,0,0
2016-12-05,"Standard","UniqueFlask",0.84877,15.02158,1,2.90439,1.33947,355.31053,0.20702,127.90158,32.78246,26.97018,0.25158,40.15649,201.23404,0.98596,0.25123,5.78333,97.77702,37.09368,9.56947,0,0,0,0,0,0,0,0
2016-12-06,"Standard","UniqueFlask",0.83222,16.58148,1,3.345,1.35222,362.22037,0.21019,118.94963,38.45463,23.41815,0.34259,38.35722,210.83463,0.85185,0.25019,4.47796,100.27778,34.51981,9.99556,0,0,0,0,0,0,0,0
2016-12-07,"Standard","UniqueFlask",0.83839,15.66143,1,3.60214,1.01304,383.04464,0.20464,123.39929,39.78518,20.65857,0.30661,26.31875,198.68143,1,0.27,6.48661,100.54054,32.34768,10.43054,0,0,0,0,0,0,0,0
2016-12-08,"Standard","UniqueFlask",0.80855,15.26,1,3.54127,1.02273,376.92182,0.20091,141.40709,39.93164,20.244,0.30091,22.77036,188.47618,0.99691,0.29691,6.97945,110.53818,33.00145,10.49036,0,0,0,0,0,0,0,0
2016-12-09,"Standard","UniqueFlask",0.94339,15.10393,1,2.73268,1.19446,377.03446,0.18679,144.69357,35.62821,20.93339,0.21339,12.61143,196.18732,0.87143,0.22232,6.57911,109.99964,37.66982,10,0,0,0,0,0,0,0,0
2016-12-10,"Standard","UniqueFlask",0.66,16.19964,1,3.18161,1.35643,385.43232,0.18804,153.80946,36.21768,23.08804,0.21768,16.68893,200.74857,0.84357,0.22286,4.80982,113.35125,35.24107,10.00964,0,225.27,0,0,0,0,0,0
2016-12-11,"Standard","UniqueFlask",0.80218,15.04527,1.03836,3.57127,0.99309,364.45291,0.186,153.04109,36.33691,22.21182,0.22364,11.45291,187.37036,0.71709,0.32891,5.36145,105.12073,38.38818,10.61418,0,812.63738,0,0,0,0,0,0
2016-12-12,"Standard","UniqueFlask",0.83709,14.26945,1,4.22273,0.998,347.64436,0.22036,155.068,38.69655,23.99,0.23291,12.126,203.31036,0.95855,0.248,4.75382,94.05727,37.53582,10.25327,0,700.78655,0,0,0,0,0,0
2016-12-13,"Standard","UniqueFlask",0.90661,14.24679,1.02375,3.585,0.98446,354.33571,0.23125,160.665,33.42018,22.58607,0.29714,11.00714,183.66821,1,0.29161,4.03054,99.00054,40.92679,9.80589,0,641.3175,0,0,0,0,0,0
2016-12-14,"Standard","UniqueFlask",0.83232,14.28196,1,3.16357,0.94536,372.36179,0.23179,161.38482,40.645,23.10786,0.24964,11.74518,167.47946,0.97393,0.25821,5.56339,110.88393,37.13089,9.77357,0,678.01107,0,0,0,0,0,0
2016-12-15,"Standard","UniqueFlask",0.964,13.16782,1,3.94255,0.94127,374.13055,0.23418,161.91673,40,24.15164,0.262,8.87527,170.67527,1,0.27545,4.94036,125.08145,33.35218,9.97745,0,673.43636,0,0,0,0,0,0
2016-12-16,"Standard","UniqueFlask",0.94509,13.07182,1,4.51745,0.9,364.72891,0.25782,163.90873,40.00691,22.36691,0.266,9.866,165.37655,0.99455,0.27382,4.78036,119.06255,32.86909,9.36164,0,664.99673,0,0,0,0,0,0
2016-12-17,"Standard","UniqueFlask",0.92875,14.24589,1,3.60071,0.62732,337.56571,0.26411,156.33161,34.81393,20.17679,0.26536,10.32536,168.58232,1,0.27929,4.96321,112.02018,32.23357,8.4725,0,659.61571,0,0,0,0,0,0
2016-12-18,"Standard","UniqueFlask",0.87625,14.54107,1,3.98429,1.03821,393.62429,0.24946,149.88536,31.21536,20.14411,0.27054,10.22161,167.38304,0.99768,0.29304,4.76482,104.08571,28.49411,7.22554,0,663.23714,0,0,0,0,0,0
2016-12-19,"Standard","UniqueFlask",0.83833,12.18481,1,4.76222,1.00685,369.13685,0.25722,152.63167,28.68093,16.2613,0.30444,15.33352,182.79889,0.9837,0.31,4.4413,90.21759,29.94537,6.72741,0,691.51537,0,0,0,0,0,0
2016-12-20,"Standard","UniqueFlask",0.918,10.56236,1,3.57091,0.54545,384.34891,0.26564,164.61873,30.234,23.61182,0.32636,16.41964,187.58582,0.99891,0.28418,5.498,101.326,28.03382,8.07364,0,761.62127,0,0,0,0,0,0
2016-12-21,"Standard","UniqueFlask",0.84286,9.92196,1,4.56411,0.97982,352.40768,0.25911,159.15429,30,18.36268,0.26143,10.70143,198.13625,0.98982,0.27857,4.63786,106.41714,25.95786,8.53161,0,751.18679,0,0,0,0,0,0
2016-12-22,"Standard","UniqueFlask",0.96018,9.99545,1.04964,3.48455,1.00291,366.79164,0.28418,145.69891,30.12691,20.542,0.36691,10.03709,176.578,0.98291,0.30545,4.36,92.31273,27.11109,10,0,732.55982,0,0,0,0,0,0
2016-12-23,"Standard","UniqueFlask",0.94636,9.93145,1.02127,3.23964,1.03109,409.84618,0.27018,131.98145,29.98618,18.30764,0.48473,9.23691,175.69673,0.96655,0.30818,4.85564,92.188,22.32473,10,0,717.65782,0,0,0,0,0,0
2016-12-24,"Standard","UniqueFlask",0.90389,9.99426,1,3.1013,1.00352,374.66148,0.26574,131.52889,32.21148,19.18481,0.27593,7.3337,175.93352,0.8887,0.27574,4.09241,95.01537,24.16111,9.84463,0,669.67926,0,0,0,0,0,0
2016-12-25,"Standard","UniqueFlask",0.97382,10,1,2.87982,0.91727,388.66327,0.27418,147.33709,30.67818,18.67364,0.28945,6.51036,181.81691,0.96782,0.29691,2.88582,94.966,22.57927,9.29873,0,644.42545,0,0,0,0,0,0
2016-12-26,"Standard","UniqueFlask",0.96927,10.05218,1,3.03236,0.996,372.43182,0.28473,160.702,29.61836,20.984,0.30836,7.58655,178.404,0.98364,0.28545,4.56127,94.23727,23.14618,9.91182,0,689.42091,0,0,0,0,0,0
2016-12-27,"Standard","UniqueFlask",0.94182,10.05382,1,2.96836,1,440.11709,0.30818,162.22564,33.64218,17.73,0.288,6.45727,179.67,0.84018,0.32255,4.65182,100.60164,23.60436,10.524,0,703.186,0,0,0,0,0,0
2016-12-28,"Standard","UniqueFlask",0.92727,7.68582,1,3.204,0.98036,418.24091,0.28545,149.00855,36.19018,17.46473,0.28436,6.82418,179.74073,0.88273,0.29273,3.74564,89.902,21.49964,10.57218,0,717.60582,0,0,0,0,0,0
2016-12-29,"Standard","UniqueFlask",0.942,9.87,1,3.13764,1.00236,410.10691,0.28382,140.46036,29.71309,18.11436,0.29164,6.81309,180.93473,0.93891,0.29382,4.39455,90.71982,17.98164,11.30091,0,710.294,0,0,0,0,0,0
2016-12-30,"Standard","UniqueFlask",0.96741,9.16759,1,3.65574,0.98963,410.86074,0.28222,143.13056,26.68222,19.56,0.29,7.0063,179.57037,0.80111,0.33204,3.67278,89.74981,22.15222,10.25241,0,692.11944,0,0,0,0,0,0
2016-12-31,"Standard","UniqueFlask",0.82204,7.16796,1,3.66148,1,397.15741,0.275,135.84111,37.97481,19.37519,0.29,6.23944,181.11667,0.8237,0.37259,3.875,88.73704,22.36407,10.81741,0,637.37278,0,0,0,0,0,0
2017-01-01,"Standard","UniqueFlask",0.84545,9.69545,1,3.24309,0.99982,406.25709,0.24109,132.90691,40.52418,19.07964,0.28945,6.46636,178.91218,0.876,0.28964,3.79618,90.19836,22.20636,10,0,685.338,0,0,0,0,0,0
2017-01-02,"Standard","UniqueFlask",0.92911,8.46696,1,4.15464,1,391.59768,0.26661,132.02179,38.25482,19.70054,0.29054,6.99018,175.72821,0.82518,0.33357,2.85268,87.35946,21.16714,10.11714,0,694.59679,0,0,0,0,0,0
2017-01-03,"Standard","UniqueFlask",0.9725,7.32661,1,4.75089,0.99982,383.35268,0.25625,136.44357,38.96018,19.11518,0.29196,6.46964,167.24232,0.95786,0.35554,3.285,85.83696,19.05464,10.23732,0,653.255,0,0,0,0,0,0
2017-01-04,"Standard","UniqueFlask",0.90036,6.22418,1,3.33836,0.96836,370.57655,0.25491,133.16164,37.82927,18.39945,0.32382,7.02564,137.83709,0.93873,0.39618,3.124,89.69945,19.06727,10.06836,0,724.70782,0,0,0,0,0,0
2017-01-05,"Standard","UniqueFlask",0.89418,7.61091,1,3.90382,0.98655,401.62636,0.18945,128.82218,39.274,18.23327,0.29818,8.40564,146.83036,0.97345,0.31291,3.112,85.32855,18.92345,10.47582,0,781.27291,0,0,0,0,0,0
2017-01-06,"Standard","UniqueFlask",0.80446,6.11982,1,2.9775,0.99607,407.50089,0.17911,119.27,39.79018,18.17893,0.29321,8.50393,142.29107,1,0.29321,2.59089,78.05929,22.57589,10.04536,0,811.15464,0,0,0,0,0,0
2017-01-07,"Standard","UniqueFlask",0.87945,5.79273,1,4.01527,1,417.74036,0.22036,107.88036,39.94509,19.27582,0.29891,7.79745,137.53909,0.95582,0.29891,2.26782,86.81509,20.17291,9.83564,0,841.46982,0,0,0,0,0,0
2017-01-08,"Standard","UniqueFlask",0.80509,4.38,1,3.60218,1.02873,395.13745,0.19727,112.61255,39.99036,17.16727,0.29618,8.66327,142.26655,0.87655,0.29618,1.91836,88.26545,20.24218,9.50218,0,849.45145,0,0,0,0,0,0
2017-01-09,"Standard","UniqueFlask",0.80382,3.98727,1,3.65636,1,361.948,0.22727,88.59545,39.68764,18.62364,0.28873,10.20782,131.91473,0.85673,0.31164,2.44509,88.40236,22.58255,10,0,797.88964,0,0,0,0,0,0
2017-01-10,"Standard","UniqueFlask",0.89382,4.58291,1,3.74182,1,347.21891,0.25636,88.306,34.97364,20.27073,0.30091,10.53964,133.75673,0.83764,0.29873,2.13473,95.31182,21.69636,9.99927,0,816.34018,0,0,0,0,0,0
2017-01-11,"Standard","UniqueFlask",0.96327,4.79436,1,3.99673,1.02455,348.32145,0.26782,88.04564,35,20.89073,0.3,10.52545,125.12455,0.97236,0.30564,2.346,93.21727,21.43164,12.52745,0,931.25473,0,0,0,0,0,0
2017-01-12,"Standard","UniqueFlask",0.95673,4.18382,1,2.67345,1,379.91109,0.25091,87.90327,34.952,17.87418,0.3,9.16145,120.04873,0.92927,0.30055,2.09236,85.12036,17.54455,11.80473,0,924.21873,0,0,0,0,0,0
2017-01-13,"Standard","UniqueFlask",0.82618,3.83691,1,3.09582,1,420.29691,0.28073,83.40709,28.47291,18.37527,0.3,10.05745,122.07036,0.98745,0.29964,1.98745,80.54273,19.61655,10.62782,0,892.94964,0,0,0,0,0,0
2017-01-14,"Standard","UniqueFlask",0.82564,4.30364,1,3.44673,1,422.27091,0.28636,86.15473,35.76218,17.036,0.30618,8.75964,118.93418,0.90182,0.29455,1.86364,81.50436,19.63527,12.75473,0,980.51455,0,0,0,0,0,0
2017-01-15,"Standard","UniqueFlask",0.87091,4.40091,1,4.20273,1.19691,435.75273,0.28345,88.64,39.20582,18.04055,0.30182,9.34545,126.96145,0.89673,0.302,1.29491,89.00782,17.384,13.55964,0,946.02364,0,0,0,0,0,0
2017-01-16,"Standard","UniqueFlask",0.87509,7.41945,1,3.91127,1.70418,432.52655,0.29545,86.17436,39.01109,16.02091,0.30255,7.82782,130.40309,0.872,0.30382,1.32109,88.978,19.50182,13.628,0,850.16945,0,0,0,0,0,0
2017-01-17,"Standard","UniqueFlask",0.95727,9.77927,1,3.87709,1.19873,443.41109,0.28564,87.92418,40,15.96055,0.30836,6.84836,129.79382,0.77073,0.31364,1.23855,89.03745,22.34073,11.13291,0,860.69418,0,0,0,0,0,0
2017-01-18,"Standard","UniqueFlask",0.96782,9.90236,1,4.03855,1.14855,441.034,0.29782,83.36073,41.07891,15.82636,0.32709,7.70291,130.494,0.90127,0.30527,1.55055,97.00455,17.96782,11.85782,0,1012.52018,0,0,0,0,0,0
2017-01-19,"Standard","UniqueFlask",0.96255,9.25455,1,4.31909,1.44055,434.50855,0.23109,82.13345,42.45818,17.08491,0.35636,7.47309,121.85545,0.89036,0.30982,1.97364,97.18636,19.82327,12.59436,0,912.90818,0,0,0,0,0,0
2017-01-20,"Standard","UniqueFlask",0.92821,9.20911,1,4.0025,1.00571,428.37964,0.26804,81.03643,40.61339,13.955,0.30268,8.96393,115.40161,0.9275,0.29768,2.28661,88.94446,21.52429,13.30893,0,999.82536,0,0,0,0,0,0
2017-01-21,"Standard","UniqueFlask",0.88611,9.68648,1,3.12815,1.00204,420.14852,0.24741,74.43259,38.72648,14.59463,0.30704,7.84704,120.75685,0.88593,0.30519,2.55093,88.90611,24.08019,13.90481,0,967.61278,0,0,0,0,0,0
2017-01-22,"Standard","UniqueFlask",0.85538,9.29904,1,2.78692,1.50423,430.36712,0.26962,74.00404,38.29231,15.02923,0.30096,6.755,127.14654,0.71962,0.31019,2.455,86.31769,18.58327,12.485,0,946.86135,0,0,0,0,0,0
2017-01-23,"Standard","UniqueFlask",0.93741,9.11222,1,3.33759,1,410.16481,0.23741,80.46204,36.88722,15.68222,0.30241,7.39315,114.41019,0.84056,0.30296,1.81389,115.49204,19.27593,13.31,0,991.69148,0,0,0,0,0,0
2017-01-24,"Standard","UniqueFlask",0.94109,10,1,3.27964,0.98927,412.58364,0.25745,75.67309,34.84891,14.60091,0.30436,6.90564,98.90945,0.84091,0.31691,2.18073,86.87036,21.14236,13.97818,0,1041.66455,0,0,0,0,0,0
2017-01-25,"Standard","UniqueFlask",0.91127,10,1,3.12945,0.97582,397.34691,0.26927,71.81164,34.08655,13.29945,0.302,7.45545,100.768,0.86345,0.30255,2.18782,85.69309,22.94891,14.50327,0,1098.85509,0,0,0,0,0,0
2017-01-26,"Standard","UniqueFlask",0.92135,8.63212,1,2.94231,0.92288,387.50731,0.26,74.95846,34.17058,16.27788,0.31,8.87385,115.15269,0.83654,0.31327,1.26192,84.2925,21.44058,13.55808,0,1109.60519,0,0,0,0,0,0
2017-01-27,"Standard","UniqueFlask",0.81596,9.67719,1,3.34105,0.98789,380.26123,0.25281,74.98018,35.85105,15.54719,0.31,7.48298,112.64053,0.66158,0.31,2.92035,93.70772,22.98526,15.51579,0,1134.05368,0,0,0,0,0,0
2017-01-28,"Standard","UniqueFlask",0.97929,10,0.99982,3.53304,0.95714,354.70786,0.29607,75.29214,38.06339,16.93768,0.31393,6.46446,120.67179,0.83446,0.31339,2.52982,89.165,20.01679,13.98286,0,1052.09964,0,0,0,0,0,0
2017-01-29,"Standard","UniqueFlask",0.97036,10,1,4.34,0.99893,396.75589,0.28786,76.26268,38.86696,18.99321,0.31893,5.80893,120.56875,0.57946,0.31893,1.98571,97.14875,20.56875,14.61089,0,938.75643,0,0,0,0,0,0
2017-01-30,"Standard","UniqueFlask",0.94054,10,1,3.66982,0.98696,352.93964,0.24857,79.99929,36.97429,18.05768,0.33625,6.32304,116.93054,0.69036,0.325,1.91536,91.05,19.57339,16.07161,0,971.95625,0,0,0,0,0,0
2017-01-31,"Standard","UniqueFlask",0.93375,10,1,3.79464,0.95125,364.81143,0.28375,80.565,38.06625,17.55464,0.335,8.53304,119.88214,0.85768,0.33393,2.70125,80.61,19.87607,16.16214,0,979.95607,0,0,0,0,0,0
2017-02-01,"Standard","UniqueFlask",0.92214,10,1,4.03232,0.95839,356.24393,0.22446,78.32643,38.03946,13.66339,0.34643,7.59911,120.47696,0.98304,0.3475,2.41911,78.04911,20.36821,17.46946,0,979.39089,0,0,0,0,0,0
2017-02-02,"Standard","UniqueFlask",0.97273,10,1,3.424,1.04691,374.396,0.27055,75.22964,37.03636,13.93182,0.34618,7.35655,115.67909,0.99073,0.35455,3.29436,70.19673,21.096,18.02036,0,1017.69436,0,0,0,0,0,0
2017-02-03,"Standard","UniqueFlask",0.87714,10,1,4.62625,0.99679,388.31768,0.23804,71.00107,38.98804,17.32732,0.38589,7.97411,121.69714,0.87411,0.37107,2.97857,82.24125,20.55964,17.24071,0,1050.71518,0,0,0,0,0,0
2017-02-04,"Standard","UniqueFlask",0.94089,10,1,3.79839,0.98161,384.72268,0.24554,70.13268,40.44196,17.79214,0.37661,9.33179,121.00268,0.97036,0.37714,1.90196,81.81571,20.63982,15.42536,0,1038.31518,0,0,0,0,0,0
2017-02-05,"Standard","UniqueFlask",0.80964,10,1,4.49768,0.98286,385.01304,0.19571,66.96786,45.96696,17.6075,0.35446,6.33607,113.68268,0.98446,0.37089,1.99607,82.15929,20.82375,14.6575,0,1037.45071,0,0,0,0,0,0
2017-02-06,"Standard","UniqueFlask",0.91375,10,1,4.88732,0.97018,407.68321,0.26821,61.63429,48.53607,16.42143,0.38982,6.94054,113.37429,1,0.36804,1.98857,84.49304,19.73071,15.97518,0,1048.68071,0,0,0,0,0,0
2017-02-07,"Standard","UniqueFlask",0.81439,10,1,4.41579,0.99912,412.55579,0.32596,63.21175,48.29211,15.47456,0.37298,6.91912,116.87842,0.98982,0.37281,2.54456,82.24263,18.74649,15,0,1071.90842,0,0,0,0,0,0
2017-02-08,"Standard","UniqueFlask",0.9407,10,1,4.32825,0.99526,394.60667,0.27596,66.96246,49.61333,15.04719,0.37053,5.88193,108.02158,1,0.36579,2.35965,82.8986,17.4593,12.40456,0,1068.13,0,0,0,0,0,0
2017-02-09,"Standard","UniqueFlask",0.85828,10,1,3.98586,0.99966,395.48966,0.26931,62.86121,49.57328,15.25138,0.37138,6.80948,109.34586,0.97293,0.36724,2.0981,82.62448,17.56534,13.8769,0,1096.00069,0,0,0,0,0,0
2017-02-10,"Standard","UniqueFlask",0.83789,9.95439,1.08439,4.02561,0.95263,382.71316,0.31211,66.1393,47.96842,16.04193,0.37298,5.7914,109.70754,0.96053,0.38333,1.86649,82.75912,16.61842,15.38404,0,1032.90228,0,0,0,0,0,0
2017-02-11,"Standard","UniqueFlask",0.87569,9.99931,1,3.60931,0.99328,367.25569,0.23741,62.76241,42.06914,15.66241,0.38086,5.52845,111.18552,0.99552,0.37948,1.97897,81.99552,17.00776,15.32034,0,1054.49862,0,0,0,0,0,0
